table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_rankd,field_all_performers_all_funding_sources,field_federal,field_ffrdcs_total,field_ffrdcs_federal,field_ffrdcs_nonfederale,field_business_total,field_business_own,field_business_paid_by_others_nonfederalf,field_business_paid_by_others_federal,field_higher_educationa_total,field_higher_educationa_federal,field_higher_educationa_other_government,field_higher_educationa_business,field_higher_educationa_higher_education,field_higher_educationa_npo,field_higher_educationa_other,field_npos_total,field_state_internalb_total,field_gdp,field_gdp_rank,field_r_d_intensityc_d_percent,field_r_d_intensityc_d_rank
10482,r035,States total<sup>h</sup> -> New York,States total<sup>h</sup>,New York,2,4,38224,223,638,620,18,26319,23939,1746,634,7577,4065,425,498,1744,542,303,3207,259,1911346,3,2.0,28
10482,r036,States total<sup>h</sup> -> North Carolina,States total<sup>h</sup>,North Carolina,2,11,20281,384,0,0,0,15490,9812,5537,140,3504,2088,175,311,675,208,46,886,17,659529,11,3.08,14
10482,r037,States total<sup>h</sup> -> North Dakota,States total<sup>h</sup>,North Dakota,2,46,693,42,0,0,0,343,330,10,2,308,101,79,10,110,1,7,,0.05,63209,46,1.1,40
10482,r038,States total<sup>h</sup> -> Ohio,States total<sup>h</sup>,Ohio,2,12,16734,1108,0,0,0,11545,7814,2911,820,2788,1595,71,193,766,122,42,1292,2,759626,7,2.2,27
10482,r039,States total<sup>h</sup> -> Oklahoma,States total<sup>h</sup>,Oklahoma,2,35,2907,1139,0,0,0,1056,969,33,54,623,255,61,37,252,13,4,87,3,217731,31,1.34,35
10482,r040,States total<sup>h</sup> -> Oregon,States total<sup>h</sup>,Oregon,2,15,12570,287,0,0,0,11292,10954,230,107,929,627,57,50,129,49,17,45,16,275444,24,4.56,7
10482,r041,States total<sup>h</sup> -> Pennsylvania,States total<sup>h</sup>,Pennsylvania,2,9,23818,442,120,120,0,17555,14541,2725,290,4935,2794,105,341,1327,260,107,758,8,844392,6,2.82,15
10482,r042,States total<sup>h</sup> -> Rhode Island,States total<sup>h</sup>,Rhode Island,2,37,1715,273,0,0,0,837,689,28,121,426,290,13,7,88,22,4,171,8,67237,45,2.55,19
10482,r043,States total<sup>h</sup> -> South Carolina,States total<sup>h</sup>,South Carolina,2,34,2984,148,192,189,2,1857,1601,131,125,753,366,38,42,272,24,12,7,28,271495,25,1.1,39
10482,r044,States total<sup>h</sup> -> South Dakota,States total<sup>h</sup>,South Dakota,2,50,345,24,0,0,0,221,213,7,1,101,47,19,2,20,3,9,0,0.05,62607,47,0.55,51
10482,r045,States total<sup>h</sup> -> Tennessee,States total<sup>h</sup>,Tennessee,2,25,7922,1124,1761,1747,14,2776,1802,902,72,1630,863,35,94,567,56,14,631,1,438180,17,1.81,31
10482,r046,States total<sup>h</sup> -> Texas,States total<sup>h</sup>,Texas,2,5,37256,900,6,5,0,28264,24495,2735,1035,6850,2872,930,478,1873,418,279,1234,3,2087491,2,1.78,33
10482,r047,States total<sup>h</sup> -> Utah,States total<sup>h</sup>,Utah,2,28,5196,209,0,0,0,3962,3730,170,62,994,635,28,49,235,36,10,26,5,232125,29,2.24,26
10482,r048,States total<sup>h</sup> -> Vermont,States total<sup>h</sup>,Vermont,2,48,679,14,0,0,0,456,434,0 - 23,0 - 23,198,106,1,2,74,9,6,10,1,37594,51,1.81,32
10482,r049,States total<sup>h</sup> -> Virginia,States total<sup>h</sup>,Virginia,2,13,14789,2066,1728,1698,29,8179,6330,506,1342,1942,877,131,83,681,95,75,858,17,613920,13,2.41,24
10482,r050,States total<sup>h</sup> -> Washington,States total<sup>h</sup>,Washington,2,2,53969,365,1168,1143,25,49083,47644,1250,190,1881,1243,73,65,220,230,50,1451,21,688632,10,7.84,3
10482,r051,States total<sup>h</sup> -> West Virginia<sup>j</sup>,States total<sup>h</sup>,West Virginia<sup>j</sup>,2,45,831,43,9,9,0,522,435,12,74,231,107,13,5,83,7,17,22,3,86510,42,0.96,44
10482,r052,States total<sup>h</sup> -> Wisconsin,States total<sup>h</sup>,Wisconsin,2,23,9011,64,0,0,0,6781,5723,997,61,1771,831,157,60,529,147,47,390,4,369032,21,2.44,22
10482,r053,States total<sup>h</sup> -> Wyoming,States total<sup>h</sup>,Wyoming,2,51,238,49,0,0,0,93,88,2,2,93,54,5,6,26,2,0,0,3,42176,50,0.57,49
10482,r054,U.S. undistributed<sup>k</sup>,U.S. undistributed<sup>k</sup>,,1,na,5725,4912,0,0,0,780,712,0 - 68,0 - 68,0,0,0,0,0,0,0,0,0,0,na,na,na
10482,r055,Puerto Rico,Puerto Rico,,1,na,692,29,0,0,0,743,698,NA,NA,124,85,3,5,30,1,0,0,na,111067,na,na,na
10482,r056,Other<sup>k</sup>,Other<sup>k</sup>,,1,na,150,117,0,0,0,0,0,0,0,34,28,4,0.17,1,0.31,0,0,na,11276,na,na,na
