table_id,row_id,field_and_sex_full_path,field_and_sex_level_1,field_and_sex_level_2,field_and_sex_level_3,field_and_sex_level_4,field_and_sex_level_5,field_and_sex_level_6,field_and_sex_level_7,field_and_sex_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1155,r060,Both sexes   -> Female -> All fields -> S&E -> Science -> Social sciences -> History of science,Both sexes  ,Female,All fields,S&E,Science,Social sciences,History of science,7,67,70,52,52,76,78,73,77,81,72,62
1155,r061,Both sexes   -> Female -> All fields -> S&E -> Science -> Social sciences -> Linguistics,Both sexes  ,Female,All fields,S&E,Science,Social sciences,Linguistics,7,754,879,1003,975,1124,1235,1420,1492,1517,1575,1605
1155,r062,Both sexes   -> Female -> All fields -> S&E -> Science -> Social sciences -> Political science and public administration,Both sexes  ,Female,All fields,S&E,Science,Social sciences,Political science and public administration,7,27127,27545,28155,28135,29799,30777,31514,31473,31082,29790,29396
1155,r063,Both sexes   -> Female -> All fields -> S&E -> Science -> Social sciences -> Sociology,Both sexes  ,Female,All fields,S&E,Science,Social sciences,Sociology,7,19993,20352,20121,20129,20142,20626,21169,21522,21074,20389,20060
1155,r064,Both sexes   -> Female -> All fields -> S&E -> Science -> Social sciences -> Other,Both sexes  ,Female,All fields,S&E,Science,Social sciences,Other,7,13815,14354,15055,15847,16186,19333,20961,21474,20841,19920,19341
1155,r065,Both sexes   -> Female -> All fields -> S&E -> Engineering,Both sexes  ,Female,All fields,S&E,Engineering,,,5,13338,12653,12921,12750,13693,14658,15981,16934,18626,20057,22794
1155,r066,Both sexes   -> Female -> All fields -> S&E -> Engineering -> Aerospace engineering ,Both sexes  ,Female,All fields,S&E,Engineering,Aerospace engineering ,,6,501,452,441,437,463,439,463,479,488,515,551
1155,r067,Both sexes   -> Female -> All fields -> S&E -> Engineering -> Chemical engineering ,Both sexes  ,Female,All fields,S&E,Engineering,Chemical engineering ,,6,1678,1743,1834,1917,2149,2307,2535,2657,2977,3186,3660
1155,r068,Both sexes   -> Female -> All fields -> S&E -> Engineering -> Civil engineering ,Both sexes  ,Female,All fields,S&E,Engineering,Civil engineering ,,6,2422,2499,2752,2755,2893,3278,3428,3656,3701,3779,4195
1155,r069,Both sexes   -> Female -> All fields -> S&E -> Engineering -> Electrical engineering ,Both sexes  ,Female,All fields,S&E,Engineering,Electrical engineering ,,6,2587,2109,1907,1606,1740,1741,1923,2067,2331,2541,2932
1155,r070,Both sexes   -> Female -> All fields -> S&E -> Engineering -> Industrial engineering ,Both sexes  ,Female,All fields,S&E,Engineering,Industrial engineering ,,6,1174,1056,1009,1056,1136,1164,1276,1282,1454,1637,1854
1155,r071,Both sexes   -> Female -> All fields -> S&E -> Engineering -> Materials engineering ,Both sexes  ,Female,All fields,S&E,Engineering,Materials engineering ,,6,269,272,272,263,294,321,368,430,412,473,536
1155,r072,Both sexes   -> Female -> All fields -> S&E -> Engineering -> Mechanical engineering ,Both sexes  ,Female,All fields,S&E,Engineering,Mechanical engineering ,,6,2113,2017,2093,1972,2163,2208,2538,2687,3107,3443,4006
1155,r073,Both sexes   -> Female -> All fields -> S&E -> Engineering -> Other,Both sexes  ,Female,All fields,S&E,Engineering,Other,,6,2594,2505,2613,2744,2855,3200,3450,3676,4156,4483,5060
1155,r074,Both sexes   -> Female -> All fields -> Non-S&E,Both sexes  ,Female,All fields,Non-S&E,,,,4,625534,642236,657176,672907,690608,714765,741130,756484,763588,772768,781474
1155,r075,Both sexes   -> Male,Both sexes  ,Male,,,,,,2,,,,,,,,,,,
1155,r076,Both sexes   -> Male -> All fields,Both sexes  ,Male,All fields,,,,,3,636559,655393,673788,691428,713336,740357,772597,794852,809453,820426,829783
1155,r077,Both sexes   -> Male -> All fields -> S&E,Both sexes  ,Male,All fields,S&E,,,,4,238029,241697,246719,250742,261091,275258,291890,305777,318015,327122,335274
1155,r078,Both sexes   -> Male -> All fields -> S&E -> Science,Both sexes  ,Male,All fields,S&E,Science,,,5,183140,186076,189732,192892,200385,211817,224608,234899,242691,247273,249092
1155,r079,Both sexes   -> Male -> All fields -> S&E -> Science -> Agricultural sciences,Both sexes  ,Male,All fields,S&E,Science,Agricultural sciences,,6,8398,8781,9017,9334,9691,10904,11616,12783,13271,13226,13606
1155,r080,Both sexes   -> Male -> All fields -> S&E -> Science -> Biological sciences,Both sexes  ,Male,All fields,S&E,Science,Biological sciences,,6,27917,31347,33136,34477,36737,37860,40678,42732,44811,46554,47008
1155,r081,Both sexes   -> Male -> All fields -> S&E -> Science -> Computer sciences,Both sexes  ,Male,All fields,S&E,Science,Computer sciences,,6,38061,34652,32038,31602,32801,35886,39283,42377,45986,49446,52964
1155,r082,"Both sexes   -> Male -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences",Both sexes  ,Male,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",,6,2341,2399,2559,2774,2913,3219,3570,3891,4134,4454,4490
1155,r083,"Both sexes   -> Male -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences",Both sexes  ,Male,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,7,432,483,473,486,455,461,472,500,493,469,478
1155,r084,"Both sexes   -> Male -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Earth sciences",Both sexes  ,Male,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Earth sciences,7,1873,1857,2023,2209,2365,2650,2978,3270,3508,3835,3911
1155,r085,"Both sexes   -> Male -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Ocean sciences",Both sexes  ,Male,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Ocean sciences,7,36,59,63,79,93,108,120,121,133,150,101
1155,r086,Both sexes   -> Male -> All fields -> S&E -> Science -> Mathematics and statistics,Both sexes  ,Male,All fields,S&E,Science,Mathematics and statistics,,6,8435,8724,8884,9237,9584,10276,11283,12270,12715,13214,13991
1155,r087,Both sexes   -> Male -> All fields -> S&E -> Science -> Physical sciences,Both sexes  ,Male,All fields,S&E,Science,Physical sciences,,6,9437,10021,10368,10491,10804,11404,12137,12929,13407,13716,13858
1155,r088,Both sexes   -> Male -> All fields -> S&E -> Science -> Physical sciences -> Astronomy,Both sexes  ,Male,All fields,S&E,Science,Physical sciences,Astronomy,7,235,200,226,189,248,228,239,229,259,249,313
1155,r089,Both sexes   -> Male -> All fields -> S&E -> Science -> Physical sciences -> Chemistry,Both sexes  ,Male,All fields,S&E,Science,Physical sciences,Chemistry,7,5253,5636,5923,6038,6176,6560,6984,7306,7585,7561,7552
1155,r090,Both sexes   -> Male -> All fields -> S&E -> Science -> Physical sciences -> Physics,Both sexes  ,Male,All fields,S&E,Science,Physical sciences,Physics,7,3621,3846,3888,3917,3985,4220,4495,4945,5097,5462,5621
1155,r091,Both sexes   -> Male -> All fields -> S&E -> Science -> Physical sciences -> Other,Both sexes  ,Male,All fields,S&E,Science,Physical sciences,Other,7,328,339,331,347,395,396,419,449,466,444,372
1155,r092,Both sexes   -> Male -> All fields -> S&E -> Science -> Psychology,Both sexes  ,Male,All fields,S&E,Science,Psychology,,6,19975,20446,21307,21579,22410,23401,25601,27044,27554,27080,26577
1155,r093,Both sexes   -> Male -> All fields -> S&E -> Science -> Social sciences,Both sexes  ,Male,All fields,S&E,Science,Social sciences,,6,68576,69706,72423,73398,75445,78867,80440,80873,80813,79583,76598
1155,r094,Both sexes   -> Male -> All fields -> S&E -> Science -> Social sciences -> Anthropology,Both sexes  ,Male,All fields,S&E,Science,Social sciences,Anthropology,7,2494,2456,2733,2723,2863,2998,3201,3361,3219,2814,2511
1155,r095,Both sexes   -> Male -> All fields -> S&E -> Science -> Social sciences -> Area and ethnic studies,Both sexes  ,Male,All fields,S&E,Science,Social sciences,Area and ethnic studies,7,2463,2561,2626,2732,2663,2763,2715,2598,2421,2242,2181
1155,r096,Both sexes   -> Male -> All fields -> S&E -> Science -> Social sciences -> Economics,Both sexes  ,Male,All fields,S&E,Science,Social sciences,Economics,7,17043,17195,18237,19282,20195,20826,20677,20849,21823,23684,23932
1155,r097,Both sexes   -> Male -> All fields -> S&E -> Science -> Social sciences -> History of science,Both sexes  ,Male,All fields,S&E,Science,Social sciences,History of science,7,46,44,51,48,34,60,49,42,52,59,49
1155,r098,Both sexes   -> Male -> All fields -> S&E -> Science -> Social sciences -> Linguistics,Both sexes  ,Male,All fields,S&E,Science,Social sciences,Linguistics,7,447,461,502,503,558,573,689,692,708,700,684
1155,r099,Both sexes   -> Male -> All fields -> S&E -> Science -> Social sciences -> Political science and public administration,Both sexes  ,Male,All fields,S&E,Science,Social sciences,Political science and public administration,7,26462,27053,27734,27184,27850,28975,29287,28771,28178,27024,25426
1155,r100,Both sexes   -> Male -> All fields -> S&E -> Science -> Social sciences -> Sociology,Both sexes  ,Male,All fields,S&E,Science,Social sciences,Sociology,7,8548,8698,8787,8707,8858,8988,9433,9507,9598,9154,8460
1155,r101,Both sexes   -> Male -> All fields -> S&E -> Science -> Social sciences -> Other,Both sexes  ,Male,All fields,S&E,Science,Social sciences,Other,7,11073,11238,11753,12219,12424,13684,14389,15053,14814,13906,13355
1155,r102,Both sexes   -> Male -> All fields -> S&E -> Engineering,Both sexes  ,Male,All fields,S&E,Engineering,,,5,54889,55621,56987,57850,60706,63441,67282,70878,75324,79849,86182
1155,r103,Both sexes   -> Male -> All fields -> S&E -> Engineering -> Aerospace engineering ,Both sexes  ,Male,All fields,S&E,Engineering,Aerospace engineering ,,6,2252,2376,2493,2600,2744,2903,3082,3011,3077,3356,3323
1155,r104,Both sexes   -> Male -> All fields -> S&E -> Engineering -> Chemical engineering ,Both sexes  ,Male,All fields,S&E,Engineering,Chemical engineering ,,6,3179,3338,3670,3977,4543,5228,5809,6260,6729,7651,8465
1155,r105,Both sexes   -> Male -> All fields -> S&E -> Engineering -> Civil engineering ,Both sexes  ,Male,All fields,S&E,Engineering,Civil engineering ,,6,8241,8819,9491,10032,10589,11562,11747,12226,11850,11595,11818
1155,r106,Both sexes   -> Male -> All fields -> S&E -> Engineering -> Electrical engineering ,Both sexes  ,Male,All fields,S&E,Engineering,Electrical engineering ,,6,17346,16438,15450,14578,14550,14744,15457,16345,17660,18816,20484
1155,r107,Both sexes   -> Male -> All fields -> S&E -> Engineering -> Industrial engineering ,Both sexes  ,Male,All fields,S&E,Engineering,Industrial engineering ,,6,2716,2473,2557,2823,3048,3129,3413,3497,3869,4176,4485
1155,r108,Both sexes   -> Male -> All fields -> S&E -> Engineering -> Materials engineering ,Both sexes  ,Male,All fields,S&E,Engineering,Materials engineering ,,6,737,753,878,807,844,819,954,1018,1101,1214,1355
1155,r109,Both sexes   -> Male -> All fields -> S&E -> Engineering -> Mechanical engineering ,Both sexes  ,Male,All fields,S&E,Engineering,Mechanical engineering ,,6,14050,14894,15592,15671,16695,17262,18351,19613,21572,23299,25583
1155,r110,Both sexes   -> Male -> All fields -> S&E -> Engineering -> Other,Both sexes  ,Male,All fields,S&E,Engineering,Other,,6,6368,6530,6856,7362,7693,7794,8469,8908,9466,9742,10669
1155,r111,Both sexes   -> Male -> All fields -> Non-S&E,Both sexes  ,Male,All fields,Non-S&E,,,,4,398530,413696,427069,440686,452245,465099,480707,489075,491438,493304,494509
