table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field__,field_2016,field_2017,field_2018
2763,r073,"All business activities -> Newspaper, periodical, book, and directory publishers (except Internet)",All business activities,"Newspaper, periodical, book, and directory publishers (except Internet)",2,51110,"['17,053', '  ']","['24,528', '&nbsp;']","['26,671', '&nbsp;']","['30,831', '&nbsp;']","['33,557', 'i']","['17,955', '&nbsp;']","['10,520', '&nbsp;']",7008,,"['8,704', '  ']","['6,010', '  ']","['9,489', '  ']"
2763,r074,All business activities -> Software publishers (except Internet)<sup>e</sup>,All business activities,Software publishers (except Internet)<sup>e</sup>,2,51120,"['210,186', '  ']","['195,833', '&nbsp;']","['214,359', '&nbsp;']","['230,898', '&nbsp;']","['237,602', '&nbsp;']","['266,587', '&nbsp;']","['278,159', '&nbsp;']",272944,,"['256,293', '  ']","['231,880', '  ']","['245,769', '  ']"
2763,r075,All business activities -> Motion picture and sound recording (except Internet),All business activities,Motion picture and sound recording (except Internet),2,51200,"['16,774', '  ']","['20,697', '&nbsp;']","['18,011', '&nbsp;']","['14,964', '&nbsp;']","['9,467', '&nbsp;']","['20,861', '&nbsp;']","['D', '&nbsp;']",7142,,"['9,353', '  ']","['8,936', '  ']","['37,342', '  ']"
2763,r076,All business activities -> Broadcasting (except Internet),All business activities,Broadcasting (except Internet),2,51500,"['NA', '  ']","['39,734', '&nbsp;']","['53,313', '&nbsp;']","['44,029', '&nbsp;']","['67,429', '&nbsp;']","['81,499', '&nbsp;']","['D', '&nbsp;']",74473,,"['84,879', '  ']","['88,160', '  ']","['151,282', '  ']"
2763,r077,All business activities -> Wired telecommunications carriers,All business activities,Wired telecommunications carriers,2,51710,"['D', '  ']","['187,439', '&nbsp;']","['210,704', '&nbsp;']","['268,345', '&nbsp;']","['223,829', '&nbsp;']","['181,992', '&nbsp;']","['230,630', '&nbsp;']",216588,,"['181,904', '  ']","['222,699', '  ']","['129,766', '  ']"
2763,r078,All business activities -> Wireless telecommunications carriers (except satellite),All business activities,Wireless telecommunications carriers (except satellite),2,51720,"['135,248', '  ']","['154,682', '&nbsp;']","['138,479', '&nbsp;']","['156,696', '&nbsp;']","['193,408', '&nbsp;']","['D', '&nbsp;']","['247,759', '&nbsp;']",,,"['172,416', '  ']","['201,063', '  ']","['264,219', '  ']"
2763,r079,All business activities -> Satellite telecommunications,All business activities,Satellite telecommunications,2,51740,"['19,330', '  ']","['12,662', 'i']","['16,021', '&nbsp;']","['2,783', '&nbsp;']","['3,056', '&nbsp;']","['D', '&nbsp;']","['3,581', '&nbsp;']",44400,,"['61,927', '  ']","['57,588', '  ']","['53,289', '  ']"
2763,r080,All business activities -> Other telecommunications (not listed elsewhere),All business activities,Other telecommunications (not listed elsewhere),2,51790,"['5,603', '  ']","['9,122', '&nbsp;']","['7,737', '&nbsp;']","['18,803', '&nbsp;']","['17,803', '&nbsp;']","['18,504', '&nbsp;']","['6,507', '&nbsp;']",14561,,"['8,524', '  ']","['16,040', '  ']","['16,300', '  ']"
2763,r081,"All business activities -> Data processing, hosting, and related services<sup>e</sup>",All business activities,"Data processing, hosting, and related services<sup>e</sup>",2,51800,"['NA', '  ']","['36,196', '&nbsp;']","['38,523', '&nbsp;']","['60,641', '&nbsp;']","['95,872', 'i']","['58,502', '&nbsp;']","['81,059', '&nbsp;']",79017,,"['76,345', '  ']","['77,859', '  ']","['141,375', '  ']"
2763,r082,All business activities -> Cloud computing applications and Internet-based software services,All business activities,Cloud computing applications and Internet-based software services,2,51801,"['NA', '  ']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['27,442', '&nbsp;']","['D', '&nbsp;']",33792,,"['57,770', '  ']","['98,224', '  ']","['166,306', '  ']"
2763,r083,"All business activities -> Other information services, including Internet publishing, broadcasting, and Web search portals<sup>e</sup>",All business activities,"Other information services, including Internet publishing, broadcasting, and Web search portals<sup>e</sup>",2,51910,"['NA', '  ']","['41,660', '&nbsp;']","['77,319', '&nbsp;']","['39,551', '&nbsp;']","['45,729', '&nbsp;']","['65,134', '&nbsp;']","['102,254', '&nbsp;']",94541,,"['113,123', '  ']","['160,826', '  ']","['190,606', '  ']"
2763,r084,All business activities -> Finance: banking and credit intermediation,All business activities,Finance: banking and credit intermediation,2,52200,"['NA', '  ']","['D', '&nbsp;']","['1,068,703', '&nbsp;']","['631,129', '&nbsp;']","['673,238', 'i']","['347,139', '&nbsp;']","['364,224', '&nbsp;']",377622,,"['400,369', '  ']","['472,203', '  ']","['536,596', '  ']"
2763,r085,"All business activities -> Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",All business activities,"Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",2,52310,"['NA', '  ']","['148,454', '&nbsp;']","['148,014', '&nbsp;']","['152,435', '&nbsp;']","['104,915', '&nbsp;']","['107,027', '&nbsp;']","['74,030', '&nbsp;']",75325,,"['72,115', '  ']","['102,310', '  ']","['119,259', '  ']"
2763,r086,All business activities -> Insurance carriers and related activities,All business activities,Insurance carriers and related activities,2,52400,"['NA', '  ']","['294,233', '&nbsp;']","['281,344', '&nbsp;']","['280,278', '&nbsp;']","['358,159', '&nbsp;']","['397,971', '&nbsp;']","['380,117', '&nbsp;']",420526,,"['372,903', '  ']","['312,922', '  ']","['467,238', '  ']"
2763,r087,All business activities -> Real estate,All business activities,Real estate,2,53100,"['D', '  ']","['7,738', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']",8537,,"['9,292', '  ']","['10,114', '  ']","['11,565', '  ']"
2763,r088,All business activities -> Rental and leasing services,All business activities,Rental and leasing services,2,53200,"['NA', '  ']","['32,231', '&nbsp;']","['36,299', '&nbsp;']","['23,830', '&nbsp;']","['29,033', '&nbsp;']","['35,488', '&nbsp;']","['21,986', '&nbsp;']",29238,,"['14,235', '  ']","['21,642', '  ']","['13,487', '  ']"
2763,r089,"All business activities -> Lessors of nonfinancial intangible assets, including patent licensing",All business activities,"Lessors of nonfinancial intangible assets, including patent licensing",2,53300,"['D', '  ']","['1,835', '&nbsp;']","['1,927', '&nbsp;']","['2,709', '&nbsp;']","['2,890', '&nbsp;']","['11,404', 'i']","['2,125', '&nbsp;']",2150,,"['1,468', '  ']","['3,513', '  ']","['1,900 - 82,827', '  ']"
2763,r090,"All business activities -> Legal, accounting, tax preparation, bookkeeping, and payroll services",All business activities,"Legal, accounting, tax preparation, bookkeeping, and payroll services",2,54111,"['NA', '  ']","['D', '&nbsp;']","['16,188', '&nbsp;']","['D', '&nbsp;']","['11,315', '&nbsp;']","['14,588', '&nbsp;']","['22,315', '&nbsp;']",22259,,"['19,526', '  ']","['21,336', '  ']","['24,693', '  ']"
2763,r091,"All business activities -> Architectural, engineering, and related services",All business activities,"Architectural, engineering, and related services",2,54130,"['42,680', '  ']","['96,534', '&nbsp;']","['147,309', '&nbsp;']","['102,126', '&nbsp;']","['114,240', 'i']","['125,923', '&nbsp;']","['134,541', '&nbsp;']",139846,,"['103,412', '  ']","['84,387', '  ']","['101,367', '  ']"
2763,r092,All business activities -> Specialized design services,All business activities,Specialized design services,2,54140,"['D', '  ']","['6,504', '&nbsp;']","['3,976', '&nbsp;']","['2,581', '&nbsp;']","['3,646', 'i']","['3,614', '&nbsp;']","['2,165', '&nbsp;']",,,"['706', '  ']","['4,584', 'i ']","['26,260', '  ']"
2763,r093,All business activities -> Computer systems design and related services<sup>e</sup>,All business activities,Computer systems design and related services<sup>e</sup>,2,54150,"['210,916', '  ']","['216,477', '&nbsp;']","['224,026', '&nbsp;']","['377,919', 'i']","['272,065', '&nbsp;']","['249,600', '&nbsp;']","['272,937', '&nbsp;']",243790,,"['249,430', '  ']","['223,281', '  ']","['250,286', '  ']"
2763,r094,"All business activities -> Management, scientific, and technical consulting services",All business activities,"Management, scientific, and technical consulting services",2,54160,"['52,497', '  ']","['60,125', '&nbsp;']","['43,190', '&nbsp;']","['76,910', '&nbsp;']","['85,161', '&nbsp;']","['81,834', '&nbsp;']","['93,077', '&nbsp;']",92120,,"['63,143', '  ']","['49,057', '  ']","['68,839', '  ']"
2763,r095,All business activities -> Research and development services in social sciences and humanities,All business activities,Research and development services in social sciences and humanities,2,54172,"['NA', '  ']","['980', '&nbsp;']","['1,170', '&nbsp;']","['827', '&nbsp;']","['D', '&nbsp;']","['1,301', '&nbsp;']","['992', '&nbsp;']",,,"['1,131', '  ']","['1,185', '  ']","['941', '  ']"
2763,r096,All business activities -> Research and development services in biotechnology<sup>c</sup>,All business activities,Research and development services in biotechnology<sup>c</sup>,2,54173,"['NA', '  ']","['22,354', 'i']","['8,493', '&nbsp;']","['8,657', '&nbsp;']","['11,316', '&nbsp;']","['12,390', '&nbsp;']","['17,543', '&nbsp;']",10962,,"['9,026', '  ']","['9,340', '  ']","['13,423', '  ']"
2763,r097,"All business activities -> Research and development services in physical, engineering, and life sciences (except biotechnology)",All business activities,"Research and development services in physical, engineering, and life sciences (except biotechnology)",2,54174,"['NA', '  ']","['19,858', '&nbsp;']","['18,840', '&nbsp;']","['23,446', '&nbsp;']","['33,296', '&nbsp;']","['36,913', '&nbsp;']","['32,703', '&nbsp;']",36038,,"['37,997', '  ']","['37,955', '  ']","['41,792', '  ']"
2763,r098,All business activities -> Advertising and related services,All business activities,Advertising and related services,2,54180,"['D', '  ']","['48,883', '&nbsp;']","['12,992', 'i']","['D', '&nbsp;']","['52,764', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']",,,"['44,669 - 208,661', '  ']","['107,640', '  ']","['140,299', '  ']"
2763,r099,"All business activities -> Professional, scientific, and technical services (not listed elsewhere)",All business activities,"Professional, scientific, and technical services (not listed elsewhere)",2,54190,"['19,146', '  ']","['30,323', '&nbsp;']","['35,320', '&nbsp;']","['50,949', '&nbsp;']","['63,254', '&nbsp;']","['47,353', '&nbsp;']","['32,811', '&nbsp;']",30775,,"['12,204 - 176,196', '  ']","['31,239', '  ']","['21,508', '  ']"
2763,r100,All business activities -> Management of companies and enterprises,All business activities,Management of companies and enterprises,2,55100,"['828', '  ']","['2,333', '&nbsp;']","['3,613', '&nbsp;']","['17,275', '&nbsp;']","['5,435', '&nbsp;']","['177,880', '&nbsp;']","['9,213', '&nbsp;']",16180,,"['11,794', 'i ']","['18,180', '  ']","['13,915', '  ']"
2763,r101,All business activities -> Administrative and support services,All business activities,Administrative and support services,2,56100,"['NA', '  ']","['35,867', '&nbsp;']","['45,135', '&nbsp;']","['32,735', '&nbsp;']","['50,684', 'i']","['44,004', '&nbsp;']","['243,644', '&nbsp;']",50037,,"['55,602', '  ']","['49,518', '  ']","['67,113', '  ']"
2763,r102,All business activities -> Waste management and remediation services,All business activities,Waste management and remediation services,2,56200,"['NA', '  ']","['6,242', '&nbsp;']","['14,172', '&nbsp;']","['8,182', '&nbsp;']","['6,564', '&nbsp;']","['6,245', '&nbsp;']","['4,766', '&nbsp;']",24985,,"['27,470', '  ']","['22,609', '  ']","['88,601', '  ']"
2763,r103,All business activities -> Offices of physicians,All business activities,Offices of physicians,2,62110,"['7,492', '  ']","['25,752', '&nbsp;']","['24,133', '&nbsp;']","['23,844', '&nbsp;']","['35,513', '&nbsp;']","['36,233', '&nbsp;']","['19,041', '&nbsp;']",36724,,"['40,586', '  ']","['61,118', '  ']","['50,988', '  ']"
2763,r104,All business activities -> Medical and diagnostic laboratories,All business activities,Medical and diagnostic laboratories,2,62150,"['20,968', '  ']","['15,216', '&nbsp;']","['37,950', '&nbsp;']","['17,047', '&nbsp;']","['21,038', '&nbsp;']","['17,914', '&nbsp;']","['5,919', '&nbsp;']",20904,,"['27,539', 'i ']","['28,636', '  ']","['39,529', 'i ']"
2763,r105,"All business activities -> Other ambulatory health care services (ambulance, dental, home health care)",All business activities,"Other ambulatory health care services (ambulance, dental, home health care)",2,62199,"['NA', '  ']","['8,127', '&nbsp;']","['8,487', '&nbsp;']","['D', '&nbsp;']","['3,361', 'i']","['10,919', '&nbsp;']","['5,274', '&nbsp;']",5651,,"['0 - 229,395', '  ']","['10,819', '  ']","['10,100', '  ']"
2763,r106,All business activities -> Hospitals and nursing care facilities,All business activities,Hospitals and nursing care facilities,2,62200,"['NA', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['26,866', '&nbsp;']",27616,,"['32,896', '  ']","['32,276', '  ']","['35,131', '  ']"
2763,r107,All business activities -> Social assistance services,All business activities,Social assistance services,2,62400,"['D', '  ']","['286', '&nbsp;']","['448', '&nbsp;']","['326', '&nbsp;']","['249', '&nbsp;']","['1,065', '&nbsp;']","['1,338', '&nbsp;']",63,,"['77', '  ']","['112', '  ']","['1,826', '  ']"
2763,r108,"All business activities -> Arts, entertainment, and recreation",All business activities,"Arts, entertainment, and recreation",2,71000,"['NA', '  ']","['17,339', '&nbsp;']","['16,089', '&nbsp;']","['16,023', '&nbsp;']","['18,344', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']",18677,,"['17,509 - 181,502', '  ']","['24,540', '  ']","['34,740', '  ']"
2763,r109,All business activities -> Accommodation and food services,All business activities,Accommodation and food services,2,72000,"['NA', '  ']","['D', '&nbsp;']","['69,474', '&nbsp;']","['39,421', '&nbsp;']","['88,878', 'i']","['107,255', '&nbsp;']","['46,228', '&nbsp;']",76898,,"['66,849', '  ']","['26,196', '  ']","['54,778', '  ']"
2763,r110,All business activities -> Other services (not listed elsewhere),All business activities,Other services (not listed elsewhere),2,81000,"['NA', '  ']","['15,585', '&nbsp;']","['43,778', '&nbsp;']","['129,084', '&nbsp;']","['57,612', '&nbsp;']","['142,029', '&nbsp;']","['78,365', '&nbsp;']",70781,,"['237,671', '  ']","['0 - 413,972', '  ']","['95,526', '  ']"
2763,r111,All business activities -> Less: intersegment eliminations,All business activities,Less: intersegment eliminations,2,–,"['381,031', '  ']","['237,743', '&nbsp;']","['234,289', '&nbsp;']","['281,460', '&nbsp;']","['309,288', '&nbsp;']","['301,615', '&nbsp;']","['316,930', '&nbsp;']",240217,,"['226,993', '  ']","['196,040', '  ']","['262,685', '  ']"
2763,r112,All business activities -> Undistributed,All business activities,Undistributed,2,–,"['1,092,275', '  ']","['1,590,109', '&nbsp;']","['516,754', '&nbsp;']","['598,369', 'i']","['167,240', 'i']","['D', '&nbsp;']","['4,602', '&nbsp;']",9547,i ,"['0', '  ']","['0', '  ']","['8', 'i ']"
