table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_domestic_r_d_total,field_domestic_r_d_land_acquisition,field_domestic_r_d_buildings_and_land_improvement,field_domestic_r_d_equipment,field_domestic_r_d_capitalized_software,field_domestic_r_d_all_other
6594,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['15,899', '']","['953', '']","['1', '']","['95', '']","['588', '']","['130', '']","['139', '']"
6594,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,963', '']","['58', '']","['*', '']","['14', '']","['27', '']","['4', '']","['13', '']"
6594,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['1,226', '']","['419', '']","['1', '']","['37', '']","['284', '']","['39', '']","['58', '']"
6594,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['3,190', '']","['85', '']","['0', '']","['15', '']","['56', '']","['3', '']","['11', '']"
6594,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['9,521', '']","['391', '']","['*', '']","['29', '']","['221', '']","['83', '']","['58', '']"
6594,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['38,870', 'i']","['5,765', '']","['18', 'i']","['439', '']","['4,111', '']","['759', '']","['438', '']"
6594,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['3,712', '']","['780', '']","['0', '']","['21', '']","['586', '']","['54', 'i']","['120', '']"
6594,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['20,031', 'i']","['2,698', 'i']","['8', 'i']","['67', 'i']","['2,016', 'i']","['403', '']","['204', '']"
6594,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['7,975', '']","['899', '']","['10', 'i']","['41', 'i']","['667', '']","['74', '']","['105', 'i']"
6594,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['1,340', '']","['222', 'i']","['9', 'i']","['5', 'i']","['181', 'i']","['11', 'i']","['15', 'i']"
6594,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['2,429', '']","['448', 'i']","['1', '']","['21', 'i']","['302', 'i']","['50', '']","['74', 'i']"
6594,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['4,206', '']","['228', '']","['0', '']","['15', '']","['184', '']","['14', '']","['15', '']"
6594,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['7,151', '']","['1,388', '']","['0', '']","['310', '']","['841', '']","['228', '']","['10', '']"
6594,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,785', '']","['477', '']","['1', '']","['35', '']","['346', '']","['20', '']","['76', '']"
6594,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['90,041', '']","['2,066', '']","['13', '']","['147', '']","['1,366', '']","['186', '']","['354', '']"
6594,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['77,242', '']","['1,454', '']","['12', '']","['115', '']","['978', '']","['176', '']","['172', '']"
6594,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['8,344', '']","['486 - 495', '']","['1', '']","['30', '']","['297', '']","['4 - 7', '']","['156', '']"
6594,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['8,090', '']","['438', '']","['0', '']","['12 - 18', '']","['265 - 269', '']","['3 - 6', '']","['146 - 157', '']"
6594,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['253', '']","['48 - 57', '']","['1', '']","['12 - 19', '']","['30 - 32', '']","['1', '']","['0 - 11', '']"
6594,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['21', '']","['1', '']","['0', '']","['0', '']","['1', '']","['0', '']","['*', 'i']"
6594,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['4,434', '']","['117 - 127', 'i']","['0', '']","['2', '']","['90', 'i']","['1 - 8', '']","['25', '']"
6594,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['1,293', '']","['48', '']","['0', '']","['11', '']","['28', '']","['3', '']","['6', '']"
6594,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['17,892', '']","['1089', '']","['16', 'i']","['78', '']","['660', '']","['144', '']","['191', '']"
6594,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['13,545', '']","['954', '']","['16', 'i']","['71', '']","['561', '']","['135', '']","['171', '']"
6594,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['4,348', '']","['135', '']","['0', '']","['7', '']","['99', '']","['9', '']","['19', '']"
6594,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['443,902', '']","['11,432', '']","['7', '']","['752', '']","['4,918', '']","['3,807', '']","['1,949', '']"
6594,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['35,505', '']","['441', '']","['0', '']","['4', '']","['168', '']","['194', '']","['75', '']"
6594,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['104,459', '']","['210', 'i']","['0', '']","['*', 'i']","['20 - 36', 'i']","['1 - 12', '']","['175', 'i']"
6594,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['66 - 26,950', 'i']","['66 - 155', 'i']","['1', '']","['3', 'i']","['6 - 90', 'i']","['12 - 17', 'i']","['45', 'i']"
6594,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['77 - 26,961', '']","['77 - 89', 'i']","['0', '']","['4', 'i']","['16 - 71', 'i']","['14 - 26', '']","['0 - 31', '']"
6594,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['31,551', '']","['495', '']","['*', 'i']","['23', '']","['168', 'i']","['216', 'i']","['88', '']"
6594,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['163,057', '']","['5,270', '']","['2', '']","['445', '']","['2,641', '']","['1,724', '']","['458', '']"
6594,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['21,758', '']","['1,166', '']","['2', '']","['266', '']","['548', '']","['256', '']","['94', '']"
6594,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['12', '']","['1', '']","['0', '']","['0', '']","['*', '']","['1', '']","['0', '']"
6594,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['21,747', '']","['1,165', '']","['2', '']","['266', '']","['548', '']","['255', '']","['94', '']"
6594,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['72,902', '']","['241', 'i']","['0', '']","['4', '']","['182', 'i']","['52', '']","['4', 'i']"
6594,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['21,341', '']","['2,260', '']","['*', '']","['87', '']","['736', '']","['1,153', '']","['283', 'i']"
6594,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['47,056', '']","['1,603', '']","['0', '']","['87', '']","['1,175', '']","['263', '']","['77', '']"
6594,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['28,091', '']","['1,548', 'i']","['0', '']","['20', 'i']","['302', 'i']","['796', 'i']","['430', '']"
6594,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['886', '']","['5 - 78', '']","['0', '']","['0', '']","['3', '']","['2 - 73', '']","['*', '']"
6594,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['9', '']","['*', '']","['0', '']","['0', '']","['*', '']","['*', 'i']","['0', '']"
6594,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['878', '']","['5 - 78', '']","['0', '']","['0', '']","['3', '']","['1 - 73', '']","['*', '']"
6594,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['22,719', '']","['2,371', '']","['4', '']","['237', '']","['1,114', '']","['512', '']","['505', '']"
6594,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['6,585', '']","['153', '']","['*', '']","['4', 'i']","['64', 'i']","['38', 'i']","['47', 'i']"
6594,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['10,079', '']","['935', '']","['3', '']","['37', '']","['506', '']","['246', '']","['144', '']"
6594,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['2,990', '']","['944', '']","['1', '']","['194', '']","['481', 'i']","['43', '']","['224', 'i']"
6594,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['1,035', '']","['228', 'i']","['0', '']","['27', 'i']","['172', 'i']","['2', 'i']","['27', 'i']"
6594,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['1,945', '']","['707', '']","['1', '']","['166', '']","['304', '']","['40', '']","['196', 'i']"
6594,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['10', '']","['9', '']","['0', '']","['1', '']","['5', '']","['1', '']","['2', '']"
6594,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['3,064', '']","['340', '']","['0', '']","['3', '']","['63', '']","['185', '']","['90', '']"
6594,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['2,863', '']","['385', 'i']","['0', '']","['10', 'i']","['308', 'i']","['33 - 70', 'i']","['0 - 31', 'i']"
6594,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['27,749', '']","['480', '']","['*', '']","['6', '']","['93', 'i']","['234', 'i']","['147', '']"
6594,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['781,625', '']","['29,106', '']","['237', '']","['3,739', '']","['15,663', '']","['5,475', '']","['3,992', '']"
6594,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6594,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['4,330', '']","['610', '']","['1', '']","['33', '']","['345', '']","['61', 'i']","['171', '']"
6594,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['5,957', '']","['1,086', '']","['1', '']","['77', '']","['478', '']","['135', '']","['394', '']"
6594,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6594,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['9,279', '']","['958', '']","['*', 'i']","['127', '']","['548', '']","['117', '']","['166', '']"
6594,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['16,050', '']","['1,492', '']","['6', '']","['167', '']","['721', '']","['286', '']","['311', '']"
6594,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6594,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['13,374', '']","['1,502', '']","['4', '']","['185', '']","['774', '']","['326', '']","['213', '']"
6594,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['23,324', '']","['1,612', '']","['2', '']","['119', '']","['777', '']","['371', '']","['344', '']"
6594,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['85,589', '']","['5,382', '']","['19', '']","['855', '']","['2,566', '']","['1,082', '']","['859', '']"
6594,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['91,179', '']","['3,100', '']","['14', '']","['449', '']","['1,791', '']","['616', '']","['231', '']"
6594,r085,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['151,268', '']","['4,606', '']","['78', '']","['783', '']","['2,167', '']","['844', '']","['733', '']"
6594,r086,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['381,274', '']","['8,758', '']","['112', '']","['943', '']","['5,497', '']","['1,637', '']","['569', 'i']"
