table_id,row_id,employment_sector_and_occupation_full_path,employment_sector_and_occupation_level_1,employment_sector_and_occupation_level_2,employment_sector_and_occupation_level_3,employment_sector_and_occupation_level_4,employment_sector_and_occupation_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_male_median_salary,field_male_se,field_female_median_salary,field_female_se
3752,r054,"All sectors -> Private, nonprofit&#160;&#160; -> S&E-related occupations&#160;",All sectors,"Private, nonprofit&#160;&#160;",S&E-related occupations&#160;,,3,149000,8000,200000,9000,123000,10000
3752,r055,"All sectors -> Private, nonprofit&#160;&#160; -> Non-S&E occupations&#160;",All sectors,"Private, nonprofit&#160;&#160;",Non-S&E occupations&#160;,,3,112000,7000,128000,17000,104000,6000
3752,r056,All sectors -> Federal government&#160;&#160;,All sectors,Federal government&#160;&#160;,,,2,126000,1500,130000,1500,118000,2500
3752,r057,All sectors -> Federal government&#160;&#160; -> Science occupations&#160;,All sectors,Federal government&#160;&#160;,Science occupations&#160;,,3,121000,2500,129000,3000,112000,2500
3752,r058,"All sectors -> Federal government&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,Federal government&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,120000,1500,125000,3000,108000,4000
3752,r059,All sectors -> Federal government&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,Federal government&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,134000,5500,139000,7000,117000,14000
3752,r060,All sectors -> Federal government&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,Federal government&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,136000,6500,140000,7500,129000,7500
3752,r061,All sectors -> Federal government&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,Federal government&#160;&#160;,Science occupations&#160;,Physical scientist,4,130000,1500,131000,4500,119000,3500
3752,r062,All sectors -> Federal government&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,Federal government&#160;&#160;,Science occupations&#160;,Psychologist,4,110000,2500,115000,3500,106000,3000
3752,r063,All sectors -> Federal government&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,Federal government&#160;&#160;,Science occupations&#160;,Social scientist,4,139000,5000,145000,6000,132000,5500
3752,r064,All sectors -> Federal government&#160;&#160; -> Engineering occupations&#160;,All sectors,Federal government&#160;&#160;,Engineering occupations&#160;,,3,130000,2000,131000,5000,124000,6500
3752,r065,All sectors -> Federal government&#160;&#160; -> S&E-related occupations&#160;,All sectors,Federal government&#160;&#160;,S&E-related occupations&#160;,,3,145000,7000,148000,7000,135000,7500
3752,r066,All sectors -> Federal government&#160;&#160; -> Non-S&E occupations&#160;,All sectors,Federal government&#160;&#160;,Non-S&E occupations&#160;,,3,139000,3500,138000,5000,139000,6500
3752,r067,All sectors -> State or local government&#160;&#160;,All sectors,State or local government&#160;&#160;,,,2,98000,2500,100000,2000,95000,2500
3752,r068,All sectors -> State or local government&#160;&#160; -> Science occupations&#160;,All sectors,State or local government&#160;&#160;,Science occupations&#160;,,3,90000,2500,91000,4000,90000,3000
3752,r069,"All sectors -> State or local government&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,State or local government&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,75000,3500,77000,3500,75000,3000
3752,r070,All sectors -> State or local government&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,State or local government&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,97000,13000,105000,15500,83000,14500
3752,r071,All sectors -> State or local government&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,State or local government&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,97000,23000,97000,22000,92000,16500
3752,r072,All sectors -> State or local government&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,State or local government&#160;&#160;,Science occupations&#160;,Physical scientist,4,100000,6000,100000,7000,100000,13500
3752,r073,All sectors -> State or local government&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,State or local government&#160;&#160;,Science occupations&#160;,Psychologist,4,95000,5000,92000,4500,99000,6500
3752,r074,All sectors -> State or local government&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,State or local government&#160;&#160;,Science occupations&#160;,Social scientist,4,91000,2000,92000,9000,89000,3500
3752,r075,All sectors -> State or local government&#160;&#160; -> Engineering occupations&#160;,All sectors,State or local government&#160;&#160;,Engineering occupations&#160;,,3,102000,7000,107000,7000,96000,8000
3752,r076,All sectors -> State or local government&#160;&#160; -> S&E-related occupations&#160;,All sectors,State or local government&#160;&#160;,S&E-related occupations&#160;,,3,121000,9500,120000,11000,121000,14000
3752,r077,All sectors -> State or local government&#160;&#160; -> Non-S&E occupations&#160;,All sectors,State or local government&#160;&#160;,Non-S&E occupations&#160;,,3,100000,9000,114000,9000,95000,7000
3752,r078,All sectors -> Self-employed<sup>d</sup>&#160;&#160;,All sectors,Self-employed<sup>d</sup>&#160;&#160;,,,2,100000,500,108000,12500,99000,2000
3752,r079,All sectors -> Self-employed<sup>d</sup>&#160;&#160; -> Science occupations&#160;,All sectors,Self-employed<sup>d</sup>&#160;&#160;,Science occupations&#160;,,3,101000,9000,118000,7000,99000,1000
3752,r080,"All sectors -> Self-employed<sup>d</sup>&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,Self-employed<sup>d</sup>&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,78000,6500,75000,9000,79000,12500
3752,r081,All sectors -> Self-employed<sup>d</sup>&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,Self-employed<sup>d</sup>&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,90000,21500,90000,22000,,
3752,r082,All sectors -> Self-employed<sup>d</sup>&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,Self-employed<sup>d</sup>&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,181000,37000,,,,
3752,r083,All sectors -> Self-employed<sup>d</sup>&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,Self-employed<sup>d</sup>&#160;&#160;,Science occupations&#160;,Physical scientist,4,133000,23000,138000,13500,,
3752,r084,All sectors -> Self-employed<sup>d</sup>&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,Self-employed<sup>d</sup>&#160;&#160;,Science occupations&#160;,Psychologist,4,108000,7000,133000,15500,100000,1500
3752,r085,All sectors -> Self-employed<sup>d</sup>&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,Self-employed<sup>d</sup>&#160;&#160;,Science occupations&#160;,Social scientist,4,90000,12000,99000,16000,75000,9000
3752,r086,All sectors -> Self-employed<sup>d</sup>&#160;&#160; -> Engineering occupations&#160;,All sectors,Self-employed<sup>d</sup>&#160;&#160;,Engineering occupations&#160;,,3,99000,12000,98000,12000,134000,13000
3752,r087,All sectors -> Self-employed<sup>d</sup>&#160;&#160; -> S&E-related occupations&#160;,All sectors,Self-employed<sup>d</sup>&#160;&#160;,S&E-related occupations&#160;,,3,172000,29000,250000,65000,80000,16000
3752,r088,All sectors -> Self-employed<sup>d</sup>&#160;&#160; -> Non-S&E occupations&#160;,All sectors,Self-employed<sup>d</sup>&#160;&#160;,Non-S&E occupations&#160;,,3,80000,7500,84000,6500,64000,17000
3752,r089,All sectors -> Other sector<sup>e</sup>&#160;&#160;,All sectors,Other sector<sup>e</sup>&#160;&#160;,,,2,132000,5500,140000,10500,110000,10500
3752,r090,All sectors -> Other sector<sup>e</sup>&#160;&#160; -> Science occupations&#160;,All sectors,Other sector<sup>e</sup>&#160;&#160;,Science occupations&#160;,,3,130000,3000,137000,9000,118000,13000
3752,r091,"All sectors -> Other sector<sup>e</sup>&#160;&#160; -> Science occupations&#160; -> Biological, agricultural, and other life scientist",All sectors,Other sector<sup>e</sup>&#160;&#160;,Science occupations&#160;,"Biological, agricultural, and other life scientist",4,105000,20500,90000,12000,123000,20000
3752,r092,All sectors -> Other sector<sup>e</sup>&#160;&#160; -> Science occupations&#160; -> Computer and information scientist,All sectors,Other sector<sup>e</sup>&#160;&#160;,Science occupations&#160;,Computer and information scientist,4,139000,15000,140000,16500,129000,46000
3752,r093,All sectors -> Other sector<sup>e</sup>&#160;&#160; -> Science occupations&#160; -> Mathematical scientist,All sectors,Other sector<sup>e</sup>&#160;&#160;,Science occupations&#160;,Mathematical scientist,4,147000,20500,,,,
3752,r094,All sectors -> Other sector<sup>e</sup>&#160;&#160; -> Science occupations&#160; -> Physical scientist,All sectors,Other sector<sup>e</sup>&#160;&#160;,Science occupations&#160;,Physical scientist,4,121000,7000,123000,6000,94000,9500
3752,r095,All sectors -> Other sector<sup>e</sup>&#160;&#160; -> Science occupations&#160; -> Psychologist,All sectors,Other sector<sup>e</sup>&#160;&#160;,Science occupations&#160;,Psychologist,4,111000,15000,,,,
3752,r096,All sectors -> Other sector<sup>e</sup>&#160;&#160; -> Science occupations&#160; -> Social scientist,All sectors,Other sector<sup>e</sup>&#160;&#160;,Science occupations&#160;,Social scientist,4,159000,24000,197000,29500,116000,25500
3752,r097,All sectors -> Other sector<sup>e</sup>&#160;&#160; -> Engineering occupations&#160;,All sectors,Other sector<sup>e</sup>&#160;&#160;,Engineering occupations&#160;,,3,139000,6000,145000,9500,102000,9000
3752,r098,All sectors -> Other sector<sup>e</sup>&#160;&#160; -> S&E-related occupations&#160;,All sectors,Other sector<sup>e</sup>&#160;&#160;,S&E-related occupations&#160;,,3,116000,13500,168000,19000,107000,8000
3752,r099,All sectors -> Other sector<sup>e</sup>&#160;&#160; -> Non-S&E occupations&#160;,All sectors,Other sector<sup>e</sup>&#160;&#160;,Non-S&E occupations&#160;,,3,139000,8500,139000,18500,129000,14000
