table_id,row_id,degree_field_and_country_of_birth_full_path,degree_field_and_country_of_birth_level_1,degree_field_and_country_of_birth_level_2,degree_field_and_country_of_birth_level_3,degree_field_and_country_of_birth_hierarchy_depth,field_total,field_s_e_occupations,field_s_e_related_occupations,field_non_s_e_occupations
7783,r043,"All foreign-born college graduates, all degree fields -> S&E fields -> Nigeria","All foreign-born college graduates, all degree fields",S&E fields,Nigeria,3,48000,20000,10000,18000
7783,r044,"All foreign-born college graduates, all degree fields -> S&E fields -> Brazil","All foreign-born college graduates, all degree fields",S&E fields,Brazil,3,46000,20000,S,21000
7783,r045,"All foreign-born college graduates, all degree fields -> S&E fields -> Bangladesh","All foreign-born college graduates, all degree fields",S&E fields,Bangladesh,3,46000,29000,4000,12000
7783,r046,"All foreign-born college graduates, all degree fields -> S&E fields -> Hong Kong","All foreign-born college graduates, all degree fields",S&E fields,Hong Kong,3,45000,20000,8000,18000
7783,r047,"All foreign-born college graduates, all degree fields -> S&E fields -> Cuba","All foreign-born college graduates, all degree fields",S&E fields,Cuba,3,44000,7000,9000,29000
7783,r048,"All foreign-born college graduates, all degree fields -> S&E fields -> Colombia","All foreign-born college graduates, all degree fields",S&E fields,Colombia,3,43000,14000,9000,20000
7783,r049,"All foreign-born college graduates, all degree fields -> S&E fields -> Venezuela","All foreign-born college graduates, all degree fields",S&E fields,Venezuela,3,42000,16000,5000,21000
7783,r050,"All foreign-born college graduates, all degree fields -> S&E fields -> Ukraine","All foreign-born college graduates, all degree fields",S&E fields,Ukraine,3,40000,20000,5000,15000
7783,r051,"All foreign-born college graduates, all degree fields -> S&E fields -> Jamaica","All foreign-born college graduates, all degree fields",S&E fields,Jamaica,3,40000,7000,4000,28000
7783,r052,"All foreign-born college graduates, all degree fields -> S&E fields -> Eastern Europe, not specified","All foreign-born college graduates, all degree fields",S&E fields,"Eastern Europe, not specified",3,39000,13000,8000,17000
7783,r053,"All foreign-born college graduates, all degree fields -> S&E fields -> France","All foreign-born college graduates, all degree fields",S&E fields,France,3,36000,18000,4000,14000
7783,r054,"All foreign-born college graduates, all degree fields -> S&E fields -> All other countries","All foreign-born college graduates, all degree fields",S&E fields,All other countries,3,983000,390000,167000,426000
7783,r055,"All foreign-born college graduates, all degree fields -> S&E-related fields","All foreign-born college graduates, all degree fields",S&E-related fields,,2,1580000,131000,1095000,354000
7783,r056,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Philippines","All foreign-born college graduates, all degree fields",S&E-related fields,Philippines,3,286000,4000,238000,45000
7783,r057,"All foreign-born college graduates, all degree fields -> S&E-related fields -> India","All foreign-born college graduates, all degree fields",S&E-related fields,India,3,195000,47000,117000,32000
7783,r058,"All foreign-born college graduates, all degree fields -> S&E-related fields -> China","All foreign-born college graduates, all degree fields",S&E-related fields,China,3,83000,18000,53000,12000
7783,r059,"All foreign-born college graduates, all degree fields -> S&E-related fields -> South Korea","All foreign-born college graduates, all degree fields",S&E-related fields,South Korea,3,60000,4000,45000,10000
7783,r060,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Canada","All foreign-born college graduates, all degree fields",S&E-related fields,Canada,3,56000,2000,45000,9000
7783,r061,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Vietnam","All foreign-born college graduates, all degree fields",S&E-related fields,Vietnam,3,46000,S,29000,14000
7783,r062,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Nigeria","All foreign-born college graduates, all degree fields",S&E-related fields,Nigeria,3,46000,S,38000,S
7783,r063,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Mexico","All foreign-born college graduates, all degree fields",S&E-related fields,Mexico,3,43000,1000,20000,22000
7783,r064,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Iran","All foreign-born college graduates, all degree fields",S&E-related fields,Iran,3,36000,2000,21000,S
7783,r065,"All foreign-born college graduates, all degree fields -> S&E-related fields -> United Kingdom, not specified","All foreign-born college graduates, all degree fields",S&E-related fields,"United Kingdom, not specified",3,32000,S,18000,12000
7783,r066,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Haiti","All foreign-born college graduates, all degree fields",S&E-related fields,Haiti,3,32000,,25000,S
7783,r067,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Taiwan","All foreign-born college graduates, all degree fields",S&E-related fields,Taiwan,3,30000,2000,21000,8000
7783,r068,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Cuba","All foreign-born college graduates, all degree fields",S&E-related fields,Cuba,3,29000,2000,21000,6000
7783,r069,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Lebanon","All foreign-born college graduates, all degree fields",S&E-related fields,Lebanon,3,S,,S,
7783,r070,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Jamaica","All foreign-born college graduates, all degree fields",S&E-related fields,Jamaica,3,26000,,22000,4000
7783,r071,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Germany, not specified","All foreign-born college graduates, all degree fields",S&E-related fields,"Germany, not specified",3,26000,4000,19000,3000
7783,r072,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Colombia","All foreign-born college graduates, all degree fields",S&E-related fields,Colombia,3,25000,1000,15000,S
7783,r073,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Peru","All foreign-born college graduates, all degree fields",S&E-related fields,Peru,3,22000,S,6000,16000
7783,r074,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Pakistan","All foreign-born college graduates, all degree fields",S&E-related fields,Pakistan,3,21000,,15000,S
7783,r075,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Japan","All foreign-born college graduates, all degree fields",S&E-related fields,Japan,3,20000,1000,12000,7000
7783,r076,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Egypt","All foreign-born college graduates, all degree fields",S&E-related fields,Egypt,3,16000,S,6000,S
7783,r077,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Kuwait","All foreign-born college graduates, all degree fields",S&E-related fields,Kuwait,3,,,,
7783,r078,"All foreign-born college graduates, all degree fields -> S&E-related fields -> France","All foreign-born college graduates, all degree fields",S&E-related fields,France,3,15000,,S,S
7783,r079,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Ghana","All foreign-born college graduates, all degree fields",S&E-related fields,Ghana,3,14000,,12000,S
7783,r080,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Poland","All foreign-born college graduates, all degree fields",S&E-related fields,Poland,3,14000,,12000,
7783,r081,"All foreign-born college graduates, all degree fields -> S&E-related fields -> All other countries","All foreign-born college graduates, all degree fields",S&E-related fields,All other countries,3,366000,33000,231000,102000
7783,r082,"All foreign-born college graduates, all degree fields -> Non-S&E fields","All foreign-born college graduates, all degree fields",Non-S&E fields,,2,3729000,228000,228000,3273000
7783,r083,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Philippines","All foreign-born college graduates, all degree fields",Non-S&E fields,Philippines,3,312000,7000,44000,260000
7783,r084,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Mexico","All foreign-born college graduates, all degree fields",Non-S&E fields,Mexico,3,305000,15000,5000,284000
7783,r085,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> India","All foreign-born college graduates, all degree fields",Non-S&E fields,India,3,298000,52000,30000,216000
7783,r086,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Canada","All foreign-born college graduates, all degree fields",Non-S&E fields,Canada,3,185000,2000,3000,180000
7783,r087,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Germany, not specified","All foreign-born college graduates, all degree fields",Non-S&E fields,"Germany, not specified",3,173000,10000,5000,158000
7783,r088,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> South Korea","All foreign-born college graduates, all degree fields",Non-S&E fields,South Korea,3,150000,12000,7000,131000
7783,r089,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> China","All foreign-born college graduates, all degree fields",Non-S&E fields,China,3,145000,15000,6000,124000
7783,r090,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Jamaica","All foreign-born college graduates, all degree fields",Non-S&E fields,Jamaica,3,125000,S,3000,117000
7783,r091,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Colombia","All foreign-born college graduates, all degree fields",Non-S&E fields,Colombia,3,120000,S,S,110000
7783,r092,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Vietnam","All foreign-born college graduates, all degree fields",Non-S&E fields,Vietnam,3,105000,10000,S,94000
7783,r093,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Venezuela","All foreign-born college graduates, all degree fields",Non-S&E fields,Venezuela,3,86000,3000,,82000
7783,r094,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Taiwan","All foreign-born college graduates, all degree fields",Non-S&E fields,Taiwan,3,85000,4000,S,61000
7783,r095,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Brazil","All foreign-born college graduates, all degree fields",Non-S&E fields,Brazil,3,80000,4000,,73000
7783,r096,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> United Kingdom, not specified","All foreign-born college graduates, all degree fields",Non-S&E fields,"United Kingdom, not specified",3,78000,S,S,72000
7783,r097,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Japan","All foreign-born college graduates, all degree fields",Non-S&E fields,Japan,3,69000,S,S,53000
7783,r098,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Hong Kong","All foreign-born college graduates, all degree fields",Non-S&E fields,Hong Kong,3,55000,S,,50000
7783,r099,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Peru","All foreign-born college graduates, all degree fields",Non-S&E fields,Peru,3,54000,S,S,51000
7783,r100,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> France","All foreign-born college graduates, all degree fields",Non-S&E fields,France,3,54000,3000,0.05,51000
7783,r101,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Dominican Republic","All foreign-born college graduates, all degree fields",Non-S&E fields,Dominican Republic,3,50000,S,,42000
7783,r102,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Nigeria","All foreign-born college graduates, all degree fields",Non-S&E fields,Nigeria,3,50000,4000,S,36000
7783,r103,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Russia","All foreign-born college graduates, all degree fields",Non-S&E fields,Russia,3,47000,S,S,40000
7783,r104,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Poland","All foreign-born college graduates, all degree fields",Non-S&E fields,Poland,3,44000,,S,40000
7783,r105,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Pakistan","All foreign-born college graduates, all degree fields",Non-S&E fields,Pakistan,3,40000,S,,38000
7783,r106,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Trinidad and Tobago","All foreign-born college graduates, all degree fields",Non-S&E fields,Trinidad and Tobago,3,38000,,,36000
7783,r107,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Thailand","All foreign-born college graduates, all degree fields",Non-S&E fields,Thailand,3,37000,,,37000
7783,r108,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> All other countries","All foreign-born college graduates, all degree fields",Non-S&E fields,All other countries,3,946000,57000,51000,838000
