table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_hierarchy_depth,field_1989_number,field_1989_percent,field_1994_number,field_1994_percent,field_1999_number,field_1999_percent,field_2004_number,field_2004_percent,field_2009_number,field_2009_percent,field_2014_number,field_2014_percent,field_2019_number,field_2019_percent
2810,r018,All fields -> Psychology and social sciences -> Sociology,All fields,Psychology and social sciences,Sociology,3,436,1.3,525,1.3,544,1.3,580,1.4,662,1.3,678,1.3,633,1.1
2810,r019,All fields -> Psychology and social sciences -> Other social sciences,All fields,Psychology and social sciences,Other social sciences,3,928,2.7,1107,2.7,1134,2.8,1174,2.8,1508,3.0,1852,3.4,2103,3.8
2810,r020,All fields -> Engineering,All fields,Engineering,,2,4543,13.2,5820,14.2,5330,13.0,5776,13.7,7642,15.4,9626,17.8,10303,18.5
2810,r021,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,178,0.5,230,0.6,206,0.5,201,0.5,297,0.6,386,0.7,379,0.7
2810,r022,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,115,0.3,173,0.4,245,0.6,369,0.9,834,1.7,1046,1.9,1164,2.1
2810,r023,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,625,1.8,630,1.5,576,1.4,638,1.5,807,1.6,973,1.8,981,1.8
2810,r024,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,498,1.5,601,1.5,506,1.2,547,1.3,707,1.4,617,1.1,701,1.3
2810,r025,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,995,2.9,1438,3.5,1236,3.0,1389,3.3,1693,3.4,1952,3.6,1799,3.2
2810,r026,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,162,0.5,228,0.6,211,0.5,217,0.5,251,0.5,298,0.6,234,0.4
2810,r027,All fields -> Engineering -> Materials science engineering,All fields,Engineering,Materials science engineering,3,257,0.7,433,1.1,393,1.0,475,1.1,625,1.3,832,1.5,992,1.8
2810,r028,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,650,1.9,883,2.2,786,1.9,754,1.8,1095,2.2,1331,2.5,1533,2.8
2810,r029,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,1063,3.1,1204,2.9,1171,2.8,1186,2.8,1333,2.7,2191,4.1,2520,4.5
2810,r030,All fields -> Education,All fields,Education,,2,6280,18.3,6711,16.4,6554,15.9,6635,15.8,6528,13.2,4789,8.9,4635,8.3
2810,r031,All fields -> Education -> Education administration,All fields,Education,Education administration,3,1633,4.8,2000,4.9,2046,5.0,2342,5.6,2146,4.3,893,1.7,839,1.5
2810,r032,All fields -> Education -> Education research,All fields,Education,Education research,3,2410,7.0,2528,6.2,2733,6.6,2805,6.7,2663,5.4,2560,4.7,2303,4.1
2810,r033,All fields -> Education -> Teacher education,All fields,Education,Teacher education,3,451,1.3,401,1.0,293,0.7,270,0.6,332,0.7,152,0.3,104,0.2
2810,r034,All fields -> Education -> Teaching fields,All fields,Education,Teaching fields,3,970,2.8,960,2.3,893,2.2,758,1.8,906,1.8,915,1.7,960,1.7
2810,r035,All fields -> Education -> Other education,All fields,Education,Other education,3,816,2.4,822,2.0,589,1.4,460,1.1,481,1.0,269,0.5,429,0.8
2810,r036,All fields -> Humanities and arts,All fields,Humanities and arts,,2,3520,10.3,4695,11.4,5273,12.8,5245,12.5,4904,9.9,5524,10.2,5054,9.1
2810,r037,All fields -> Humanities and arts -> Foreign languages and literature,All fields,Humanities and arts,Foreign languages and literature,3,432,1.3,594,1.4,626,1.5,587,1.4,598,1.2,674,1.2,610,1.1
2810,r038,All fields -> Humanities and arts -> History,All fields,Humanities and arts,History,3,538,1.6,801,2.0,1010,2.5,976,2.3,1045,2.1,1186,2.2,912,1.6
2810,r039,All fields -> Humanities and arts -> Letters,All fields,Humanities and arts,Letters,3,982,2.9,1379,3.4,1516,3.7,1407,3.3,1413,2.9,1551,2.9,1387,2.5
2810,r040,All fields -> Humanities and arts -> Other humanities and arts,All fields,Humanities and arts,Other humanities and arts,3,1568,4.6,1921,4.7,2121,5.2,2275,5.4,1848,3.7,2113,3.9,2145,3.9
2810,r041,All fields -> Other<sup>a</sup>,All fields,Other<sup>a</sup>,,2,1960,5.7,2324,5.7,2126,5.2,2448,5.8,2807,5.7,3043,5.6,3034,5.4
2810,r042,All fields -> Other<sup>a</sup> -> Business management and administration,All fields,Other<sup>a</sup>,Business management and administration,3,1066,3.1,1283,3.1,1109,2.7,1256,3.0,1405,2.8,1584,2.9,1536,2.8
2810,r043,All fields -> Other<sup>a</sup> -> Communication,All fields,Other<sup>a</sup>,Communication,3,306,0.9,371,0.9,379,0.9,450,1.1,627,1.3,663,1.2,543,1.0
2810,r044,All fields -> Other<sup>a</sup> -> Non-S&E fields nec,All fields,Other<sup>a</sup>,Non-S&E fields nec,3,588,1.7,670,1.6,637,1.5,742,1.8,775,1.6,796,1.5,955,1.7
2810,r045,All fields -> Other<sup>a</sup> -> Unknown field,All fields,Other<sup>a</sup>,Unknown field,3,0,0.0,0,0.0,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0
