table_id,row_id,region_country_or_economy_and_field_full_path,region_country_or_economy_and_field_level_1,region_country_or_economy_and_field_level_2,region_country_or_economy_and_field_level_3,region_country_or_economy_and_field_level_4,region_country_or_economy_and_field_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1572,r078,Colombia -> All fields -> All S&E -> Agricultural sciences,Colombia,All fields,All S&E,Agricultural sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,17,34,33,40
1572,r079,Colombia -> All fields -> All S&E -> Social and behavioral sciences,Colombia,All fields,All S&E,Social and behavioral sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,44,41,59,63
1572,r080,Colombia -> All fields -> All S&E -> Engineering,Colombia,All fields,All S&E,Engineering,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,74,88,87,136
1572,r081,Costa Rica,Costa Rica,,,,1,,,,,,,,,,,,,,,,,
1572,r082,Costa Rica -> All fields,Costa Rica,All fields,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,82,106,140
1572,r083,Costa Rica -> All fields -> All S&E,Costa Rica,All fields,All S&E,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,11,14,23
1572,r084,Costa Rica -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Costa Rica,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,9,10
1572,r085,Costa Rica -> All fields -> All S&E -> Computer sciences,Costa Rica,All fields,All S&E,Computer sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.05,2
1572,r086,Costa Rica -> All fields -> All S&E -> Agricultural sciences,Costa Rica,All fields,All S&E,Agricultural sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,1,0.05,2
1572,r087,Costa Rica -> All fields -> All S&E -> Social and behavioral sciences,Costa Rica,All fields,All S&E,Social and behavioral sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,4,5,9
1572,r088,Costa Rica -> All fields -> All S&E -> Engineering,Costa Rica,All fields,All S&E,Engineering,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.05,0.05,0.05
1572,r089,Croatia,Croatia,,,,1,,,,,,,,,,,,,,,,,
1572,r090,Croatia -> All fields,Croatia,All fields,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830,855,878,646
1572,r091,Croatia -> All fields -> All S&E,Croatia,All fields,All S&E,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,551,491,302
1572,r092,Croatia -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Croatia,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,136,166,84
1572,r093,Croatia -> All fields -> All S&E -> Computer sciences,Croatia,All fields,All S&E,Computer sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,29,11,23
1572,r094,Croatia -> All fields -> All S&E -> Agricultural sciences,Croatia,All fields,All S&E,Agricultural sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,46,64,35
1572,r095,Croatia -> All fields -> All S&E -> Social and behavioral sciences,Croatia,All fields,All S&E,Social and behavioral sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,186,105,68
1572,r096,Croatia -> All fields -> All S&E -> Engineering,Croatia,All fields,All S&E,Engineering,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,154,145,92
1572,r097,Cyprus,Cyprus,,,,1,,,,,,,,,,,,,,,,,
1572,r098,Cyprus -> All fields,Cyprus,All fields,,,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,30,NA,NA,52,60,77,90
1572,r099,Cyprus -> All fields -> All S&E,Cyprus,All fields,All S&E,,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,17,NA,NA,35,37,47,60
1572,r100,Cyprus -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Cyprus,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,13,14,14,24
1572,r101,Cyprus -> All fields -> All S&E -> Computer sciences,Cyprus,All fields,All S&E,Computer sciences,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,NA,4,4,2,4
1572,r102,Cyprus -> All fields -> All S&E -> Agricultural sciences,Cyprus,All fields,All S&E,Agricultural sciences,4,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,0.05,NA,NA,1,0.05,3,0.05
1572,r103,Cyprus -> All fields -> All S&E -> Social and behavioral sciences,Cyprus,All fields,All S&E,Social and behavioral sciences,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,4,6,10,15
1572,r104,Cyprus -> All fields -> All S&E -> Engineering,Cyprus,All fields,All S&E,Engineering,4,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,3,NA,NA,13,13,18,17
1572,r105,Czechia,Czechia,,,,1,,,,,,,,,,,,,,,,,
1572,r106,Czechia -> All fields,Czechia,All fields,,,2,895,1066,1327,1546,1732,1908,2023,2272,2382,2391,2228,2462,2683,2433,2484,2440,2379
1572,r107,Czechia -> All fields -> All S&E,Czechia,All fields,All S&E,,3,618,723,875,1052,1085,1199,1263,1366,1546,1502,1373,1511,1633,1515,1551,1452,1408
1572,r108,Czechia -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Czechia,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,216,228,305,372,360,423,433,428,580,573,586,623,621,585,613,543,529
1572,r109,Czechia -> All fields -> All S&E -> Computer sciences,Czechia,All fields,All S&E,Computer sciences,4,110,121,138,29,50,59,50,62,69,80,75,81,97,101,79,76,86
1572,r110,Czechia -> All fields -> All S&E -> Agricultural sciences,Czechia,All fields,All S&E,Agricultural sciences,4,57,67,100,109,112,132,136,170,133,113,131,165,183,150,150,117,119
1572,r111,Czechia -> All fields -> All S&E -> Social and behavioral sciences,Czechia,All fields,All S&E,Social and behavioral sciences,4,51,100,104,129,95,83,126,130,174,151,132,188,187,166,153,145,158
1572,r112,Czechia -> All fields -> All S&E -> Engineering,Czechia,All fields,All S&E,Engineering,4,184,207,228,413,468,502,518,576,590,585,449,454,545,513,556,571,516
1572,r113,Denmark,Denmark,,,,1,,,,,,,,,,,,,,,,,
1572,r114,Denmark -> All fields,Denmark,All fields,,,2,913,900,732,859,788,955,910,973,1102,1163,1388,1503,1552,1888,2126,2176,2198
1572,r115,Denmark -> All fields -> All S&E,Denmark,All fields,All S&E,,3,255,274,394,602,620,583,572,570,653,696,802,944,968,1224,1289,1354,1385
1572,r116,Denmark -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Denmark,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,NA,NA,177,131,100,210,166,150,205,211,261,258,276,335,373,397,379
1572,r117,Denmark -> All fields -> All S&E -> Computer sciences,Denmark,All fields,All S&E,Computer sciences,4,NA,NA,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1572,r118,Denmark -> All fields -> All S&E -> Agricultural sciences,Denmark,All fields,All S&E,Agricultural sciences,4,69,87,83,84,89,78,67,84,93,95,74,128,136,210,230,211,167
1572,r119,Denmark -> All fields -> All S&E -> Social and behavioral sciences,Denmark,All fields,All S&E,Social and behavioral sciences,4,NA,NA,63,51,55,96,108,95,114,133,134,179,170,197,213,228,282
1572,r120,Denmark -> All fields -> All S&E -> Engineering,Denmark,All fields,All S&E,Engineering,4,186,187,71,336,376,199,231,241,241,257,333,379,386,482,473,518,557
1572,r121,Estonia,Estonia,,,,1,,,,,,,,,,,,,,,,,
1572,r122,Estonia -> All fields,Estonia,All fields,,,2,NA,NA,NA,NA,NA,131,143,153,161,160,175,250,190,233,213,208,239
1572,r123,Estonia -> All fields -> All S&E,Estonia,All fields,All S&E,,3,NA,NA,NA,NA,NA,78,83,86,107,99,110,161,140,153,151,143,165
1572,r124,Estonia -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Estonia,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,NA,NA,NA,NA,NA,33,42,49,47,48,56,74,62,68,71,64,72
1572,r125,Estonia -> All fields -> All S&E -> Computer sciences,Estonia,All fields,All S&E,Computer sciences,4,NA,NA,NA,NA,NA,5,5,6,8,7,12,17,14,13,9,16,16
1572,r126,Estonia -> All fields -> All S&E -> Agricultural sciences,Estonia,All fields,All S&E,Agricultural sciences,4,NA,NA,NA,NA,NA,7,5,5,6,6,6,6,9,8,12,7,11
1572,r127,Estonia -> All fields -> All S&E -> Social and behavioral sciences,Estonia,All fields,All S&E,Social and behavioral sciences,4,NA,NA,NA,NA,NA,8,14,8,12,12,11,36,22,23,23,18,21
1572,r128,Estonia -> All fields -> All S&E -> Engineering,Estonia,All fields,All S&E,Engineering,4,NA,NA,NA,NA,NA,25,17,18,34,26,25,28,33,41,36,38,45
1572,r129,Finland,Finland,,,,1,,,,,,,,,,,,,,,,,
1572,r130,Finland -> All fields,Finland,All fields,,,2,1891,1797,1797,1751,1863,1957,1898,1986,1951,1949,1750,1856,1834,1899,2013,2000,2009
1572,r131,Finland -> All fields -> All S&E,Finland,All fields,All S&E,,3,1007,939,944,949,989,1069,1094,1158,1089,1048,955,1013,980,1104,1145,1170,1164
1572,r132,Finland -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Finland,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,315,300,281,294,341,344,350,410,359,316,276,295,276,315,339,355,364
1572,r133,Finland -> All fields -> All S&E -> Computer sciences,Finland,All fields,All S&E,Computer sciences,4,31,45,41,51,38,66,66,70,55,52,50,67,48,155,166,152,156
1572,r134,Finland -> All fields -> All S&E -> Agricultural sciences,Finland,All fields,All S&E,Agricultural sciences,4,44,51,41,40,48,44,51,42,58,44,38,58,47,55,62,77,73
1572,r135,Finland -> All fields -> All S&E -> Social and behavioral sciences,Finland,All fields,All S&E,Social and behavioral sciences,4,243,222,221,204,198,229,210,231,237,235,217,234,220,222,222,206,220
1572,r136,Finland -> All fields -> All S&E -> Engineering,Finland,All fields,All S&E,Engineering,4,374,321,360,360,364,386,417,405,380,401,374,359,389,357,356,380,351
1572,r137,France,France,,,,1,,,,,,,,,,,,,,,,,
1572,r138,France -> All fields,France,All fields,,,2,9903,10404,10404,8420,8420,9578,9818,10650,11309,11941,NA,NA,NA,13890,13365,13774,13016
1572,r139,France -> All fields -> All S&E,France,All fields,All S&E,,3,6640,6957,6957,5639,5639,6549,6854,7402,7835,8356,NA,NA,NA,10211,10023,10020,9564
1572,r140,France -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,France,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,4281,4494,4494,3638,3638,3984,4247,4521,4765,4988,NA,NA,NA,5909,5731,5848,5788
1572,r141,France -> All fields -> All S&E -> Computer sciences,France,All fields,All S&E,Computer sciences,4,478,495,494,404,404,449,542,610,605,642,NA,NA,NA,710,736,778,630
1572,r142,France -> All fields -> All S&E -> Agricultural sciences,France,All fields,All S&E,Agricultural sciences,4,22,23,23,18,18,35,26,13,18,13,NA,NA,NA,0.05,0.05,0.05,0.05
1572,r143,France -> All fields -> All S&E -> Social and behavioral sciences,France,All fields,All S&E,Social and behavioral sciences,4,939,988,989,800,800,1140,1016,1086,1173,1334,NA,NA,NA,1737,1684,1493,1389
1572,r144,France -> All fields -> All S&E -> Engineering,France,All fields,All S&E,Engineering,4,920,956,957,779,779,941,1023,1172,1274,1379,NA,NA,NA,1855,1872,1901,1757
1572,r145,Germany,Germany,,,,1,,,,,,,,,,,,,,,,,
1572,r146,Germany -> All fields,Germany,All fields,,,2,25780,24796,23838,23043,23138,25952,24946,24439,25604,25527,26039,27354,27099,27707,28147,29218,29303
1572,r147,Germany -> All fields -> All S&E,Germany,All fields,All S&E,,3,11888,11271,10618,10340,10107,11590,10871,11084,11887,11691,12576,13281,13666,14936,14912,15957,15871
1572,r148,Germany -> All fields -> All S&E -> Physical and biological sciences and mathematics and statistics,Germany,All fields,All S&E,Physical and biological sciences and mathematics and statistics,4,6937,6361,5863,5701,5536,6171,5789,5938,6255,6328,6816,7127,7385,8276,8140,8476,8382
1572,r149,Germany -> All fields -> All S&E -> Computer sciences,Germany,All fields,All S&E,Computer sciences,4,441,470,417,387,489,520,566,593,699,738,838,906,886,941,994,1103,1021
1572,r150,Germany -> All fields -> All S&E -> Agricultural sciences,Germany,All fields,All S&E,Agricultural sciences,4,917,883,878,895,929,1106,934,923,878,856,880,902,925,803,834,899,898
1572,r151,Germany -> All fields -> All S&E -> Social and behavioral sciences,Germany,All fields,All S&E,Social and behavioral sciences,4,1151,1224,1089,1144,1046,1448,1395,1393,1514,1475,1528,1562,1658,1769,1730,1736,1860
1572,r152,Germany -> All fields -> All S&E -> Engineering,Germany,All fields,All S&E,Engineering,4,2442,2333,2371,2213,2107,2345,2187,2237,2541,2294,2514,2784,2812,3147,3214,3743,3710
1572,r153,Greece,Greece,,,,1,,,,,,,,,,,,,,,,,
