table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10102,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,10946456,11855468,11611632,11679165,11699720,11703939,13027525,13723154,14517866,15390991,15766819,16566463,18161442
10102,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,19268085,20398377,20330413,20453217,20707633,21298214,22387230,23990079,25773405,27265024,27991752,29859263,31869957
10102,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation<sup>a</sup>,All R&D fields,Science,Life sciences,Natural resources and conservation<sup>a</sup>,4,na,na,na,na,na,na,693318,691653,779523,841914,901705,935265,1012919
10102,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,1758558,1966837,1958028,2076696,2149535,2287340,1463318,1418792,1228346,1301982,1329255,1435828,1518158
10102,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,592200,640471,674461,670801,657656,640828,679295,700251,750328,769019,800583,772890,879526
10102,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,4621772,4768816,4710125,4646791,4613739,4648566,4876304,5050084,5232149,5550678,5672442,5737169,6167583
10102,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,573229,583847,706544,558635,566965,626589,621738,648813,668227,734987,780433,740819,813900
10102,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,1748465,1783604,1748904,1704070,1723214,1757480,1773336,1791492,1866133,1965378,1928978,1996074,2126741
10102,r019,All R&D fields -> Science -> Physical sciences -> Materials science<sup>a</sup>,All R&D fields,Science,Physical sciences,Materials science<sup>a</sup>,4,na,na,na,na,na,na,172271,227825,254447,259316,252531,285940,286461
10102,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,1998732,2108340,1985954,2097089,2054772,2037057,2108936,2155653,2206576,2327059,2435368,2463514,2669076
10102,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,301346,293025,268723,286997,268788,227440,200023,226301,236766,263938,275132,250822,271405
10102,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,1077655,1159180,1179323,1128328,1143065,1183561,1222998,1246513,1261399,1328432,1364798,1329505,1443894
10102,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,1999942,2063007,2053656,2172234,2210266,2315180,2361414,2554534,2721668,2805654,2951369,2827648,3165440
10102,r024,All R&D fields -> Science -> Social sciences -> Anthropology<sup>a</sup>,All R&D fields,Science,Social sciences,Anthropology<sup>a</sup>,4,na,na,na,na,na,na,95932,110926,118227,124390,119377,108148,132764
10102,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,352890,387036,383405,408264,428076,453590,395587,433997,455889,458086,558855,549735,667707
10102,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,374903,370694,390074,427435,426375,459265,383986,412095,438040,447709,425391,423893,488480
10102,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,419895,433484,461011,482284,504735,524200,503290,551845,608697,610104,594076,553001,616142
10102,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,852254,871793,819166,854251,851080,878125,982619,1045671,1100815,1165365,1253670,1192871,1260347
10102,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,1156223,1090771,1101802,1170999,1043648,1078081,1074768,946393,889792,915559,953701,1024565,1156452
10102,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,9325722,10032590,10284111,10733954,10971498,11062806,11367127,11911132,12363204,13214142,13702434,14291729,15596634
10102,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,635234,667757,662444,689553,662479,732092,881968,990725,1010493,1170171,1293584,1452239,1647191
10102,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,745277,817389,871917,884421,951058,1003096,1085832,1220680,1343570,1450833,1469689,1560170,1726307
10102,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,821163,913905,903613,910222,906471,914308,884185,934527,931029,977578,1001519,1024446,1108245
10102,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,1106759,1208592,1232944,1296972,1256412,1284850,1328603,1302314,1354766,1432949,1424894,1481973,1647038
10102,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,2050292,2206894,2311665,2408824,2478216,2492197,2512453,2726458,2843755,2937880,3052761,3078737,3436892
10102,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering<sup>a</sup>,All R&D fields,Engineering,Industrial and manufacturing engineering<sup>a</sup>,,3,na,na,na,na,na,na,236678,351081,514775,556355,586908,573923,615228
10102,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,1458382,1556892,1550151,1647640,1503710,1513951,1434664,1535819,1630521,1704961,1813657,1881980,2062508
10102,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,703332,738892,757967,812231,1202757,1101599,743980,735699,762686,792370,818667,841719,886681
10102,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,1805283,1922269,1993410,2084091,2010395,2020713,2258764,2113829,1971609,2191045,2240755,2396542,2466544
10102,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,2899059,3286376,3530026,3634796,3428145,3613677,4133433,4300926,4642153,4854868,5035968,5114283,5857608
10102,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,370015,400376,443079,473157,481154,569570,642167,725255,784333,868051,887853,934362,1081380
10102,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,130396,153743,159920,148496,166040,168512,166405,202535,191597,206724,192105,186214,213000
10102,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,993588,1120766,1233437,1220888,1243226,1292178,1340222,1384259,1503577,1521635,1607383,1615608,1740784
10102,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,260374,313032,339633,386736,402173,430058,443588,493092,504569,538544,564529,560815,713685
10102,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,98109,124779,131514,173479,149235,174692,184334,223819,266344,255789,267866,282710,358693
10102,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,177331,194667,199046,212323,225897,214205,211546,235292,245110,285635,306371,319608,363079
10102,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,68717,77358,84596,87291,95837,100681,133845,124904,137154,158962,174607,178422,224572
10102,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,800529,901655,938801,932426,664583,663781,1011326,911770,1009469,1019528,1035254,1036544,1162415
