table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total,field_asian_number,field_asian_percent,field_american_indian_or_alaska_native_number,field_american_indian_or_alaska_native_percent,field_black_or_african_american_number,field_black_or_african_american_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_white_number,field_white_percent,field_native_hawaiian_or_other_pacific_islander_number,field_native_hawaiian_or_other_pacific_islander_percent,field_more_than_one_race_number,field_more_than_one_race_percent
4396,r012,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Software developers&#8212;applications and systems software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Software developers&#8212;applications and systems software,4,683,216,31.7,s,s,20,2.9,33,4.9,396,58.0,1,0.1,16,2.4
4396,r013,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Web developers,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Web developers,4,147,25,17.1,s,s,5,3.2,13,8.9,101,68.3,s,s,4,2.5
4396,r014,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Other computer information science occupations,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Other computer information science occupations,4,432,64,14.8,s,s,24,5.7,22,5.1,297,68.7,s,s,13,3.1
4396,r015,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer engineers&#8212;software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer engineers&#8212;software,4,897,346,38.6,s,s,33,3.6,44,4.9,459,51.1,s,s,13,1.5
4396,r016,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,,3,284,55,19.4,s,s,s,s,20,7.2,183,64.3,s,s,3,0.9
4396,r017,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Mathematicians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Mathematicians,4,9,2,21.4,s,s,s,s,s,s,5,53.0,s,s,s,s
4396,r018,"S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Operations research analysts, including modeling",S&E occupations,Computer and mathematical scientists,Mathematical scientists,"Operations research analysts, including modeling",4,182,31,17.1,s,s,s,s,14,7.9,117,64.4,s,s,2,1.2
4396,r019,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Statisticians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Statisticians,4,67,18,26.3,s,s,s,s,5,7.6,40,60.5,s,s,s,s
4396,r020,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Other mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Other mathematical scientists,4,26,4,s,s,s,1,s,s,s,20,77.8,s,s,s,s
4396,r021,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers&#8212;computer and mathematical sciences,S&E occupations,Computer and mathematical scientists,Postsecondary teachers&#8212;computer and mathematical sciences,,3,111,23,20.6,s,s,3,3.0,7,6.2,76,68.3,s,s,2,1.8
4396,r022,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers&#8212;computer and mathematical sciences -> Computer sciences,S&E occupations,Computer and mathematical scientists,Postsecondary teachers&#8212;computer and mathematical sciences,Computer sciences,4,30,8,27.5,s,s,1,3.4,4,12.2,17,55.1,s,s,1,1.8
4396,r023,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers&#8212;computer and mathematical sciences -> Mathematics and statistics,S&E occupations,Computer and mathematical scientists,Postsecondary teachers&#8212;computer and mathematical sciences,Mathematics and statistics,4,81,15,18.0,s,s,2,2.8,3,4.0,59,73.3,s,s,1,1.8
4396,r024,"S&E occupations -> Biological, agricultural, and environmental life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",,,2,698,157,22.5,1,0.1,23,3.3,64,9.1,439,62.9,s,s,14,1.9
4396,r025,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Agricultural and food scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Agricultural and food scientists,,3,58,9,15.7,s,s,2,3.5,10,17.1,36,62.5,s,s,s,s
4396,r026,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,,3,500,130,26.0,s,s,18,3.6,40,7.9,300,60.0,s,s,12,2.4
4396,r027,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Biochemists and biophysicists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Biochemists and biophysicists,4,92,28,30.1,s,s,1,1.5,7,7.1,55,59.4,s,s,2,1.9
4396,r028,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Biological scientists (e.g., botanists, ecologists, zoologists)",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,"Biological scientists (e.g., botanists, ecologists, zoologists)",4,145,28,19.1,s,s,1,0.9,15,10.1,98,68.1,s,s,2,1.5
4396,r029,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Medical scientists (excluding practitioners)",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Medical scientists (excluding practitioners),4,160,45,28.0,s,s,7,4.5,12,7.4,92,57.5,s,s,4,2.4
4396,r030,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Other biological and life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Other biological and life scientists,4,104,30,28.8,s,s,8,7.7,7,6.4,55,52.8,s,s,4,4.2
4396,r031,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Forestry and conservation scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Forestry and conservation scientists,,3,39,s,s,s,s,s,s,s,s,29,74.3,s,s,s,s
4396,r032,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers&#8212;life and related sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers&#8212;life and related sciences,,3,101,18,17.4,s,s,2,2.4,7,6.6,74,73.1,s,s,s,s
4396,r033,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers&#8212;life and related sciences -> Agriculture",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers&#8212;life and related sciences,Agriculture,4,9,s,s,s,s,s,s,s,s,6,66.8,s,s,s,s
4396,r034,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers&#8212;life and related sciences -> Biological sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers&#8212;life and related sciences,Biological sciences,4,85,15,18.0,s,s,2,2.3,5,6.0,62,73.5,s,s,s,s
4396,r035,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers&#8212;life and related sciences -> Other natural sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers&#8212;life and related sciences,Other natural sciences,4,7,s,s,s,s,s,s,s,s,6,75.9,s,s,s,s
4396,r036,S&E occupations -> Physical and related scientists,S&E occupations,Physical and related scientists,,,2,409,55,13.5,1,0.2,18,4.4,27,6.7,300,73.3,s,s,7,1.7
4396,r037,"S&E occupations -> Physical and related scientists -> Chemists, except biochemists",S&E occupations,Physical and related scientists,"Chemists, except biochemists",,3,132,19,14.4,s,s,7,4.9,9,6.9,95,71.8,s,s,s,s
4396,r038,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",,3,85,5,6.2,s,s,s,s,3,3.8,74,87.7,s,s,1,1.5
4396,r039,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Atmospheric and space scientists",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",Atmospheric and space scientists,4,21,3,12.6,s,s,s,s,1,2.4,17,80.8,s,s,s,s
4396,r040,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Geologists, including earth scientists and oceanographers ",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers","Geologists, including earth scientists and oceanographers ",4,63,3,4.0,s,s,s,s,3,4.3,57,90.1,s,s,1,1.1
4396,r041,S&E occupations -> Physical and related scientists -> Physicists and astronomers,S&E occupations,Physical and related scientists,Physicists and astronomers,,3,45,11,23.4,s,s,s,s,2,4.5,29,65.1,s,s,s,s
4396,r042,S&E occupations -> Physical and related scientists -> Other physical and related scientists,S&E occupations,Physical and related scientists,Other physical and related scientists,,3,67,5,6.8,s,s,6,9.6,7,10.7,47,70.1,s,s,s,s
4396,r043,S&E occupations -> Physical and related scientists -> Postsecondary teachers&#8212;physical and related sciences,S&E occupations,Physical and related scientists,Postsecondary teachers&#8212;physical and related sciences,,3,80,16,19.7,s,s,3,3.6,6,7.4,54,67.8,s,s,s,s
4396,r044,S&E occupations -> Physical and related scientists -> Postsecondary teachers&#8212;physical and related sciences -> Chemistry,S&E occupations,Physical and related scientists,Postsecondary teachers&#8212;physical and related sciences,Chemistry,4,25,8,33.7,s,s,1,4.0,2,9.1,12,50.2,s,s,s,s
4396,r045,"S&E occupations -> Physical and related scientists -> Postsecondary teachers&#8212;physical and related sciences -> Earth, environmental, and marine sciences",S&E occupations,Physical and related scientists,Postsecondary teachers&#8212;physical and related sciences,"Earth, environmental, and marine sciences",4,32,1,s,s,s,s,s,2,s,28,86.2,s,s,s,s
4396,r046,S&E occupations -> Physical and related scientists -> Postsecondary teachers&#8212;physical and related sciences -> Physics,S&E occupations,Physical and related scientists,Postsecondary teachers&#8212;physical and related sciences,Physics,4,23,7,30.2,s,s,s,s,1,5.6,14,60.8,s,s,s,s
4396,r047,S&E occupations -> Social and related scientists,S&E occupations,Social and related scientists,,,2,663,44,6.7,s,s,47,7.1,77,11.6,480,72.4,2,0.3,12,1.8
4396,r048,S&E occupations -> Social and related scientists -> Economists,S&E occupations,Social and related scientists,Economists,,3,56,8,14.2,s,s,2,3.4,5,8.7,40,72.0,s,s,s,s
4396,r049,S&E occupations -> Social and related scientists -> Political scientists,S&E occupations,Social and related scientists,Political scientists,,3,22,s,s,s,s,s,s,1,5.7,18,81.3,s,s,s,s
4396,r050,"S&E occupations -> Social and related scientists -> Psychologists, including clinical",S&E occupations,Social and related scientists,"Psychologists, including clinical",,3,228,7,3.2,s,s,13,5.5,21,9.2,183,80.3,s,s,3,1.4
4396,r051,S&E occupations -> Social and related scientists -> Sociologists and anthropologists,S&E occupations,Social and related scientists,Sociologists and anthropologists,,3,16,s,s,s,s,s,s,1,7.4,12,79.3,s,s,s,s
4396,r052,S&E occupations -> Social and related scientists -> Other social and related scientists,S&E occupations,Social and related scientists,Other social and related scientists,,3,142,11,7.7,s,s,12,8.7,33,23.2,81,57.4,s,s,4,2.5
4396,r053,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,,3,200,17,8.4,s,s,17,8.7,15,7.7,145,72.7,s,s,4,2.2
4396,r054,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Economics,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Economics,4,21,3,13.8,s,s,s,s,1,4.9,16,74.0,s,s,s,s
4396,r055,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Political science,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Political science,4,22,1,6.6,s,s,3,12.1,1,4.8,16,73.1,s,s,s,s
4396,r056,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Psychology,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Psychology,4,48,3,6.5,s,s,1,2.3,3,6.7,39,80.3,s,s,2,4.2
4396,r057,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Sociology,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Sociology,4,18,2,12.0,s,s,2,10.1,1,s,13,70.2,s,s,s,s
4396,r058,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Other social sciences,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Other social sciences,4,90,s,s,s,s,10,11.3,9,9.9,62,68.8,s,s,1,1.4
4396,r059,S&E occupations -> Engineers,S&E occupations,Engineers,,,2,1921,331,17.2,5,0.2,77,4.0,159,8.3,1305,67.9,s,s,37,1.9
4396,r060,"S&E occupations -> Engineers -> Aerospace, aeronautical, or astronautical engineers",S&E occupations,Engineers,"Aerospace, aeronautical, or astronautical engineers",,3,126,17,13.6,s,s,3,2.5,13,10.3,88,70.0,s,s,2,1.8
4396,r061,S&E occupations -> Engineers -> Chemical engineers,S&E occupations,Engineers,Chemical engineers,,3,84,14,16.4,s,s,5,5.4,4,4.6,60,72.2,s,s,s,s
4396,r062,"S&E occupations -> Engineers -> Civil, architectural, or sanitary engineers",S&E occupations,Engineers,"Civil, architectural, or sanitary engineers",,3,294,40,13.6,s,s,12,4.1,30,10.2,208,70.8,s,s,3,1.1
4396,r063,S&E occupations -> Engineers -> Electrical or computer hardware engineers,S&E occupations,Engineers,Electrical or computer hardware engineers,,3,412,110,26.8,s,s,22,5.4,30,7.3,237,57.5,s,s,7,1.6
4396,r064,S&E occupations -> Engineers -> Electrical or computer hardware engineers -> Computer engineers&#8212;hardware,S&E occupations,Engineers,Electrical or computer hardware engineers,Computer engineers&#8212;hardware,4,85,27,31.4,s,s,8,9.6,5,6.2,44,51.6,s,s,s,s
4396,r065,S&E occupations -> Engineers -> Electrical or computer hardware engineers -> Electrical and electronics engineers,S&E occupations,Engineers,Electrical or computer hardware engineers,Electrical and electronics engineers,4,327,84,25.6,s,s,14,4.3,25,7.6,193,59.1,s,s,6,1.9
4396,r066,S&E occupations -> Engineers -> Industrial engineers,S&E occupations,Engineers,Industrial engineers,,3,95,11,11.9,s,s,5,5.1,13,14.0,64,67.3,s,s,1,1.4
4396,r067,S&E occupations -> Engineers -> Mechanical engineers,S&E occupations,Engineers,Mechanical engineers,,3,377,60,15.9,s,s,8,2.2,28,7.5,273,72.4,s,s,6,1.6
4396,r068,S&E occupations -> Engineers -> Other engineers,S&E occupations,Engineers,Other engineers,,3,472,60,12.8,s,s,17,3.6,37,7.9,340,72.0,s,s,15,3.2
4396,r069,S&E occupations -> Engineers -> Other engineers -> Bioengineers or biomedical engineers,S&E occupations,Engineers,Other engineers,Bioengineers or biomedical engineers,4,39,8,20.1,s,s,2,4.8,2,5.8,27,67.5,s,s,1,1.6
4396,r070,S&E occupations -> Engineers -> Other engineers -> Environmental engineers,S&E occupations,Engineers,Other engineers,Environmental engineers,4,58,6,9.6,s,s,1,1.7,3,5.1,47,81.3,s,s,s,s
4396,r071,S&E occupations -> Engineers -> Other engineers -> Marine engineers and naval architects,S&E occupations,Engineers,Other engineers,Marine engineers and naval architects,4,9,s,s,s,s,s,s,s,s,8,85.5,s,s,s,s
4396,r072,S&E occupations -> Engineers -> Other engineers -> Materials and metallurgical engineers,S&E occupations,Engineers,Other engineers,Materials and metallurgical engineers,4,41,4,10.0,s,s,2,3.9,s,s,31,75.9,s,s,s,s
4396,r073,S&E occupations -> Engineers -> Other engineers -> Nuclear engineers,S&E occupations,Engineers,Other engineers,Nuclear engineers,4,12,1,4.9,s,s,s,s,s,s,8,65.9,s,s,s,s
4396,r074,S&E occupations -> Engineers -> Other engineers -> Petroleum engineers,S&E occupations,Engineers,Other engineers,Petroleum engineers,4,22,1,6.2,s,s,s,s,1,6.6,18,83.9,s,s,s,s
4396,r075,S&E occupations -> Engineers -> Other engineers -> Sales engineers,S&E occupations,Engineers,Other engineers,Sales engineers,4,114,9,8.2,s,s,5,4.0,10,9.1,83,73.0,s,s,5,4.5
4396,r076,"S&E occupations -> Engineers -> Other engineers -> Other engineers, including agricultural, mining, and geological ",S&E occupations,Engineers,Other engineers,"Other engineers, including agricultural, mining, and geological ",4,178,31,17.4,s,s,6,3.6,14,7.9,118,66.6,s,s,8,4.2
4396,r077,S&E occupations -> Engineers -> Postsecondary teachers&#8212;engineering,S&E occupations,Engineers,Postsecondary teachers&#8212;engineering,,3,61,18,30.3,s,s,s,s,3,4.5,34,55.6,s,s,1,2.0
4396,r078,S&E-related occupations,S&E-related occupations,,,,1,8893,1151,12.9,29,0.3,613,6.9,821,9.2,6053,68.1,30,0.3,198,2.2
4396,r079,S&E-related occupations -> Health-related occupations,S&E-related occupations,Health-related occupations,,,2,5728,754,13.2,23,0.4,399,7.0,491,8.6,3895,68.0,25,0.4,139,2.4
4396,r080,"S&E-related occupations -> Health-related occupations -> Diagnosing or treating practitioners (e.g., dentists, optometrists, physicians, psychiatrists, podiatrists, surgeons, veterinarians)",S&E-related occupations,Health-related occupations,"Diagnosing or treating practitioners (e.g., dentists, optometrists, physicians, psychiatrists, podiatrists, surgeons, veterinarians)",,3,1269,227,17.9,s,s,50,4.0,130,10.2,823,64.9,s,s,30,2.4
4396,r081,"S&E-related occupations -> Health-related occupations -> Registered nurses, pharmacists, dieticians, therapists, physician assistants, nurse practitioners",S&E-related occupations,Health-related occupations,"Registered nurses, pharmacists, dieticians, therapists, physician assistants, nurse practitioners",,3,2875,342,11.9,s,s,169,5.9,236,8.2,2035,70.8,s,s,60,2.1
4396,r082,"S&E-related occupations -> Health-related occupations -> Health technologists and technicians (e.g., dental hygienists, health record technicians, licensed practical nurses, laboratory or radiology technicians)",S&E-related occupations,Health-related occupations,"Health technologists and technicians (e.g., dental hygienists, health record technicians, licensed practical nurses, laboratory or radiology technicians)",,3,574,69,12.0,s,s,63,10.9,31,5.4,388,67.7,s,s,22,3.8
4396,r083,S&E-related occupations -> Health-related occupations -> Other health occupations,S&E-related occupations,Health-related occupations,Other health occupations,,3,815,87,10.7,2,0.2,110,13.5,83,10.2,505,62.0,s,s,27,3.3
4396,r084,S&E-related occupations -> Health-related occupations -> Postsecondary teachers&#8212;health and related sciences,S&E-related occupations,Health-related occupations,Postsecondary teachers&#8212;health and related sciences,,3,196,28,14.2,s,s,8,3.9,13,6.5,144,73.5,s,s,s,s
4396,r085,S&E-related occupations -> S&E managers,S&E-related occupations,S&E managers,,,2,999,135,13.5,s,s,70,7.0,99,9.9,679,68.0,s,s,14,1.4
4396,r086,S&E-related occupations -> S&E managers -> Computer and information systems managers,S&E-related occupations,S&E managers,Computer and information systems managers,,3,237,62,26.3,s,s,12,4.9,21,8.9,139,58.7,s,s,3,1.1
4396,r087,S&E-related occupations -> S&E managers -> Engineering managers,S&E-related occupations,S&E managers,Engineering managers,,3,364,38,10.4,s,s,13,3.7,40,11.0,267,73.3,s,s,4,1.0
4396,r088,S&E-related occupations -> S&E managers -> Medical and health services managers,S&E-related occupations,S&E managers,Medical and health services managers,,3,324,28,8.7,s,s,43,13.2,33,10.0,215,66.3,s,s,5,1.7
4396,r089,S&E-related occupations -> S&E managers -> Natural sciences managers,S&E-related occupations,S&E managers,Natural sciences managers,,3,74,7,9.6,s,s,2,2.9,s,s,58,78.8,s,s,2,2.3
4396,r090,S&E-related occupations -> S&E precollege teachers,S&E-related occupations,S&E precollege teachers,,,2,925,34,3.7,1,0.1,54,5.8,95,10.2,719,77.8,1,0.1,21,2.3
4396,r091,"S&E-related occupations -> S&E precollege teachers -> Secondary&#8212;computer, mathematics, or sciences",S&E-related occupations,S&E precollege teachers,"Secondary&#8212;computer, mathematics, or sciences",,3,668,30,4.5,1,0.1,39,5.9,74,11.1,510,76.3,s,s,s,s
4396,r092,S&E-related occupations -> S&E precollege teachers -> Secondary&#8212;social sciences,S&E-related occupations,S&E precollege teachers,Secondary&#8212;social sciences,,3,257,s,s,s,s,14,5.6,21,8.1,209,81.5,s,s,s,s
4396,r093,S&E-related occupations -> S&E technicians and technologists,S&E-related occupations,S&E technicians and technologists,,,2,973,189,19.4,3,0.3,84,8.6,115,11.8,560,57.6,s,s,20,2.0
4396,r094,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the biological and life sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the biological and life sciences,,3,125,30,23.7,s,s,7,5.9,25,19.7,62,49.3,s,s,2,1.3
4396,r095,"S&E-related occupations -> S&E technicians and technologists -> Computer programmers (business, scientific, process control)",S&E-related occupations,S&E technicians and technologists,"Computer programmers (business, scientific, process control)",,3,125,30,24.4,s,s,8,6.5,s,s,80,64.3,s,s,s,s
4396,r096,"S&E-related occupations -> S&E technicians and technologists -> Electrical, electronic, industrial, and mechanical technicians",S&E-related occupations,S&E technicians and technologists,"Electrical, electronic, industrial, and mechanical technicians",,3,325,60,18.4,s,s,36,11.0,33,10.0,191,58.8,s,s,3,1.0
4396,r097,"S&E-related occupations -> S&E technicians and technologists -> Drafting occupations, including computer drafting",S&E-related occupations,S&E technicians and technologists,"Drafting occupations, including computer drafting",,3,46,8,16.4,s,s,s,s,4,8.7,32,69.0,s,s,s,s
4396,r098,S&E-related occupations -> S&E technicians and technologists -> Surveying and mapping technicians,S&E-related occupations,S&E technicians and technologists,Surveying and mapping technicians,,3,28,s,s,s,s,s,s,s,s,15,52.8,s,s,s,s
4396,r099,S&E-related occupations -> S&E technicians and technologists -> Other engineering technologists and technicians,S&E-related occupations,S&E technicians and technologists,Other engineering technologists and technicians,,3,255,51,19.8,s,s,24,9.6,39,15.2,132,51.7,s,s,8,3.1
4396,r100,"S&E-related occupations -> S&E technicians and technologists -> Surveyors, cartographers, photogrammetrists",S&E-related occupations,S&E technicians and technologists,"Surveyors, cartographers, photogrammetrists",,3,20,s,s,s,s,s,s,s,s,14,71.7,s,s,s,s
4396,r101,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the mathematical and physical sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the mathematical and physical sciences,,3,48,7,13.6,s,s,2,3.6,s,s,34,70.8,s,s,s,s
4396,r102,S&E-related occupations -> Other S&E-related occupations,S&E-related occupations,Other S&E-related occupations,,,2,270,38,14.2,s,s,5,2.0,21,7.8,200,74.1,s,s,4,1.3
4396,r103,S&E-related occupations -> Other S&E-related occupations -> Architects,S&E-related occupations,Other S&E-related occupations,Architects,,3,225,28,12.2,s,s,5,2.3,20,8.9,167,74.3,s,s,4,1.6
4396,r104,S&E-related occupations -> Other S&E-related occupations -> Actuaries,S&E-related occupations,Other S&E-related occupations,Actuaries,,3,45,11,23.9,s,s,s,s,s,s,33,73.4,s,s,s,s
4396,r105,Non-S&E occupations,Non-S&E occupations,,,,1,12267,1176,9.6,39,0.3,1074,8.8,1261,10.3,8388,68.4,35,0.3,295,2.4
4396,r106,Non-S&E occupations -> Non-S&E managers,Non-S&E occupations,Non-S&E managers,,,2,2003,219,10.9,7,0.4,98,4.9,146,7.3,1488,74.3,1,0.1,43,2.1
4396,r107,"Non-S&E occupations -> Non-S&E managers -> Top-level managers, executives, administrators (e.g., chief executive officer, chief operating officer, chief financial officer; president; district manager, general manager, provost)",Non-S&E occupations,Non-S&E managers,"Top-level managers, executives, administrators (e.g., chief executive officer, chief operating officer, chief financial officer; president; district manager, general manager, provost)",,3,1125,134,11.9,3,0.3,39,3.4,59,5.3,873,77.6,s,s,17,1.5
4396,r108,"Non-S&E occupations -> Non-S&E managers -> Education administrators (e.g., registrar, dean, principal)",Non-S&E occupations,Non-S&E managers,"Education administrators (e.g., registrar, dean, principal)",,3,134,10,7.7,s,s,10,7.3,14,10.3,94,70.2,s,s,5,4.0
4396,r109,Non-S&E occupations -> Non-S&E managers -> Other mid-level managers,Non-S&E occupations,Non-S&E managers,Other mid-level managers,,3,743,75,10.1,3,0.5,50,6.7,73,9.8,521,70.1,s,s,20,2.8
4396,r110,Non-S&E occupations -> Management-related occupations,Non-S&E occupations,Management-related occupations,,,2,2534,299,11.8,s,s,234,9.2,234,9.2,1696,66.9,14,0.6,49,1.9
4396,r111,"Non-S&E occupations -> Management-related occupations -> Accountants, auditors, and other financial specialists",Non-S&E occupations,Management-related occupations,"Accountants, auditors, and other financial specialists",,3,781,106,13.6,s,s,52,6.7,64,8.2,537,68.8,s,s,12,1.5
4396,r112,"Non-S&E occupations -> Management-related occupations -> Personnel, training, and labor relations specialists",Non-S&E occupations,Management-related occupations,"Personnel, training, and labor relations specialists",,3,289,24,8.3,s,s,53,18.3,30,10.5,175,60.5,s,s,6,2.2
4396,r113,Non-S&E occupations -> Management-related occupations -> Other management-related occupations,Non-S&E occupations,Management-related occupations,Other management-related occupations,,3,1465,169,11.5,2,0.1,129,8.8,140,9.5,983,67.1,11,0.7,31,2.1
4396,r114,Non-S&E occupations -> Non-S&E precollege teachers,Non-S&E occupations,Non-S&E precollege teachers,,,2,924,72,7.8,s,s,88,9.5,109,11.8,638,69.1,s,s,11,1.2
