table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_level_5,field_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1163,r025,All fields -> S&E -> Science -> Social sciences -> Sociology,All fields,S&E,Science,Social sciences,Sociology,5,574,573,594,635,612,671,635,626,692,733,658
1163,r026,All fields -> S&E -> Science -> Social sciences -> Other ,All fields,S&E,Science,Social sciences,Other ,5,413,402,448,438,435,475,532,493,544,596,530
1163,r027,All fields -> S&E -> Engineering,All fields,S&E,Engineering,,,3,7402,8066,8110,7915,7812,8478,8873,9489,10135,10406,10358
1163,r028,All fields -> S&E -> Engineering -> Aerospace engineering,All fields,S&E,Engineering,Aerospace engineering,,4,209,234,232,257,228,237,275,310,336,310,332
1163,r029,All fields -> S&E -> Engineering -> Chemical engineering,All fields,S&E,Engineering,Chemical engineering,,4,911,915,950,886,929,951,969,1001,1169,1197,1181
1163,r030,All fields -> S&E -> Engineering -> Civil engineering,All fields,S&E,Engineering,Civil engineering,,4,864,935,909,902,851,894,922,1036,1154,1230,1166
1163,r031,All fields -> S&E -> Engineering -> Electrical engineering,All fields,S&E,Engineering,Electrical engineering,,4,2124,2380,2279,2090,2169,2352,2475,2469,2642,2651,2620
1163,r032,All fields -> S&E -> Engineering -> Industrial engineering,All fields,S&E,Engineering,Industrial engineering,,4,302,364,346,333,290,319,348,389,400,354,375
1163,r033,All fields -> S&E -> Engineering -> Materials engineering,All fields,S&E,Engineering,Materials engineering,,4,611,663,665,661,653,651,715,757,734,810,842
1163,r034,All fields -> S&E -> Engineering -> Mechanical engineering,All fields,S&E,Engineering,Mechanical engineering,,4,1139,1138,1149,1186,1022,1172,1277,1384,1454,1586,1534
1163,r035,All fields -> S&E -> Engineering -> Other ,All fields,S&E,Engineering,Other ,,4,1242,1437,1580,1600,1670,1902,1892,2143,2246,2268,2308
1163,r036,All fields -> Non-S&E,All fields,Non-S&E,,,,2,25857,28299,28357,28446,24756,25642,26822,27959,28652,29937,30783
