table_id,row_id,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_all_degreesa_both_sexes,field_all_degreesa_female,field_all_degreesa_male,field_bachelor_s_both_sexes,field_bachelor_s_female,field_bachelor_s_male,field_master_s_both_sexes,field_master_s_female,field_master_s_male,field_doctorate_both_sexes,field_doctorate_female,field_doctorate_male
1181,r011,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Computer and information scientist&#160; -> Postsecondary teacher,All occupations,S&E occupations&#160;,Science occupations&#160;,Computer and information scientist&#160;,Postsecondary teacher,5,32000,9000,23000,4000,S,4000,10000,4000,6000,17000,4000,13000
1181,r012,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Mathematical scientist&#160;,All occupations,S&E occupations&#160;,Science occupations&#160;,Mathematical scientist&#160;,,4,292000,123000,168000,119000,55000,64000,117000,45000,72000,55000,23000,32000
1181,r013,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Mathematical scientist&#160; -> Mathematical scientist,All occupations,S&E occupations&#160;,Science occupations&#160;,Mathematical scientist&#160;,Mathematical scientist,5,209000,87000,122000,108000,48000,60000,75000,29000,46000,25000,10000,15000
1181,r014,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Mathematical scientist&#160; -> Postsecondary teacher,All occupations,S&E occupations&#160;,Science occupations&#160;,Mathematical scientist&#160;,Postsecondary teacher,5,82000,36000,47000,11000,7000,4000,42000,16000,26000,30000,13000,17000
1181,r015,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Physical scientist&#160;,All occupations,S&E occupations&#160;,Science occupations&#160;,Physical scientist&#160;,,4,366000,107000,259000,164000,49000,115000,98000,39000,59000,101000,19000,82000
1181,r016,"All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Physical scientist&#160; -> Chemist, except biochemist",All occupations,S&E occupations&#160;,Science occupations&#160;,Physical scientist&#160;,"Chemist, except biochemist",5,109000,39000,70000,63000,26000,37000,26000,10000,16000,20000,4000,17000
1181,r017,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Physical scientist&#160; -> Earth scientist/geologist/oceanographer,All occupations,S&E occupations&#160;,Science occupations&#160;,Physical scientist&#160;,Earth scientist/geologist/oceanographer,5,69000,17000,53000,28000,6000,22000,29000,7000,22000,11000,3000,8000
1181,r018,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Physical scientist&#160; -> Physicist/astronomer,All occupations,S&E occupations&#160;,Science occupations&#160;,Physical scientist&#160;,Physicist/astronomer,5,42000,8000,34000,9000,S,7000,12000,3000,8000,21000,2000,18000
1181,r019,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Physical scientist&#160; -> Other physical scientist,All occupations,S&E occupations&#160;,Science occupations&#160;,Physical scientist&#160;,Other physical scientist,5,65000,29000,36000,35000,12000,22000,21000,14000,7000,8000,2000,6000
1181,r020,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Physical scientist&#160; -> Postsecondary teachers,All occupations,S&E occupations&#160;,Science occupations&#160;,Physical scientist&#160;,Postsecondary teachers,5,81000,14000,67000,29000,S,27000,10000,4000,6000,41000,7000,34000
1181,r021,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Psychologist&#160;,All occupations,S&E occupations&#160;,Science occupations&#160;,Psychologist&#160;,,4,250000,173000,77000,33000,25000,8000,102000,78000,24000,92000,54000,37000
1181,r022,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Psychologist&#160; -> Psychologist,All occupations,S&E occupations&#160;,Science occupations&#160;,Psychologist&#160;,Psychologist,5,199000,138000,61000,18000,12000,5000,86000,66000,20000,75000,46000,29000
1181,r023,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Psychologist&#160; -> Postsecondary teacher,All occupations,S&E occupations&#160;,Science occupations&#160;,Psychologist&#160;,Postsecondary teacher,5,51000,35000,16000,S,S,S,16000,12000,4000,16000,8000,8000
1181,r024,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Social scientist&#160;,All occupations,S&E occupations&#160;,Science occupations&#160;,Social scientist&#160;,,4,396000,206000,190000,139000,67000,S,133000,77000,56000,110000,53000,56000
1181,r025,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Social scientist&#160; -> Economist,All occupations,S&E occupations&#160;,Science occupations&#160;,Social scientist&#160;,Economist,5,47000,10000,38000,S,2000,S,14000,5000,9000,10000,2000,8000
1181,r026,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Social scientist&#160; -> Political scientist,All occupations,S&E occupations&#160;,Science occupations&#160;,Social scientist&#160;,Political scientist,5,33000,21000,11000,12000,S,S,12000,5000,6000,2000,,1000
1181,r027,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Social scientist&#160; -> Sociologist/anthropologist,All occupations,S&E occupations&#160;,Science occupations&#160;,Social scientist&#160;,Sociologist/anthropologist,5,24000,17000,7000,6000,S,2000,13000,9000,4000,5000,4000,1000
1181,r028,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Social scientist&#160; -> Other social scientist,All occupations,S&E occupations&#160;,Science occupations&#160;,Social scientist&#160;,Other social scientist,5,159000,90000,69000,89000,46000,S,55000,36000,19000,14000,8000,6000
1181,r029,All occupations -> S&E occupations&#160; -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teacher,All occupations,S&E occupations&#160;,Science occupations&#160;,Social scientist&#160;,Postsecondary teacher,5,133000,68000,64000,9000,5000,4000,40000,22000,17000,79000,38000,41000
1181,r030,All occupations -> S&E occupations&#160; -> Engineering occupations&#160;&#160;,All occupations,S&E occupations&#160;,Engineering occupations&#160;&#160;,,,3,1728000,269000,1459000,1061000,149000,912000,548000,104000,445000,116000,16000,101000
1181,r031,All occupations -> S&E occupations&#160; -> Engineering occupations&#160;&#160; -> Aerospace engineer,All occupations,S&E occupations&#160;,Engineering occupations&#160;&#160;,Aerospace engineer,,4,132000,21000,111000,69000,13000,57000,54000,7000,46000,8000,,7000
1181,r032,All occupations -> S&E occupations&#160; -> Engineering occupations&#160;&#160; -> Chemical engineer,All occupations,S&E occupations&#160;,Engineering occupations&#160;&#160;,Chemical engineer,,4,93000,23000,70000,59000,14000,45000,22000,S,15000,11000,1000,10000
1181,r033,All occupations -> S&E occupations&#160; -> Engineering occupations&#160;&#160; -> Civil engineer,All occupations,S&E occupations&#160;,Engineering occupations&#160;&#160;,Civil engineer,,4,264000,45000,219000,169000,24000,146000,91000,22000,69000,4000,,4000
1181,r034,All occupations -> S&E occupations&#160; -> Engineering occupations&#160;&#160; -> Electrical engineer,All occupations,S&E occupations&#160;,Engineering occupations&#160;&#160;,Electrical engineer,,4,374000,47000,327000,215000,26000,189000,138000,19000,120000,20000,2000,18000
1181,r035,All occupations -> S&E occupations&#160; -> Engineering occupations&#160;&#160; -> Industrial engineer,All occupations,S&E occupations&#160;,Engineering occupations&#160;&#160;,Industrial engineer,,4,88000,14000,74000,57000,9000,48000,28000,4000,24000,2000,,
1181,r036,All occupations -> S&E occupations&#160; -> Engineering occupations&#160;&#160; -> Mechanical engineer,All occupations,S&E occupations&#160;,Engineering occupations&#160;&#160;,Mechanical engineer,,4,313000,21000,291000,219000,12000,208000,80000,8000,72000,12000,S,11000
1181,r037,All occupations -> S&E occupations&#160; -> Engineering occupations&#160;&#160; -> Other engineer,All occupations,S&E occupations&#160;,Engineering occupations&#160;&#160;,Other engineer,,4,406000,88000,317000,259000,50000,210000,122000,35000,87000,24000,4000,20000
1181,r038,All occupations -> S&E occupations&#160; -> Engineering occupations&#160;&#160; -> Postsecondary teacher,All occupations,S&E occupations&#160;,Engineering occupations&#160;&#160;,Postsecondary teacher,,4,59000,9000,50000,12000,S,10000,12000,2000,11000,35000,6000,29000
1181,r039,All occupations -> S&E-related occupations&#160;&#160;,All occupations,S&E-related occupations&#160;&#160;,,,,2,8271000,4764000,3507000,4338000,2654000,1685000,2262000,1405000,857000,267000,126000,140000
1181,r040,All occupations -> S&E-related occupations&#160;&#160; -> Health occupations&#160;,All occupations,S&E-related occupations&#160;&#160;,Health occupations&#160;,,,3,5181000,3663000,1518000,2671000,2137000,533000,1066000,877000,189000,166000,98000,68000
1181,r041,"All occupations -> S&E-related occupations&#160;&#160; -> S&E managers, including health&#160;",All occupations,S&E-related occupations&#160;&#160;,"S&E managers, including health&#160;",,,3,1048000,288000,761000,515000,121000,394000,383000,128000,255000,46000,14000,32000
1181,r042,All occupations -> S&E-related occupations&#160;&#160; -> S&E pre-college teacher&#160;,All occupations,S&E-related occupations&#160;&#160;,S&E pre-college teacher&#160;,,,3,961000,553000,408000,400000,227000,173000,527000,317000,210000,22000,7000,15000
1181,r043,All occupations -> S&E-related occupations&#160;&#160; -> S&E technician/technologist&#160;,All occupations,S&E-related occupations&#160;&#160;,S&E technician/technologist&#160;,,,3,837000,180000,657000,586000,113000,473000,209000,59000,150000,32000,7000,25000
1181,r044,All occupations -> S&E-related occupations&#160;&#160; -> Other S&E-related occupation&#160;,All occupations,S&E-related occupations&#160;&#160;,Other S&E-related occupation&#160;,,,3,244000,80000,163000,166000,56000,111000,77000,25000,52000,S,,
1181,r045,All occupations -> Non-S&E occupations&#160;&#160;,All occupations,Non-S&E occupations&#160;&#160;,,,,2,12233000,6271000,5962000,7014000,3564000,3450000,3904000,2170000,1734000,450000,184000,266000
1181,r046,"All occupations -> Non-S&E occupations&#160;&#160; -> Arts, humanities, and related occupation",All occupations,Non-S&E occupations&#160;&#160;,"Arts, humanities, and related occupation",,,3,385000,237000,149000,217000,134000,83000,137000,85000,52000,22000,15000,8000
1181,r047,All occupations -> Non-S&E occupations&#160;&#160; -> Management-related occupation,All occupations,Non-S&E occupations&#160;&#160;,Management-related occupation,,,3,2256000,1077000,1179000,1346000,669000,677000,795000,367000,428000,65000,17000,48000
1181,r048,All occupations -> Non-S&E occupations&#160;&#160; -> Non-S&E manager,All occupations,Non-S&E occupations&#160;&#160;,Non-S&E manager,,,3,2018000,610000,1408000,1022000,266000,757000,795000,273000,522000,131000,41000,91000
1181,r049,All occupations -> Non-S&E occupations&#160;&#160; -> Non-S&E postsecondary teacher,All occupations,Non-S&E occupations&#160;&#160;,Non-S&E postsecondary teacher,,,3,226000,117000,109000,40000,25000,15000,81000,46000,34000,88000,40000,48000
1181,r050,All occupations -> Non-S&E occupations&#160;&#160; -> Non-S&E precollege teacher,All occupations,Non-S&E occupations&#160;&#160;,Non-S&E precollege teacher,,,3,902000,726000,176000,421000,329000,92000,454000,381000,73000,11000,8000,2000
1181,r051,All occupations -> Non-S&E occupations&#160;&#160; -> Sales and marketing occupation,All occupations,Non-S&E occupations&#160;&#160;,Sales and marketing occupation,,,3,1425000,656000,769000,1065000,490000,575000,322000,152000,171000,13000,4000,9000
1181,r052,All occupations -> Non-S&E occupations&#160;&#160; -> Social service and related occupation,All occupations,Non-S&E occupations&#160;&#160;,Social service and related occupation,,,3,967000,716000,252000,373000,264000,109000,552000,432000,120000,30000,15000,15000
1181,r053,All occupations -> Non-S&E occupations&#160;&#160; -> Other non-S&E occupation,All occupations,Non-S&E occupations&#160;&#160;,Other non-S&E occupation,,,3,4054000,2133000,1921000,2530000,1387000,1143000,769000,435000,334000,90000,45000,45000
