table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
2811,r030,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences and natural resources, general<sup>a</sup>",All fields,Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, general<sup>a</sup>",,4,2,9,8,9,25,21,73,38,38,39
2811,r031,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences and natural resources, other<sup>b</sup>",All fields,Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, other<sup>b</sup>",,4,16,14,11,20,19,16,21,14,29,38
2811,r032,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,,,3,8046,8152,8322,8354,8868,8783,8863,8566,8783,8702
2811,r033,All fields -> Life sciences -> Biological and biomedical sciences -> Anatomy,All fields,Life sciences,Biological and biomedical sciences,Anatomy,,4,25,25,23,15,15,24,21,8,23,24
2811,r034,All fields -> Life sciences -> Biological and biomedical sciences -> Bacteriology,All fields,Life sciences,Biological and biomedical sciences,Bacteriology,,4,24,22,23,28,25,22,18,12,13,14
2811,r035,All fields -> Life sciences -> Biological and biomedical sciences -> Biochemistry (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biochemistry (biological sciences),,4,861,867,847,826,820,749,832,818,810,793
2811,r036,All fields -> Life sciences -> Biological and biomedical sciences -> Bioinformatics,All fields,Life sciences,Biological and biomedical sciences,Bioinformatics,,4,123,140,145,166,183,174,193,184,201,242
2811,r037,All fields -> Life sciences -> Biological and biomedical sciences -> Biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,Biomedical sciences,,4,287,311,366,401,438,416,329,339,421,386
2811,r038,All fields -> Life sciences -> Biological and biomedical sciences -> Biometrics and biostatistics,All fields,Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,,4,127,137,174,145,165,171,198,216,233,221
2811,r039,All fields -> Life sciences -> Biological and biomedical sciences -> Biophysics (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biophysics (biological sciences),,4,171,192,193,179,186,181,165,181,152,175
2811,r040,All fields -> Life sciences -> Biological and biomedical sciences -> Biotechnology,All fields,Life sciences,Biological and biomedical sciences,Biotechnology,,4,22,33,54,39,45,38,36,37,35,44
2811,r041,All fields -> Life sciences -> Biological and biomedical sciences -> Botany and plant biology,All fields,Life sciences,Biological and biomedical sciences,Botany and plant biology,,4,110,110,110,91,93,97,111,97,120,117
2811,r042,All fields -> Life sciences -> Biological and biomedical sciences -> Cancer biology,All fields,Life sciences,Biological and biomedical sciences,Cancer biology,,4,300,396,381,379,455,454,436,370,355,364
2811,r043,"All fields -> Life sciences -> Biological and biomedical sciences -> Cell, cellular biology, and histology",All fields,Life sciences,Biological and biomedical sciences,"Cell, cellular biology, and histology",,4,361,379,376,318,335,321,258,230,218,201
2811,r044,All fields -> Life sciences -> Biological and biomedical sciences -> Computational biology,All fields,Life sciences,Biological and biomedical sciences,Computational biology,,4,69,65,94,115,117,107,134,149,146,184
2811,r045,All fields -> Life sciences -> Biological and biomedical sciences -> Developmental biology and embryology,All fields,Life sciences,Biological and biomedical sciences,Developmental biology and embryology,,4,193,205,174,197,198,187,162,133,135,114
2811,r046,All fields -> Life sciences -> Biological and biomedical sciences -> Ecology,All fields,Life sciences,Biological and biomedical sciences,Ecology,,4,431,404,415,468,449,453,482,437,417,433
2811,r047,All fields -> Life sciences -> Biological and biomedical sciences -> Endocrinology,All fields,Life sciences,Biological and biomedical sciences,Endocrinology,,4,23,32,26,39,26,22,11,17,21,12
2811,r048,All fields -> Life sciences -> Biological and biomedical sciences -> Entomology,All fields,Life sciences,Biological and biomedical sciences,Entomology,,4,122,113,120,118,112,109,127,129,119,124
2811,r049,All fields -> Life sciences -> Biological and biomedical sciences -> Environmental toxicology,All fields,Life sciences,Biological and biomedical sciences,Environmental toxicology,,4,39,30,45,33,49,34,45,64,56,67
2811,r050,All fields -> Life sciences -> Biological and biomedical sciences -> Epidemiology<sup>c</sup>,All fields,Life sciences,Biological and biomedical sciences,Epidemiology<sup>c</sup>,,4,na,na,na,na,292,378,343,351,400,362
2811,r051,All fields -> Life sciences -> Biological and biomedical sciences -> Evolutionary biology,All fields,Life sciences,Biological and biomedical sciences,Evolutionary biology,,4,214,213,203,209,215,210,200,229,242,238
2811,r052,"All fields -> Life sciences -> Biological and biomedical sciences -> Genetics, genomics, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Genetics, genomics, human and animal",,4,383,374,334,396,401,358,338,344,362,342
2811,r053,All fields -> Life sciences -> Biological and biomedical sciences -> Immunology,All fields,Life sciences,Biological and biomedical sciences,Immunology,,4,452,449,455,471,456,471,397,402,419,413
2811,r054,All fields -> Life sciences -> Biological and biomedical sciences -> Microbiology,All fields,Life sciences,Biological and biomedical sciences,Microbiology,,4,490,462,451,455,463,480,465,431,475,430
2811,r055,All fields -> Life sciences -> Biological and biomedical sciences -> Molecular biology,All fields,Life sciences,Biological and biomedical sciences,Molecular biology,,4,697,716,620,646,670,632,549,634,595,555
2811,r056,All fields -> Life sciences -> Biological and biomedical sciences -> Molecular medicine,All fields,Life sciences,Biological and biomedical sciences,Molecular medicine,,4,na,na,na,na,na,na,25,66,62,34
2811,r057,"All fields -> Life sciences -> Biological and biomedical sciences -> Neurosciences, neurobiology<sup>d</sup>",All fields,Life sciences,Biological and biomedical sciences,"Neurosciences, neurobiology<sup>d</sup>",,4,954,958,1053,1016,1048,1089,997,984,1033,1042
2811,r058,All fields -> Life sciences -> Biological and biomedical sciences -> Nutrition sciences,All fields,Life sciences,Biological and biomedical sciences,Nutrition sciences,,4,180,163,183,177,175,184,204,215,201,201
2811,r059,All fields -> Life sciences -> Biological and biomedical sciences -> Parasitology,All fields,Life sciences,Biological and biomedical sciences,Parasitology,,4,37,26,29,26,26,31,20,16,20,26
2811,r060,"All fields -> Life sciences -> Biological and biomedical sciences -> Pathology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Pathology, human and animal",,4,79,83,95,95,99,88,49,68,52,50
2811,r061,"All fields -> Life sciences -> Biological and biomedical sciences -> Pharmacology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Pharmacology, human and animal",,4,290,301,308,286,292,243,207,230,210,199
2811,r062,"All fields -> Life sciences -> Biological and biomedical sciences -> Physiology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Physiology, human and animal",,4,258,226,254,210,208,210,165,162,201,177
2811,r063,All fields -> Life sciences -> Biological and biomedical sciences -> Plant genetics,All fields,Life sciences,Biological and biomedical sciences,Plant genetics,,4,52,45,41,37,48,57,67,50,72,58
2811,r064,All fields -> Life sciences -> Biological and biomedical sciences -> Plant pathology and phytopathology (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Plant pathology and phytopathology (biological sciences),,4,19,18,25,21,29,20,13,11,11,13
2811,r065,All fields -> Life sciences -> Biological and biomedical sciences -> Plant physiology,All fields,Life sciences,Biological and biomedical sciences,Plant physiology,,4,28,15,19,25,17,18,13,17,18,12
2811,r066,All fields -> Life sciences -> Biological and biomedical sciences -> Structural biology,All fields,Life sciences,Biological and biomedical sciences,Structural biology,,4,53,71,57,67,59,64,47,56,51,73
2811,r067,All fields -> Life sciences -> Biological and biomedical sciences -> Toxicology,All fields,Life sciences,Biological and biomedical sciences,Toxicology,,4,99,96,101,99,117,104,85,77,95,84
2811,r068,All fields -> Life sciences -> Biological and biomedical sciences -> Virology,All fields,Life sciences,Biological and biomedical sciences,Virology,,4,134,178,162,162,163,164,142,115,115,128
2811,r069,All fields -> Life sciences -> Biological and biomedical sciences -> Wildlife biology,All fields,Life sciences,Biological and biomedical sciences,Wildlife biology,,4,na,na,na,na,36,47,47,60,62,68
2811,r070,All fields -> Life sciences -> Biological and biomedical sciences -> Zoology,All fields,Life sciences,Biological and biomedical sciences,Zoology,,4,72,65,51,40,32,46,38,40,29,24
2811,r071,"All fields -> Life sciences -> Biological and biomedical sciences -> Biological and biomedical sciences, general",All fields,Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, general",,4,184,168,223,256,245,258,771,469,468,536
2811,r072,"All fields -> Life sciences -> Biological and biomedical sciences -> Biological and biomedical sciences, other",All fields,Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, other",,4,83,64,92,103,66,72,123,118,115,122
2811,r073,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,,,3,2173,2177,2387,2529,2278,2276,2297,2495,2531,2588
2811,r074,All fields -> Life sciences -> Health sciences -> Environmental health,All fields,Life sciences,Health sciences,Environmental health,,4,66,56,67,70,77,79,76,84,83,90
2811,r075,All fields -> Life sciences -> Health sciences -> Epidemiology<sup>c</sup>,All fields,Life sciences,Health sciences,Epidemiology<sup>c</sup>,,4,324,314,365,353,na,na,na,na,na,na
2811,r076,All fields -> Life sciences -> Health sciences -> Gerontology (health sciences),All fields,Life sciences,Health sciences,Gerontology (health sciences),,4,10,15,14,13,14,13,25,19,15,16
2811,r077,All fields -> Life sciences -> Health sciences -> Health and behavior,All fields,Life sciences,Health sciences,Health and behavior,,4,na,na,na,na,88,125,119,84,59,88
2811,r078,All fields -> Life sciences -> Health sciences -> Health services research,All fields,Life sciences,Health sciences,Health services research,,4,na,na,na,na,na,na,120,164,138,138
2811,r079,All fields -> Life sciences -> Health sciences -> Health systems administration,All fields,Life sciences,Health sciences,Health systems administration,,4,75,84,51,89,89,70,41,36,22,22
2811,r080,"All fields -> Life sciences -> Health sciences -> Kinesiology, exercise science<sup>e</sup>",All fields,Life sciences,Health sciences,"Kinesiology, exercise science<sup>e</sup>",,4,215,198,228,214,249,264,231,267,268,260
2811,r081,"All fields -> Life sciences -> Health sciences -> Medical physics, radiological science",All fields,Life sciences,Health sciences,"Medical physics, radiological science",,4,61,74,80,93,103,84,94,92,74,90
2811,r082,All fields -> Life sciences -> Health sciences -> Nursing science,All fields,Life sciences,Health sciences,Nursing science,,4,482,523,552,510,580,536,482,552,584,548
2811,r083,"All fields -> Life sciences -> Health sciences -> Oral biology, oral pathology",All fields,Life sciences,Health sciences,"Oral biology, oral pathology",,4,15,22,15,20,15,19,23,33,24,19
2811,r084,All fields -> Life sciences -> Health sciences -> Pharmaceutical sciences<sup>f</sup>,All fields,Life sciences,Health sciences,Pharmaceutical sciences<sup>f</sup>,,4,274,271,295,332,279,270,274,292,345,359
2811,r085,All fields -> Life sciences -> Health sciences -> Public health,All fields,Life sciences,Health sciences,Public health,,4,295,266,349,431,400,437,379,439,421,452
2811,r086,"All fields -> Life sciences -> Health sciences -> Rehabilitation, therapeutic services",All fields,Life sciences,Health sciences,"Rehabilitation, therapeutic services",,4,61,60,80,85,83,86,108,90,124,109
2811,r087,All fields -> Life sciences -> Health sciences -> Speech-language pathology and audiology,All fields,Life sciences,Health sciences,Speech-language pathology and audiology,,4,100,110,119,110,114,117,116,128,112,116
2811,r088,All fields -> Life sciences -> Health sciences -> Veterinary sciences,All fields,Life sciences,Health sciences,Veterinary sciences,,4,57,60,59,67,42,56,49,50,57,50
2811,r089,"All fields -> Life sciences -> Health sciences -> Health sciences, general",All fields,Life sciences,Health sciences,"Health sciences, general",,4,37,41,37,62,39,36,93,65,72,79
2811,r090,"All fields -> Life sciences -> Health sciences -> Health sciences, other",All fields,Life sciences,Health sciences,"Health sciences, other",,4,101,83,76,80,106,84,67,100,133,152
2811,r091,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,,,2,4995,5271,5419,5584,5910,5916,6251,6082,6332,6585
2811,r092,All fields -> Physical sciences and earth sciences -> Chemistry,All fields,Physical sciences and earth sciences,Chemistry,,,3,2304,2432,2416,2484,2673,2666,2703,2699,2809,2941
2811,r093,All fields -> Physical sciences and earth sciences -> Chemistry -> Analytical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Analytical chemistry,,4,402,391,370,417,415,388,393,387,401,367
2811,r094,All fields -> Physical sciences and earth sciences -> Chemistry -> Chemical biology,All fields,Physical sciences and earth sciences,Chemistry,Chemical biology,,4,na,na,na,na,na,na,120,150,160,185
2811,r095,All fields -> Physical sciences and earth sciences -> Chemistry -> Inorganic chemistry,All fields,Physical sciences and earth sciences,Chemistry,Inorganic chemistry,,4,294,320,307,297,372,354,343,353,358,386
2811,r096,All fields -> Physical sciences and earth sciences -> Chemistry -> Medicinal chemistry<sup>g</sup>,All fields,Physical sciences and earth sciences,Chemistry,Medicinal chemistry<sup>g</sup>,,4,0,0,0,0,86,79,72,70,86,94
2811,r097,All fields -> Physical sciences and earth sciences -> Chemistry -> Organic chemistry,All fields,Physical sciences and earth sciences,Chemistry,Organic chemistry,,4,599,663,667,643,605,625,565,552,574,564
2811,r098,All fields -> Physical sciences and earth sciences -> Chemistry -> Physical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Physical chemistry,,4,360,390,360,355,340,366,379,343,397,390
2811,r099,All fields -> Physical sciences and earth sciences -> Chemistry -> Polymer chemistry,All fields,Physical sciences and earth sciences,Chemistry,Polymer chemistry,,4,126,123,125,125,127,135,151,160,132,174
2811,r100,All fields -> Physical sciences and earth sciences -> Chemistry -> Theoretical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Theoretical chemistry,,4,86,69,78,74,103,111,88,88,106,96
2811,r101,"All fields -> Physical sciences and earth sciences -> Chemistry -> Chemistry, general",All fields,Physical sciences and earth sciences,Chemistry,"Chemistry, general",,4,269,289,290,364,416,398,411,432,430,477
2811,r102,"All fields -> Physical sciences and earth sciences -> Chemistry -> Chemistry, other",All fields,Physical sciences and earth sciences,Chemistry,"Chemistry, other",,4,168,187,219,209,209,210,181,164,165,208
2811,r103,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,,3,862,852,941,989,1098,1057,1227,1169,1185,1274
2811,r104,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,,4,170,178,205,205,200,213,245,248,265,236
2811,r105,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Atmospheric chemistry and climatology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,Atmospheric chemistry and climatology,5,39,43,50,49,42,36,41,62,50,57
2811,r106,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Atmospheric physics and dynamics",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,Atmospheric physics and dynamics,5,45,40,51,43,51,59,58,30,48,32
2811,r107,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Meteorology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,Meteorology,5,15,29,18,18,32,30,20,17,19,13
2811,r108,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Atmospheric science and meteorology, general",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,"Atmospheric science and meteorology, general",5,47,47,61,77,55,62,108,105,123,117
2811,r109,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Atmospheric science and meteorology, other",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,"Atmospheric science and meteorology, other",5,24,19,25,18,20,26,18,34,25,17
2811,r110,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,,4,463,451,462,489,579,554,618,572,591,622
2811,r111,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geochemistry",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Geochemistry,5,74,70,68,73,85,94,81,67,61,66
2811,r112,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Geology,5,128,124,112,126,130,135,127,118,132,149
2811,r113,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geomorphology, glacial geology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Geomorphology, glacial geology",5,28,23,16,32,25,27,24,22,18,21
2811,r114,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geophysics and seismology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Geophysics and seismology,5,94,95,95,113,151,123,138,124,129,136
2811,r115,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Mineralogy and petrology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Mineralogy and petrology,5,13,19,19,16,15,21,6,9,9,8
2811,r116,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Paleontology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Paleontology,5,31,38,41,31,38,30,30,29,30,24
2811,r117,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Stratigraphy and sedimentation",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Stratigraphy and sedimentation,5,18,16,16,22,15,17,12,12,14,6
2811,r118,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geological and earth sciences, general",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Geological and earth sciences, general",5,36,26,34,33,60,55,155,139,125,159
2811,r119,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geological and earth sciences, other",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Geological and earth sciences, other",5,41,40,61,43,60,52,45,52,73,53
2811,r120,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,,4,229,223,274,295,319,290,364,349,329,416
2811,r121,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences -> Hydrology and water resources",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,Hydrology and water resources,5,47,48,52,51,63,76,130,99,107,163
2811,r122,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences -> Marine biology and biological oceanography",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,Marine biology and biological oceanography,5,na,na,100,111,110,85,90,112,73,88
2811,r123,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences -> Marine sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,Marine sciences,5,79,69,36,26,41,42,54,53,56,70
2811,r124,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences -> Oceanography, chemical and physical",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,"Oceanography, chemical and physical",5,87,90,70,92,89,67,79,70,81,81
2811,r125,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences -> Ocean and marine sciences, other",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,"Ocean and marine sciences, other",5,16,16,16,15,16,20,11,15,12,14
2811,r126,All fields -> Physical sciences and earth sciences -> Physics and astronomy,All fields,Physical sciences and earth sciences,Physics and astronomy,,,3,1829,1987,2062,2111,2139,2193,2321,2214,2338,2370
