table_id,row_id,_b_education_related_debt_level_and_field_b_full_path,_b_education_related_debt_level_and_field_b_level_1,_b_education_related_debt_level_and_field_b_level_2,_b_education_related_debt_level_and_field_b_level_3,_b_education_related_debt_level_and_field_b_level_4,_b_education_related_debt_level_and_field_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
11652,r025,All fields -> Science and engineering -> Computer and information sciences,All fields,Science and engineering,Computer and information sciences,,3,1659,1767,1774,1892,1803,1802,2043,2161,2127,2363,2390
11652,r026,All fields -> Science and engineering -> Computer and information sciences -> No debt,All fields,Science and engineering,Computer and information sciences,No debt,4,1337,1373,1408,1499,1464,1485,1704,1802,1801,2035,2025
11652,r027,"All fields -> Science and engineering -> Computer and information sciences -> $10,000 or less",All fields,Science and engineering,Computer and information sciences,"$10,000 or less",4,104,122,119,106,111,110,112,110,110,107,122
11652,r028,"All fields -> Science and engineering -> Computer and information sciences -> $10,001&#8211;$30,000",All fields,Science and engineering,Computer and information sciences,"$10,001&#8211;$30,000",4,85,101,89,113,94,80,86,115,87,94,94
11652,r029,"All fields -> Science and engineering -> Computer and information sciences -> $30,001&#8211;$70,000",All fields,Science and engineering,Computer and information sciences,"$30,001&#8211;$70,000",4,66,98,81,90,59,61,74,57,66,69,75
11652,r030,"All fields -> Science and engineering -> Computer and information sciences -> $70,001 or more",All fields,Science and engineering,Computer and information sciences,"$70,001 or more",4,67,73,77,84,75,66,67,77,63,58,74
11652,r031,All fields -> Science and engineering -> Engineering,All fields,Science and engineering,Engineering,,3,7964,8445,8827,8549,8852,9288,9429,9649,9391,10421,10288
11652,r032,All fields -> Science and engineering -> Engineering -> No debt,All fields,Science and engineering,Engineering,No debt,4,5981,6426,6787,6555,7032,7488,7573,7876,7732,8683,8562
11652,r033,"All fields -> Science and engineering -> Engineering -> $10,000 or less",All fields,Science and engineering,Engineering,"$10,000 or less",4,706,746,774,759,679,716,639,635,549,566,609
11652,r034,"All fields -> Science and engineering -> Engineering -> $10,001&#8211;$30,000",All fields,Science and engineering,Engineering,"$10,001&#8211;$30,000",4,615,617,613,568,520,516,577,494,492,519,528
11652,r035,"All fields -> Science and engineering -> Engineering -> $30,001&#8211;$70,000",All fields,Science and engineering,Engineering,"$30,001&#8211;$70,000",4,422,413,420,416,362,341,345,317,339,373,356
11652,r036,"All fields -> Science and engineering -> Engineering -> $70,001 or more",All fields,Science and engineering,Engineering,"$70,001 or more",4,240,243,233,251,259,227,295,327,279,280,233
11652,r037,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",,3,896,997,969,1163,1085,1117,1199,1157,1001,1094,1132
11652,r038,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> No debt",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",No debt,4,664,715,714,877,835,858,926,912,796,937,928
11652,r039,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> $10,000 or less",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences","$10,000 or less",4,79,89,91,100,88,96,83,102,72,56,64
11652,r040,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> $10,001&#8211;$30,000",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences","$10,001&#8211;$30,000",4,73,84,67,84,65,82,73,66,55,40,59
11652,r041,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> $30,001&#8211;$70,000",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences","$30,001&#8211;$70,000",4,51,68,61,55,59,45,58,39,43,36,42
11652,r042,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> $70,001 or more",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences","$70,001 or more",4,29,41,36,47,38,36,59,38,35,25,39
11652,r043,All fields -> Science and engineering -> Health sciences,All fields,Science and engineering,Health sciences,,3,1851,1919,1967,2056,2213,2230,2265,2342,2006,2197,2147
11652,r044,All fields -> Science and engineering -> Health sciences -> No debt,All fields,Science and engineering,Health sciences,No debt,4,948,951,942,1010,1096,1161,1166,1228,1086,1277,1174
11652,r045,"All fields -> Science and engineering -> Health sciences -> $10,000 or less",All fields,Science and engineering,Health sciences,"$10,000 or less",4,145,125,165,166,176,143,151,143,133,114,134
11652,r046,"All fields -> Science and engineering -> Health sciences -> $10,001&#8211;$30,000",All fields,Science and engineering,Health sciences,"$10,001&#8211;$30,000",4,211,249,230,222,218,214,227,232,147,179,171
11652,r047,"All fields -> Science and engineering -> Health sciences -> $30,001&#8211;$70,000",All fields,Science and engineering,Health sciences,"$30,001&#8211;$70,000",4,292,303,299,318,336,329,273,289,253,255,280
11652,r048,"All fields -> Science and engineering -> Health sciences -> $70,001 or more",All fields,Science and engineering,Health sciences,"$70,001 or more",4,255,291,331,340,387,383,448,450,387,372,388
11652,r049,All fields -> Science and engineering -> Mathematics and statistics,All fields,Science and engineering,Mathematics and statistics,,3,1614,1648,1633,1697,1665,1873,1846,1875,1857,2035,1980
11652,r050,All fields -> Science and engineering -> Mathematics and statistics -> No debt,All fields,Science and engineering,Mathematics and statistics,No debt,4,1296,1312,1339,1386,1371,1560,1546,1602,1574,1761,1750
11652,r051,"All fields -> Science and engineering -> Mathematics and statistics -> $10,000 or less",All fields,Science and engineering,Mathematics and statistics,"$10,000 or less",4,100,116,103,84,107,105,99,98,93,74,93
11652,r052,"All fields -> Science and engineering -> Mathematics and statistics -> $10,001&#8211;$30,000",All fields,Science and engineering,Mathematics and statistics,"$10,001&#8211;$30,000",4,97,88,86,104,81,90,83,74,79,81,65
11652,r053,"All fields -> Science and engineering -> Mathematics and statistics -> $30,001&#8211;$70,000",All fields,Science and engineering,Mathematics and statistics,"$30,001&#8211;$70,000",4,76,79,63,75,56,78,67,55,56,56,42
11652,r054,"All fields -> Science and engineering -> Mathematics and statistics -> $70,001 or more",All fields,Science and engineering,Mathematics and statistics,"$70,001 or more",4,45,53,42,48,50,40,51,46,55,63,30
11652,r055,All fields -> Science and engineering -> Physical sciences ,All fields,Science and engineering,Physical sciences ,,3,4109,4206,4359,4585,4540,4753,4924,4644,4366,5049,5002
11652,r056,All fields -> Science and engineering -> Physical sciences  -> No debt,All fields,Science and engineering,Physical sciences ,No debt,4,3167,3308,3450,3653,3749,3966,4097,3997,3810,4367,4283
11652,r057,"All fields -> Science and engineering -> Physical sciences  -> $10,000 or less",All fields,Science and engineering,Physical sciences ,"$10,000 or less",4,342,315,369,384,304,350,311,257,209,261,285
11652,r058,"All fields -> Science and engineering -> Physical sciences  -> $10,001&#8211;$30,000",All fields,Science and engineering,Physical sciences ,"$10,001&#8211;$30,000",4,307,281,257,251,233,187,244,168,169,188,211
11652,r059,"All fields -> Science and engineering -> Physical sciences  -> $30,001&#8211;$70,000",All fields,Science and engineering,Physical sciences ,"$30,001&#8211;$70,000",4,193,200,176,188,158,155,148,132,110,128,127
11652,r060,"All fields -> Science and engineering -> Physical sciences  -> $70,001 or more",All fields,Science and engineering,Physical sciences ,"$70,001 or more",4,100,102,107,109,96,95,124,90,68,105,96
11652,r061,All fields -> Science and engineering -> Psychology,All fields,Science and engineering,Psychology,,3,3017,3040,3091,3345,3356,3288,3359,3288,3190,3401,3330
11652,r062,All fields -> Science and engineering -> Psychology -> No debt,All fields,Science and engineering,Psychology,No debt,4,1125,1112,1161,1384,1426,1487,1568,1518,1519,1771,1727
11652,r063,"All fields -> Science and engineering -> Psychology -> $10,000 or less",All fields,Science and engineering,Psychology,"$10,000 or less",4,196,207,228,243,242,205,202,218,166,170,186
11652,r064,"All fields -> Science and engineering -> Psychology -> $10,001&#8211;$30,000",All fields,Science and engineering,Psychology,"$10,001&#8211;$30,000",4,349,340,357,370,370,303,270,297,278,285,274
11652,r065,"All fields -> Science and engineering -> Psychology -> $30,001&#8211;$70,000",All fields,Science and engineering,Psychology,"$30,001&#8211;$70,000",4,569,568,523,489,458,416,386,361,356,369,346
11652,r066,"All fields -> Science and engineering -> Psychology -> $70,001 or more",All fields,Science and engineering,Psychology,"$70,001 or more",4,778,813,822,859,860,877,933,894,871,806,797
11652,r067,All fields -> Science and engineering -> Social sciences,All fields,Science and engineering,Social sciences,,3,4472,4468,4828,4791,4660,4632,4703,4683,4464,4823,4762
11652,r068,All fields -> Science and engineering -> Social sciences -> No debt,All fields,Science and engineering,Social sciences,No debt,4,2352,2367,2517,2618,2668,2681,2771,2924,2835,3232,3248
11652,r069,"All fields -> Science and engineering -> Social sciences -> $10,000 or less",All fields,Science and engineering,Social sciences,"$10,000 or less",4,423,405,448,449,408,404,348,351,279,287,354
11652,r070,"All fields -> Science and engineering -> Social sciences -> $10,001&#8211;$30,000",All fields,Science and engineering,Social sciences,"$10,001&#8211;$30,000",4,535,528,594,523,476,433,454,402,361,375,346
11652,r071,"All fields -> Science and engineering -> Social sciences -> $30,001&#8211;$70,000",All fields,Science and engineering,Social sciences,"$30,001&#8211;$70,000",4,623,573,611,580,524,502,454,398,391,360,327
11652,r072,"All fields -> Science and engineering -> Social sciences -> $70,001 or more",All fields,Science and engineering,Social sciences,"$70,001 or more",4,539,595,658,621,584,612,676,608,598,569,487
11652,r073,All fields -> Non-science and engineering,All fields,Non-science and engineering,,,2,11851,11331,11972,12120,11651,11500,11323,11225,10007,10630,10783
11652,r074,All fields -> Non-science and engineering -> No debt,All fields,Non-science and engineering,No debt,,3,5643,5293,5702,5915,5844,5921,6036,6019,5651,6142,6377
11652,r075,"All fields -> Non-science and engineering -> $10,000 or less",All fields,Non-science and engineering,"$10,000 or less",,3,1077,982,1117,1032,950,970,839,825,615,680,678
11652,r076,"All fields -> Non-science and engineering -> $10,001&#8211;$30,000",All fields,Non-science and engineering,"$10,001&#8211;$30,000",,3,1532,1399,1458,1423,1240,1214,1151,1071,834,967,911
11652,r077,"All fields -> Non-science and engineering -> $30,001&#8211;$70,000",All fields,Non-science and engineering,"$30,001&#8211;$70,000",,3,1837,1819,1708,1731,1586,1468,1350,1332,1137,1112,1113
11652,r078,"All fields -> Non-science and engineering -> $70,001 or more",All fields,Non-science and engineering,"$70,001 or more",,3,1762,1838,1987,2019,2031,1927,1947,1978,1770,1729,1704
11652,r079,All fields -> Non-science and engineering -> Business ,All fields,Non-science and engineering,Business ,,3,1346,1349,1372,1329,1344,1274,1350,1254,1210,1275,1351
11652,r080,All fields -> Non-science and engineering -> Business  -> No debt,All fields,Non-science and engineering,Business ,No debt,4,784,756,816,821,841,822,882,861,852,916,1022
11652,r081,"All fields -> Non-science and engineering -> Business  -> $10,000 or less",All fields,Non-science and engineering,Business ,"$10,000 or less",4,97,106,79,86,66,72,77,65,47,74,60
11652,r082,"All fields -> Non-science and engineering -> Business  -> $10,001&#8211;$30,000",All fields,Non-science and engineering,Business ,"$10,001&#8211;$30,000",4,119,118,127,111,112,117,102,76,86,89,91
11652,r083,"All fields -> Non-science and engineering -> Business  -> $30,001&#8211;$70,000",All fields,Non-science and engineering,Business ,"$30,001&#8211;$70,000",4,180,143,150,139,136,103,114,95,71,65,58
11652,r084,"All fields -> Non-science and engineering -> Business  -> $70,001 or more",All fields,Non-science and engineering,Business ,"$70,001 or more",4,166,226,200,172,189,160,175,157,154,131,120
11652,r085,All fields -> Non-science and engineering -> Education,All fields,Non-science and engineering,Education,,3,4300,4079,4490,4621,4299,4356,4199,4266,3769,3919,4025
11652,r086,All fields -> Non-science and engineering -> Education -> No debt,All fields,Non-science and engineering,Education,No debt,4,1898,1725,1942,2038,1892,1952,1976,2003,1868,1918,2006
11652,r087,"All fields -> Non-science and engineering -> Education -> $10,000 or less",All fields,Non-science and engineering,Education,"$10,000 or less",4,361,347,396,369,340,339,267,292,227,240,262
11652,r088,"All fields -> Non-science and engineering -> Education -> $10,001&#8211;$30,000",All fields,Non-science and engineering,Education,"$10,001&#8211;$30,000",4,574,502,555,557,483,480,421,433,337,382,382
11652,r089,"All fields -> Non-science and engineering -> Education -> $30,001&#8211;$70,000",All fields,Non-science and engineering,Education,"$30,001&#8211;$70,000",4,728,732,711,718,673,667,621,600,494,528,537
11652,r090,"All fields -> Non-science and engineering -> Education -> $70,001 or more",All fields,Non-science and engineering,Education,"$70,001 or more",4,739,773,886,939,911,918,914,938,843,851,838
11652,r091,All fields -> Non-science and engineering -> Humanities and arts,All fields,Non-science and engineering,Humanities and arts,,3,4927,4698,4873,4890,4676,4614,4507,4369,3659,3976,3913
11652,r092,All fields -> Non-science and engineering -> Humanities and arts -> No debt,All fields,Non-science and engineering,Humanities and arts,No debt,4,2400,2277,2394,2515,2507,2550,2564,2511,2231,2492,2528
11652,r093,"All fields -> Non-science and engineering -> Humanities and arts -> $10,000 or less",All fields,Non-science and engineering,Humanities and arts,"$10,000 or less",4,521,447,537,461,439,457,402,355,244,269,258
11652,r094,"All fields -> Non-science and engineering -> Humanities and arts -> $10,001&#8211;$30,000",All fields,Non-science and engineering,Humanities and arts,"$10,001&#8211;$30,000",4,663,621,629,599,503,483,476,429,286,371,315
11652,r095,"All fields -> Non-science and engineering -> Humanities and arts -> $30,001&#8211;$70,000",All fields,Non-science and engineering,Humanities and arts,"$30,001&#8211;$70,000",4,721,723,640,652,549,513,466,473,409,362,342
11652,r096,"All fields -> Non-science and engineering -> Humanities and arts -> $70,001 or more",All fields,Non-science and engineering,Humanities and arts,"$70,001 or more",4,622,630,673,663,678,611,599,601,489,482,470
11652,r097,All fields -> Non-science and engineering -> Other non-science and engineering,All fields,Non-science and engineering,Other non-science and engineering,,3,1278,1205,1237,1280,1332,1256,1267,1336,1369,1460,1494
11652,r098,All fields -> Non-science and engineering -> Other non-science and engineering -> No debt,All fields,Non-science and engineering,Other non-science and engineering,No debt,4,561,535,550,541,604,597,614,644,700,816,821
11652,r099,"All fields -> Non-science and engineering -> Other non-science and engineering -> $10,000 or less",All fields,Non-science and engineering,Other non-science and engineering,"$10,000 or less",4,98,82,105,116,105,102,93,113,97,97,98
11652,r100,"All fields -> Non-science and engineering -> Other non-science and engineering -> $10,001&#8211;$30,000",All fields,Non-science and engineering,Other non-science and engineering,"$10,001&#8211;$30,000",4,176,158,147,156,142,134,152,133,125,125,123
11652,r101,"All fields -> Non-science and engineering -> Other non-science and engineering -> $30,001&#8211;$70,000",All fields,Non-science and engineering,Other non-science and engineering,"$30,001&#8211;$70,000",4,208,221,207,222,228,185,149,164,163,157,176
11652,r102,"All fields -> Non-science and engineering -> Other non-science and engineering -> $70,001 or more",All fields,Non-science and engineering,Other non-science and engineering,"$70,001 or more",4,235,209,228,245,253,238,259,282,284,265,276
