table_id,row_id,sex_occupation_and_job_satisfaction_full_path,sex_occupation_and_job_satisfaction_level_1,sex_occupation_and_job_satisfaction_level_2,sex_occupation_and_job_satisfaction_level_3,sex_occupation_and_job_satisfaction_level_4,sex_occupation_and_job_satisfaction_level_5,sex_occupation_and_job_satisfaction_hierarchy_depth,field_total,field_years_since_highest_degree_5,field_years_since_highest_degree_5_9,field_years_since_highest_degree_10_14,field_years_since_highest_degree_15_19,field_years_since_highest_degree_20_24,field_years_since_highest_degree_25_29,field_years_since_highest_degree_30_34,field_years_since_highest_degree_35
7775,r122,All sexes -> Male -> S&E occupations -> Engineers -> Very satisfied,All sexes,Male,S&E occupations,Engineers,Very satisfied,5,755000,117000,152000,97000,90000,71000,65000,60000,103000
7775,r123,All sexes -> Male -> S&E occupations -> Engineers -> Somewhat satisfied,All sexes,Male,S&E occupations,Engineers,Somewhat satisfied,5,738000,139000,165000,105000,75000,70000,62000,43000,79000
7775,r124,All sexes -> Male -> S&E occupations -> Engineers -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Engineers,Somewhat dissatisfied,5,120000,33000,28000,18000,10000,9000,8000,6000,8000
7775,r125,All sexes -> Male -> S&E occupations -> Engineers -> Very dissatisfied,All sexes,Male,S&E occupations,Engineers,Very dissatisfied,5,23000,8000,3000,5000,0.05,1000,3000,0.05,S
7775,r126,All sexes -> Male -> S&E-related occupations,All sexes,Male,S&E-related occupations,,,3,4028000,635000,734000,572000,499000,419000,360000,298000,511000
7775,r127,All sexes -> Male -> S&E-related occupations -> Very satisfied,All sexes,Male,S&E-related occupations,Very satisfied,,4,1869000,243000,308000,255000,247000,199000,168000,153000,295000
7775,r128,All sexes -> Male -> S&E-related occupations -> Somewhat satisfied,All sexes,Male,S&E-related occupations,Somewhat satisfied,,4,1808000,308000,339000,270000,221000,194000,165000,120000,190000
7775,r129,All sexes -> Male -> S&E-related occupations -> Somewhat dissatisfied,All sexes,Male,S&E-related occupations,Somewhat dissatisfied,,4,288000,72000,66000,38000,27000,21000,26000,23000,15000
7775,r130,All sexes -> Male -> S&E-related occupations -> Very dissatisfied,All sexes,Male,S&E-related occupations,Very dissatisfied,,4,63000,11000,21000,9000,S,5000,S,S,S
7775,r131,All sexes -> Male -> Non-S&E occupations,All sexes,Male,Non-S&E occupations,,,3,15649000,1829000,2517000,2265000,1978000,1579000,1506000,1260000,2715000
7775,r132,All sexes -> Male -> Non-S&E occupations -> Very satisfied,All sexes,Male,Non-S&E occupations,Very satisfied,,4,7201000,644000,987000,963000,866000,829000,734000,639000,1539000
7775,r133,All sexes -> Male -> Non-S&E occupations -> Somewhat satisfied,All sexes,Male,Non-S&E occupations,Somewhat satisfied,,4,6723000,840000,1198000,978000,913000,629000,642000,512000,1011000
7775,r134,All sexes -> Male -> Non-S&E occupations -> Somewhat dissatisfied,All sexes,Male,Non-S&E occupations,Somewhat dissatisfied,,4,1360000,275000,259000,252000,148000,100000,117000,80000,129000
7775,r135,All sexes -> Male -> Non-S&E occupations -> Very dissatisfied,All sexes,Male,Non-S&E occupations,Very dissatisfied,,4,364000,71000,73000,73000,51000,20000,13000,29000,36000
