table_id,row_id,citizenship_status_and_field_full_path,citizenship_status_and_field_level_1,citizenship_status_and_field_level_2,citizenship_status_and_field_level_3,citizenship_status_and_field_hierarchy_depth,field_all_recipients,field_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
2847,r011,All doctorate recipients<sup>c</sup> -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>c</sup>,Mathematics and computer sciences,Computer and information sciences,3,2228,1578,1414,276,254,789,95,161,3
2847,r012,All doctorate recipients<sup>c</sup> -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>c</sup>,Mathematics and computer sciences,Mathematics and statistics,3,2012,1395,1189,450,262,409,68,205,1
2847,r013,All doctorate recipients<sup>c</sup> -> Psychology and social sciences,All doctorate recipients<sup>c</sup>,Psychology and social sciences,,2,9071,6015,5315,2170,1625,680,840,694,6
2847,r014,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Psychology,3,3936,2641,2538,1491,419,302,326,101,2
2847,r015,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Anthropology,3,445,239,198,80,80,14,24,41,0
2847,r016,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Economics,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Economics,3,1247,929,660,112,253,184,111,268,1
2847,r017,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Political science and government,3,707,482,411,132,194,30,55,70,1
2847,r018,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Sociology,3,633,457,423,122,227,28,46,34,0
2847,r019,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Other social sciences,3,2103,1267,1085,233,452,122,278,180,2
2847,r020,All doctorate recipients<sup>c</sup> -> Engineering,All doctorate recipients<sup>c</sup>,Engineering,,2,10303,6319,5621,1955,446,2723,497,686,12
2847,r021,"All doctorate recipients<sup>c</sup> -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>c</sup>,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,379,255,233,59,29,93,52,21,1
2847,r022,All doctorate recipients<sup>c</sup> -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>c</sup>,Engineering,Bioengineering and biomedical engineering,3,1164,648,600,342,29,210,19,48,0
2847,r023,All doctorate recipients<sup>c</sup> -> Engineering -> Chemical engineering,All doctorate recipients<sup>c</sup>,Engineering,Chemical engineering,3,981,596,534,197,16,300,21,60,2
2847,r024,All doctorate recipients<sup>c</sup> -> Engineering -> Civil engineering,All doctorate recipients<sup>c</sup>,Engineering,Civil engineering,3,701,397,325,111,42,137,35,70,2
2847,r025,"All doctorate recipients<sup>c</sup> -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>c</sup>,Engineering,"Electrical, electronics, and communications engineering",3,1799,1142,1033,221,54,660,98,105,4
2847,r026,All doctorate recipients<sup>c</sup> -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>c</sup>,Engineering,Industrial and manufacturing engineering,3,234,155,138,27,26,70,15,17,0
2847,r027,All doctorate recipients<sup>c</sup> -> Engineering -> Materials science engineering,All doctorate recipients<sup>c</sup>,Engineering,Materials science engineering,3,992,582,534,242,13,243,36,46,2
2847,r028,All doctorate recipients<sup>c</sup> -> Engineering -> Mechanical engineering,All doctorate recipients<sup>c</sup>,Engineering,Mechanical engineering,3,1533,931,831,331,70,345,85,99,1
2847,r029,All doctorate recipients<sup>c</sup> -> Engineering -> Other engineering,All doctorate recipients<sup>c</sup>,Engineering,Other engineering,3,2520,1613,1393,425,167,665,136,220,0
2847,r030,All doctorate recipients<sup>c</sup> -> Education,All doctorate recipients<sup>c</sup>,Education,,2,4635,3065,2877,269,1481,147,980,187,1
2847,r031,All doctorate recipients<sup>c</sup> -> Education -> Education administration,All doctorate recipients<sup>c</sup>,Education,Education administration,3,839,571,555,14,222,21,298,16,0
2847,r032,All doctorate recipients<sup>c</sup> -> Education -> Education research,All doctorate recipients<sup>c</sup>,Education,Education research,3,2303,1547,1448,167,778,96,407,98,1
2847,r033,All doctorate recipients<sup>c</sup> -> Education -> Teacher education,All doctorate recipients<sup>c</sup>,Education,Teacher education,3,104,69,64,,30,,29,5,0
2847,r034,All doctorate recipients<sup>c</sup> -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Education,Teaching fields,3,960,630,576,61,340,18,157,54,0
2847,r035,All doctorate recipients<sup>c</sup> -> Education -> Other education,All doctorate recipients<sup>c</sup>,Education,Other education,3,429,248,234,,111,,89,14,0
2847,r036,All doctorate recipients<sup>c</sup> -> Humanities and arts,All doctorate recipients<sup>c</sup>,Humanities and arts,,2,5054,2642,2377,450,1394,144,389,265,0
2847,r037,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Humanities and arts,Foreign languages and literature,3,610,345,304,43,207,11,43,41,0
2847,r038,All doctorate recipients<sup>c</sup> -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Humanities and arts,History,3,912,505,443,131,219,20,73,62,0
2847,r039,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Humanities and arts,Letters,3,1387,710,667,102,456,33,76,43,0
2847,r040,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Humanities and arts,Other humanities and arts,3,2145,1082,963,174,512,80,197,119,0
2847,r041,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,,2,3034,1996,1721,141,1199,196,185,273,2
2847,r042,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,Business management and administration,3,1536,1109,941,45,704,130,62,167,1
2847,r043,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup> -> Communication,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,Communication,3,543,336,302,30,229,22,21,34,0
2847,r044,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup> -> Non-S&E fields nec,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,Non-S&E fields nec,3,955,551,478,66,266,44,102,72,1
2847,r045,U.S. citizen or permanent resident,U.S. citizen or permanent resident,,,1,35274,23079,22259,7943,6472,4228,3616,817,3
2847,r046,U.S. citizen or permanent resident -> Life sciences,U.S. citizen or permanent resident,Life sciences,,2,9052,5748,5597,3094,954,955,594,149,2
2847,r047,U.S. citizen or permanent resident -> Life sciences -> Agricultural sciences and natural resources,U.S. citizen or permanent resident,Life sciences,Agricultural sciences and natural resources,3,822,507,489,183,115,116,75,17,1
2847,r048,U.S. citizen or permanent resident -> Life sciences -> Biological and biomedical sciences,U.S. citizen or permanent resident,Life sciences,Biological and biomedical sciences,3,6380,3978,3860,2536,385,679,260,118,0
2847,r049,U.S. citizen or permanent resident -> Life sciences -> Health sciences,U.S. citizen or permanent resident,Life sciences,Health sciences,3,1850,1263,1248,375,454,160,259,14,1
2847,r050,U.S. citizen or permanent resident -> Physical sciences and earth sciences,U.S. citizen or permanent resident,Physical sciences and earth sciences,,2,3903,2509,2367,1187,230,738,212,142,0
2847,r051,U.S. citizen or permanent resident -> Physical sciences and earth sciences -> Chemistry,U.S. citizen or permanent resident,Physical sciences and earth sciences,Chemistry,3,1781,1089,1053,501,88,412,52,36,0
2847,r052,"U.S. citizen or permanent resident -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",U.S. citizen or permanent resident,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",3,809,544,504,259,67,80,98,40,0
2847,r053,U.S. citizen or permanent resident -> Physical sciences and earth sciences -> Physics and astronomy,U.S. citizen or permanent resident,Physical sciences and earth sciences,Physics and astronomy,3,1313,876,810,427,75,246,62,66,0
2847,r054,U.S. citizen or permanent resident -> Mathematics and computer sciences,U.S. citizen or permanent resident,Mathematics and computer sciences,,2,1787,1251,1169,323,309,407,130,82,0
2847,r055,U.S. citizen or permanent resident -> Mathematics and computer sciences -> Computer and information sciences,U.S. citizen or permanent resident,Mathematics and computer sciences,Computer and information sciences,3,800,580,557,102,133,247,75,23,0
2847,r056,U.S. citizen or permanent resident -> Mathematics and computer sciences -> Mathematics and statistics,U.S. citizen or permanent resident,Mathematics and computer sciences,Mathematics and statistics,3,987,671,612,221,176,160,55,59,0
2847,r057,U.S. citizen or permanent resident -> Psychology and social sciences,U.S. citizen or permanent resident,Psychology and social sciences,,2,6723,4709,4540,1880,1352,530,778,168,1
2847,r058,U.S. citizen or permanent resident -> Psychology and social sciences -> Psychology,U.S. citizen or permanent resident,Psychology and social sciences,Psychology,3,3349,2411,2374,1391,384,282,317,37,0
2847,r059,U.S. citizen or permanent resident -> Psychology and social sciences -> Anthropology,U.S. citizen or permanent resident,Psychology and social sciences,Anthropology,3,359,198,177,67,73,14,23,21,0
2847,r060,U.S. citizen or permanent resident -> Psychology and social sciences -> Economics,U.S. citizen or permanent resident,Psychology and social sciences,Economics,3,491,390,365,48,150,86,81,25,0
2847,r061,U.S. citizen or permanent resident -> Psychology and social sciences -> Political science and government,U.S. citizen or permanent resident,Psychology and social sciences,Political science and government,3,504,366,344,,164,,54,22,0
2847,r062,U.S. citizen or permanent resident -> Psychology and social sciences -> Sociology,U.S. citizen or permanent resident,Psychology and social sciences,Sociology,3,511,393,380,,206,,45,13,0
2847,r063,U.S. citizen or permanent resident -> Psychology and social sciences -> Other social sciences,U.S. citizen or permanent resident,Psychology and social sciences,Other social sciences,3,1509,951,900,170,375,97,258,50,1
2847,r064,U.S. citizen or permanent resident -> Engineering,U.S. citizen or permanent resident,Engineering,,2,4253,2729,2647,795,266,1184,402,82,0
2847,r065,"U.S. citizen or permanent resident -> Engineering -> Aerospace, aeronautical, and astronautical engineering",U.S. citizen or permanent resident,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,212,162,,,22,60,49,,0
2847,r066,U.S. citizen or permanent resident -> Engineering -> Bioengineering and biomedical engineering,U.S. citizen or permanent resident,Engineering,Bioengineering and biomedical engineering,3,772,428,412,,,155,16,16,0
2847,r067,U.S. citizen or permanent resident -> Engineering -> Chemical engineering,U.S. citizen or permanent resident,Engineering,Chemical engineering,3,480,303,289,97,10,164,18,14,0
2847,r068,U.S. citizen or permanent resident -> Engineering -> Civil engineering,U.S. citizen or permanent resident,Engineering,Civil engineering,3,200,122,,24,,45,24,,0
2847,r069,"U.S. citizen or permanent resident -> Engineering -> Electrical, electronics, and communications engineering",U.S. citizen or permanent resident,Engineering,"Electrical, electronics, and communications engineering",3,518,353,347,51,27,198,71,6,0
2847,r070,U.S. citizen or permanent resident -> Engineering -> Industrial and manufacturing engineering,U.S. citizen or permanent resident,Engineering,Industrial and manufacturing engineering,3,84,58,58,5,14,28,11,0,0
2847,r071,U.S. citizen or permanent resident -> Engineering -> Materials science engineering,U.S. citizen or permanent resident,Engineering,Materials science engineering,3,501,315,306,,,147,28,9,0
2847,r072,U.S. citizen or permanent resident -> Engineering -> Mechanical engineering,U.S. citizen or permanent resident,Engineering,Mechanical engineering,3,600,393,383,117,44,142,80,10,0
2847,r073,U.S. citizen or permanent resident -> Engineering -> Other engineering,U.S. citizen or permanent resident,Engineering,Other engineering,3,886,595,576,137,89,245,105,19,0
2847,r074,U.S. citizen or permanent resident -> Education,U.S. citizen or permanent resident,Education,,2,3848,2738,2699,219,1386,134,960,39,0
2847,r075,U.S. citizen or permanent resident -> Education -> Education administration,U.S. citizen or permanent resident,Education,Education administration,3,754,,545,,,,297,,0
2847,r076,U.S. citizen or permanent resident -> Education -> Education research,U.S. citizen or permanent resident,Education,Education research,3,1907,1372,1353,141,728,89,395,19,0
2847,r077,U.S. citizen or permanent resident -> Education -> Teacher education,U.S. citizen or permanent resident,Education,Teacher education,3,87,,,,,,28,0,0
2847,r078,U.S. citizen or permanent resident -> Education -> Teaching fields,U.S. citizen or permanent resident,Education,Teaching fields,3,772,537,523,,309,,154,14,0
2847,r079,U.S. citizen or permanent resident -> Education -> Other education,U.S. citizen or permanent resident,Education,Other education,3,328,221,,,105,8,86,,0
2847,r080,U.S. citizen or permanent resident -> Humanities and arts,U.S. citizen or permanent resident,Humanities and arts,,2,3988,2196,2088,364,1216,137,371,108,0
2847,r081,U.S. citizen or permanent resident -> Humanities and arts -> Foreign languages and literature,U.S. citizen or permanent resident,Humanities and arts,Foreign languages and literature,3,383,229,212,24,140,,,17,0
2847,r082,U.S. citizen or permanent resident -> Humanities and arts -> History,U.S. citizen or permanent resident,Humanities and arts,History,3,741,430,404,115,196,20,73,26,0
2847,r083,U.S. citizen or permanent resident -> Humanities and arts -> Letters,U.S. citizen or permanent resident,Humanities and arts,Letters,3,1188,630,615,86,423,,,15,0
2847,r084,U.S. citizen or permanent resident -> Humanities and arts -> Other humanities and arts,U.S. citizen or permanent resident,Humanities and arts,Other humanities and arts,3,1676,907,857,139,457,,,50,0
2847,r085,U.S. citizen or permanent resident -> Other<sup>d</sup>,U.S. citizen or permanent resident,Other<sup>d</sup>,,2,1720,1199,1152,81,759,143,169,47,0
2847,r086,U.S. citizen or permanent resident -> Other<sup>d</sup> -> Business management and administration,U.S. citizen or permanent resident,Other<sup>d</sup>,Business management and administration,3,747,557,532,21,367,90,54,25,0
2847,r087,U.S. citizen or permanent resident -> Other<sup>d</sup> -> Communication,U.S. citizen or permanent resident,Other<sup>d</sup>,Communication,3,349,232,226,22,169,17,18,6,0
2847,r088,U.S. citizen or permanent resident -> Other<sup>d</sup> -> Non-S&E fields nec,U.S. citizen or permanent resident,Other<sup>d</sup>,Non-S&E fields nec,3,624,410,394,38,223,36,97,16,0
2847,r089,Temporary visa holder,Temporary visa holder,,,1,18351,11892,9163,4120,1530,3218,295,2706,23
2847,r090,Temporary visa holder -> Life sciences,Temporary visa holder,Life sciences,,2,3406,2173,1717,1223,125,316,53,456,0
2847,r091,Temporary visa holder -> Life sciences -> Agricultural sciences and natural resources,Temporary visa holder,Life sciences,Agricultural sciences and natural resources,3,648,381,262,178,33,45,6,119,0
2847,r092,Temporary visa holder -> Life sciences -> Biological and biomedical sciences,Temporary visa holder,Life sciences,Biological and biomedical sciences,3,2136,1393,1180,882,55,212,31,213,0
2847,r093,Temporary visa holder -> Life sciences -> Health sciences,Temporary visa holder,Life sciences,Health sciences,3,622,399,275,163,37,59,16,124,0
2847,r094,Temporary visa holder -> Physical sciences and earth sciences,Temporary visa holder,Physical sciences and earth sciences,,2,2486,1615,1291,859,46,373,13,321,3
2847,r095,Temporary visa holder -> Physical sciences and earth sciences -> Chemistry,Temporary visa holder,Physical sciences and earth sciences,Chemistry,3,1071,674,573,388,18,163,4,99,2
2847,r096,"Temporary visa holder -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",Temporary visa holder,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",3,430,277,201,152,10,35,4,76,0
2847,r097,Temporary visa holder -> Physical sciences and earth sciences -> Physics and astronomy,Temporary visa holder,Physical sciences and earth sciences,Physics and astronomy,3,985,664,517,319,18,175,5,146,1
2847,r098,Temporary visa holder -> Mathematics and computer sciences,Temporary visa holder,Mathematics and computer sciences,,2,2309,1710,1426,402,206,788,30,281,3
2847,r099,Temporary visa holder -> Mathematics and computer sciences -> Computer and information sciences,Temporary visa holder,Mathematics and computer sciences,Computer and information sciences,3,1333,989,851,173,120,540,18,136,2
2847,r100,Temporary visa holder -> Mathematics and computer sciences -> Mathematics and statistics,Temporary visa holder,Mathematics and computer sciences,Mathematics and statistics,3,976,721,575,229,86,248,12,145,1
2847,r101,Temporary visa holder -> Psychology and social sciences,Temporary visa holder,Psychology and social sciences,,2,1917,1291,763,289,272,146,56,523,5
2847,r102,Temporary visa holder -> Psychology and social sciences -> Psychology,Temporary visa holder,Psychology and social sciences,Psychology,3,339,223,157,99,35,16,7,64,2
2847,r103,Temporary visa holder -> Psychology and social sciences -> Anthropology,Temporary visa holder,Psychology and social sciences,Anthropology,3,66,40,21,13,7,0,1,19,0
2847,r104,Temporary visa holder -> Psychology and social sciences -> Economics,Temporary visa holder,Psychology and social sciences,Economics,3,708,536,294,64,103,98,29,241,1
2847,r105,Temporary visa holder -> Psychology and social sciences -> Political science and government,Temporary visa holder,Psychology and social sciences,Political science and government,3,173,116,67,,30,,1,48,1
2847,r106,Temporary visa holder -> Psychology and social sciences -> Sociology,Temporary visa holder,Psychology and social sciences,Sociology,3,105,63,42,,20,,1,21,0
2847,r107,Temporary visa holder -> Psychology and social sciences -> Other social sciences,Temporary visa holder,Psychology and social sciences,Other social sciences,3,526,313,182,63,77,25,17,130,1
2847,r108,Temporary visa holder -> Engineering,Temporary visa holder,Engineering,,2,5683,3560,2949,1154,179,1524,92,600,11
2847,r109,"Temporary visa holder -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Temporary visa holder,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,153,93,,,7,33,3,,1
2847,r110,Temporary visa holder -> Engineering -> Bioengineering and biomedical engineering,Temporary visa holder,Engineering,Bioengineering and biomedical engineering,3,359,217,187,,,55,2,30,0
2847,r111,Temporary visa holder -> Engineering -> Chemical engineering,Temporary visa holder,Engineering,Chemical engineering,3,479,291,243,100,6,134,3,46,2
2847,r112,Temporary visa holder -> Engineering -> Civil engineering,Temporary visa holder,Engineering,Civil engineering,3,462,274,,87,,91,11,,2
2847,r113,"Temporary visa holder -> Engineering -> Electrical, electronics, and communications engineering",Temporary visa holder,Engineering,"Electrical, electronics, and communications engineering",3,1198,780,679,167,27,459,26,98,3
2847,r114,Temporary visa holder -> Engineering -> Industrial and manufacturing engineering,Temporary visa holder,Engineering,Industrial and manufacturing engineering,3,140,95,78,22,12,41,3,17,0
2847,r115,Temporary visa holder -> Engineering -> Materials science engineering,Temporary visa holder,Engineering,Materials science engineering,3,461,267,228,,,96,8,37,2
2847,r116,Temporary visa holder -> Engineering -> Mechanical engineering,Temporary visa holder,Engineering,Mechanical engineering,3,880,531,442,212,26,199,5,88,1
2847,r117,Temporary visa holder -> Engineering -> Other engineering,Temporary visa holder,Engineering,Other engineering,3,1551,1012,811,287,77,416,31,201,0
2847,r118,Temporary visa holder -> Education,Temporary visa holder,Education,,2,615,317,171,49,90,13,19,146,0
2847,r119,Temporary visa holder -> Education -> Education administration,Temporary visa holder,Education,Education administration,3,54,,10,,,,1,,0
2847,r120,Temporary visa holder -> Education -> Education research,Temporary visa holder,Education,Education research,3,317,170,92,26,47,7,12,78,0
2847,r121,Temporary visa holder -> Education -> Teacher education,Temporary visa holder,Education,Teacher education,3,16,,,0,,0,1,5,0
2847,r122,Temporary visa holder -> Education -> Teaching fields,Temporary visa holder,Education,Teaching fields,3,165,89,50,,29,,3,39,0
2847,r123,Temporary visa holder -> Education -> Other education,Temporary visa holder,Education,Other education,3,63,26,,6,6,,2,,0
2847,r124,Temporary visa holder -> Humanities and arts,Temporary visa holder,Humanities and arts,,2,827,436,282,85,173,6,18,154,0
2847,r125,Temporary visa holder -> Humanities and arts -> Foreign languages and literature,Temporary visa holder,Humanities and arts,Foreign languages and literature,3,202,114,90,19,65,,,24,0
2847,r126,Temporary visa holder -> Humanities and arts -> History,Temporary visa holder,Humanities and arts,History,3,130,73,39,16,23,0,0,34,0
2847,r127,Temporary visa holder -> Humanities and arts -> Letters,Temporary visa holder,Humanities and arts,Letters,3,149,78,50,15,32,,,28,0
2847,r128,Temporary visa holder -> Humanities and arts -> Other humanities and arts,Temporary visa holder,Humanities and arts,Other humanities and arts,3,346,171,103,35,53,,,68,0
2847,r129,Temporary visa holder -> Other<sup>d</sup>,Temporary visa holder,Other<sup>d</sup>,,2,1108,790,564,59,439,52,14,225,1
2847,r130,Temporary visa holder -> Other<sup>d</sup> -> Business management and administration,Temporary visa holder,Other<sup>d</sup>,Business management and administration,3,690,549,407,24,336,39,8,141,1
2847,r131,Temporary visa holder -> Other<sup>d</sup> -> Communication,Temporary visa holder,Other<sup>d</sup>,Communication,3,163,104,76,8,60,5,3,28,0
2847,r132,Temporary visa holder -> Other<sup>d</sup> -> Non-S&E fields nec,Temporary visa holder,Other<sup>d</sup>,Non-S&E fields nec,3,255,137,81,27,43,8,3,56,0
