table_id,row_id,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_full_path,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_1,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_2,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_3,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_4,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_5,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_6,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7941,r011,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,,,4,43531732,46058907,46080033,47464317,48764898,50456805,52898447,56018930,60148940,64859918,66910120,69616471
7941,r012,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,5,1525982,1577952,1659319,1748068,1989065,2132071,2361367,2616509,2934096,3089342,3149787,3379994
7941,r013,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,5,27465906,29664114,28918557,28803492,28214054,28191478,29029502,30392429,32004414,34800509,36128994,38588683
7941,r014,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,6,535066,631248,658212,740173,785860,835589,862211,916381,1028772,1180812,1182613,1442066
7941,r015,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,5,16065826,16394793,17161476,18660825,20550844,22265327,23868945,25626501,28144526,30059409,30781126,31027788
7941,r016,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,6,990916,946704,1001107,1007895,1203205,1296482,1499156,1700128,1905324,1908530,1967174,1937928
7941,r017,All institutions -> Nondoctorate,All institutions,Nondoctorate,,,,,2,,,,,,,,,,,,
7941,r018,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,,,,3,26,28,16,15,17,15,15,14,12,13,10,13
7941,r019,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,,,4,55335,95151,102360,57550,58513,61371,76234,73314,57112,76109,69840,118657
7941,r020,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,5,7071,9551,8235,7963,9388,6476,6609,5126,3979,4000,4876,7010
7941,r021,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,5,36117,51551,57853,36130,28397,27912,29864,27992,25937,32449,25342,48836
7941,r022,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,6,4768,6564,6951,7269,7873,5168,4830,4372,3238,3083,3443,5489
7941,r023,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,5,19218,43600,44507,21420,30116,33459,46370,45322,31175,43660,44498,69821
7941,r024,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,6,2303,2987,1284,694,1515,1308,1779,754,741,917,1433,1521
7941,r025,All institutions -> Public,All institutions,Public,,,,,2,,,,,,,,,,,,
7941,r026,All institutions -> Public -> Number of institutions with clinical trials R&D,All institutions,Public,Number of institutions with clinical trials R&D,,,,3,100,101,96,100,106,111,107,111,114,124,124,125
7941,r027,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,,,4,27143937,29081518,28993617,29832528,30727888,31975939,33203172,34968934,37922227,41066104,42493027,43957983
7941,r028,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,5,578615,599545,633542,709889,754804,802818,948240,1070820,1210863,1292386,1417887,1562350
7941,r029,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,5,15921337,17253156,16779967,16830718,16417539,16462490,17021809,17749111,18811258,20604047,21423133,22634457
7941,r030,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,6,162213,204202,223816,244240,235778,246200,263574,265194,304928,388288,441614,578596
7941,r031,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,5,11222600,11828362,12213650,13001810,14310349,15513449,16181363,17219823,19110969,20462057,21069894,21323526
7941,r032,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,6,416402,395343,409726,465649,519026,556618,684666,805626,905935,904098,976273,983754
7941,r033,All institutions -> Private,All institutions,Private,,,,,2,,,,,,,,,,,,
7941,r034,All institutions -> Private -> Number of institutions with clinical trials R&D,All institutions,Private,Number of institutions with clinical trials R&D,,,,3,73,77,70,69,70,67,67,70,66,67,65,69
7941,r035,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,,,4,16443130,17072540,17188776,17689339,18095523,18542237,19771509,21123310,22283825,23869923,24486933,25777145
7941,r036,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,5,954438,987958,1034012,1046142,1243649,1335729,1419736,1550815,1727212,1800956,1736776,1824654
7941,r037,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,5,11580686,12462509,12196443,12008904,11824912,11756900,12037557,12671310,13219093,14228911,14731203,16003062
7941,r038,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,6,377621,433610,441347,503202,557955,594557,603467,655559,727082,795607,744442,868959
7941,r039,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,5,4862444,4610031,4992333,5680435,6270611,6785337,7733952,8452000,9064732,9641012,9755730,9774083
7941,r040,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,6,576817,554348,592665,542940,685694,741172,816269,895256,1000130,1005349,992334,955695
