table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_under_35_median_salary,field_under_35_se,field_35_39_median_salary,field_35_39_se,field_40_44_median_salary,field_40_44_se,field_45_49_median_salary,field_45_49_se,field_50_54_median_salary,field_50_54_se,field_55_59_median_salary,field_55_59_se,field_60_64_median_salary,field_60_64_se,field_65_75_median_salary,field_65_75_se
8158,r042,All occupations -> Engineering occupations -> Electrical engineers,All occupations,Engineering occupations,Electrical engineers,,3,159000,2000,138000,5000,149000,3000,156000,7000,166000,5500,175000,6000,168000,4000,172000,7500,181000,11500
8158,r043,All occupations -> Engineering occupations -> Industrial engineers,All occupations,Engineering occupations,Industrial engineers,,3,125000,11000,124000,8500,104000,16500,109000,6500,S,S,143000,12000,,,,,,
8158,r044,All occupations -> Engineering occupations -> Mechanical engineers,All occupations,Engineering occupations,Mechanical engineers,,3,132000,5000,109000,5000,113000,8000,138000,12500,144000,9500,168000,8000,173000,17000,144000,13000,147000,4000
8158,r045,"All occupations -> Engineering occupations -> Postsecondary teachers, engineering",All occupations,Engineering occupations,"Postsecondary teachers, engineering",,3,110000,2000,90000,2000,96000,2000,105000,4000,114000,6500,124000,5500,139000,5000,113000,5500,149000,9000
8158,r046,All occupations -> Engineering occupations -> Other engineers,All occupations,Engineering occupations,Other engineers,,3,135000,3000,120000,4500,123000,4500,138000,4500,142000,8500,165000,5000,160000,6500,150000,7500,140000,7500
8158,r047,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,2,140000,1000,84000,4500,117000,4500,150000,6000,164000,5500,159000,7500,154000,6500,150000,9000,145000,9000
8158,r048,"All occupations -> S&E-related occupations -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations,"Health occupations, except postsecondary teachers and managers",,3,140000,4000,69000,1500,108000,12500,166000,11000,171000,15500,195000,6000,161000,26000,159000,16000,144000,7000
8158,r049,"All occupations -> S&E-related occupations -> Postsecondary teachers, health and related science",All occupations,S&E-related occupations,"Postsecondary teachers, health and related science",,3,109000,2000,70000,3500,92000,4000,110000,4500,119000,8500,118000,3500,108000,9000,111000,7500,120000,6000
8158,r050,"All occupations -> S&E-related occupations -> S&E managers, including health",All occupations,S&E-related occupations,"S&E managers, including health",,3,175000,4000,114000,6000,148000,9000,169000,4000,185000,10500,190000,10000,186000,8000,183000,9000,198000,17000
8158,r051,All occupations -> S&E-related occupations -> S&E precollege teachers,All occupations,S&E-related occupations,S&E precollege teachers,,3,69000,1500,61000,5500,59000,4000,66000,4500,67000,1000,71000,3000,71000,4500,78000,6000,83000,14000
8158,r052,All occupations -> S&E-related occupations -> S&E technicians/ technologists,All occupations,S&E-related occupations,S&E technicians/ technologists,,3,140000,3000,115000,4000,136000,9000,153000,18000,164000,20000,148000,15500,156000,17000,126000,14500,178000,38000
8158,r053,All occupations -> S&E-related occupations -> Other S&E-related occupations,All occupations,S&E-related occupations,Other S&E-related occupations,,3,139000,18500,,,131000,24000,,,,,,,133000,23500,S,S,S,S
8158,r054,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,2,150000,500,104000,5000,120000,3000,134000,5500,150000,1000,163000,5000,165000,5500,170000,5000,150000,1000
8158,r055,"All occupations -> Non-S&E occupations -> Arts, humanities-related occupations",All occupations,Non-S&E occupations,"Arts, humanities-related occupations",,3,100000,5000,84000,5000,105000,6500,105000,4500,111000,15500,116000,14500,95000,18000,109000,14000,71000,18000
8158,r056,All occupations -> Non-S&E occupations -> Management-related occupations,All occupations,Non-S&E occupations,Management-related occupations,,3,147000,4000,115000,6500,134000,4500,149000,7500,146000,6500,149000,7000,149000,7500,166000,16500,150000,4500
8158,r057,All occupations -> Non-S&E occupations -> Non-S&E managers,All occupations,Non-S&E occupations,Non-S&E managers,,3,190000,3500,128000,11500,149000,12000,162000,5500,185000,9500,200000,2500,200000,1000,200000,5000,198000,14000
8158,r058,All occupations -> Non-S&E occupations -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations,Non-S&E postsecondary teachers,,3,100000,1500,79000,7500,90000,9000,90000,7000,98000,5500,100000,4500,108000,7000,103000,7500,111000,7500
8158,r059,All occupations -> Non-S&E occupations -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations,Non-S&E precollege/ other teachers,,3,69000,7000,52000,9000,56000,13000,91000,18500,70000,12000,83000,11000,70000,8000,69000,7000,43000,17500
8158,r060,"All occupations -> Non-S&E occupations -> Sales, marketing occupations",All occupations,Non-S&E occupations,"Sales, marketing occupations",,3,144000,4000,108000,16500,121000,4000,145000,8500,147000,5000,154000,11000,143000,10000,144000,18500,152000,20500
8158,r061,All occupations -> Non-S&E occupations -> Social service-related occupations,All occupations,Non-S&E occupations,Social service-related occupations,,3,71000,4500,55000,18500,66000,4000,64000,12500,73000,3500,75000,11000,90000,4500,66000,19500,57000,5500
8158,r062,All occupations -> Non-S&E occupations -> Other non-S&E occupations,All occupations,Non-S&E occupations,Other non-S&E occupations,,3,137000,10500,106000,16500,109000,10000,134000,24500,152000,7500,149000,16500,128000,28000,131000,41500,104000,29000
