table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_unaffiliated_companies,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_foreign_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_foreign_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states
6580,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['162', '']","['19', '']","['141', '']","['*', '']","['2', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['80', '']","['0 - 7', '']","['61 - 77', '']","['1', 'i']","['*', 'i']","['*', 'i']","['0', '']","['0 - 1', 'i']","['0', '']","['0 - 10', 'i']","['*', 'i']"
6580,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['320 - 345', '']","['0 - 7', '']","['287 - 345', '']","['0 - 15', '']","['0 - 8', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 10', '']","['0 - 10', '']"
6580,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['8,966', '']","['1,938', '']","['5,906', '']","['801', '']","['269', '']","['0 - 2', '']","['*', '']","['6', '']","['0 - 9', '']","['35 - 43', '']","['0 - 9', '']"
6580,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['164', '']","['5', '']","['158', '']","['1', 'i']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['*', 'i']","['*', 'i']"
6580,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['56 - 84', '']","['0 - 7', 'i']","['14 - 72', '']","['0 - 15', 'i']","['11 - 20', '']","['0 - 2', 'i']","['0', '']","['0 - 1', 'i']","['0 - 10', '']","['0 - 10', 'i']","['0 - 10', 'i']"
6580,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['85', '']","['75', 'i']","['10', '']","['*', 'i']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', '']"
6580,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['35', '']","['2', 'i']","['31', '']","['*', 'i']","['2', 'i']","['0', '']","['*', '']","['*', 'i']","['0', '']","['*', 'i']","['*', 'i']"
6580,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['16', '']","['0 - 10', '']","['0 - 10', 'i']","['5', '']","['2', '']","['0', '']","['*', 'i']","['*', '']","['0', '']","['0', '']","['0', '']"
6580,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['254', '']","['190', '']","['60', 'i']","['*', 'i']","['4', '']","['0', '']","['0', '']","['*', 'i']","['0', '']","['*', 'i']","['*', 'i']"
6580,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,254', '']","['371', '']","['632', '']","['57', '']","['193', '']","['1', 'i']","['*', '']","['0', '']","['0', '']","['*', 'i']","['*', '']"
6580,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['9', '']","['1', 'i']","['6', '']","['*', 'i']","['1', 'i']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['604', '']","['48', '']","['497 - 557', '']","['0 - 58', '']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', '']"
6580,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['205', '']","['40', '']","['11', '']","['0', '']","['155', '']","['*', 'i']","['0', '']","['0', '']","['0', '']","['*', '']","['0', '']"
6580,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['436', '']","['282', '']","['57 - 117', '']","['0 - 58', '']","['37', '']","['1', 'i']","['*', '']","['0', '']","['0', '']","['*', 'i']","['0', '']"
6580,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['11,159', '']","['1,679', '']","['3,283', '']","['321', '']","['5,802', '']","['0 - 23', '']","['36', '']","['1', '']","['0 - 2', 'i']","['14 - 37', '']","['2 - 6', '']"
6580,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['1,100', 'i']","['298 - 471', 'i']","['124 - 297', '']","['0 - 53', '']","['320 - 453', 'i']","['*', 'i']","['*', 'i']","['*', '']","['0', '']","['3', 'i']","['*', 'i']"
6580,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['3,208', '']","['213', '']","['2,379', '']","['142', '']","['468', '']","['*', '']","['0', '']","['1', '']","['0 - 2', 'i']","['5', '']","['0 - 2', 'i']"
6580,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['6,650', '']","['997', '']","['609', '']","['128', 'i']","['4,852', '']","['0 - 22', '']","['36', '']","['*', '']","['0', '']","['6 - 28', '']","['3', '']"
6580,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['225', '']","['15', 'i']","['192', '']","['*', 'i']","['11', 'i']","['*', 'i']","['0', '']","['0', '']","['0', '']","['7', 'i']","['0', '']"
6580,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['6,262', '']","['944', '']","['332', '']","['119', 'i']","['4,813', '']","['0 - 21', '']","['33', '']","['*', '']","['0', '']","['0 - 21', '']","['3', '']"
6580,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['163', '']","['38', '']","['85', '']","['9', '']","['28', '']","['0', '']","['3', '']","['*', 'i']","['0', '']","['0', '']","['0', '']"
6580,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['201', '']","['0 - 170', '']","['0 - 170', '']","['0 - 53', '']","['31 - 161', '']","['*', '']","['*', 'i']","['0', '']","['0', '']","['1', '']","['0', '']"
6580,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['377', '']","['30', 'i']","['315', '']","['2', '']","['27', '']","['1', '']","['0', '']","['1', '']","['0', '']","['*', '']","['0', '']"
6580,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['13,870', 'i']","['1,031', '']","['2,778', '']","['242', '']","['9,652', 'i']","['0 - 79', '']","['82', 'i']","['*', '']","['0', '']","['0 - 79', '']","['9', 'i']"
6580,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['3,233', 'i']","['0 - 374', 'i']","['2,564', '']","['190', '']","['38 - 481', '']","['0 - 79', '']","['*', 'i']","['0', '']","['0', '']","['0 - 79', '']","['*', 'i']"
6580,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['9,458', 'i']","['658', '']","['124 - 205', 'i']","['52', '']","['8,454', 'i']","['1', '']","['82', 'i']","['*', '']","['0', '']","['0 - 79', '']","['9', 'i']"
6580,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['8,550', 'i']","['646', '']","['124 - 205', 'i']","['52', '']","['7,558', 'i']","['1', '']","['82', 'i']","['*', '']","['0', '']","['0 - 79', '']","['9', 'i']"
6580,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['908', '']","['12', '']","['0', '']","['0', '']","['896', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0', '']","['0', '']"
6580,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['10', '']","['0 - 11', '']","['0', '']","['0', '']","['0 - 11', '']","['0 - 11', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['1,168', '']","['0 - 374', '']","['8 - 91', '']","['0', '']","['706 - 1,160', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['2', '']","['0 - 2', 'i']","['0', '']","['*', 'i']","['0 - 3', 'i']","['*', 'i']","['*', 'i']","['0', '']","['0', '']","['*', 'i']","['*', 'i']"
6580,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['244', '']","['98 - 120', '']","['72 - 104', '']","['4 - 14', '']","['36 - 48', '']","['*', '']","['0', '']","['0', '']","['0', '']","['2', '']","['*', 'i']"
6580,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['202', '']","['99', '']","['73', '']","['5', '']","['25', '']","['*', '']","['0', '']","['0', '']","['0', '']","['*', 'i']","['*', 'i']"
6580,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['42', '']","['0 - 21', '']","['0 - 30', '']","['0 - 9', '']","['11 - 24', '']","['0', '']","['0', '']","['0', '']","['0', '']","['2', '']","['0', '']"
6580,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['26,425', '']","['15,991', 'i']","['3,273', '']","['532', '']","['5,918', '']","['85', '']","['5', '']","['39', '']","['4', '']","['556', '']","['21', '']"
6580,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['183', '']","['72', '']","['92', '']","['17', '']","['1', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', 'i']"
6580,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['38', '']","['0', '']","['0 - 8', '']","['0', '']","['27 - 34', '']","['3', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['87', '']","['12', 'i']","['76', 'i']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['43 - 61', '']","['0', '']","['35 - 61', '']","['0', '']","['0 - 8', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['386', '']","['384', '']","['0', '']","['0', '']","['2', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['1,165', '']","['81', '']","['674', '']","['186', '']","['185', '']","['*', 'i']","['*', 'i']","['*', '']","['0', '']","['38', '']","['*', '']"
6580,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['572', '']","['4', '']","['345', '']","['131', '']","['57', '']","['*', 'i']","['*', 'i']","['0', '']","['0', '']","['35', '']","['*', 'i']"
6580,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['*', '']","['0', '']","['0', '']","['*', 'i']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['*', 'i']","['0', '']"
6580,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['572', '']","['4', '']","['345', '']","['131', '']","['57', '']","['*', 'i']","['*', 'i']","['0', '']","['0', '']","['35', '']","['*', 'i']"
6580,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['33', '']","['2', 'i']","['12 - 28', '']","['0 - 14', 'i']","['4', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['1', 'i']","['0', '']"
6580,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['404', '']","['66', '']","['178', '']","['43', '']","['116', '']","['*', '']","['0', '']","['*', '']","['0', '']","['0', '']","['*', '']"
6580,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['155', '']","['9', '']","['122 - 138', '']","['0 - 14', 'i']","['8', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['2', 'i']","['0', '']"
6580,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['28', '']","['28', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6580,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['24,103', '']","['15,076', 'i']","['2,362', '']","['312', '']","['5,685', '']","['81', '']","['5', '']","['39', '']","['4', '']","['518', '']","['21', '']"
6580,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,919', '']","['509', '']","['44', '']","['14', '']","['1,214', '']","['49', '']","['3', '']","['12', '']","['3', '']","['63', '']","['8', '']"
6580,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['2,651', '']","['489', '']","['1,491', '']","['12', '']","['454', '']","['5', '']","['*', 'i']","['*', '']","['*', 'i']","['201', '']","['0', '']"
6580,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['18,403', '']","['13,741', 'i']","['760', 'i']","['242', '']","['3,343', '']","['24', '']","['2', '']","['25', '']","['1', 'i']","['252', '']","['13', 'i']"
6580,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['5,374', '']","['4,851', '']","['231', 'i']","['38', '']","['108', '']","['9', '']","['1', '']","['2', 'i']","['0', '']","['129', 'i']","['6', 'i']"
6580,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['12,291', 'i']","['8,861', 'i']","['530', 'i']","['204', '']","['2,571', '']","['6', '']","['1', '']","['21', '']","['1', 'i']","['90', '']","['7', '']"
6580,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['738', '']","['30', '']","['0', '']","['0', '']","['664', '']","['9', '']","['0', '']","['2', '']","['0', '']","['33', '']","['0', '']"
6580,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['1,129', '']","['337', '']","['67', '']","['44', '']","['674', '']","['4', '']","['0', '']","['1', '']","['*', '']","['2', '']","['*', 'i']"
6580,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['337', '']","['331', '']","['0', '']","['4', '']","['2', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', 'i']","['0', '']"
6580,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['34 - 58', '']","['8', 'i']","['0 - 29', '']","['12', '']","['9 - 19', '']","['1', 'i']","['*', 'i']","['0', '']","['0', '']","['*', '']","['0', '']"
6580,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['63,989', '']","['21,461', '']","['17,563', '']","['1,991', '']","['21,941', '']","['100 - 192', '']","['123', '']","['47', '']","['3 - 16', '']","['627 - 719', '']","['32 - 44', '']"
6580,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6580,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['1,070', '']","['315', 'i']","['99', 'i']","['42', 'i']","['502', '']","['16', '']","['1', '']","['7', '']","['3', '']","['80', '']","['6', 'i']"
6580,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['2,378', '']","['766', '']","['595', '']","['65', 'i']","['811', '']","['6', '']","['4', '']","['20', '']","['0 - 6', '']","['107', '']","['0 - 6', '']"
6580,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6580,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['2,529', '']","['796', '']","['573', '']","['211', '']","['697', '']","['10', '']","['*', '']","['7', '']","['0 - 5', '']","['232', '']","['0 - 5', '']"
6580,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['3,274', '']","['1,029', '']","['1,060', '']","['87', '']","['988', '']","['0 - 92', '']","['*', '']","['10', '']","['0 - 11', 'i']","['0 - 93', '']","['0 - 11', '']"
6580,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6580,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['3,527', '']","['623', '']","['1,216', '']","['189', '']","['1,393', '']","['10', '']","['*', 'i']","['1', '']","['0', '']","['87', '']","['8', '']"
6580,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['2,420', '']","['566', '']","['1,439', '']","['153', '']","['248', 'i']","['7', '']","['*', 'i']","['1', 'i']","['0', '']","['6', 'i']","['1', '']"
6580,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['11,196', '']","['1,924', 'i']","['6,993', '']","['507', '']","['1,710', '']","['28', '']","['3', '']","['*', '']","['*', '']","['31', '']","['*', 'i']"
6580,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['6,083', '']","['3,908', 'i']","['795', '']","['346', '']","['977', '']","['0 - 56', '']","['*', '']","['2', '']","['0', '']","['0 - 56', '']","['2', '']"
6580,r085,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['13,878', 'i']","['7,183', 'i']","['4,623', '']","['295', 'i']","['1,717', 'i']","['18', '']","['36', '']","['0', '']","['0', '']","['5', '']","['0', '']"
