table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_number,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_percent,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_number,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
10694,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,,4,3852,0.8,215,0.4,6,0.5,578,1.4,143,0.5,2,0.4,960,0.6,74,0.6,102,0.7,1772,1.0
10694,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,,4,3916,0.8,407,0.8,5,0.4,570,1.4,306,1.0,1,0.2,1201,0.7,126,1.0,156,1.0,1144,0.6
10694,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,,4,369,0.1,30,0.1,2,0.2,15,0.05,9,0.05,0,0.0,193,0.1,14,0.1,10,0.1,96,0.1
10694,r014,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",,4,1137,0.2,167,0.3,4,0.3,124,0.3,64,0.2,1,0.2,484,0.3,46,0.4,65,0.4,182,0.1
10694,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,,4,1058,0.2,90,0.2,6,0.5,26,0.1,37,0.1,1,0.2,778,0.5,38,0.3,35,0.2,47,0.05
10694,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,,4,3844,0.8,440,0.9,3,0.2,562,1.4,356,1.1,6,1.1,1383,0.8,129,1.1,94,0.6,871,0.5
10694,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,,4,749,0.1,59,0.1,1,0.1,70,0.2,31,0.1,0,0.0,421,0.2,31,0.3,33,0.2,103,0.1
10694,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,,4,2026,0.4,339,0.7,7,0.5,196,0.5,122,0.4,2,0.4,959,0.6,75,0.6,107,0.7,219,0.1
10694,r019,All detailed fields -> Science -> Biological and biomedical sciences -> Molecular biology,All detailed fields,Science,Biological and biomedical sciences,Molecular biology,,4,408,0.1,63,0.1,0,0.0,53,0.1,43,0.1,1,0.2,155,0.1,13,0.1,7,0.05,73,0.05
10694,r020,All detailed fields -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All detailed fields,Science,Biological and biomedical sciences,Neurobiology and neuroscience,,4,515,0.1,81,0.2,1,0.1,69,0.2,37,0.1,0,0.0,227,0.1,18,0.1,11,0.1,71,0.05
10694,r021,All detailed fields -> Science -> Biological and biomedical sciences -> Nutrition science,All detailed fields,Science,Biological and biomedical sciences,Nutrition science,,4,2905,0.6,368,0.8,6,0.5,198,0.5,136,0.4,4,0.7,1646,1.0,85,0.7,131,0.9,331,0.2
10694,r022,All detailed fields -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All detailed fields,Science,Biological and biomedical sciences,Pathology and experimental pathology,,4,106,0.05,6,0.05,0,0.0,12,0.05,6,0.05,0,0.0,49,0.05,4,0.05,2,0.05,27,0.05
10694,r023,All detailed fields -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All detailed fields,Science,Biological and biomedical sciences,Pharmacology and toxicology,,4,996,0.2,79,0.2,1,0.1,111,0.3,55,0.2,1,0.2,366,0.2,20,0.2,42,0.3,321,0.2
10694,r024,All detailed fields -> Science -> Biological and biomedical sciences -> Physiology,All detailed fields,Science,Biological and biomedical sciences,Physiology,,4,2891,0.6,251,0.5,6,0.5,289,0.7,305,1.0,5,0.9,1357,0.8,123,1.0,122,0.8,433,0.2
10694,r025,All detailed fields -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All detailed fields,Science,Biological and biomedical sciences,Zoology and animal biology,,4,861,0.2,77,0.2,6,0.5,30,0.1,22,0.1,0,0.0,592,0.3,29,0.2,15,0.1,90,0.1
10694,r026,All detailed fields -> Science -> Biological and biomedical sciences -> Biological and biomedical sciences nec,All detailed fields,Science,Biological and biomedical sciences,Biological and biomedical sciences nec,,4,2860,0.6,392,0.8,7,0.5,352,0.9,524,1.7,8,1.5,1160,0.7,122,1.0,119,0.8,176,0.1
10694,r027,All detailed fields -> Science -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,,,3,129972,25.9,5083,10.5,96,7.2,11960,29.3,4989,15.9,80,14.8,20862,12.1,1695,14.1,2845,18.5,82362,45.9
10694,r028,"All detailed fields -> Science -> Computer and information sciences -> Artificial intelligence, informatics, and computer and information science topics ",All detailed fields,Science,Computer and information sciences,"Artificial intelligence, informatics, and computer and information science topics ",,4,5379,1.1,238,0.5,6,0.5,537,1.3,216,0.7,4,0.7,1107,0.6,100,0.8,111,0.7,3060,1.7
10694,r029,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,Computer and information sciences,,4,39719,7.9,1390,2.9,12,0.9,4273,10.5,863,2.7,15,2.8,6576,3.8,493,4.1,547,3.6,25550,14.2
10694,r030,All detailed fields -> Science -> Computer and information sciences -> Computer and information systems security ,All detailed fields,Science,Computer and information sciences,Computer and information systems security ,,4,9254,1.8,867,1.8,23,1.7,1056,2.6,1389,4.4,15,2.8,2921,1.7,269,2.2,417,2.7,2297,1.3
10694,r031,All detailed fields -> Science -> Computer and information sciences -> Computer science,All detailed fields,Science,Computer and information sciences,Computer science,,4,42092,8.4,833,1.7,15,1.1,3196,7.8,553,1.8,15,2.8,4008,2.3,358,3.0,911,5.9,32203,18.0
10694,r032,All detailed fields -> Science -> Computer and information sciences -> Information science and studies,All detailed fields,Science,Computer and information sciences,Information science and studies,,4,15478,3.1,857,1.8,18,1.4,1539,3.8,1212,3.9,18,3.3,3427,2.0,256,2.1,524,3.4,7627,4.3
10694,r033,All detailed fields -> Science -> Computer and information sciences -> Information technology,All detailed fields,Science,Computer and information sciences,Information technology,,4,10601,2.1,479,1.0,17,1.3,789,1.9,464,1.5,10,1.8,1362,0.8,113,0.9,178,1.2,7189,4.0
10694,r034,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences nec ,All detailed fields,Science,Computer and information sciences,Computer and information sciences nec ,,4,7449,1.5,419,0.9,5,0.4,570,1.4,292,0.9,3,0.6,1461,0.8,106,0.9,157,1.0,4436,2.5
10694,r035,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,,3,5186,1.0,578,1.2,18,1.4,154,0.4,161,0.5,3,0.6,3364,2.0,193,1.6,114,0.7,601,0.3
10694,r036,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,,4,489,0.1,36,0.1,1,0.1,16,0.05,16,0.1,1,0.2,337,0.2,15,0.1,2,0.05,65,0.05
10694,r037,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,,4,3183,0.6,352,0.7,15,1.1,84,0.2,93,0.3,1,0.2,2024,1.2,114,0.9,67,0.4,433,0.2
10694,r038,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,,4,1514,0.3,190,0.4,2,0.2,54,0.1,52,0.2,1,0.2,1003,0.6,64,0.5,45,0.3,103,0.1
10694,r039,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",,4,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne
10694,r040,All detailed fields -> Science -> Mathematics and statistics,All detailed fields,Science,Mathematics and statistics,,,3,20798,4.1,1272,2.6,23,1.7,1719,4.2,514,1.6,8,1.5,5233,3.0,312,2.6,518,3.4,11199,6.2
10694,r041,All detailed fields -> Science -> Mathematics and statistics -> Applied mathematics,All detailed fields,Science,Mathematics and statistics,Applied mathematics,,4,9097,1.8,391,0.8,7,0.5,584,1.4,154,0.5,3,0.6,1495,0.9,107,0.9,196,1.3,6160,3.4
10694,r042,All detailed fields -> Science -> Mathematics and statistics -> Mathematics,All detailed fields,Science,Mathematics and statistics,Mathematics,,4,3905,0.8,442,0.9,14,1.1,270,0.7,151,0.5,3,0.6,1881,1.1,88,0.7,158,1.0,898,0.5
10694,r043,All detailed fields -> Science -> Mathematics and statistics -> Statistics,All detailed fields,Science,Mathematics and statistics,Statistics,,4,7796,1.6,439,0.9,2,0.2,865,2.1,209,0.7,2,0.4,1857,1.1,117,1.0,164,1.1,4141,2.3
10694,r044,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,,,3,16931,3.4,1398,2.9,25,1.9,1642,4.0,1009,3.2,14,2.6,5431,3.2,384,3.2,611,4.0,6417,3.6
10694,r045,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> Biological and physical sciences,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,Biological and physical sciences,,4,899,0.2,88,0.2,3,0.2,114,0.3,67,0.2,1,0.2,352,0.2,41,0.3,46,0.3,187,0.1
10694,r046,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> Computational science,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,Computational science,,4,3089,0.6,188,0.4,2,0.2,267,0.7,64,0.2,3,0.6,864,0.5,60,0.5,51,0.3,1590,0.9
10694,r047,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> Data science and data analytics,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,Data science and data analytics,,4,6000,1.2,415,0.9,7,0.5,706,1.7,391,1.2,2,0.4,1792,1.0,117,1.0,346,2.3,2224,1.2
10694,r048,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> International and global studies,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,International and global studies,,4,1083,0.2,218,0.5,5,0.4,77,0.2,85,0.3,2,0.4,415,0.2,42,0.3,24,0.2,215,0.1
10694,r049,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> Multidisciplinary and interdisciplinary sciences nec,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,Multidisciplinary and interdisciplinary sciences nec,,4,5860,1.2,489,1.0,8,0.6,478,1.2,402,1.3,6,1.1,2008,1.2,124,1.0,144,0.9,2201,1.2
10694,r050,All detailed fields -> Science -> Natural resources and conservation,All detailed fields,Science,Natural resources and conservation,,,3,9807,2.0,1008,2.1,74,5.6,338,0.8,306,1.0,27,5.0,6435,3.7,349,2.9,242,1.6,1028,0.6
10694,r051,All detailed fields -> Science -> Natural resources and conservation -> Environmental science and studies,All detailed fields,Science,Natural resources and conservation,Environmental science and studies,,4,4422,0.9,545,1.1,35,2.6,203,0.5,141,0.4,21,3.9,2681,1.6,142,1.2,111,0.7,543,0.3
10694,r052,"All detailed fields -> Science -> Natural resources and conservation -> Forestry, natural resources, and conservation",All detailed fields,Science,Natural resources and conservation,"Forestry, natural resources, and conservation",,4,5385,1.1,463,1.0,39,2.9,135,0.3,165,0.5,6,1.1,3754,2.2,207,1.7,131,0.9,485,0.3
10694,r053,All detailed fields -> Science -> Physical sciences,All detailed fields,Science,Physical sciences,,,3,6256,1.2,737,1.5,29,2.2,446,1.1,314,1.0,5,0.9,2719,1.6,194,1.6,189,1.2,1623,0.9
10694,r054,All detailed fields -> Science -> Physical sciences -> Astronomy and astrophysics,All detailed fields,Science,Physical sciences,Astronomy and astrophysics,,4,100,0.05,18,0.05,0,0.0,11,0.05,4,0.05,0,0.0,45,0.05,6,0.05,3,0.05,13,0.05
10694,r055,All detailed fields -> Science -> Physical sciences -> Chemistry,All detailed fields,Science,Physical sciences,Chemistry,,4,3015,0.6,392,0.8,13,1.0,240,0.6,200,0.6,3,0.6,1276,0.7,90,0.7,66,0.4,735,0.4
10694,r056,All detailed fields -> Science -> Physical sciences -> Materials sciences,All detailed fields,Science,Physical sciences,Materials sciences,,4,402,0.1,27,0.1,3,0.2,33,0.1,13,0.05,0,0.0,94,0.1,5,0.05,10,0.1,217,0.1
10694,r057,All detailed fields -> Science -> Physical sciences -> Physics,All detailed fields,Science,Physical sciences,Physics,,4,2253,0.4,262,0.5,12,0.9,135,0.3,82,0.3,2,0.4,984,0.6,76,0.6,91,0.6,609,0.3
10694,r058,All detailed fields -> Science -> Physical sciences -> Physical sciences nec,All detailed fields,Science,Physical sciences,Physical sciences nec,,4,486,0.1,38,0.1,1,0.1,27,0.1,15,0.05,0,0.0,320,0.2,17,0.1,19,0.1,49,0.05
10694,r059,All detailed fields -> Science -> Psychology,All detailed fields,Science,Psychology,,,3,48321,9.6,10130,21.0,164,12.3,2496,6.1,5173,16.5,99,18.3,23784,13.8,1725,14.4,2258,14.7,2492,1.4
10694,r060,All detailed fields -> Science -> Psychology -> Applied psychology,All detailed fields,Science,Psychology,Applied psychology,,4,20091,4.0,4498,9.3,47,3.5,1015,2.5,1905,6.1,44,8.1,10189,5.9,667,5.6,1106,7.2,620,0.3
10694,r061,All detailed fields -> Science -> Psychology -> Clinical psychology,All detailed fields,Science,Psychology,Clinical psychology,,4,4519,0.9,999,2.1,15,1.1,288,0.7,352,1.1,19,3.5,2216,1.3,214,1.8,271,1.8,145,0.1
10694,r062,All detailed fields -> Science -> Psychology -> Clinical psychology -> Counseling psychology,All detailed fields,Science,Psychology,Clinical psychology,Counseling psychology,5,12400,2.5,2736,5.7,69,5.2,573,1.4,1731,5.5,23,4.3,5985,3.5,427,3.6,548,3.6,308,0.2
10694,r063,All detailed fields -> Science -> Psychology -> Human development,All detailed fields,Science,Psychology,Human development,,4,1525,0.3,278,0.6,7,0.5,63,0.2,125,0.4,1,0.2,845,0.5,48,0.4,67,0.4,91,0.1
10694,r064,"All detailed fields -> Science -> Psychology -> Psychology, general",All detailed fields,Science,Psychology,"Psychology, general",,4,7346,1.5,1231,2.5,20,1.5,364,0.9,847,2.7,11,2.0,3510,2.0,309,2.6,210,1.4,844,0.5
10694,r065,All detailed fields -> Science -> Psychology -> Research and experimental psychology,All detailed fields,Science,Psychology,Research and experimental psychology,,4,2440,0.5,388,0.8,6,0.5,193,0.5,213,0.7,1,0.2,1039,0.6,60,0.5,56,0.4,484,0.3
10694,r066,All detailed fields -> Science -> Social sciences,All detailed fields,Science,Social sciences,,,3,44701,8.9,6156,12.7,211,15.9,2282,5.6,4173,13.3,72,13.3,19959,11.6,1426,11.9,1422,9.3,9000,5.0
10694,r067,All detailed fields -> Science -> Social sciences -> Agricultural and natural resource economics,All detailed fields,Science,Social sciences,Agricultural and natural resource economics,,4,485,0.1,41,0.1,4,0.3,11,0.05,20,0.1,1,0.2,217,0.1,5,0.05,14,0.1,172,0.1
10694,r068,All detailed fields -> Science -> Social sciences -> Anthropology,All detailed fields,Science,Social sciences,Anthropology,,4,2173,0.4,324,0.7,25,1.9,58,0.1,79,0.3,2,0.4,1402,0.8,119,1.0,48,0.3,116,0.1
10694,r069,"All detailed fields -> Science -> Social sciences -> Area, ethnic, cultural, gender, and group studies",All detailed fields,Science,Social sciences,"Area, ethnic, cultural, gender, and group studies",,4,2634,0.5,549,1.1,59,4.4,134,0.3,247,0.8,22,4.1,920,0.5,124,1.0,53,0.3,526,0.3
10694,r070,All detailed fields -> Science -> Social sciences -> Criminal justice and safety studies,All detailed fields,Science,Social sciences,Criminal justice and safety studies,,4,5223,1.0,960,2.0,26,2.0,121,0.3,1106,3.5,4,0.7,2415,1.4,190,1.6,267,1.7,134,0.1
10694,r071,All detailed fields -> Science -> Social sciences -> Criminology,All detailed fields,Science,Social sciences,Criminology,,4,1180,0.2,264,0.5,3,0.2,17,0.05,173,0.6,3,0.6,561,0.3,50,0.4,22,0.1,87,0.05
10694,r072,All detailed fields -> Science -> Social sciences -> Economics (except agricultural and natural resource),All detailed fields,Science,Social sciences,Economics (except agricultural and natural resource),,4,6734,1.3,441,0.9,3,0.2,327,0.8,224,0.7,10,1.8,1773,1.0,120,1.0,145,0.9,3691,2.1
10694,r073,All detailed fields -> Science -> Social sciences -> Geography and cartography,All detailed fields,Science,Social sciences,Geography and cartography,,4,2807,0.6,292,0.6,12,0.9,99,0.2,96,0.3,4,0.7,1719,1.0,66,0.5,103,0.7,416,0.2
10694,r074,All detailed fields -> Science -> Social sciences -> International relations and national security studies,All detailed fields,Science,Social sciences,International relations and national security studies,,4,7833,1.6,1027,2.1,16,1.2,496,1.2,571,1.8,13,2.4,3846,2.2,253,2.1,319,2.1,1292,0.7
10694,r075,All detailed fields -> Science -> Social sciences -> Linguistics,All detailed fields,Science,Social sciences,Linguistics,,4,1159,0.2,142,0.3,12,0.9,87,0.2,52,0.2,1,0.2,555,0.3,32,0.3,49,0.3,229,0.1
10694,r076,All detailed fields -> Science -> Social sciences -> Political science and government,All detailed fields,Science,Social sciences,Political science and government,,4,2925,0.6,481,1.0,11,0.8,115,0.3,278,0.9,5,0.9,1478,0.9,117,1.0,91,0.6,349,0.2
10694,r077,All detailed fields -> Science -> Social sciences -> Public policy analysis,All detailed fields,Science,Social sciences,Public policy analysis,,4,6701,1.3,825,1.7,15,1.1,502,1.2,607,1.9,3,0.6,3069,1.8,172,1.4,185,1.2,1323,0.7
10694,r078,All detailed fields -> Science -> Social sciences -> Sociology and population studies,All detailed fields,Science,Social sciences,Sociology and population studies,,4,2190,0.4,545,1.1,14,1.1,88,0.2,340,1.1,4,0.7,865,0.5,86,0.7,54,0.4,194,0.1
10694,r079,All detailed fields -> Science -> Social sciences -> Urban studies and affairs ,All detailed fields,Science,Social sciences,Urban studies and affairs ,,4,671,0.1,72,0.1,3,0.2,41,0.1,130,0.4,0,0.0,334,0.2,29,0.2,11,0.1,51,0.05
10694,r080,"All detailed fields -> Science -> Social sciences -> Social sciences, other",All detailed fields,Science,Social sciences,"Social sciences, other",,4,1986,0.4,193,0.4,8,0.6,186,0.5,250,0.8,0,0.0,805,0.5,63,0.5,61,0.4,420,0.2
10694,r081,All detailed fields -> Engineering,All detailed fields,Engineering,,,,2,103020,20.6,7379,15.3,253,19.0,8383,20.5,2983,9.5,54,10.0,30174,17.5,2060,17.2,2317,15.1,49417,27.6
10694,r082,"All detailed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All detailed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,5263,1.0,536,1.1,10,0.8,632,1.5,114,0.4,8,1.5,2741,1.6,179,1.5,133,0.9,910,0.5
10694,r083,"All detailed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All detailed fields,Engineering,"Biological, biomedical, and biosystems engineering",,,3,5177,1.0,439,0.9,7,0.5,751,1.8,217,0.7,5,0.9,1766,1.0,153,1.3,124,0.8,1715,1.0
10694,r084,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",,,3,3011,0.6,225,0.5,7,0.5,277,0.7,94,0.3,3,0.6,855,0.5,47,0.4,71,0.5,1432,0.8
10694,r085,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Chemical engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Chemical engineering,,4,2599,0.5,205,0.4,5,0.4,266,0.7,71,0.2,3,0.6,785,0.5,43,0.4,66,0.4,1155,0.6
10694,r086,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Petroleum engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Petroleum engineering,,4,412,0.1,20,0.05,2,0.2,11,0.05,23,0.1,0,0.0,70,0.05,4,0.05,5,0.05,277,0.2
10694,r087,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",,,3,12621,2.5,1169,2.4,38,2.9,825,2.0,398,1.3,4,0.7,4302,2.5,244,2.0,229,1.5,5412,3.0
10694,r088,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Civil engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",Civil engineering,,4,9692,1.9,896,1.9,31,2.3,693,1.7,280,0.9,4,0.7,3311,1.9,178,1.5,172,1.1,4127,2.3
10694,r089,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Architectural, environmental, construction and surveying engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields","Architectural, environmental, construction and surveying engineering",,4,2929,0.6,273,0.6,7,0.5,132,0.3,118,0.4,0,0.0,991,0.6,66,0.5,57,0.4,1285,0.7
10694,r090,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",,,3,32316,6.4,1647,3.4,122,9.2,2564,6.3,703,2.2,10,1.8,5765,3.3,476,4.0,567,3.7,20462,11.4
10694,r091,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Electrical, electronics, and communications engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering","Electrical, electronics, and communications engineering",,4,19757,3.9,1233,2.6,114,8.6,1767,4.3,478,1.5,8,1.5,4409,2.6,360,3.0,365,2.4,11023,6.1
10694,r092,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",Computer engineering,,4,12559,2.5,414,0.9,8,0.6,797,1.9,225,0.7,2,0.4,1356,0.8,116,1.0,202,1.3,9439,5.3
