table_id,row_id,_b_industry_b_full_path,_b_industry_b_level_1,_b_industry_b_level_2,_b_industry_b_level_3,_b_industry_b_level_4,_b_industry_b_level_5,_b_industry_b_hierarchy_depth,field_isic_rev_4_code,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10761,r011,GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Electrical equipment ,GDP,Total private services,All KTI industries,KTI manufacturing,Electrical equipment ,5,27,44,46,42,43,51,50,56,51,51,48,52,58,54,64,58,61,65,65,61,68,74
10761,r012,GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Machinery and equipment nec,GDP,Total private services,All KTI industries,KTI manufacturing,Machinery and equipment nec,5,28,107,105,112,123,131,139,141,127,137,156,164,170,173,164,155,165,174,181,172,186,226
10761,r013,"GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Motor vehicles, trailers, and semi-trailers",GDP,Total private services,All KTI industries,KTI manufacturing,"Motor vehicles, trailers, and semi-trailers",5,29,135,143,139,136,134,125,90,48,89,105,116,123,133,146,155,158,158,158,144,159,172
10761,r014,GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Air and spacecraft and related machinery,GDP,Total private services,All KTI industries,KTI manufacturing,Air and spacecraft and related machinery,5,303,58,57,59,71,77,92,91,95,100,104,103,108,115,124,122,129,135,141,124,129,157
10761,r015,"GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Railroad, military vehicles, and transport equipment nec",GDP,Total private services,All KTI industries,KTI manufacturing,"Railroad, military vehicles, and transport equipment nec",5,30X,8,8,9,10,10,13,15,12,12,13,13,14,14,13,14,12,12,13,11,12,13
10761,r016,GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Medical and dental instruments and supplies ,GDP,Total private services,All KTI industries,KTI manufacturing,Medical and dental instruments and supplies ,5,325,33,34,35,37,40,41,44,53,54,50,52,50,50,51,55,58,61,62,59,62,73
10761,r017,GDP -> Total private services -> All KTI industries -> KTI services,GDP,Total private services,All KTI industries,KTI services,,4,,313,316,340,357,375,391,447,448,492,539,559,599,640,685,739,793,886,952,1038,1182,1292
10761,r018,GDP -> Total private services -> All KTI industries -> KTI services -> IT and other information services,GDP,Total private services,All KTI industries,KTI services,IT and other information services,5,62–63,183,183,195,203,223,225,267,267,298,328,338,366,394,422,462,496,556,587,614,695,773
10761,r019,GDP -> Total private services -> All KTI industries -> KTI services -> Software publishing,GDP,Total private services,All KTI industries,KTI services,Software publishing,5,582,58,61,72,79,77,92,97,96,105,116,125,135,143,148,163,180,202,226,268,314,339
10761,r020,GDP -> Total private services -> All KTI industries -> KTI services -> Scientific R&D services ,GDP,Total private services,All KTI industries,KTI services,Scientific R&D services ,5,72,72,71,73,75,75,74,84,85,89,95,96,98,103,115,114,116,128,139,156,173,180
10761,r021,&nbsp;,&nbsp;,,,,,1,,Analytical ratios (%),,,,,,,,,,,,,,,,,,,,
10761,r022,All KTI/GDP,All KTI/GDP,,,,,1,,9.9,9.7,9.6,9.3,9.4,9.4,9.4,9.3,9.9,10.0,9.9,10.1,10.0,10.1,10.3,10.3,10.6,10.6,11.0,11.0,11.2
10761,r023,All KTI/GDP -> KTI manufacturing/GDP,All KTI/GDP,KTI manufacturing/GDP,,,,2,,7.0,7.0,6.8,6.6,6.7,6.6,6.4,6.2,6.6,6.6,6.5,6.5,6.4,6.4,6.4,6.3,6.3,6.2,6.1,5.9,6.2
10761,r024,All KTI/GDP -> KTI services/GDP,All KTI/GDP,KTI services/GDP,,,,2,,2.9,2.8,2.8,2.7,2.7,2.7,3.0,3.1,3.3,3.5,3.4,3.5,3.6,3.7,3.9,4.0,4.3,4.4,4.9,5.0,5.0
10761,r025,&nbsp;,&nbsp;,,,,,1,,GDP structure (selected sectors) (%),,,,,,,,,,,,,,,,,,,,
10761,r026,Manufacturing/GDP,Manufacturing/GDP,,,,,1,,13.7,13.5,13.4,13.2,13.2,13.0,12.4,11.9,12.2,12.2,12.1,12.0,11.9,11.8,11.4,11.4,11.5,11.2,10.7,10.8,11.2
10761,r027,Total private services/GDP,Total private services/GDP,,,,,1,,54.3,53.9,53.5,54.0,53.7,53.7,53.4,53.5,53.5,53.6,54.2,54.1,54.4,55.2,55.6,55.4,55.6,56.1,56.3,56.6,55.6
10761,r028,KTI structure,KTI structure,,,,,1,,,,,,,,,,,,,,,,,,,,,,
10761,r029,KTI structure -> KTI manufacturing/all KTI,KTI structure,KTI manufacturing/all KTI,,,,2,,71.0,71.7,70.9,70.6,71.2,71.1,67.8,66.9,66.8,65.6,65.4,64.7,63.8,63.1,61.8,60.9,59.4,58.4,55.6,54.2,55.2
10761,r030,KTI structure -> KTI services/all KTI,KTI structure,KTI services/all KTI,,,,2,,29.0,28.3,29.1,29.4,28.8,28.9,32.2,33.1,33.2,34.4,34.6,35.3,36.2,36.9,38.2,39.1,40.6,41.6,44.4,45.8,44.8
10761,r031,Intrasector shares,Intrasector shares,,,,,1,,,,,,,,,,,,,,,,,,,,,,
10761,r032,Intrasector shares -> KTI manufacturing/manufacturing,Intrasector shares,KTI manufacturing/manufacturing,,,,2,,51.3,51.5,50.6,49.8,50.8,51.3,51.2,52.3,54.2,53.9,53.6,54.1,54.0,54.0,55.9,55.3,54.6,55.4,57.0,55.2,55.1
10761,r033,Intrasector shares -> KTI services/total private services,Intrasector shares,KTI services/total private services,,,,2,,5.3,5.1,5.2,5.1,5.1,5.0,5.7,5.8,6.1,6.4,6.3,6.6,6.7,6.8,7.1,7.3,7.7,7.9,8.7,8.9,9.0
