table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_companies_number_,field_all_companies_amount_thousands_,field_1_4_employees_companies_number_,field_1_4_employees_amount_thousands_,field_5_9_employees_companies_number_,field_5_9_employees_amount_thousands_
12462,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['99', '&nbsp;']","['46,559', 'r']","['51', 'r']","['10,043', 'r']","['47', 'r']","['36,516', 'r']"
12462,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['115', '&nbsp;']","['55,687', '&nbsp;']","['71', '&nbsp;']","['21,179', '&nbsp;']","['44', '&nbsp;']","['34,508', '&nbsp;']"
12462,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['624', '&nbsp;']","['198,193', '&nbsp;']","['325', '&nbsp;']","['74,439', '&nbsp;']","['299', '&nbsp;']","['123,754', '&nbsp;']"
12462,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['134', '&nbsp;']","['52,464', '&nbsp;']","['79', '&nbsp;']","['24,163', '&nbsp;']","['55', '&nbsp;']","['28,300', '&nbsp;']"
12462,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['409', '&nbsp;']","['111,441', '&nbsp;']","['197', '&nbsp;']","['37,485', '&nbsp;']","['212', '&nbsp;']","['73,956', '&nbsp;']"
12462,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['82', '&nbsp;']","['34,289', '&nbsp;']","['49', '&nbsp;']","['12,791', '&nbsp;']","['32', '&nbsp;']","['21,498', '&nbsp;']"
12462,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['90', '&nbsp;']","['17,504', '&nbsp;']","['41', '&nbsp;']","['6,195', '&nbsp;']","['49', '&nbsp;']","['11,309', '&nbsp;']"
12462,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['68', '&nbsp;']","['44,175', '&nbsp;']","['25', '&nbsp;']","['12,672', '&nbsp;']","['43', '&nbsp;']","['31,503', '&nbsp;']"
12462,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['40', '&nbsp;']","['24,809', '&nbsp;']","['16', 'r']","['7,025', 'r']","['24', '&nbsp;']","['17,784', 'r']"
12462,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['28', '&nbsp;']","['19,366', '&nbsp;']","['9', 'r']","['5,647', 'r']","['19', '&nbsp;']","['13,719', 'r']"
12462,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['3', '&nbsp;']","['212', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['212', '&nbsp;']"
12462,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['249', '&nbsp;']","['225,239', '&nbsp;']","['115', '&nbsp;']","['50,831', '&nbsp;']","['135', '&nbsp;']","['174,407', '&nbsp;']"
12462,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['12,679', '&nbsp;']","['6,708,439', '&nbsp;']","['8,151', '&nbsp;']","['3,274,850', '&nbsp;']","['4,527', '&nbsp;']","['3,433,589', '&nbsp;']"
12462,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['725', '&nbsp;']","['457,568', '&nbsp;']","['418', '&nbsp;']","['213,937', '&nbsp;']","['307', '&nbsp;']","['243,631', '&nbsp;']"
12462,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['2,134', '&nbsp;']","['907,155', '&nbsp;']","['1,192', '&nbsp;']","['419,883', '&nbsp;']","['942', '&nbsp;']","['487,271', '&nbsp;']"
12462,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['1,525', '&nbsp;']","['665,064', '&nbsp;']","['799', '&nbsp;']","['271,918', '&nbsp;']","['726', '&nbsp;']","['393,146', '&nbsp;']"
12462,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['609', '&nbsp;']","['242,091', '&nbsp;']","['393', '&nbsp;']","['147,965', '&nbsp;']","['216', '&nbsp;']","['94,126', '&nbsp;']"
12462,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['1,192', '&nbsp;']","['432,941', '&nbsp;']","['788', '&nbsp;']","['188,162', '&nbsp;']","['404', '&nbsp;']","['244,779', '&nbsp;']"
12462,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['5,194', '&nbsp;']","['1,739,815', '&nbsp;']","['3,529', '&nbsp;']","['904,152', '&nbsp;']","['1,665', '&nbsp;']","['835,663', '&nbsp;']"
12462,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['3,433', '&nbsp;']","['3,170,961', '&nbsp;']","['2,225', '&nbsp;']","['1,548,716', '&nbsp;']","['1,209', '&nbsp;']","['1,622,245', '&nbsp;']"
12462,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['308', '&nbsp;']","['192,203', '&nbsp;']","['203', '&nbsp;']","['93,523', '&nbsp;']","['105', '&nbsp;']","['98,680', '&nbsp;']"
12462,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['1,155', '&nbsp;']","['1,523,931', '&nbsp;']","['770', '&nbsp;']","['753,460', '&nbsp;']","['385', '&nbsp;']","['770,471', '&nbsp;']"
12462,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['1,892', '&nbsp;']","['1,432,454', '&nbsp;']","['1,197', '&nbsp;']","['689,629', '&nbsp;']","['695', '&nbsp;']","['742,825', '&nbsp;']"
12462,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['78', '&nbsp;']","['22,373', '&nbsp;']","['55', '&nbsp;']","['12,104', '&nbsp;']","['23', '&nbsp;']","['10,269', '&nbsp;']"
