table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_yes,field_no,field_don_t_know
5730,r031,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['    20,669 ', '&nbsp;']","['    2.7 ', '&nbsp;']","['    90.9 ', '&nbsp;']","['    6.4 ', '&nbsp;']"
5730,r032,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['    8,060 ', '&nbsp;']","['    3.0 ', '&nbsp;']","['    87.5 ', '&nbsp;']","['    9.5 ', '&nbsp;']"
5730,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['    12,608 ', '&nbsp;']","['    2.6 ', '&nbsp;']","['    93.0 ', '&nbsp;']","['    4.4 ', '&nbsp;']"
5730,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['    4,587,586 ', '&nbsp;']","['    3.2 ', '&nbsp;']","['    90.3 ', '&nbsp;']","['    6.5 ', '&nbsp;']"
5730,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['    21,606 ', '&nbsp;']","['    0.9 ', '&nbsp;']","['    96.8 ', '&nbsp;']","['    2.3 ', '&nbsp;']"
5730,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['    14,969 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    95.6 ', '&nbsp;']","['    4.1 ', '&nbsp;']"
5730,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['    2,684 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    94.9 ', '&nbsp;']","['    4.6 ', '&nbsp;']"
5730,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['    613,110 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    93.7 ', '&nbsp;']","['    5.0 ', '&nbsp;']"
5730,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['    257,153 ', '&nbsp;']","['    3.0 ', '&nbsp;']","['    90.2 ', '&nbsp;']","['    6.8 ', '&nbsp;']"
5730,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['    560,952 ', '&nbsp;']","['    1.9 ', '&nbsp;']","['    91.1 ', '&nbsp;']","['    7.0 ', '&nbsp;']"
5730,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['    152,463 ', '&nbsp;']","['    1.4 ', '&nbsp;']","['    90.7 ', '&nbsp;']","['    7.9 ', '&nbsp;']"
5730,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['    61,638 ', '&nbsp;']","['    16.7 ', '&nbsp;']","['    75.8 ', '&nbsp;']","['    7.5 ', '&nbsp;']"
5730,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['    17,590 ', '&nbsp;']","['    22.4 ', '&nbsp;']","['    71.8 ', '&nbsp;']","['    5.8 ', '&nbsp;']"
5730,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['    9,761 ', '&nbsp;']","['    3.2 ', '&nbsp;']","['    91.7 ', '&nbsp;']","['    5.1 ', '&nbsp;']"
5730,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['    7,828 ', '&nbsp;']","['    46.2 ', '&nbsp;']","['    47.0 ', '&nbsp;']","['    6.8 ', '&nbsp;']"
5730,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['    7,164 ', '&nbsp;']","['    17.4 ', '&nbsp;']","['    69.3 ', '&nbsp;']","['    13.3 ', '&nbsp;']"
5730,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['    8,918 ', '&nbsp;']","['    42.9 ', '&nbsp;']","['    49.3 ', '&nbsp;']","['    7.7 ', '&nbsp;']"
5730,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['    27,965 ', '&nbsp;']","['    4.6 ', '&nbsp;']","['    88.4 ', '&nbsp;']","['    7.0 ', '&nbsp;']"
5730,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['    200,857 ', '&nbsp;']","['    4.2 ', '&nbsp;']","['    88.6 ', '&nbsp;']","['    7.2 ', '&nbsp;']"
5730,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['    255,783 ', '&nbsp;']","['    2.0 ', '&nbsp;']","['    91.4 ', '&nbsp;']","['    6.6 ', '&nbsp;']"
5730,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets <br>  (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets <br>  (except copyrighted works),,4,533,"['    1,812 ', '&nbsp;']","['D', '&nbsp;']","['    91.3 ', '&nbsp;']","['    8.6 ', 'r']"
5730,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['    253,970 ', '&nbsp;']","['    2.0 ', '&nbsp;']","['    91.4 ', '&nbsp;']","['    6.6 ', '&nbsp;']"
5730,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['    695,672 ', '&nbsp;']","['    8.7 ', '&nbsp;']","['    85.8 ', '&nbsp;']","['    5.5 ', '&nbsp;']"
5730,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['    152,243 ', '&nbsp;']","['    2.7 ', '&nbsp;']","['    92.2 ', '&nbsp;']","['    5.1 ', '&nbsp;']"
5730,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['    106,634 ', '&nbsp;']","['    6.7 ', '&nbsp;']","['    87.7 ', '&nbsp;']","['    5.6 ', '&nbsp;']"
5730,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['    88,491 ', '&nbsp;']","['    4.9 ', '&nbsp;']","['    90.2 ', '&nbsp;']","['    4.9 ', '&nbsp;']"
5730,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['    26,282 ', '&nbsp;']","['    4.2 ', '&nbsp;']","['    91.4 ', '&nbsp;']","['    4.4 ', '&nbsp;']"
5730,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['    95,950 ', '&nbsp;']","['    33.1 ', '&nbsp;']","['    59.6 ', '&nbsp;']","['    7.3 ', '&nbsp;']"
5730,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['    132,989 ', '&nbsp;']","['    6.1 ', '&nbsp;']","['    88.4 ', '&nbsp;']","['    5.5 ', '&nbsp;']"
5730,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['    9,798 ', '&nbsp;']","['    5.6 ', '&nbsp;']","['    87.7 ', '&nbsp;']","['    6.7 ', '&nbsp;']"
5730,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['    27,677 ', '&nbsp;']","['    5.6 ', '&nbsp;']","['    90.0 ', '&nbsp;']","['    4.4 ', '&nbsp;']"
5730,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['    55,569 ', '&nbsp;']","['    3.2 ', '&nbsp;']","['    91.7 ', '&nbsp;']","['    5.1 ', '&nbsp;']"
5730,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['    2,409 ', '&nbsp;']","['    2.3 ', 'r']","['    88.9 ', '&nbsp;']","['    8.8 ', 'r']"
5730,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['    287,807 ', '&nbsp;']","['    2.4 ', '&nbsp;']","['    91.9 ', '&nbsp;']","['    5.7 ', '&nbsp;']"
5730,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['    53,912 ', '&nbsp;']","['    4.2 ', '&nbsp;']","['    91.2 ', '&nbsp;']","['    4.6 ', '&nbsp;']"
5730,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['    519,556 ', '&nbsp;']","['    2.8 ', '&nbsp;']","['    91.2 ', '&nbsp;']","['    6.0 ', '&nbsp;']"
5730,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['    459,855 ', '&nbsp;']","['    2.9 ', '&nbsp;']","['    91.1 ', '&nbsp;']","['    6.0 ', '&nbsp;']"
5730,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['    59,700 ', '&nbsp;']","['    1.9 ', '&nbsp;']","['    92.1 ', '&nbsp;']","['    6.0 ', '&nbsp;']"
5730,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['    88,831 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    93.3 ', '&nbsp;']","['    5.4 ', '&nbsp;']"
5730,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['    453,059 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    89.3 ', '&nbsp;']","['    9.4 ', '&nbsp;']"
5730,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['    345,125 ', '&nbsp;']","['    1.6 ', '&nbsp;']","['    91.2 ', '&nbsp;']","['    7.2 ', '&nbsp;']"
