table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_aeronautical_engineering,field_astronautical_engineering,field_chemical_engineering,field_civil_engineering,field_electrical_engineering,field_mechanical_engineering,field_metallurgy_and_materials_engineering,field_other_engineering
6356,r020,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,78351.6,0.0,0.0,0.0,0.0,78351.6,0.0,0.0,0.0
6356,r021,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,1248343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1248343.0
6356,r022,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,481865.8,0.0,0.0,477992.2,3873.6,0.0,0.0,0.0,0.0
6356,r023,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,733047.4,0.0,50.0,252.0,0.0,367.5,0.0,130228.5,602149.3
6356,r024,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,715094.3,0.0,0.0,0.0,0.0,0.0,0.0,127533.3,587561.0
6356,r025,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,17953.1,0.0,50.0,252.0,0.0,367.5,0.0,2695.3,14588.3
6356,r026,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,392343.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392343.2
6356,r027,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,131088.7,0.0,0.0,18776.0,3091.7,15464.2,14506.8,32773.4,46476.7
6356,r028,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,2542771.2,0.0,0.0,0.0,0.0,0.0,200.0,20511.3,2522059.9
6356,r029,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,803.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,603.0
6356,r030,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,2541968.2,0.0,0.0,0.0,0.0,0.0,0.0,20511.3,2521456.9
6356,r031,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,77760.5,14197.6,0.0,19944.6,0.0,21516.3,344.3,0.0,21757.7
6356,r032,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,76638.2,14197.6,0.0,19944.6,0.0,20738.2,0.0,0.0,21757.7
6356,r033,All agencies -> Departments -> Department of Homeland Security -> U.S. Coast Guard,All agencies,Departments,Department of Homeland Security,U.S. Coast Guard,,4,1122.4,0.0,0.0,0.0,0.0,778.1,344.3,0.0,0.0
6356,r034,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,11661.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11661.5
6356,r035,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,9573.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9573.6
6356,r036,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,2087.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2087.9
6356,r037,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,1757.7,0.0,0.0,0.0,0.0,0.0,1707.7,0.0,50.0
6356,r038,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,1757.7,0.0,0.0,0.0,0.0,0.0,1707.7,0.0,50.0
6356,r039,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,725884.4,0.0,0.0,6064.0,378635.7,4519.2,33725.3,44413.9,258526.3
6356,r040,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,176734.7,0.0,0.0,6027.0,105249.8,0.0,0.0,38112.3,27345.6
6356,r041,All agencies -> Departments -> Department of Transportation -> Federal Highway Administration,All agencies,Departments,Department of Transportation,Federal Highway Administration,,4,471854.8,0.0,0.0,0.0,258090.3,0.0,0.0,0.0,213764.5
6356,r042,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,33024.7,0.0,0.0,0.0,15295.7,4519.2,9733.6,0.0,3476.3
6356,r043,All agencies -> Departments -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Departments,Department of Transportation,National Highway Traffic Safety Administration,,4,19066.4,0.0,0.0,0.0,0.0,0.0,19066.4,0.0,0.0
6356,r044,All agencies -> Departments -> Department of Transportation -> Office of the Secretary of Transportation,All agencies,Departments,Department of Transportation,Office of the Secretary of Transportation,,4,12139.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12139.9
6356,r045,All agencies -> Departments -> Department of Transportation -> Pipeline and Hazardous Materials Safety Administration,All agencies,Departments,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,,4,13063.9,0.0,0.0,37.0,0.0,0.0,4925.2,6301.7,1800.0
6356,r046,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,,3,219.3,0.0,0.0,0.0,0.0,0.0,0.0,219.3,0.0
6356,r047,All agencies -> Departments -> Department of the Treasury -> U.S. Mint,All agencies,Departments,Department of the Treasury,U.S. Mint,,4,219.3,0.0,0.0,0.0,0.0,0.0,0.0,219.3,0.0
6356,r048,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,,3,67668.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67668.2
6356,r049,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,,,,
6356,r050,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,58423.4,0.0,0.0,21242.7,2452.2,0.0,697.6,528.5,33502.4
6356,r051,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,,,3,1050.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0
6356,r052,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,2085963.7,591635.9,688608.8,0.0,0.0,0.0,0.0,0.0,805718.9
6356,r053,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,1167363.2,0.0,0.0,77636.2,4775.1,122158.0,68519.8,168616.5,725657.5
6356,r054,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,,,3,67399.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67399.3
6356,r055,All agencies -> Other agencies -> Tennessee Valley Authority,All agencies,Other agencies,Tennessee Valley Authority,,,3,6444.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444.9
6356,r056,All agencies -> Other agencies -> U.S. Postal Service,All agencies,Other agencies,U.S. Postal Service,,,3,18234.2,0.0,0.0,0.0,0.0,10028.8,8205.4,0.0,0.0
