table_id,row_id,issue_full_path,issue_level_1,issue_level_2,issue_hierarchy_depth,field_1979_n_1_635_,field_1981_n_3_192_,field_1983_n_1_615_,field_1985_n_1_986_,field_1988_n_2_041_,field_1990_n_2_005_,field_1992_n_1_995_,field_1995_n_2_006_,field_1997_n_2_000_,field_1999_n_1_882_,field_2001_n_1_574_,field_2008_n_2_021_,field_2010_n_1_461_,field_2012_n_2_256_,field_2014_n_2_130_,field_2016_n_1_390_,field_2018_n_1_175_
2277,r012,Environmental pollution -> Very interested,Environmental pollution,Very interested,2,na,na,na,na,na,64,59,52,52,51,48,47,46,45,43,42,45
2277,r013,Environmental pollution -> Moderately interested,Environmental pollution,Moderately interested,2,na,na,na,na,na,31,36,41,40,41,43,42,46,45,47,48,44
2277,r014,Environmental pollution -> Not at all interested,Environmental pollution,Not at all interested,2,na,na,na,na,na,5,5,6,8,8,8,10,7,9,10,10,11
2277,r015,Environmental pollution -> Don't know or refused to answer,Environmental pollution,Don't know or refused to answer,2,na,na,na,na,na,0.05,0.05,0.05,0.05,0.05,0,1,1,1,0.05,0.05,0.05
2277,r016,Use of new inventions and technologies,Use of new inventions and technologies,,1,,,,,,,,,,,,,,,,,
2277,r017,Use of new inventions and technologies -> Very interested,Use of new inventions and technologies,Very interested,2,33,33,42,39,40,39,37,43,47,41,42,40,40,42,43,42,40
2277,r018,Use of new inventions and technologies -> Moderately interested,Use of new inventions and technologies,Moderately interested,2,51,51,45,49,49,49,53,46,43,48,47,46,48,46,45,46,47
2277,r019,Use of new inventions and technologies -> Not at all interested,Use of new inventions and technologies,Not at all interested,2,15,16,12,12,12,12,10,11,10,10,10,13,10,11,12,12,13
2277,r020,Use of new inventions and technologies -> Don't know or refused to answer,Use of new inventions and technologies,Don't know or refused to answer,2,1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1,0.05,1,1,0.05,0.05,0.05
2277,r021,New scientific discoveries,New scientific discoveries,,1,,,,,,,,,,,,,,,,,
2277,r022,New scientific discoveries -> Very interested,New scientific discoveries,Very interested,2,36,37,48,44,43,39,36,44,49,45,47,38,41,40,41,42,41
2277,r023,New scientific discoveries -> Moderately interested,New scientific discoveries,Moderately interested,2,49,45,41,43,46,49,49,45,42,43,45,47,50,45,46,42,44
2277,r024,New scientific discoveries -> Not at all interested,New scientific discoveries,Not at all interested,2,15,17,11,12,12,12,15,11,9,11,8,15,8,14,13,15,15
2277,r025,New scientific discoveries -> Don't know or refused to answer,New scientific discoveries,Don't know or refused to answer,2,1,0.05,0.05,0.05,0,0,0.05,0.05,0.05,1,0.05,0.05,1,1,0.05,0.05,0.05
2277,r026,Economic issues and business conditions,Economic issues and business conditions,,1,,,,,,,,,,,,,,,,,
2277,r027,Economic issues and business conditions -> Very interested,Economic issues and business conditions,Very interested,2,35,52,57,48,48,51,56,47,47,42,45,46,44,49,43,39,41
2277,r028,Economic issues and business conditions -> Moderately interested,Economic issues and business conditions,Moderately interested,2,48,37,33,41,42,40,36,42,42,45,45,43,45,40,44,46,44
2277,r029,Economic issues and business conditions -> Not at all interested,Economic issues and business conditions,Not at all interested,2,17,10,10,11,10,10,8,11,11,13,10,11,10,10,13,14,15
2277,r030,Economic issues and business conditions -> Don't know or refused to answer,Economic issues and business conditions,Don't know or refused to answer,2,1,0.05,1,0.05,0.05,0.05,0.05,0,0.05,0.05,0.05,0.05,1,1,0.05,0.05,0.05
2277,r031,Military and defense policy,Military and defense policy,,1,,,,,,,,,,,,,,,,,
2277,r032,Military and defense policy -> Very interested,Military and defense policy,Very interested,2,na,na,43,47,47,55,47,37,35,42,38,38,37,37,35,34,32
2277,r033,Military and defense policy -> Moderately interested,Military and defense policy,Moderately interested,2,na,na,42,42,42,35,43,46,48,44,44,47,47,47,50,49,50
2277,r034,Military and defense policy -> Not at all interested,Military and defense policy,Not at all interested,2,na,na,15,11,11,9,10,17,18,14,17,15,15,15,15,17,18
2277,r035,Military and defense policy -> Don't know or refused to answer,Military and defense policy,Don't know or refused to answer,2,na,na,1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1,1,1,0.05,0.05,0.05
2277,r036,Space exploration,Space exploration,,1,,,,,,,,,,,,,,,,,
2277,r037,Space exploration -> Very interested,Space exploration,Very interested,2,na,25,27,29,34,26,22,25,32,28,26,21,23,23,23,24,25
2277,r038,Space exploration -> Moderately interested,Space exploration,Moderately interested,2,na,43,45,46,44,48,50,49,45,46,47,45,49,44,45,44,44
2277,r039,Space exploration -> Not at all interested,Space exploration,Not at all interested,2,na,31,28,25,22,26,28,26,22,25,27,34,27,32,31,31,30
2277,r040,Space exploration -> Don't know or refused to answer,Space exploration,Don't know or refused to answer,2,na,0.05,0.05,0,1,0,0.05,0.05,1,1,0.05,0.05,1,1,0.05,0.05,0.05
2277,r041,International and foreign policy issues,International and foreign policy issues,,1,,,,,,,,,,,,,,,,,
2277,r042,International and foreign policy issues -> Very interested,International and foreign policy issues,Very interested,2,22,35,30,33,33,48,38,21,23,30,28,23,22,21,23,21,22
2277,r043,International and foreign policy issues -> Moderately interested,International and foreign policy issues,Moderately interested,2,53,47,47,51,50,39,47,53,50,47,49,48,48,47,48,49,46
2277,r044,International and foreign policy issues -> Not at all interested,International and foreign policy issues,Not at all interested,2,24,18,22,16,16,12,15,26,28,23,22,29,29,31,29,29,31
2277,r045,International and foreign policy issues -> Don't know or refused to answer,International and foreign policy issues,Don't know or refused to answer,2,1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1,2,1,1,0.05,0.05
2277,r046,Agricultural and farm issues,Agricultural and farm issues,,1,,,,,,,,,,,,,,,,,
2277,r047,Agricultural and farm issues -> Very interested,Agricultural and farm issues,Very interested,2,23,24,na,30,40,24,na,21,24,22,29,22,25,22,24,21,20
2277,r048,Agricultural and farm issues -> Moderately interested,Agricultural and farm issues,Moderately interested,2,49,47,na,48,45,48,na,53,50,50,46,52,55,49,50,48,50
2277,r049,Agricultural and farm issues -> Not at all interested,Agricultural and farm issues,Not at all interested,2,28,29,na,22,15,28,na,26,26,28,25,26,20,28,26,30,30
2277,r050,Agricultural and farm issues -> Don't know or refused to answer,Agricultural and farm issues,Don't know or refused to answer,2,0.05,0.05,na,0.05,0,0,na,1,0.05,0.05,0.05,0.05,1,1,0.05,1,0
