table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_level_5,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
6846,r036,All degree levels -> S&E-related occupations -> S&E managers,All degree levels,S&E-related occupations,S&E managers,,,3,1048000,47000,709000,93000,7000,193000
6846,r037,All degree levels -> S&E-related occupations -> S&E precollege teachers,All degree levels,S&E-related occupations,S&E precollege teachers,,,3,961000,,46000,3000,902000,5000
6846,r038,All degree levels -> S&E-related occupations -> S&E technicians and technologists,All degree levels,S&E-related occupations,S&E technicians and technologists,,,3,837000,183000,179000,245000,8000,222000
6846,r039,All degree levels -> S&E-related occupations -> Other S&E-related occupations,All degree levels,S&E-related occupations,Other S&E-related occupations,,,3,244000,12000,55000,123000,,53000
6846,r040,All degree levels -> Non-S&E occupations,All degree levels,Non-S&E occupations,,,,2,33183000,432000,18422000,1956000,5482000,6891000
6846,r041,All degree levels -> Non-S&E occupations -> Non-S&E managers,All degree levels,Non-S&E occupations,Non-S&E managers,,,3,4510000,78000,3834000,211000,41000,346000
6846,r042,All degree levels -> Non-S&E occupations -> Management-related occupations,All degree levels,Non-S&E occupations,Management-related occupations,,,3,6428000,132000,4902000,396000,66000,932000
6846,r043,All degree levels -> Non-S&E occupations -> Non-S&E precollege teachers,All degree levels,Non-S&E occupations,Non-S&E precollege teachers,,,3,4093000,,123000,32000,3846000,48000
6846,r044,All degree levels -> Non-S&E occupations -> Non-S&E postsecondary teachers,All degree levels,Non-S&E occupations,Non-S&E postsecondary teachers,,,3,634000,,37000,54000,526000,17000
6846,r045,All degree levels -> Non-S&E occupations -> Social services and related occupations,All degree levels,Non-S&E occupations,Social services and related occupations,,,3,1908000,S,438000,110000,242000,1114000
6846,r046,All degree levels -> Non-S&E occupations -> Sales and marketing occupations,All degree levels,Non-S&E occupations,Sales and marketing occupations,,,3,4353000,31000,3806000,169000,26000,321000
6846,r047,"All degree levels -> Non-S&E occupations -> Art, humanities, and related occupations",All degree levels,Non-S&E occupations,"Art, humanities, and related occupations",,,3,1439000,46000,462000,331000,30000,571000
6846,r048,All degree levels -> Non-S&E occupations -> Other non-S&E occupations,All degree levels,Non-S&E occupations,Other non-S&E occupations,,,3,9818000,97000,4821000,654000,705000,3541000
6846,r049,All degree levels -> Bachelor's,All degree levels,Bachelor's,,,,2,30131000,1665000,15257000,2866000,3545000,6797000
6846,r050,All degree levels -> Bachelor's -> S&E occupations,All degree levels,Bachelor's,S&E occupations,,,3,3846000,1150000,928000,1158000,122000,488000
6846,r051,"All degree levels -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",,4,230000,S,31000,147000,7000,40000
6846,r052,"All degree levels -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists -> Agricultural and food scientists",All degree levels,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",Agricultural and food scientists,5,18000,,5000,9000,,3000
6846,r053,"All degree levels -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists -> Biological and medical scientists",All degree levels,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",Biological and medical scientists,5,183000,S,20000,122000,S,36000
6846,r054,"All degree levels -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists -> Environmental life scientists",All degree levels,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",Environmental life scientists,5,15000,,5000,6000,0.05,2000
6846,r055,"All degree levels -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers - life and related sciences",All degree levels,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",Postsecondary teachers - life and related sciences,5,S,,,S,4000,
6846,r056,All degree levels -> Bachelor's -> S&E occupations -> Computer and mathematical scientists,All degree levels,Bachelor's,S&E occupations,Computer and mathematical scientists,,4,2219000,1100000,434000,406000,62000,218000
6846,r057,All degree levels -> Bachelor's -> S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,All degree levels,Bachelor's,S&E occupations,Computer and mathematical scientists,Computer and information scientists,5,2096000,1079000,402000,356000,45000,214000
6846,r058,All degree levels -> Bachelor's -> S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,All degree levels,Bachelor's,S&E occupations,Computer and mathematical scientists,Mathematical scientists,5,108000,21000,31000,48000,,4000
6846,r059,All degree levels -> Bachelor's -> S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers - computer and math sciences,All degree levels,Bachelor's,S&E occupations,Computer and mathematical scientists,Postsecondary teachers - computer and math sciences,5,15000,,,S,13000,
6846,r060,All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists,All degree levels,Bachelor's,S&E occupations,Physical and related scientists,,4,164000,2000,31000,74000,25000,33000
6846,r061,"All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists -> Chemists, except biochemists",All degree levels,Bachelor's,S&E occupations,Physical and related scientists,"Chemists, except biochemists",5,63000,,12000,33000,,17000
6846,r062,"All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists -> Earth scientists, geologists and oceanographers",All degree levels,Bachelor's,S&E occupations,Physical and related scientists,"Earth scientists, geologists and oceanographers",5,28000,,5000,14000,,8000
6846,r063,All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists -> Physicists and astronomers,All degree levels,Bachelor's,S&E occupations,Physical and related scientists,Physicists and astronomers,5,9000,,S,6000,,S
6846,r064,All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists -> Other physical and related scientists,All degree levels,Bachelor's,S&E occupations,Physical and related scientists,Other physical and related scientists,5,35000,,11000,17000,,7000
6846,r065,All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists -> Postsecondary teachers - physical and related sciences,All degree levels,Bachelor's,S&E occupations,Physical and related scientists,Postsecondary teachers - physical and related sciences,5,29000,,,S,25000,
6846,r066,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,,4,172000,0.05,64000,62000,13000,33000
6846,r067,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists -> Economists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,Economists,5,S,,1000,S,,S
6846,r068,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists -> Political scientists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,Political scientists,5,12000,,S,S,,S
6846,r069,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists -> Psychologists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,Psychologists,5,18000,,,8000,,8000
6846,r070,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists -> Sociologists and anthropologists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,Sociologists and anthropologists,5,6000,,,S,,S
6846,r071,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists -> Other social and related scientists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,Other social and related scientists,5,89000,,S,29000,,7000
6846,r072,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists -> Postsecondary teachers - social and related sciences,All degree levels,Bachelor's,S&E occupations,Social and related scientists,Postsecondary teachers - social and related sciences,5,24000,,,S,10000,
6846,r073,All degree levels -> Bachelor's -> S&E occupations -> Engineers,All degree levels,Bachelor's,S&E occupations,Engineers,,4,1061000,44000,368000,470000,14000,164000
6846,r074,"All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Aerospace, aeronautical, and astronautical engineers",All degree levels,Bachelor's,S&E occupations,Engineers,"Aerospace, aeronautical, and astronautical engineers",5,69000,5000,19000,32000,,12000
6846,r075,All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Chemical engineers,All degree levels,Bachelor's,S&E occupations,Engineers,Chemical engineers,5,59000,2000,14000,32000,,11000
6846,r076,"All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Civil, architectural, and sanitary engineers",All degree levels,Bachelor's,S&E occupations,Engineers,"Civil, architectural, and sanitary engineers",5,169000,3000,79000,62000,,25000
6846,r077,All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Electrical and computer hardware engineers,All degree levels,Bachelor's,S&E occupations,Engineers,Electrical and computer hardware engineers,5,215000,24000,43000,112000,,35000
6846,r078,All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Industrial engineers,All degree levels,Bachelor's,S&E occupations,Engineers,Industrial engineers,5,57000,1000,27000,19000,,10000
6846,r079,All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Mechanical engineers,All degree levels,Bachelor's,S&E occupations,Engineers,Mechanical engineers,5,219000,2000,54000,136000,,27000
6846,r080,All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Other engineers,All degree levels,Bachelor's,S&E occupations,Engineers,Other engineers,5,259000,8000,129000,77000,,44000
6846,r081,All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Postsecondary teachers - engineering,All degree levels,Bachelor's,S&E occupations,Engineers,Postsecondary teachers - engineering,5,12000,,S,,9000,
6846,r082,All degree levels -> Bachelor's -> S&E-related occupations,All degree levels,Bachelor's,S&E-related occupations,,,3,4338000,181000,928000,380000,515000,2334000
6846,r083,All degree levels -> Bachelor's -> S&E-related occupations -> Health-related occupations,All degree levels,Bachelor's,S&E-related occupations,Health-related occupations,,4,2671000,17000,371000,100000,130000,2053000
6846,r084,All degree levels -> Bachelor's -> S&E-related occupations -> S&E managers,All degree levels,Bachelor's,S&E-related occupations,S&E managers,,4,515000,25000,377000,50000,,62000
6846,r085,All degree levels -> Bachelor's -> S&E-related occupations -> S&E precollege teachers,All degree levels,Bachelor's,S&E-related occupations,S&E precollege teachers,,4,400000,,14000,S,379000,S
6846,r086,All degree levels -> Bachelor's -> S&E-related occupations -> S&E technicians and technologists,All degree levels,Bachelor's,S&E-related occupations,S&E technicians and technologists,,4,586000,124000,128000,149000,6000,179000
6846,r087,All degree levels -> Bachelor's -> S&E-related occupations -> Other S&E-related occupations,All degree levels,Bachelor's,S&E-related occupations,Other S&E-related occupations,,4,166000,9000,40000,79000,,39000
6846,r088,All degree levels -> Bachelor's -> Non-S&E occupations,All degree levels,Bachelor's,Non-S&E occupations,,,3,21946000,334000,13401000,1328000,2908000,3976000
6846,r089,All degree levels -> Bachelor's -> Non-S&E occupations -> Non-S&E managers,All degree levels,Bachelor's,Non-S&E occupations,Non-S&E managers,,4,2761000,58000,2356000,114000,22000,211000
6846,r090,All degree levels -> Bachelor's -> Non-S&E occupations -> Management-related occupations,All degree levels,Bachelor's,Non-S&E occupations,Management-related occupations,,4,4489000,88000,3470000,266000,45000,619000
6846,r091,All degree levels -> Bachelor's -> Non-S&E occupations -> Non-S&E precollege teachers,All degree levels,Bachelor's,Non-S&E occupations,Non-S&E precollege teachers,,4,2221000,,60000,S,2092000,S
6846,r092,All degree levels -> Bachelor's -> Non-S&E occupations -> Non-S&E postsecondary teachers,All degree levels,Bachelor's,Non-S&E occupations,Non-S&E postsecondary teachers,,4,107000,,S,10000,92000,S
6846,r093,All degree levels -> Bachelor's -> Non-S&E occupations -> Social services and related occupations,All degree levels,Bachelor's,Non-S&E occupations,Social services and related occupations,,4,869000,S,265000,67000,122000,411000
6846,r094,All degree levels -> Bachelor's -> Non-S&E occupations -> Sales and marketing occupations,All degree levels,Bachelor's,Non-S&E occupations,Sales and marketing occupations,,4,3576000,29000,3116000,151000,23000,257000
6846,r095,"All degree levels -> Bachelor's -> Non-S&E occupations -> Art, humanities, and related occupations",All degree levels,Bachelor's,Non-S&E occupations,"Art, humanities, and related occupations",,4,1067000,43000,342000,250000,23000,409000
6846,r096,All degree levels -> Bachelor's -> Non-S&E occupations -> Other non-S&E occupations,All degree levels,Bachelor's,Non-S&E occupations,Other non-S&E occupations,,4,6856000,74000,3788000,448000,487000,2059000
6846,r097,All degree levels -> Master's,All degree levels,Master's,,,,2,13260000,741000,5362000,1339000,3038000,2780000
6846,r098,All degree levels -> Master's -> S&E occupations,All degree levels,Master's,S&E occupations,,,3,2069000,571000,425000,665000,137000,270000
6846,r099,"All degree levels -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,Master's,S&E occupations,"Biological, agricultural, and other life scientists",,4,149000,2000,27000,85000,16000,19000
6846,r100,"All degree levels -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists -> Agricultural and food scientists",All degree levels,Master's,S&E occupations,"Biological, agricultural, and other life scientists",Agricultural and food scientists,5,13000,,3000,8000,,S
6846,r101,"All degree levels -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists -> Biological and medical scientists",All degree levels,Master's,S&E occupations,"Biological, agricultural, and other life scientists",Biological and medical scientists,5,108000,2000,19000,72000,0.05,14000
6846,r102,"All degree levels -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists -> Environmental life scientists",All degree levels,Master's,S&E occupations,"Biological, agricultural, and other life scientists",Environmental life scientists,5,11000,,S,3000,,2000
6846,r103,"All degree levels -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers - life and related sciences",All degree levels,Master's,S&E occupations,"Biological, agricultural, and other life scientists",Postsecondary teachers - life and related sciences,5,17000,,,1000,15000,
6846,r104,All degree levels -> Master's -> S&E occupations -> Computer and mathematical scientists,All degree levels,Master's,S&E occupations,Computer and mathematical scientists,,4,1039000,522000,181000,206000,51000,78000
6846,r105,All degree levels -> Master's -> S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,All degree levels,Master's,S&E occupations,Computer and mathematical scientists,Computer and information scientists,5,911000,508000,170000,166000,S,65000
6846,r106,All degree levels -> Master's -> S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,All degree levels,Master's,S&E occupations,Computer and mathematical scientists,Mathematical scientists,5,75000,13000,10000,39000,,13000
6846,r107,All degree levels -> Master's -> S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers - computer and math sciences,All degree levels,Master's,S&E occupations,Computer and mathematical scientists,Postsecondary teachers - computer and math sciences,5,52000,,S,S,48000,
6846,r108,All degree levels -> Master's -> S&E occupations -> Physical and related scientists,All degree levels,Master's,S&E occupations,Physical and related scientists,,4,98000,1000,13000,56000,9000,20000
6846,r109,"All degree levels -> Master's -> S&E occupations -> Physical and related scientists -> Chemists, except biochemists",All degree levels,Master's,S&E occupations,Physical and related scientists,"Chemists, except biochemists",5,26000,,3000,15000,,7000
6846,r110,"All degree levels -> Master's -> S&E occupations -> Physical and related scientists -> Earth scientists, geologists and oceanographers",All degree levels,Master's,S&E occupations,Physical and related scientists,"Earth scientists, geologists and oceanographers",5,29000,S,4000,20000,,4000
6846,r111,All degree levels -> Master's -> S&E occupations -> Physical and related scientists -> Physicists and astronomers,All degree levels,Master's,S&E occupations,Physical and related scientists,Physicists and astronomers,5,12000,,,10000,,
6846,r112,All degree levels -> Master's -> S&E occupations -> Physical and related scientists -> Other physical and related scientists,All degree levels,Master's,S&E occupations,Physical and related scientists,Other physical and related scientists,5,21000,,5000,10000,,7000
6846,r113,All degree levels -> Master's -> S&E occupations -> Physical and related scientists -> Postsecondary teachers - physical and related sciences,All degree levels,Master's,S&E occupations,Physical and related scientists,Postsecondary teachers - physical and related sciences,5,10000,,,S,9000,
6846,r114,All degree levels -> Master's -> S&E occupations -> Social and related scientists,All degree levels,Master's,S&E occupations,Social and related scientists,,4,235000,2000,38000,56000,48000,92000
6846,r115,All degree levels -> Master's -> S&E occupations -> Social and related scientists -> Economists,All degree levels,Master's,S&E occupations,Social and related scientists,Economists,5,14000,S,1000,8000,,4000
6846,r116,All degree levels -> Master's -> S&E occupations -> Social and related scientists -> Political scientists,All degree levels,Master's,S&E occupations,Social and related scientists,Political scientists,5,12000,,4000,5000,,2000
6846,r117,All degree levels -> Master's -> S&E occupations -> Social and related scientists -> Psychologists,All degree levels,Master's,S&E occupations,Social and related scientists,Psychologists,5,86000,,4000,8000,2000,72000
6846,r118,All degree levels -> Master's -> S&E occupations -> Social and related scientists -> Sociologists and anthropologists,All degree levels,Master's,S&E occupations,Social and related scientists,Sociologists and anthropologists,5,13000,,2000,7000,,3000
6846,r119,All degree levels -> Master's -> S&E occupations -> Social and related scientists -> Other social and related scientists,All degree levels,Master's,S&E occupations,Social and related scientists,Other social and related scientists,5,55000,S,23000,21000,,11000
6846,r120,All degree levels -> Master's -> S&E occupations -> Social and related scientists -> Postsecondary teachers - social and related sciences,All degree levels,Master's,S&E occupations,Social and related scientists,Postsecondary teachers - social and related sciences,5,56000,,,7000,45000,
6846,r121,All degree levels -> Master's -> S&E occupations -> Engineers,All degree levels,Master's,S&E occupations,Engineers,,4,548000,45000,166000,262000,14000,62000
6846,r122,"All degree levels -> Master's -> S&E occupations -> Engineers -> Aerospace, aeronautical, and astronautical engineers",All degree levels,Master's,S&E occupations,Engineers,"Aerospace, aeronautical, and astronautical engineers",5,54000,S,14000,27000,,4000
6846,r123,All degree levels -> Master's -> S&E occupations -> Engineers -> Chemical engineers,All degree levels,Master's,S&E occupations,Engineers,Chemical engineers,5,22000,,4000,13000,,4000
6846,r124,"All degree levels -> Master's -> S&E occupations -> Engineers -> Civil, architectural, and sanitary engineers",All degree levels,Master's,S&E occupations,Engineers,"Civil, architectural, and sanitary engineers",5,91000,2000,35000,41000,,11000
6846,r125,All degree levels -> Master's -> S&E occupations -> Engineers -> Electrical and computer hardware engineers,All degree levels,Master's,S&E occupations,Engineers,Electrical and computer hardware engineers,5,138000,25000,24000,77000,,13000
6846,r126,All degree levels -> Master's -> S&E occupations -> Engineers -> Industrial engineers,All degree levels,Master's,S&E occupations,Engineers,Industrial engineers,5,28000,S,15000,10000,,3000
6846,r127,All degree levels -> Master's -> S&E occupations -> Engineers -> Mechanical engineers,All degree levels,Master's,S&E occupations,Engineers,Mechanical engineers,5,80000,3000,22000,44000,,11000
6846,r128,All degree levels -> Master's -> S&E occupations -> Engineers -> Other engineers,All degree levels,Master's,S&E occupations,Engineers,Other engineers,5,122000,6000,51000,48000,S,16000
6846,r129,All degree levels -> Master's -> S&E occupations -> Engineers -> Postsecondary teachers - engineering,All degree levels,Master's,S&E occupations,Engineers,Postsecondary teachers - engineering,5,12000,,,1000,11000,
6846,r130,All degree levels -> Master's -> S&E-related occupations,All degree levels,Master's,S&E-related occupations,,,3,2262000,78000,498000,217000,603000,867000
6846,r131,All degree levels -> Master's -> S&E-related occupations -> Health-related occupations,All degree levels,Master's,S&E-related occupations,Health-related occupations,,4,1066000,S,124000,67000,107000,768000
6846,r132,All degree levels -> Master's -> S&E-related occupations -> S&E managers,All degree levels,Master's,S&E-related occupations,S&E managers,,4,383000,19000,288000,32000,4000,39000
6846,r133,All degree levels -> Master's -> S&E-related occupations -> S&E precollege teachers,All degree levels,Master's,S&E-related occupations,S&E precollege teachers,,4,527000,,32000,S,490000,4000
6846,r134,All degree levels -> Master's -> S&E-related occupations -> S&E technicians and technologists,All degree levels,Master's,S&E-related occupations,S&E technicians and technologists,,4,209000,55000,38000,73000,S,42000
6846,r135,All degree levels -> Master's -> S&E-related occupations -> Other S&E-related occupations,All degree levels,Master's,S&E-related occupations,Other S&E-related occupations,,4,77000,S,16000,44000,,14000
6846,r136,All degree levels -> Master's -> Non-S&E occupations,All degree levels,Master's,Non-S&E occupations,,,3,8929000,91000,4439000,458000,2298000,1643000
6846,r137,All degree levels -> Master's -> Non-S&E occupations -> Non-S&E managers,All degree levels,Master's,Non-S&E occupations,Non-S&E managers,,4,1469000,18000,1285000,56000,13000,97000
6846,r138,All degree levels -> Master's -> Non-S&E occupations -> Management-related occupations,All degree levels,Master's,Non-S&E occupations,Management-related occupations,,4,1756000,40000,1302000,112000,20000,282000
6846,r139,All degree levels -> Master's -> Non-S&E occupations -> Non-S&E precollege teachers,All degree levels,Master's,Non-S&E occupations,Non-S&E precollege teachers,,4,1827000,,51000,S,1722000,39000
6846,r140,All degree levels -> Master's -> Non-S&E occupations -> Non-S&E postsecondary teachers,All degree levels,Master's,Non-S&E occupations,Non-S&E postsecondary teachers,,4,283000,,23000,7000,246000,6000
6846,r141,All degree levels -> Master's -> Non-S&E occupations -> Social services and related occupations,All degree levels,Master's,Non-S&E occupations,Social services and related occupations,,4,955000,,154000,40000,103000,657000
6846,r142,All degree levels -> Master's -> Non-S&E occupations -> Sales and marketing occupations,All degree levels,Master's,Non-S&E occupations,Sales and marketing occupations,,4,708000,S,640000,16000,,50000
6846,r143,"All degree levels -> Master's -> Non-S&E occupations -> Art, humanities, and related occupations",All degree levels,Master's,Non-S&E occupations,"Art, humanities, and related occupations",,4,331000,S,113000,69000,4000,142000
6846,r144,All degree levels -> Master's -> Non-S&E occupations -> Other non-S&E occupations,All degree levels,Master's,Non-S&E occupations,Other non-S&E occupations,,4,1600000,23000,870000,147000,190000,371000
