table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5414,r011,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,10,"['15,377', '']","['148', '']","['0', '']","['12,466', '']","['111', '']","['457', '']","['245', '']","['6', '']","['0', '']","['1,480', '']","['464', '']"
5414,r012,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,11,"['15,081', '']","['502', '']","['189', '']","['2,129', '']","['97', '']","['9,903', '']","['25', '']","['201', '']","['465', '']","['1,468', '']","['102', '']"
5414,r013,All HBCUs -> Langston U.,All HBCUs,Langston U.,2,12,"['14,409', '']","['0', '']","['0', '']","['13,843', '']","['2', '']","['109', '']","['0', '']","['0', '']","['0', '']","['0', '']","['455', '']"
5414,r014,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,13,"['13,870', '']","['0', '']","['0', '']","['13,870', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5414,r015,All HBCUs -> Alcorn State U.,All HBCUs,Alcorn State U.,2,14,"['13,710', '']","['0', '']","['0', '']","['7,918', '']","['0', '']","['0', '']","['0', '']","['5,659', '']","['0', '']","['133', '']","['0', '']"
5414,r016,All HBCUs -> U. of the Virgin Islands,All HBCUs,U. of the Virgin Islands,2,15,"['13,631', '']","['148', '']","['3,639', '']","['7,103', '']","['694', '']","['908', '']","['0', '']","['228', '']","['0', '']","['902', '']","['9', '']"
5414,r017,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,16,"['11,402', '']","['699', '']","['3,454', '']","['1,745', '']","['226', '']","['3,142', '']","['0', '']","['710', '']","['0', '']","['866', '']","['560', '']"
5414,r018,All HBCUs -> Xavier U. Louisiana,All HBCUs,Xavier U. Louisiana,2,17,"['11,387', '']","['100', '']","['0', '']","['3,929', '']","['0', '']","['7,186', '']","['55', '']","['0', '']","['0', '']","['65', '']","['52', '']"
5414,r019,All HBCUs -> Virginia State U.,All HBCUs,Virginia State U.,2,18,"['10,014', '']","['0', '']","['0', '']","['6,123', '']","['645', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,058', '']","['2,188', '']"
5414,r020,All HBCUs -> Alabama A&M U.,All HBCUs,Alabama A&M U.,2,19,"['8,749', '']","['301', 'i']","['0', 'i']","['5,142', 'i']","['83', 'i']","['636', 'i']","['174', 'i']","['298', 'i']","['0', 'i']","['1,603', 'i']","['512', 'i']"
5414,r021,"All HBCUs -> U. Arkansas, Pine Bluff",All HBCUs,"U. Arkansas, Pine Bluff",2,20,"['8,540', '']","['0', '']","['0', '']","['7,415', '']","['0', '']","['540', '']","['0', '']","['0', '']","['572', '']","['0', '']","['13', '']"
5414,r022,All HBCUs -> Clark Atlanta U.,All HBCUs,Clark Atlanta U.,2,21,"['8,452', '']","['183', '']","['0', '']","['6,017', '']","['194', '']","['1,649', '']","['0', '']","['58', '']","['0', '']","['158', '']","['193', '']"
5414,r023,"All HBCUs -> U. Maryland, Eastern Shore",All HBCUs,"U. Maryland, Eastern Shore",2,22,"['8,092', '']","['0', '']","['3,454', '']","['2,572', '']","['0', '']","['1,243', '']","['0', '']","['695', '']","['0', '']","['128', '']","['0', '']"
5414,r024,All HBCUs -> Kentucky State U.,All HBCUs,Kentucky State U.,2,23,"['7,963', '']","['32', '']","['0', '']","['7,806', '']","['125', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5414,r025,All HBCUs -> Norfolk State U.,All HBCUs,Norfolk State U.,2,24,"['7,153', '']","['4,921', '']","['0', '']","['114', '']","['48', '']","['726', '']","['0', '']","['0', '']","['0', '']","['1,312', '']","['32', '']"
5414,r026,All HBCUs -> Central State U.,All HBCUs,Central State U.,2,25,"['6,107', '']","['0', '']","['126', '']","['5,451', '']","['37', '']","['6', '']","['0', '']","['0', '']","['321', '']","['166', '']","['0', '']"
5414,r027,All HBCUs -> Winston-Salem State U.,All HBCUs,Winston-Salem State U.,2,26,"['5,781', '']","['443', '']","['0', '']","['2,400', '']","['5', '']","['554', '']","['252', '']","['724', '']","['0', '']","['0', '']","['1,403', '']"
5414,r028,"All HBCUs -> Lincoln U., Jefferson City",All HBCUs,"Lincoln U., Jefferson City",2,27,"['5,777', '']","['0', '']","['0', '']","['5,404', '']","['150', '']","['26', '']","['0', '']","['92', '']","['105', '']","['0', '']","['0', '']"
5414,r029,All HBCUs -> West Virginia State U.,All HBCUs,West Virginia State U.,2,28,"['5,775', '']","['110', '']","['0', '']","['5,199', '']","['0', '']","['357', '']","['0', '']","['0', '']","['0', '']","['109', '']","['0', '']"
5414,r030,All HBCUs -> Fort Valley State U.,All HBCUs,Fort Valley State U.,2,29,"['4,921', '']","['0', '']","['0', '']","['4,581', '']","['184', '']","['72', '']","['0', '']","['0', '']","['0', '']","['84', '']","['0', '']"
5414,r031,All HBCUs -> Morehouse C.,All HBCUs,Morehouse C.,2,30,"['4,825', '']","['1,141', '']","['0', '']","['120', '']","['166', '']","['1,517', '']","['42', '']","['3', '']","['1,697', '']","['0', '']","['139', '']"
5414,r032,All HBCUs -> Texas Southern U.,All HBCUs,Texas Southern U.,2,31,"['4,782', '']","['159', '']","['189', '']","['2,673', '']","['204', '']","['661', '']","['0', '']","['0', '']","['0', '']","['93', '']","['803', '']"
5414,r033,All HBCUs -> U. of the District of Columbia,All HBCUs,U. of the District of Columbia,2,32,"['4,590', '']","['79', '']","['41', '']","['2,157', '']","['277', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,388', '']","['648', '']"
5414,r034,"All HBCUs -> Southern U. and A&M C., Agricultural Research and Extension Center",All HBCUs,"Southern U. and A&M C., Agricultural Research and Extension Center",2,33,"['4,475', '']","['0', '']","['0', '']","['4,475', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5414,r035,All HBCUs -> Fisk U.,All HBCUs,Fisk U.,2,34,"['3,904', '']","['93', '']","['0', '']","['3,585', '']","['12', '']","['212', '']","['0', '']","['2', '']","['0', '']","['0', '']","['0', '']"
5414,r036,"All HBCUs -> Southern U. and A&M C., Baton Rouge",All HBCUs,"Southern U. and A&M C., Baton Rouge",2,35,"['3,849', '']","['202', '']","['0', '']","['338', '']","['5', '']","['735', '']","['0', '']","['528', '']","['0', '']","['1,424', '']","['617', '']"
5414,r037,All HBCUs -> South Carolina State U.,All HBCUs,South Carolina State U.,2,36,"['3,796', 'i']","['104', 'i']","['0', 'i']","['1,367', 'i']","['0', 'i']","['965', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['687', 'i']","['673', 'i']"
5414,r038,All HBCUs -> Fayetteville State U.,All HBCUs,Fayetteville State U.,2,37,"['2,797', '']","['131', '']","['0', '']","['1,483', '']","['0', '']","['260', '']","['0', '']","['111', '']","['0', '']","['0', '']","['812', '']"
5414,r039,All HBCUs -> Spelman C.,All HBCUs,Spelman C.,2,38,"['2,750', '']","['34', '']","['0', '']","['624', '']","['48', '']","['713', '']","['588', '']","['129', '']","['0', '']","['0', '']","['614', '']"
5414,r040,All HBCUs -> Alabama State U.,All HBCUs,Alabama State U.,2,39,"['2,582', '']","['0', '']","['0', '']","['1,989', '']","['0', '']","['60', '']","['0', '']","['0', '']","['0', '']","['533', '']","['0', '']"
5414,r041,All HBCUs -> Dillard U.,All HBCUs,Dillard U.,2,40,"['2,523', '']","['0', '']","['0', '']","['1,323', '']","['0', '']","['975', '']","['0', '']","['189', '']","['0', '']","['0', '']","['36', '']"
5414,r042,All HBCUs -> Johnson C. Smith U.,All HBCUs,Johnson C. Smith U.,2,41,"['2,472', '']","['11', '']","['0', '']","['412', '']","['0', '']","['300', '']","['0', '']","['0', '']","['0', '']","['364', '']","['1,385', '']"
5414,r043,All HBCUs -> Grambling State U.,All HBCUs,Grambling State U.,2,42,"['2,427', '']","['0', '']","['0', '']","['0', '']","['3', '']","['852', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,572', '']"
5414,r044,All HBCUs -> Tougaloo C.,All HBCUs,Tougaloo C.,2,43,"['2,102', '']","['0', '']","['0', '']","['1,741', '']","['0', '']","['361', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5414,r045,All HBCUs -> Bowie State U.,All HBCUs,Bowie State U.,2,44,"['1,967', '']","['682', '']","['0', '']","['414', '']","['0', '']","['272', '']","['0', '']","['0', '']","['0', '']","['0', '']","['599', '']"
5414,r046,All HBCUs -> Claflin U.,All HBCUs,Claflin U.,2,45,"['1,910', '']","['500', '']","['37', '']","['857', '']","['13', '']","['258', '']","['0', '']","['75', '']","['0', '']","['170', '']","['0', '']"
5414,r047,All HBCUs -> Savannah State U.,All HBCUs,Savannah State U.,2,46,"['1,804', '']","['0', '']","['728', '']","['234', '']","['0', '']","['50', '']","['0', '']","['0', '']","['153', '']","['639', '']","['0', '']"
5414,r048,All HBCUs -> Elizabeth City State U.,All HBCUs,Elizabeth City State U.,2,47,"['1,473', '']","['112', '']","['176', '']","['435', '']","['287', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['463', '']"
5414,r049,All HBCUs -> Albany State U.,All HBCUs,Albany State U.,2,48,"['1,060', '']","['0', '']","['19', '']","['654', '']","['0', '']","['54', '']","['0', '']","['0', '']","['0', '']","['3', '']","['330', '']"
5414,r050,All HBCUs -> Benedict C.,All HBCUs,Benedict C.,2,49,"['649', '']","['98', '']","['66', '']","['45', '']","['44', '']","['146', '']","['0', '']","['0', '']","['0', '']","['248', '']","['2', '']"
