table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2020,field_2021,field_2022,field_2023
12731,r298,South Dakota,South Dakota,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r299,South Dakota -> Public,South Dakota,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r300,South Dakota -> Public -> Northern State U.,South Dakota,Public,Northern State U.,3,"['240', '']","['190', '']","['305', '']","['282', '']"
12731,r301,South Dakota -> Public -> Oglala Lakota C.,South Dakota,Public,Oglala Lakota C.,3,"['516', '']","['473', '']","['424', '']","['588', '']"
12731,r302,South Dakota -> Private,South Dakota,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r303,South Dakota -> Private -> Augustana U.,South Dakota,Private,Augustana U.,3,"['1,038', '']","['1,013', '']","['724', '']","['757', '']"
12731,r304,Tennessee,Tennessee,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r305,Tennessee -> Private,Tennessee,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r306,Tennessee -> Private -> Sewanee: U. of the South,Tennessee,Private,Sewanee: U. of the South,3,"['864', '']","['668', '']","['547', '']","['592', '']"
12731,r307,Tennessee -> Private -> Southern C. of Optometry,Tennessee,Private,Southern C. of Optometry,3,"['446', '']","['ne', '']","['ne', '']","['288', '']"
12731,r308,Texas,Texas,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r309,Texas -> Public,Texas,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r310,Texas -> Public -> Angelo State U.,Texas,Public,Angelo State U.,3,"['798', '']","['943', '']","['740', '']","['946', '']"
12731,r311,Texas -> Public -> Midwestern State U.,Texas,Public,Midwestern State U.,3,"['891', '']","['882', '']","['886', '']","['1,027', '']"
12731,r312,Texas -> Public -> Texas A&M U.-Central Texas,Texas,Public,Texas A&M U.-Central Texas,3,"['623', '']","['814', '']","['894', '']","['951', '']"
12731,r313,Texas -> Public -> U. Houston-Victoria,Texas,Public,U. Houston-Victoria,3,"['ne', '']","['ne', '']","['ne', '']","['475', '']"
12731,r314,"Texas -> Public -> U. North Texas, Dallas",Texas,Public,"U. North Texas, Dallas",3,"['ne', '']","['ne', '']","['ne', '']","['1,293', '']"
12731,r315,Texas -> Private,Texas,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r316,Texas -> Private -> Austin C.,Texas,Private,Austin C.,3,"['342', '']","['302', '']","['349', '']","['388', '']"
12731,r317,Texas -> Private -> LeTourneau U.,Texas,Private,LeTourneau U.,3,"['271', '']","['346', '']","['239', '']","['175', '']"
12731,r318,Texas -> Private -> Southwestern U.,Texas,Private,Southwestern U.,3,"['261', '']","['408', '']","['520', '']","['575', '']"
12731,r319,Texas -> Private -> U. Dallas,Texas,Private,U. Dallas,3,"['ne', '']","['249', '']","['564', '']","['233', '']"
12731,r320,Utah,Utah,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r321,Utah -> Public,Utah,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r322,Utah -> Public -> Southern Utah U.,Utah,Public,Southern Utah U.,3,"['955', '']","['773', '']","['846', '']","['1,259', '']"
12731,r323,Utah -> Public -> Weber State U.,Utah,Public,Weber State U.,3,"['676', '']","['822', '']","['813', '']","['1,026', '']"
12731,r324,Vermont,Vermont,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
