table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12577,r017,R&D and R&D plant -> Water transportation (403) -> Department of Homeland Security,R&D and R&D plant,Water transportation (403),Department of Homeland Security,,,3,0,11,8,-,-27.3
12577,r018,R&D and R&D plant -> Water transportation (403) -> Department of Homeland Security -> Coast Guard,R&D and R&D plant,Water transportation (403),Department of Homeland Security,Coast Guard,,4,0,11,8,-,-27.3
12577,r019,R&D and R&D plant -> Other transportation (407),R&D and R&D plant,Other transportation (407),,,,2,16,25,38,56.3,52.0
12577,r020,R&D and R&D plant -> Other transportation (407) -> Department of Transportation,R&D and R&D plant,Other transportation (407),Department of Transportation,,,3,16,25,38,56.3,52.0
12577,r021,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,1651,1654,1926,0.2,16.4
12577,r022,R&D and R&D plant -> R&D -> Air transportation (402),R&D and R&D plant,R&D,Air transportation (402),,,3,1116,1114,1271,-0.2,14.1
12577,r023,R&D and R&D plant -> R&D -> Air transportation (402) -> Department of Transportation,R&D and R&D plant,R&D,Air transportation (402),Department of Transportation,,4,498,452,512,-9.2,13.3
12577,r024,R&D and R&D plant -> R&D -> Air transportation (402) -> Department of Transportation -> Federal Aviation Administration,R&D and R&D plant,R&D,Air transportation (402),Department of Transportation,Federal Aviation Administration,5,498,452,512,-9.2,13.3
12577,r025,R&D and R&D plant -> R&D -> Air transportation (402) -> National Aeronautics and Space Administration,R&D and R&D plant,R&D,Air transportation (402),National Aeronautics and Space Administration,,4,595,632,723,6.2,14.4
12577,r026,R&D and R&D plant -> R&D -> Air transportation (402) -> National Aeronautics and Space Administration -> Aeronautics research,R&D and R&D plant,R&D,Air transportation (402),National Aeronautics and Space Administration,Aeronautics research,5,595,632,723,6.2,14.4
12577,r027,R&D and R&D plant -> R&D -> Air transportation (402) -> Department of Homeland Security,R&D and R&D plant,R&D,Air transportation (402),Department of Homeland Security,,4,23,30,36,30.4,20.0
12577,r028,R&D and R&D plant -> R&D -> Air transportation (402) -> Department of Homeland Security -> Transportation Security Administration,R&D and R&D plant,R&D,Air transportation (402),Department of Homeland Security,Transportation Security Administration,5,23,30,36,30.4,20.0
12577,r029,R&D and R&D plant -> R&D -> Ground transportation (401),R&D and R&D plant,R&D,Ground transportation (401),,,3,519,504,609,-2.9,20.8
12577,r030,R&D and R&D plant -> R&D -> Ground transportation (401) -> Department of Transportation,R&D and R&D plant,R&D,Ground transportation (401),Department of Transportation,,4,519,504,609,-2.9,20.8
12577,r031,R&D and R&D plant -> R&D -> Ground transportation (401) -> Department of Transportation -> Federal Highway Administration,R&D and R&D plant,R&D,Ground transportation (401),Department of Transportation,Federal Highway Administration,5,378,373,417,-1.3,11.8
12577,r032,R&D and R&D plant -> R&D -> Ground transportation (401) -> Department of Transportation -> Federal Motor Carrier Safety Administration,R&D and R&D plant,R&D,Ground transportation (401),Department of Transportation,Federal Motor Carrier Safety Administration,5,9,9,9,0.0,0.0
12577,r033,R&D and R&D plant -> R&D -> Ground transportation (401) -> Department of Transportation -> Federal Railroad Administration,R&D and R&D plant,R&D,Ground transportation (401),Department of Transportation,Federal Railroad Administration,5,44,40,52,-9.1,30.0
12577,r034,R&D and R&D plant -> R&D -> Ground transportation (401) -> Department of Transportation -> Federal Transit Administration,R&D and R&D plant,R&D,Ground transportation (401),Department of Transportation,Federal Transit Administration,5,33,30,60,-9.1,100.0
12577,r035,R&D and R&D plant -> R&D -> Ground transportation (401) -> Department of Transportation -> National Highway Traffic Safety Administration,R&D and R&D plant,R&D,Ground transportation (401),Department of Transportation,National Highway Traffic Safety Administration,5,55,52,71,-5.5,36.5
12577,r036,R&D and R&D plant -> R&D -> Water transportation (403),R&D and R&D plant,R&D,Water transportation (403),,,3,0,11,8,-,-27.3
12577,r037,R&D and R&D plant -> R&D -> Water transportation (403) -> Department of Transportation,R&D and R&D plant,R&D,Water transportation (403),Department of Transportation,,4,0,11,8,-,-27.3
12577,r038,R&D and R&D plant -> R&D -> Water transportation (403) -> Department of Transportation -> Coast Guard,R&D and R&D plant,R&D,Water transportation (403),Department of Transportation,Coast Guard,5,0,11,8,-,-27.3
12577,r039,R&D and R&D plant -> R&D -> Other transportation (407),R&D and R&D plant,R&D,Other transportation (407),,,3,16,25,38,56.3,52.0
12577,r040,R&D and R&D plant -> R&D -> Other transportation (407) -> Department of Transportation,R&D and R&D plant,R&D,Other transportation (407),Department of Transportation,,4,16,25,38,56.3,52.0
