table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_total,field_worldwide_male,field_worldwide_female,field_domestic_total,field_domestic_male,field_domestic_female,field_foreign_total,field_foreign_male,field_foreign_female
768,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['157', '&nbsp;']","['129', '&nbsp;']","['28', 'i']","['97', '&nbsp;']","['80', '&nbsp;']","['17', 'i']","['60', '&nbsp;']","['49', 'i']","['11', 'i']"
768,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['92', '&nbsp;']","['72', '&nbsp;']","['20', 'i']","['66', '&nbsp;']","['53', '&nbsp;']","['13', '&nbsp;']","['26', '&nbsp;']","['19', 'i']","['7', 'i']"
768,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517","['20', '&nbsp;']","['14', 'i']","['7', 'i']","['14', '&nbsp;']","['9', 'i']","['4', 'i']","['6', '&nbsp;']","['4', 'i']","['2', 'i']"
768,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,"['33', '&nbsp;']","['28', '&nbsp;']","['5', '&nbsp;']","['29', '&nbsp;']","['24', '&nbsp;']","['5', '&nbsp;']","['4', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']"
768,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['39', '&nbsp;']","['31', 'i']","['8', '&nbsp;']","['23', '&nbsp;']","['19', '&nbsp;']","['4', '&nbsp;']","['16', '&nbsp;']","['12', 'i']","['4', 'i']"
768,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['77', '&nbsp;']","['62', '&nbsp;']","['15', '&nbsp;']","['42', '&nbsp;']","['35', '&nbsp;']","['7', '&nbsp;']","['34', '&nbsp;']","['27', '&nbsp;']","['8', '&nbsp;']"
768,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['53', '&nbsp;']","['43', '&nbsp;']","['10', '&nbsp;']","['28', '&nbsp;']","['24', '&nbsp;']","['5', '&nbsp;']","['24', '&nbsp;']","['19', '&nbsp;']","['6', '&nbsp;']"
768,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['255', '&nbsp;']","['216', '&nbsp;']","['39', '&nbsp;']","['185', '&nbsp;']","['156', '&nbsp;']","['29', '&nbsp;']","['70', '&nbsp;']","['60', '&nbsp;']","['10', '&nbsp;']"
768,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['148', '&nbsp;']","['127', '&nbsp;']","['20', '&nbsp;']","['101', '&nbsp;']","['88', '&nbsp;']","['14', '&nbsp;']","['46', '&nbsp;']","['40', '&nbsp;']","['7', '&nbsp;']"
768,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['93', '&nbsp;']","['78', '&nbsp;']","['15', '&nbsp;']","['70', '&nbsp;']","['59', '&nbsp;']","['11', '&nbsp;']","['23', '&nbsp;']","['19', '&nbsp;']","['4', '&nbsp;']"
768,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts",5,336411–13,"['81', '&nbsp;']","['67', '&nbsp;']","['13', '&nbsp;']","['58', '&nbsp;']","['49', '&nbsp;']","['10', '&nbsp;']","['23', '&nbsp;']","['19', '&nbsp;']","['4', '&nbsp;']"
768,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419","['12', '&nbsp;']","['10', '&nbsp;']","['2', '&nbsp;']","['12', '&nbsp;']","['10', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
768,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,"['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
768,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['14', '&nbsp;']","['11', '&nbsp;']","['4', '&nbsp;']","['13', '&nbsp;']","['9', '&nbsp;']","['4', '&nbsp;']","['1', 'i']","['1', 'i']","['*', '&nbsp;']"
768,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['5', '&nbsp;']","['4', 'i']","['1', 'i']","['5', '&nbsp;']","['4', 'i']","['1', 'i']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
768,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['83', '&nbsp;']","['60', '&nbsp;']","['23', '&nbsp;']","['62', '&nbsp;']","['45', '&nbsp;']","['17', '&nbsp;']","['21', '&nbsp;']","['15', '&nbsp;']","['6', '&nbsp;']"
768,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies,,4,3391,"['62', '&nbsp;']","['45', '&nbsp;']","['18', '&nbsp;']","['47', '&nbsp;']","['34', '&nbsp;']","['13', '&nbsp;']","['15', '&nbsp;']","['11', '&nbsp;']","['4', '&nbsp;']"
768,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['21', '&nbsp;']","['15', 'i']","['6', 'i']","['15', '&nbsp;']","['11', 'i']","['4', 'i']","['6', '&nbsp;']","['4', 'i']","['2', 'i']"
768,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['871', '&nbsp;']","['612', '&nbsp;']","['259', '&nbsp;']","['627', '&nbsp;']","['449', '&nbsp;']","['179', '&nbsp;']","['243', '&nbsp;']","['163', '&nbsp;']","['80', '&nbsp;']"
768,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['17', '&nbsp;']","['13', '&nbsp;']","['4', 'i']","['15', '&nbsp;']","['12', '&nbsp;']","['3', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']","['1', 'i']"
