table_id,row_id,broad_field_of_study_and_primary_source_of_support_full_path,broad_field_of_study_and_primary_source_of_support_level_1,broad_field_of_study_and_primary_source_of_support_level_2,broad_field_of_study_and_primary_source_of_support_level_3,broad_field_of_study_and_primary_source_of_support_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
978,r029,All fields (number) -> Psychology and social sciences (number),All fields (number),Psychology and social sciences (number),,2,7764,3211,4553,6136,1596,500,22,456,478,4421,201,42,16
978,r030,All fields (number) -> Psychology and social sciences (number) -> Teaching assistantships,All fields (number),Psychology and social sciences (number),Teaching assistantships,3,28.3,31.1,26.3,25.7,38.3,21.6,,,16.5,26.6,27.9,23.8,31.3
978,r031,All fields (number) -> Psychology and social sciences (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Psychology and social sciences (number),Research assistantships or traineeships<sup>b</sup>,3,17.7,15.8,19.0,17.7,17.5,16.4,,19.5,7.1,19.1,,4.8,31.3
978,r032,"All fields (number) -> Psychology and social sciences (number) -> Fellowships, scholarships, or dissertation grants<sup>c</sup>",All fields (number),Psychology and social sciences (number),"Fellowships, scholarships, or dissertation grants<sup>c</sup>",3,25.7,27.4,24.6,24.2,31.8,29.4,50.0,28.1,26.4,22.4,32.8,33.3,12.5
978,r033,All fields (number) -> Psychology and social sciences (number) -> Own resources,All fields (number),Psychology and social sciences (number),Own resources,3,25.0,21.0,27.8,29.8,6.3,31.2,27.3,20.4,46.0,29.1,25.9,31.0,18.8
978,r034,All fields (number) -> Psychology and social sciences (number) -> Employer,All fields (number),Psychology and social sciences (number),Employer,3,2.1,2.6,1.7,2.5,0.5,1.2,0.0,,3.6,2.7,,7.1,0.0
978,r035,All fields (number) -> Psychology and social sciences (number) -> Other,All fields (number),Psychology and social sciences (number),Other,3,1.3,2.0,0.7,0.2,5.5,0.2,0.0,0.2,0.4,0.1,0.0,0.0,6.3
978,r036,All fields (number) -> Engineering (number),All fields (number),Engineering (number),,2,8660,6632,2028,3855,4779,264,10,639,155,2636,107,30,14
978,r037,All fields (number) -> Engineering (number) -> Teaching assistantships,All fields (number),Engineering (number),Teaching assistantships,3,9.7,9.6,10.4,6.7,12.2,8.3,0.0,7.0,3.2,6.9,5.6,0.0,7.1
978,r038,All fields (number) -> Engineering (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Engineering (number),Research assistantships or traineeships<sup>b</sup>,3,59.5,60.8,55.3,47.7,68.9,39.8,,53.2,30.3,48.4,,56.7,28.6
