table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10854,r019,All locations -> Kentucky,All locations,Kentucky,,2,413477,49109,0,36794,311024,7046,9504
10854,r020,All locations -> Louisiana,All locations,Louisiana,,2,512246,60230,0,124622,301852,6572,18970
10854,r021,All locations -> Maine,All locations,Maine,,2,229928,13921,5,28850,70300,109233,7620
10854,r022,All locations -> Maryland,All locations,Maryland,,2,20258939,12684205,687893,3743892,2716237,405861,20850
10854,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,8495312,644127,1353857,2237060,2122437,2131202,6629
10854,r024,All locations -> Michigan,All locations,Michigan,,2,2389976,401393,0,499795,1304944,179807,4036
10854,r025,All locations -> Minnesota,All locations,Minnesota,,2,1239047,73449,0,226291,598213,313761,27332
10854,r026,All locations -> Mississippi,All locations,Mississippi,,2,1149978,589504,0,385154,171928,30,3363
10854,r027,All locations -> Missouri,All locations,Missouri,,2,1837946,137041,0,723113,908021,55695,14076
10854,r028,All locations -> Montana,All locations,Montana,,2,291606,94038,0,40444,146125,3085,7914
10854,r029,All locations -> Nebraska,All locations,Nebraska,,2,325071,52110,11354,9971,221283,25986,4366
10854,r030,All locations -> Nevada,All locations,Nevada,,2,519765,62678,0,348937,93643,7821,6686
10854,r031,All locations -> New Hampshire,All locations,New Hampshire,,2,444718,11450,0,234594,186122,11893,658
10854,r032,All locations -> New Jersey,All locations,New Jersey,,2,3386124,707898,105523,1894399,546847,108708,22748
10854,r033,All locations -> New Mexico,All locations,New Mexico,,2,3484393,776565,1999772,468889,213206,20524,5438
10854,r034,All locations -> New York,All locations,New York,,2,6726319,237841,570606,1541027,3562027,675232,139586
10854,r035,All locations -> North Carolina,All locations,North Carolina,,2,3724189,381897,149,1024581,1849849,440869,26844
10854,r036,All locations -> North Dakota,All locations,North Dakota,,2,153360,48221,0,18216,76493,3554,6876
10854,r037,All locations -> Ohio,All locations,Ohio,,2,8242542,5805226,9449,983880,1021037,399206,23743
10854,r038,All locations -> Oklahoma,All locations,Oklahoma,,2,458390,131813,0,67474,212970,38840,7293
10854,r039,All locations -> Oregon,All locations,Oregon,,2,812145,142582,0,99693,528914,34988,5969
10854,r040,All locations -> Pennsylvania,All locations,Pennsylvania,,2,4911808,443164,42166,1453858,2554197,404953,13470
10854,r041,All locations -> Rhode Island,All locations,Rhode Island,,2,894706,327071,0,204732,263923,89491,9490
10854,r042,All locations -> South Carolina,All locations,South Carolina,,2,1162399,166835,80446,350916,323392,231091,9718
10854,r043,All locations -> South Dakota,All locations,South Dakota,,2,134466,23536,0,13468,41241,22776,33446
10854,r044,All locations -> Tennessee,All locations,Tennessee,,2,3385285,358907,1293848,769510,841291,111921,9808
10854,r045,All locations -> Texas,All locations,Texas,,2,5475314,600451,38073,2060666,2518004,189690,68430
10854,r046,All locations -> Utah,All locations,Utah,,2,3196264,333801,0,2387391,467595,5667,1810
10854,r047,All locations -> Vermont,All locations,Vermont,,2,161740,13288,0,37833,97596,3771,9252
10854,r048,All locations -> Virginia,All locations,Virginia,,2,10144002,2218305,780461,6214532,714862,201506,14336
10854,r049,All locations -> Washington,All locations,Washington,,2,3576461,398649,568777,720909,1014970,823017,50139
10854,r050,All locations -> West Virginia,All locations,West Virginia,,2,212282,59322,0,48718,77573,15538,11131
10854,r051,All locations -> Wisconsin,All locations,Wisconsin,,2,1115331,62417,0,225174,753921,62517,11302
10854,r052,All locations -> Wyoming,All locations,Wyoming,,2,80466,28294,0,4739,44308,740,2385
10854,r053,All locations -> Outlying areas,All locations,Outlying areas,,2,142474,28964,0,2313,97068,6241,7888
10854,r054,All locations -> Outlying areas -> Puerto Rico,All locations,Outlying areas,Puerto Rico,3,101838,28349,0,1932,68614,54,2888
10854,r055,All locations -> Outlying areas -> Other areas<sup>c</sup>,All locations,Outlying areas,Other areas<sup>c</sup>,3,40636,615,0,381,28454,6187,5000
10854,r056,All locations -> Offices abroad<sup>d</sup>,All locations,Offices abroad<sup>d</sup>,,2,20507,14222,0,5330,955,0,0
10854,r057,All locations -> Undistributed<sup>e</sup>,All locations,Undistributed<sup>e</sup>,,2,4972632,3771869,320,1192463,7935,46,0
