table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states
2075,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument ",5,334511,"['131 - 154', 'i ']","['132', 'i ']","['*', 'i ']","['0 - 20', '  ']","['*', 'i ']","['0', '  ']","['0 - 2', '  ']","['*', '  ']","['0 - 2', 'i ']"
2075,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device ,5,other 3345,"['95 - 117', '  ']","['93', '  ']","['0', '  ']","['0 - 20', '  ']","['0', '  ']","['0', '  ']","['0 - 2', 'i ']","['3', 'i ']","['0 - 2', 'i ']"
2075,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['392', '  ']","['255', '  ']","['0 - 34', 'i ']","['40', 'i ']","['0 - 20', 'i ']","['*', 'i ']","['64 - 70', '  ']","['0 - 32', 'i ']","['0 - 20', '  ']"
2075,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['210', '  ']","['191', 'i ']","['0', '  ']","['16', '  ']","['0', '  ']","['0', '  ']","['2', 'i ']","['1', 'i ']","['0', '  ']"
2075,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['3,427', '  ']","['2,239', '  ']","['899', 'i ']","['142', '  ']","['26 - 60', 'i ']","['2', '  ']","['39', '  ']","['41', '  ']","['2 - 36', '  ']"
2075,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['2,714', '  ']","['1,680', '  ']","['871', 'i ']","['108', '  ']","['3', '  ']","['2', '  ']","['33', '  ']","['0 - 21', 'i ']","['0 - 21', '  ']"
2075,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['670', '  ']","['519', '  ']","['27', 'i ']","['31', '  ']","['22 - 57', 'i ']","['0', '  ']","['6', 'i ']","['19 - 42', '  ']","['0 - 36', 'i ']"
2075,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts ",5,336411–13,"['559', '  ']","['427', '  ']","['27', 'i ']","['31', '  ']","['22 - 57', 'i ']","['0', '  ']","['5', 'i ']","['0 - 23', '  ']","['0 - 36', 'i ']"
2075,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['111', '  ']","['91', '  ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['*', '  ']","['19', '  ']","['0', '  ']"
2075,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['1', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
2075,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['43', '  ']","['39', '  ']","['*', 'i ']","['3', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['0', '  ']"
2075,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['19', '  ']","['16', '  ']","['*', 'i ']","['3', '  ']","['*', 'i ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
2075,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['1,034', '  ']","['880', '  ']","['9', '  ']","['57', '  ']","['3', '  ']","['*', '  ']","['33 - 38', '  ']","['36', '  ']","['13 - 18', '  ']"
2075,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies ,,4,3391,"['909', '  ']","['762', '  ']","['9', '  ']","['53', '  ']","['3', '  ']","['*', '  ']","['34', '  ']","['35', '  ']","['14', '  ']"
2075,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['125', '  ']","['118', '  ']","['*', 'i ']","['5', 'i ']","['*', 'i ']","['*', 'i ']","['0 - 3', 'i ']","['1', 'i ']","['0 - 3', 'i ']"
2075,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['3,519', '  ']","['2,863', '  ']","['23', '  ']","['357', '  ']","['23', '  ']","['7', '  ']","['76', '  ']","['123', '  ']","['47', '  ']"
2075,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['300', '  ']","['180', '  ']","['0', '  ']","['24', 'i ']","['7', '  ']","['0', '  ']","['38', '  ']","['42 - 50', '  ']","['1 - 8', '  ']"
2075,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['200', '  ']","['132', '  ']","['0', '  ']","['8', '  ']","['*', '  ']","['7', '  ']","['3', '  ']","['51', '  ']","['*', '  ']"
2075,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['108', '  ']","['104', 'i ']","['*', 'i ']","['2', 'i ']","['0', '  ']","['0', '  ']","['2', 'i ']","['*', '  ']","['0', '  ']"
