table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_all_employed_number,field_all_employed_se,field__5_number,field__5_se,field_6_10_number,field_6_10_se,field_11_15_number,field_11_15_se,field_16_20_number,field_16_20_se,field_21_25_number,field_21_25_se,field__25_number,field__25_se
8184,r055,All fields -> Science -> Psychology -> Clinical psychology,All fields,Science,Psychology,Clinical psychology,,4,40650,600,4450,275,5450,325,4700,350,5150,350,5500,425,15400,575
8184,r056,All fields -> Science -> Psychology -> Counseling and applied psychology,All fields,Science,Psychology,Counseling and applied psychology,,4,14600,300,1600,150,2300,150,2050,250,2100,225,2350,275,4250,300
8184,r057,All fields -> Science -> Psychology -> Educational and school psychology,All fields,Science,Psychology,Educational and school psychology,,4,13300,325,1850,175,1900,175,2200,200,1950,225,1550,200,3900,275
8184,r058,All fields -> Science -> Psychology -> Industrial and organizational psychology,All fields,Science,Psychology,Industrial and organizational psychology,,4,4950,175,700,100,1000,100,750,100,600,100,750,150,1200,175
8184,r059,All fields -> Science -> Psychology -> Research and experimental psychology,All fields,Science,Psychology,Research and experimental psychology,,4,27700,425,3500,200,4700,200,4100,225,3850,250,3400,225,8150,400
8184,r060,"All fields -> Science -> Psychology -> Psychology, general",All fields,Science,Psychology,"Psychology, general",,4,7600,275,800,125,1000,150,950,175,800,175,1050,175,2950,250
8184,r061,"All fields -> Science -> Psychology -> Psychology, other",All fields,Science,Psychology,"Psychology, other",,4,4700,150,700,75,850,100,550,75,650,125,700,150,1300,150
8184,r062,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,99700,1000,15350,475,18700,525,14750,600,14050,525,12400,475,24400,700
8184,r063,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,,4,27300,550,3900,250,4500,300,3750,325,3400,300,3100,275,8650,425
8184,r064,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,,4,20500,550,3100,225,4150,275,2800,275,3200,325,2750,300,4450,325
8184,r065,All fields -> Science -> Social sciences -> Political science and government -> Political science and government,All fields,Science,Social sciences,Political science and government,Political science and government,5,16150,550,2250,200,2850,250,2050,250,2750,300,2400,300,3900,300
8184,r066,All fields -> Science -> Social sciences -> Political science and government -> Public policy analysis,All fields,Science,Social sciences,Political science and government,Public policy analysis,5,4300,150,850,100,1300,125,750,125,450,100,350,75,550,100
8184,r067,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",,4,15650,375,2300,175,2650,200,2800,225,2300,225,2000,200,3600,300
8184,r068,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,,4,36300,575,6050,250,7350,300,5400,300,5150,350,4600,325,7700,375
8184,r069,All fields -> Science -> Social sciences -> Other social sciences -> Anthropology,All fields,Science,Social sciences,Other social sciences,Anthropology,5,10900,275,1250,125,2150,175,1600,175,2000,250,1650,200,2200,200
8184,r070,"All fields -> Science -> Social sciences -> Other social sciences -> Area, ethnic, cultural, gender, and group studies",All fields,Science,Social sciences,Other social sciences,"Area, ethnic, cultural, gender, and group studies",5,4050,150,900,100,1000,100,650,100,350,75,300,75,800,125
8184,r071,All fields -> Science -> Social sciences -> Other social sciences -> Geography and cartography,All fields,Science,Social sciences,Other social sciences,Geography and cartography,5,4400,225,850,75,950,125,750,125,500,100,550,100,750,125
8184,r072,All fields -> Science -> Social sciences -> Other social sciences -> International relations and national security studies,All fields,Science,Social sciences,Other social sciences,International relations and national security studies,5,2150,125,350,50,400,75,300,50,250,50,300,75,550,100
8184,r073,All fields -> Science -> Social sciences -> Other social sciences -> Linguistics,All fields,Science,Social sciences,Other social sciences,Linguistics,5,4500,250,750,100,950,150,800,175,600,125,500,125,900,150
8184,r074,"All fields -> Science -> Social sciences -> Other social sciences -> Urban studies, affairs",All fields,Science,Social sciences,Other social sciences,"Urban studies, affairs",5,1200,100,100,25,150,25,150,50,200,50,250,75,350,75
8184,r075,"All fields -> Science -> Social sciences -> Other social sciences -> Social sciences, other",All fields,Science,Social sciences,Other social sciences,"Social sciences, other",5,9150,275,1800,125,1750,125,1150,150,1200,125,1050,125,2200,175
8184,r076,All fields -> Engineering,All fields,Engineering,,,,2,183100,1325,32750,575,35750,725,30800,825,21000,750,22300,675,40550,900
8184,r077,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,7150,250,1250,125,1450,150,950,125,650,100,1150,200,1650,175
8184,r078,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,,3,21650,500,3600,225,3750,275,3800,325,2650,275,2600,225,5250,400
8184,r079,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,,3,19750,575,3750,225,3950,225,3150,300,1950,250,2400,275,4550,375
8184,r080,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,,3,50400,650,7950,350,9450,400,8950,475,6450,400,6300,375,11350,525
8184,r081,All fields -> Engineering -> Electrical and computer engineering -> Computer engineering,All fields,Engineering,Electrical and computer engineering,Computer engineering,,4,7150,275,1550,125,1400,150,1450,175,600,100,800,125,1300,175
8184,r082,"All fields -> Engineering -> Electrical and computer engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,Electrical and computer engineering,"Electrical, electronics, and communications engineering",,4,43250,600,6400,325,8050,350,7450,450,5850,375,5500,375,10050,500
8184,r083,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,,3,27500,450,5150,250,5750,350,4400,350,3200,350,3600,375,5400,375
8184,r084,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,,3,17450,400,3250,225,3100,250,2900,275,1950,250,2150,250,4100,300
8184,r085,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,,3,39250,525,7850,250,8250,325,6650,325,4200,275,4100,275,8200,375
8184,r086,All fields -> Engineering -> Other engineering -> Agricultural engineering,All fields,Engineering,Other engineering,Agricultural engineering,,4,1700,100,150,25,300,50,300,75,150,50,200,50,600,75
8184,r087,All fields -> Engineering -> Other engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Other engineering,Bioengineering and biomedical engineering,,4,14900,275,3850,200,4150,200,3200,250,1150,175,1050,175,1500,175
8184,r088,"All fields -> Engineering -> Other engineering -> Engineering mechanics, physics, and science",All fields,Engineering,Other engineering,"Engineering mechanics, physics, and science",,4,3900,200,450,75,550,75,450,100,500,75,650,100,1300,150
8184,r089,All fields -> Engineering -> Other engineering -> Industrial and manufacturing engineering,All fields,Engineering,Other engineering,Industrial and manufacturing engineering,,4,8700,325,1400,150,1600,175,1400,150,1250,200,850,125,2150,225
8184,r090,All fields -> Engineering -> Other engineering -> Nuclear engineering,All fields,Engineering,Other engineering,Nuclear engineering,,4,3100,125,600,75,450,50,350,75,200,50,400,75,1050,125
8184,r091,"All fields -> Engineering -> Other engineering -> Engineering, other",All fields,Engineering,Other engineering,"Engineering, other",,4,6900,250,1350,125,1200,125,900,150,900,125,900,125,1600,175
8184,r092,All fields -> Health,All fields,Health,,,,2,41650,525,9100,275,9150,375,7050,375,5600,300,3850,300,6950,325
8184,r093,All fields -> Health -> Communication disorders sciences and services,All fields,Health,Communication disorders sciences and services,,,3,3100,125,400,50,450,75,500,75,500,75,250,75,1000,100
8184,r094,All fields -> Health -> Hospital and medical administration services,All fields,Health,Hospital and medical administration services,,,3,1300,100,100,50,300,50,300,50,200,50,150,25,250,50
8184,r095,"All fields -> Health -> Pharmacy, pharmaceutical sciences, and administration",All fields,Health,"Pharmacy, pharmaceutical sciences, and administration",,,3,7850,250,1350,125,1450,175,1050,200,1050,150,950,150,2000,200
8184,r096,All fields -> Health -> Public health,All fields,Health,Public health,,,3,9400,225,3100,150,2250,150,1550,175,950,125,600,125,950,150
8184,r097,"All fields -> Health -> Registered nursing, nursing administration, nursing research",All fields,Health,"Registered nursing, nursing administration, nursing research",,,3,8550,375,1700,150,2150,200,1600,200,1200,150,850,150,1000,175
8184,r098,"All fields -> Health -> Health sciences, other",All fields,Health,"Health sciences, other",,,3,11500,275,2450,150,2500,175,2050,225,1700,200,1050,150,1700,175
