table_id,row_id,sex_and_institution_full_path,sex_and_institution_level_1,sex_and_institution_level_2,sex_and_institution_level_3,sex_and_institution_level_4,sex_and_institution_hierarchy_depth,field_associate_s_degrees
1140,r052,Female -> All institutions -> Top 50 institutions -> San Antonio C.,Female,All institutions,Top 50 institutions,San Antonio C.,4,1523
1140,r053,Female -> All institutions -> Top 50 institutions -> Santa Ana C.,Female,All institutions,Top 50 institutions,Santa Ana C.,4,1512
1140,r054,Female -> All institutions -> Other institutions,Female,All institutions,Other institutions,,3,559741
1140,r055,Male,Male,,,,1,
1140,r056,Male -> All institutions,Male,All institutions,,,2,550668
1140,r057,Male -> All institutions -> Top 50 institutions,Male,All institutions,Top 50 institutions,,3,105129
1140,r058,"Male -> All institutions -> Top 50 institutions -> U. Phoenix, Online",Male,All institutions,Top 50 institutions,"U. Phoenix, Online",4,7424
1140,r059,Male -> All institutions -> Top 50 institutions -> Ivy Tech Community C.,Male,All institutions,Top 50 institutions,Ivy Tech Community C.,4,5852
1140,r060,"Male -> All institutions -> Top 50 institutions -> U. Phoenix, Arizona",Male,All institutions,Top 50 institutions,"U. Phoenix, Arizona",4,5300
1140,r061,Male -> All institutions -> Top 50 institutions -> Northern Virginia Community C.,Male,All institutions,Top 50 institutions,Northern Virginia Community C.,4,4849
1140,r062,Male -> All institutions -> Top 50 institutions -> Cochise County C.,Male,All institutions,Top 50 institutions,Cochise County C.,4,3797
1140,r063,Male -> All institutions -> Top 50 institutions -> Tidewater Community C.,Male,All institutions,Top 50 institutions,Tidewater Community C.,4,3086
1140,r064,"Male -> All institutions -> Top 50 institutions -> Keiser U., Fort Lauderdale",Male,All institutions,Top 50 institutions,"Keiser U., Fort Lauderdale",4,2807
1140,r065,Male -> All institutions -> Top 50 institutions -> American River C.,Male,All institutions,Top 50 institutions,American River C.,4,2727
1140,r066,Male -> All institutions -> Top 50 institutions -> ECPI U.,Male,All institutions,Top 50 institutions,ECPI U.,4,2669
1140,r067,Male -> All institutions -> Top 50 institutions -> San Jacinto Community C.,Male,All institutions,Top 50 institutions,San Jacinto Community C.,4,2482
1140,r068,Male -> All institutions -> Top 50 institutions -> Sierra C.,Male,All institutions,Top 50 institutions,Sierra C.,4,2265
1140,r069,Male -> All institutions -> Top 50 institutions -> Palomar C.,Male,All institutions,Top 50 institutions,Palomar C.,4,2184
1140,r070,Male -> All institutions -> Top 50 institutions -> Moraine Valley Community C.,Male,All institutions,Top 50 institutions,Moraine Valley Community C.,4,2167
1140,r071,Male -> All institutions -> Top 50 institutions -> Los Angeles Film School,Male,All institutions,Top 50 institutions,Los Angeles Film School,4,2136
1140,r072,Male -> All institutions -> Top 50 institutions -> Citrus C.,Male,All institutions,Top 50 institutions,Citrus C.,4,1973
1140,r073,Male -> All institutions -> Top 50 institutions -> Santa Rosa Jr. C.,Male,All institutions,Top 50 institutions,Santa Rosa Jr. C.,4,1968
1140,r074,"Male -> All institutions -> Top 50 institutions -> CUNY, New York City C. of Technology",Male,All institutions,Top 50 institutions,"CUNY, New York City C. of Technology",4,1856
1140,r075,Male -> All institutions -> Top 50 institutions -> Tulsa Community C.,Male,All institutions,Top 50 institutions,Tulsa Community C.,4,1820
1140,r076,Male -> All institutions -> Top 50 institutions -> East Los Angeles C.,Male,All institutions,Top 50 institutions,East Los Angeles C.,4,1700
1140,r077,Male -> All institutions -> Top 50 institutions -> Sinclair Community C.,Male,All institutions,Top 50 institutions,Sinclair Community C.,4,1696
1140,r078,"Male -> All institutions -> Top 50 institutions -> DeVry U., Chicago",Male,All institutions,Top 50 institutions,"DeVry U., Chicago",4,1688
1140,r079,Male -> All institutions -> Top 50 institutions -> City C. of San Francisco,Male,All institutions,Top 50 institutions,City C. of San Francisco,4,1647
1140,r080,Male -> All institutions -> Top 50 institutions -> San Joaquin Delta C.,Male,All institutions,Top 50 institutions,San Joaquin Delta C.,4,1633
1140,r081,Male -> All institutions -> Top 50 institutions -> Santa Barbara City C.,Male,All institutions,Top 50 institutions,Santa Barbara City C.,4,1621
1140,r082,Male -> All institutions -> Top 50 institutions -> South Texas C.,Male,All institutions,Top 50 institutions,South Texas C.,4,1585
1140,r083,Male -> All institutions -> Top 50 institutions -> Salt Lake Community C.,Male,All institutions,Top 50 institutions,Salt Lake Community C.,4,1542
1140,r084,Male -> All institutions -> Top 50 institutions -> Hudson Valley Community C.,Male,All institutions,Top 50 institutions,Hudson Valley Community C.,4,1527
1140,r085,Male -> All institutions -> Top 50 institutions -> Mt. San Antonio C.,Male,All institutions,Top 50 institutions,Mt. San Antonio C.,4,1526
1140,r086,Male -> All institutions -> Top 50 institutions -> Cincinnati State Technical and Community C.,Male,All institutions,Top 50 institutions,Cincinnati State Technical and Community C.,4,1523
1140,r087,Male -> All institutions -> Top 50 institutions -> Austin Community C. District,Male,All institutions,Top 50 institutions,Austin Community C. District,4,1522
1140,r088,"Male -> All institutions -> Top 50 institutions -> Technical Career Institutes, New York",Male,All institutions,Top 50 institutions,"Technical Career Institutes, New York",4,1522
1140,r089,Male -> All institutions -> Top 50 institutions -> Butte C.,Male,All institutions,Top 50 institutions,Butte C.,4,1517
1140,r090,"Male -> All institutions -> Top 50 institutions -> CUNY, Borough of Manhattan Community C.",Male,All institutions,Top 50 institutions,"CUNY, Borough of Manhattan Community C.",4,1501
1140,r091,Male -> All institutions -> Top 50 institutions -> Orange Coast C.,Male,All institutions,Top 50 institutions,Orange Coast C.,4,1498
1140,r092,Male -> All institutions -> Top 50 institutions -> Texas State Technical C.,Male,All institutions,Top 50 institutions,Texas State Technical C.,4,1475
1140,r093,Male -> All institutions -> Top 50 institutions -> Sacramento City C.,Male,All institutions,Top 50 institutions,Sacramento City C.,4,1468
1140,r094,Male -> All institutions -> Top 50 institutions -> Columbia Southern U.,Male,All institutions,Top 50 institutions,Columbia Southern U.,4,1457
1140,r095,Male -> All institutions -> Top 50 institutions -> New England Institute of Technology,Male,All institutions,Top 50 institutions,New England Institute of Technology,4,1452
1140,r096,Male -> All institutions -> Top 50 institutions -> Portland Community C.,Male,All institutions,Top 50 institutions,Portland Community C.,4,1438
1140,r097,Male -> All institutions -> Top 50 institutions -> Houston Community C.,Male,All institutions,Top 50 institutions,Houston Community C.,4,1430
1140,r098,Male -> All institutions -> Top 50 institutions -> Thomas Edison State U.,Male,All institutions,Top 50 institutions,Thomas Edison State U.,4,1427
1140,r099,Male -> All institutions -> Top 50 institutions -> Pasadena City C.,Male,All institutions,Top 50 institutions,Pasadena City C.,4,1426
1140,r100,Male -> All institutions -> Top 50 institutions -> Olympic C.,Male,All institutions,Top 50 institutions,Olympic C.,4,1411
1140,r101,Male -> All institutions -> Top 50 institutions -> C. Southern Nevada,Male,All institutions,Top 50 institutions,C. Southern Nevada,4,1399
1140,r102,Male -> All institutions -> Top 50 institutions -> Miami Dade C.,Male,All institutions,Top 50 institutions,Miami Dade C.,4,1381
1140,r103,Male -> All institutions -> Top 50 institutions -> San Jacinto Community C.,Male,All institutions,Top 50 institutions,San Jacinto Community C.,4,1377
1140,r104,"Male -> All institutions -> Top 50 institutions -> Foothill-De Anza Community C. District, De Anza C.								",Male,All institutions,Top 50 institutions,"Foothill-De Anza Community C. District, De Anza C.								",4,1354
1140,r105,Male -> All institutions -> Top 50 institutions -> Stark State C.,Male,All institutions,Top 50 institutions,Stark State C.,4,1348
1140,r106,Male -> All institutions -> Top 50 institutions -> Columbus State Community C.,Male,All institutions,Top 50 institutions,Columbus State Community C.,4,1340
1140,r107,Male -> All institutions -> Top 50 institutions -> Mesa Community C.,Male,All institutions,Top 50 institutions,Mesa Community C.,4,1336
1140,r108,Male -> All institutions -> Other institutions,Male,All institutions,Other institutions,,3,445539
