table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_9_employees,field_10_49_employees,field_50_249_employees,field_250_or_more_employees
7393,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['18,521', '&nbsp;']","['12,882', '&nbsp;']","['4,393', '&nbsp;']","['926', '&nbsp;']","['320', '&nbsp;']"
7393,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['9,824', '&nbsp;']","['7,431', '&nbsp;']","['1,937', '&nbsp;']","['384', '&nbsp;']","['71', '&nbsp;']"
7393,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['8,698', '&nbsp;']","['5,450', '&nbsp;']","['2,455', '&nbsp;']","['543', '&nbsp;']","['248', '&nbsp;']"
7393,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['6,907', '&nbsp;']","['4,644', '&nbsp;']","['1,589', '&nbsp;']","['564', '&nbsp;']","['110', '&nbsp;']"
7393,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['8,155', '&nbsp;']","['5,545', '&nbsp;']","['1,610', '&nbsp;']","['727', '&nbsp;']","['274', '&nbsp;']"
7393,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['29,253', '&nbsp;']","['24,514', '&nbsp;']","['3,851', '&nbsp;']","['592', '&nbsp;']","['296', '&nbsp;']"
7393,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['203,913', '&nbsp;']","['178,704', '&nbsp;']","['19,054', '&nbsp;']","['4,784', '&nbsp;']","['1,370', '&nbsp;']"
7393,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['266,098', '&nbsp;']","['240,796', '&nbsp;']","['21,355', '&nbsp;']","['3,151', '&nbsp;']","['796', '&nbsp;']"
7393,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets <br>  (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets <br>  (except copyrighted works),,4,533,"['2,106', '&nbsp;']","['1,717', '&nbsp;']","['277', '&nbsp;']","['102', 'r']","['11', '&nbsp;']"
7393,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['263,991', '&nbsp;']","['239,079', '&nbsp;']","['21,078', '&nbsp;']","['3,050', '&nbsp;']","['784', '&nbsp;']"
7393,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['704,191', '&nbsp;']","['595,220', '&nbsp;']","['91,450', '&nbsp;']","['14,623', '&nbsp;']","['2,896', '&nbsp;']"
7393,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['151,977', '&nbsp;']","['131,417', '&nbsp;']","['17,657', '&nbsp;']","['2,341', '&nbsp;']","['560', '&nbsp;']"
7393,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['106,233', '&nbsp;']","['91,742', '&nbsp;']","['12,784', '&nbsp;']","['1,356', '&nbsp;']","['351', '&nbsp;']"
7393,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['87,739', '&nbsp;']","['67,242', '&nbsp;']","['16,649', '&nbsp;']","['3,243', '&nbsp;']","['605', '&nbsp;']"
7393,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['27,355', '&nbsp;']","['25,444', '&nbsp;']","['1,787', '&nbsp;']","['119', '&nbsp;']","['4', '&nbsp;']"
7393,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['97,862', '&nbsp;']","['81,790', '&nbsp;']","['12,346', '&nbsp;']","['3,268', '&nbsp;']","['458', '&nbsp;']"
7393,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['137,973', '&nbsp;']","['125,266', '&nbsp;']","['10,094', '&nbsp;']","['2,183', '&nbsp;']","['430', '&nbsp;']"
7393,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['10,517', '&nbsp;']","['7,473', '&nbsp;']","['2,088', '&nbsp;']","['761', '&nbsp;']","['194', '&nbsp;']"
7393,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['27,194', '&nbsp;']","['22,513', '&nbsp;']","['3,993', '&nbsp;']","['574', '&nbsp;']","['113', '&nbsp;']"
7393,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['57,339', '&nbsp;']","['42,333', '&nbsp;']","['14,053', '&nbsp;']","['776', '&nbsp;']","['176', '&nbsp;']"
7393,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['2,391', '&nbsp;']","['1,853', '&nbsp;']","['334', '&nbsp;']","['165', 'r']","['40', 'r']"
7393,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['285,195', '&nbsp;']","['213,852', '&nbsp;']","['55,112', '&nbsp;']","['11,355', '&nbsp;']","['4,876', '&nbsp;']"
7393,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['55,306', '&nbsp;']","['39,292', '&nbsp;']","['14,125', '&nbsp;']","['1,613', '&nbsp;']","['276', '&nbsp;']"
7393,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['526,683', '&nbsp;']","['377,832', '&nbsp;']","['122,707', '&nbsp;']","['22,576', '&nbsp;']","['3,566', '&nbsp;']"
7393,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['462,026', '&nbsp;']","['341,390', '&nbsp;']","['99,687', '&nbsp;']","['18,217', '&nbsp;']","['2,731', '&nbsp;']"
7393,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['64,657', '&nbsp;']","['36,444', '&nbsp;']","['23,020', '&nbsp;']","['4,358', '&nbsp;']","['834', '&nbsp;']"
7393,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['90,036', '&nbsp;']","['65,303', '&nbsp;']","['20,080', '&nbsp;']","['4,040', '&nbsp;']","['613', '&nbsp;']"
7393,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['464,061', '&nbsp;']","['225,793', '&nbsp;']","['196,238', '&nbsp;']","['37,727', '&nbsp;']","['4,305', '&nbsp;']"
7393,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['345,543', '&nbsp;']","['289,751', '&nbsp;']","['51,213', '&nbsp;']","['4,068', '&nbsp;']","['511', '&nbsp;']"
