table_id,row_id,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_full_path,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_1,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_2,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_3,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_4,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_5,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_6,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7958,r043,"All institutions -> Public -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Public,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,18317189,19636095,19949722,20231506,20440464,20800859,21747650,22901546,23752695,25069357,26481114,27538324
7958,r044,All institutions -> Public -> All R&D -> Direct costs -> Software,All institutions,Public,All R&D,Direct costs,Software,,5,82340,96499,83509,85149,74459,92877,89420,81618,94259,103470,121019,139459
7958,r045,All institutions -> Public -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Public,All R&D,Direct costs,Software,Noncapitalized software,6,69454,80693,74897,76518,65040,74445,74083,73831,85049,92390,111925,127382
7958,r046,All institutions -> Public -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Public,All R&D,Direct costs,Software,Capitalized software,6,12886,15806,8612,8631,9419,18432,15337,7787,9210,11080,9094,12077
7958,r047,All institutions -> Public -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Public,All R&D,Direct costs,Capitalized equipment,,5,1457694,1555049,1476328,1655640,1468659,1508998,1578490,1554190,1522210,1744767,1924628,1938716
7958,r048,All institutions -> Public -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Public,All R&D,Direct costs,Passed through to subrecipients,,5,3065688,3418705,3502384,3608137,3558959,3541642,3520318,3662377,3917036,4149921,4385705,4599631
7958,r049,All institutions -> Public -> All R&D -> Direct costs -> Other direct costs,All institutions,Public,All R&D,Direct costs,Other direct costs,,5,8783068,9216214,9327381,9425563,9477692,9696973,10033382,10496544,11357626,11815194,11558523,11799296
7958,r050,All institutions -> Public -> All R&D -> Indirect costs,All institutions,Public,All R&D,Indirect costs,,,4,9560647,9993398,9823271,9843702,9658039,9770981,10137765,10561387,11247156,11773039,12163778,12651952
7958,r051,All institutions -> Public -> All R&D -> Indirect costs -> Recovered,All institutions,Public,All R&D,Indirect costs,Recovered,,5,6175654,6585483,6554816,6539581,6339755,6409794,6622242,6946564,7365362,7916749,8106945,8508035
7958,r052,All institutions -> Public -> All R&D -> Indirect costs -> Unrecovered,All institutions,Public,All R&D,Indirect costs,Unrecovered,,5,3384993,3407915,3268455,3304121,3318284,3361187,3515523,3614823,3881794,3856290,4056833,4143917
7958,r053,All institutions -> Private,All institutions,Private,,,,,2,,,,,,,,,,,,
7958,r054,All institutions -> Private -> All R&D,All institutions,Private,All R&D,,,,3,20019984,21358433,21566412,22163441,22520818,23137552,24660824,25889451,27132174,28831723,29665632,31056069
7958,r055,All institutions -> Private -> All R&D -> Direct costs,All institutions,Private,All R&D,Direct costs,,,4,14453670,15389005,15558530,16083468,16544406,16970924,18312151,19239019,20132230,21463062,22055184,23170506
7958,r056,"All institutions -> Private -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Private,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,7612610,8224515,8389348,8570675,8678485,9094253,9707797,10328629,10921423,11495316,12244880,12799044
7958,r057,All institutions -> Private -> All R&D -> Direct costs -> Software,All institutions,Private,All R&D,Direct costs,Software,,5,23630,19923,19947,22536,22058,24130,24104,28009,27578,33004,37516,33144
7958,r058,All institutions -> Private -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Private,All R&D,Direct costs,Software,Noncapitalized software,6,19002,17745,18353,19134,19235,18759,21053,24771,25725,28530,32352,30661
7958,r059,All institutions -> Private -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Private,All R&D,Direct costs,Software,Capitalized software,6,4628,2178,1594,3402,2823,5371,3051,3238,1853,4474,5164,2483
7958,r060,All institutions -> Private -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Private,All R&D,Direct costs,Capitalized equipment,,5,690727,700976,564206,598789,567748,610879,590975,639743,626449,695183,664280,723290
7958,r061,All institutions -> Private -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Private,All R&D,Direct costs,Passed through to subrecipients,,5,1891241,2018145,2029037,2080950,2143962,2092152,2176729,2252993,2398759,2567089,2665303,2977358
7958,r062,All institutions -> Private -> All R&D -> Direct costs -> Other direct costs,All institutions,Private,All R&D,Direct costs,Other direct costs,,5,4235462,4425446,4555992,4810518,5132153,5149510,5812546,5989645,6158021,6672470,6443205,6637670
7958,r063,All institutions -> Private -> All R&D -> Indirect costs,All institutions,Private,All R&D,Indirect costs,,,4,5566314,5969428,6007882,6079973,5976412,6166628,6348673,6650432,6999944,7368661,7610448,7885563
7958,r064,All institutions -> Private -> All R&D -> Indirect costs -> Recovered,All institutions,Private,All R&D,Indirect costs,Recovered,,5,4290239,4766856,4666808,4680596,4534158,4691108,4830052,5075050,5379729,5691159,5929733,6152698
7958,r065,All institutions -> Private -> All R&D -> Indirect costs -> Unrecovered,All institutions,Private,All R&D,Indirect costs,Unrecovered,,5,1276075,1202572,1341074,1399377,1442254,1475520,1518621,1575382,1620215,1677502,1680715,1732865
