table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_doctoral_students_rank,field_all_doctoral_students_total,field_all_doctoral_students_science,field_all_doctoral_students_engineering,field_all_doctoral_students_health,field_full_time_doctoral_students_rank,field_full_time_doctoral_students_total,field_full_time_doctoral_students_science,field_full_time_doctoral_students_engineering,field_full_time_doctoral_students_health,field_part_time_doctoral_students_rank,field_part_time_doctoral_students_total,field_part_time_doctoral_students_science,field_part_time_doctoral_students_engineering,field_part_time_doctoral_students_health
10647,r067,"All institutions<sup>a</sup> -> SUNY, U. Buffalo",All institutions<sup>a</sup>,"SUNY, U. Buffalo",2,66,1519,1058,355,106,60,1409,998,333,78,103,110,60,22,28
10647,r068,All institutions<sup>a</sup> -> Northeastern U.<sup>b</sup>,All institutions<sup>a</sup>,Northeastern U.<sup>b</sup>,2,67,1494,756,674,64,58,1469,753,657,59,232,25,3,17,5
10647,r069,"All institutions<sup>a</sup> -> U. South Florida, Tampa",All institutions<sup>a</sup>,"U. South Florida, Tampa",2,68,1488,902,367,219,76,1228,794,325,109,35,260,108,42,110
10647,r070,All institutions<sup>a</sup> -> Texas Tech U.,All institutions<sup>a</sup>,Texas Tech U.,2,69,1478,1026,396,56,69,1280,911,322,47,51,198,115,74,9
10647,r071,All institutions<sup>a</sup> -> Auburn U.,All institutions<sup>a</sup>,Auburn U.,2,70,1462,787,622,53,90,1009,498,467,44,15,453,289,155,9
10647,r072,All institutions<sup>a</sup> -> U. Notre Dame,All institutions<sup>a</sup>,U. Notre Dame,2,71,1461,858,603,0,59,1450,852,598,0,279,11,6,5,0
10647,r073,All institutions<sup>a</sup> -> Louisiana State U.,All institutions<sup>a</sup>,Louisiana State U.,2,72,1436,1061,290,85,66,1290,965,254,71,76,146,96,36,14
10647,r074,All institutions<sup>a</sup> -> Emory U.,All institutions<sup>a</sup>,Emory U.,2,73,1421,1108,234,79,67,1284,1105,100,79,82,137,3,134,0
10647,r075,All institutions<sup>a</sup> -> Oregon State U.,All institutions<sup>a</sup>,Oregon State U.,2,74,1402,942,377,83,73,1269,864,334,71,85,133,78,43,12
10647,r076,All institutions<sup>a</sup> -> Rice U.,All institutions<sup>a</sup>,Rice U.,2,75,1400,847,553,0,61,1397,845,552,0,326,3,2,1,0
10647,r077,All institutions<sup>a</sup> -> California Institute of Technology,All institutions<sup>a</sup>,California Institute of Technology,2,76,1395,852,543,0,62,1395,852,543,0,356,0,0,0,0
10647,r078,All institutions<sup>a</sup> -> U. Iowa,All institutions<sup>a</sup>,U. Iowa,2,77,1392,1057,202,133,77,1210,932,172,106,57,182,125,30,27
10647,r079,All institutions<sup>a</sup> -> U. Kansas,All institutions<sup>a</sup>,U. Kansas,2,78,1385,1044,204,137,70,1276,974,194,108,104,109,70,10,29
10647,r080,All institutions<sup>a</sup> -> U. Central Florida,All institutions<sup>a</sup>,U. Central Florida,2,79,1382,780,560,42,74,1234,710,495,29,75,148,70,65,13
10647,r081,All institutions<sup>a</sup> -> Clemson U.,All institutions<sup>a</sup>,Clemson U.,2,80,1380,781,558,41,75,1231,684,513,34,73,149,97,45,7
10647,r082,All institutions<sup>a</sup> -> U. Kentucky,All institutions<sup>a</sup>,U. Kentucky,2,81,1341,968,232,141,72,1273,935,224,114,149,68,33,8,27
10647,r083,All institutions<sup>a</sup> -> U. Rochester,All institutions<sup>a</sup>,U. Rochester,2,82,1329,1070,241,18,65,1321,1062,241,18,300,8,8,0,0
10647,r084,All institutions<sup>a</sup> -> U. Cincinnati,All institutions<sup>a</sup>,U. Cincinnati,2,83,1312,745,380,187,84,1086,668,277,141,45,226,77,103,46
10647,r085,All institutions<sup>a</sup> -> George Washington U.,All institutions<sup>a</sup>,George Washington U.,2,84,1278,808,239,231,125,570,431,80,59,7,708,377,159,172
10647,r086,All institutions<sup>a</sup> -> Brown U.,All institutions<sup>a</sup>,Brown U.,2,85,1277,1079,152,46,71,1275,1079,151,45,336,2,0,1,1
10647,r087,"All institutions<sup>a</sup> -> U. Texas, Dallas",All institutions<sup>a</sup>,"U. Texas, Dallas",2,86,1265,767,477,21,80,1151,707,425,19,99,114,60,52,2
10647,r088,All institutions<sup>a</sup> -> U. Nebraska-Lincoln,All institutions<sup>a</sup>,U. Nebraska-Lincoln,2,87,1220,924,296,0,86,1066,807,259,0,70,154,117,37,0
10647,r089,"All institutions<sup>a</sup> -> U. California, Santa Cruz",All institutions<sup>a</sup>,"U. California, Santa Cruz",2,88,1217,1155,62,0,78,1195,1136,59,0,242,22,19,3,0
10647,r090,All institutions<sup>a</sup> -> Washington State U.,All institutions<sup>a</sup>,Washington State U.,2,88,1217,879,286,52,82,1121,821,263,37,114,96,58,23,15
10647,r091,All institutions<sup>a</sup> -> U. South Carolina,All institutions<sup>a</sup>,U. South Carolina,2,90,1167,747,250,170,88,1054,693,227,134,101,113,54,23,36
10647,r092,All institutions<sup>a</sup> -> U. Oklahoma,All institutions<sup>a</sup>,U. Oklahoma,2,91,1163,873,241,49,89,1011,773,202,36,71,152,100,39,13
10647,r093,All institutions<sup>a</sup> -> Florida International U.,All institutions<sup>a</sup>,Florida International U.,2,92,1148,774,297,77,84,1086,742,284,60,154,62,32,13,17
10647,r094,"All institutions<sup>a</sup> -> U. Missouri, Columbia",All institutions<sup>a</sup>,"U. Missouri, Columbia",2,93,1142,859,183,100,106,791,663,86,42,23,351,196,97,58
10647,r095,All institutions<sup>a</sup> -> Case Western Reserve U.,All institutions<sup>a</sup>,Case Western Reserve U.,2,94,1131,693,355,83,83,1090,671,345,74,185,41,22,10,9
10647,r096,"All institutions<sup>a</sup> -> SUNY, Binghamton U.",All institutions<sup>a</sup>,"SUNY, Binghamton U.",2,94,1131,841,271,19,98,834,654,170,10,30,297,187,101,9
10647,r097,All institutions<sup>a</sup> -> West Virginia U.,All institutions<sup>a</sup>,West Virginia U.,2,96,1005,687,214,104,95,869,598,191,80,84,136,89,23,24
10647,r098,"All institutions<sup>a</sup> -> U. Texas Health Science Center, Houston",All institutions<sup>a</sup>,"U. Texas Health Science Center, Houston",2,97,990,784,40,166,112,694,575,40,79,31,296,209,0,87
10647,r099,All institutions<sup>a</sup> -> Georgia State U.,All institutions<sup>a</sup>,Georgia State U.,2,98,974,832,0,142,97,835,764,0,71,80,139,68,0,71
10647,r100,All institutions<sup>a</sup> -> Wayne State U.,All institutions<sup>a</sup>,Wayne State U.,2,99,972,702,175,95,94,880,660,139,81,119,92,42,36,14
10647,r101,All institutions<sup>a</sup> -> Virginia Commonwealth U.,All institutions<sup>a</sup>,Virginia Commonwealth U.,2,99,972,494,149,329,96,846,436,134,276,90,126,58,15,53
10647,r102,All institutions<sup>a</sup> -> Mississippi State U.,All institutions<sup>a</sup>,Mississippi State U.,2,101,960,563,377,20,119,602,422,167,13,21,358,141,210,7
10647,r103,"All institutions<sup>a</sup> -> U. Alabama, Tuscaloosa",All institutions<sup>a</sup>,"U. Alabama, Tuscaloosa",2,102,943,574,334,35,101,812,516,274,22,87,131,58,60,13
10647,r104,"All institutions<sup>a</sup> -> U. Alabama, Birmingham",All institutions<sup>a</sup>,"U. Alabama, Birmingham",2,103,940,745,113,82,104,797,677,76,44,77,143,68,37,38
10647,r105,All institutions<sup>a</sup> -> Syracuse U.,All institutions<sup>a</sup>,Syracuse U.,2,104,925,743,170,12,99,831,669,150,12,116,94,74,20,0
10647,r106,All institutions<sup>a</sup> -> U. Miami,All institutions<sup>a</sup>,U. Miami,2,105,923,742,136,45,93,905,730,132,43,257,18,12,4,2
10647,r107,"All institutions<sup>a</sup> -> U. California, San Francisco",All institutions<sup>a</sup>,"U. California, San Francisco",2,106,920,745,98,77,92,920,745,98,77,356,0,0,0,0
10647,r108,"All institutions<sup>a</sup> -> U. Hawaii, Manoa",All institutions<sup>a</sup>,"U. Hawaii, Manoa",2,107,918,779,111,28,103,799,676,104,19,96,119,103,7,9
10647,r109,"All institutions<sup>a</sup> -> U. Texas, Arlington",All institutions<sup>a</sup>,"U. Texas, Arlington",2,108,891,476,370,45,122,583,309,260,14,27,308,167,110,31
10647,r110,All institutions<sup>a</sup> -> Drexel U.,All institutions<sup>a</sup>,Drexel U.,2,109,882,507,314,61,105,792,453,284,55,122,90,54,30,6
10647,r111,All institutions<sup>a</sup> -> Oklahoma State U.,All institutions<sup>a</sup>,Oklahoma State U.,2,110,881,666,215,0,114,671,506,165,0,49,210,160,50,0
10647,r112,"All institutions<sup>a</sup> -> U. North Texas, Denton",All institutions<sup>a</sup>,"U. North Texas, Denton",2,111,875,715,129,31,138,470,377,82,11,18,405,338,47,20
10647,r113,"All institutions<sup>a</sup> -> SUNY, U. Albany",All institutions<sup>a</sup>,"SUNY, U. Albany",2,112,861,792,25,44,152,390,361,16,13,14,471,431,9,31
10647,r114,All institutions<sup>a</sup> -> U. Oregon,All institutions<sup>a</sup>,U. Oregon,2,113,851,844,0,7,100,822,817,0,5,220,29,27,0,2
10647,r115,All institutions<sup>a</sup> -> Temple U.,All institutions<sup>a</sup>,Temple U.,2,114,850,727,87,36,102,809,697,78,34,185,41,30,9,2
10647,r116,"All institutions<sup>a</sup> -> U. Nevada, Reno",All institutions<sup>a</sup>,"U. Nevada, Reno",2,115,846,584,240,22,107,782,538,224,20,150,64,46,16,2
10647,r117,All institutions<sup>a</sup> -> Tufts U.,All institutions<sup>a</sup>,Tufts U.,2,116,839,653,172,14,108,764,604,146,14,139,75,49,26,0
10647,r118,"All institutions<sup>a</sup> -> U. Arkansas, Fayetteville",All institutions<sup>a</sup>,"U. Arkansas, Fayetteville",2,117,828,534,293,1,140,443,309,134,0,20,385,225,159,1
10647,r119,All institutions<sup>a</sup> -> Tulane U.,All institutions<sup>a</sup>,Tulane U.,2,118,810,626,78,106,110,725,589,76,60,125,85,37,2,46
10647,r120,All institutions<sup>a</sup> -> Kansas State U.,All institutions<sup>a</sup>,Kansas State U.,2,119,768,648,120,0,116,660,557,103,0,107,108,91,17,0
10647,r121,All institutions<sup>a</sup> -> U. Wisconsin-Milwaukee,All institutions<sup>a</sup>,U. Wisconsin-Milwaukee,2,120,763,473,130,160,111,705,449,117,139,158,58,24,13,21
10647,r122,All institutions<sup>a</sup> -> Dartmouth C.,All institutions<sup>a</sup>,Dartmouth C.,2,121,728,575,142,11,109,728,575,142,11,356,0,0,0,0
10647,r123,All institutions<sup>a</sup> -> Claremont Graduate U.,All institutions<sup>a</sup>,Claremont Graduate U.,2,122,720,629,0,91,134,483,427,0,56,40,237,202,0,35
10647,r124,"All institutions<sup>a</sup> -> U. Maryland, Baltimore County",All institutions<sup>a</sup>,"U. Maryland, Baltimore County",2,123,706,579,127,0,127,565,461,104,0,79,141,118,23,0
10647,r125,All institutions<sup>a</sup> -> Baylor U.,All institutions<sup>a</sup>,Baylor U.,2,124,702,593,83,26,113,683,575,82,26,253,19,18,1,0
10647,r126,"All institutions<sup>a</sup> -> U. Nevada, Las Vegas",All institutions<sup>a</sup>,"U. Nevada, Las Vegas",2,124,702,554,86,62,130,526,432,65,29,59,176,122,21,33
10647,r127,All institutions<sup>a</sup> -> Colorado School of Mines,All institutions<sup>a</sup>,Colorado School of Mines,2,126,699,219,480,0,118,610,197,413,0,123,89,22,67,0
10647,r128,"All institutions<sup>a</sup> -> Rensselaer Polytechnic Institute, Troy",All institutions<sup>a</sup>,"Rensselaer Polytechnic Institute, Troy",2,127,642,246,396,0,117,634,246,388,0,300,8,0,8,0
10647,r129,All institutions<sup>a</sup> -> Old Dominion U.,All institutions<sup>a</sup>,Old Dominion U.,2,128,641,377,221,43,177,289,194,78,17,22,352,183,143,26
10647,r130,All institutions<sup>a</sup> -> U. Louisville,All institutions<sup>a</sup>,U. Louisville,2,129,630,464,136,30,128,556,413,126,17,140,74,51,10,13
10647,r131,"All institutions<sup>a</sup> -> U. Texas, San Antonio",All institutions<sup>a</sup>,"U. Texas, San Antonio",2,130,627,396,225,6,142,434,284,148,2,53,193,112,77,4
10647,r132,"All institutions<sup>a</sup> -> U. Massachusetts, Boston",All institutions<sup>a</sup>,"U. Massachusetts, Boston",2,131,624,521,0,103,160,373,343,0,30,36,251,178,0,73
10647,r133,"All institutions<sup>a</sup> -> U. North Carolina, Charlotte",All institutions<sup>a</sup>,"U. North Carolina, Charlotte",2,132,621,417,165,39,143,433,301,115,17,55,188,116,50,22
10647,r134,All institutions<sup>a</sup> -> Lehigh U.,All institutions<sup>a</sup>,Lehigh U.,2,133,615,336,279,0,120,586,323,263,0,220,29,13,16,0
10647,r135,All institutions<sup>a</sup> -> Kent State U.,All institutions<sup>a</sup>,Kent State U.,2,134,602,529,12,61,124,576,515,11,50,230,26,14,1,11
10647,r136,"All institutions<sup>a</sup> -> U. Massachusetts, Lowell",All institutions<sup>a</sup>,"U. Massachusetts, Lowell",2,135,590,260,266,64,146,429,202,191,36,66,161,58,75,28
10647,r137,All institutions<sup>a</sup> -> North Dakota State U.,All institutions<sup>a</sup>,North Dakota State U.,2,136,588,404,158,26,148,425,286,115,24,65,163,118,43,2
10647,r138,"All institutions<sup>a</sup> -> U. California, Merced",All institutions<sup>a</sup>,"U. California, Merced",2,137,587,417,141,29,121,585,415,141,29,336,2,2,0,0
10647,r139,"All institutions<sup>a</sup> -> U. Texas, El Paso",All institutions<sup>a</sup>,"U. Texas, El Paso",2,138,586,349,204,33,159,375,235,121,19,48,211,114,83,14
10647,r140,All institutions<sup>a</sup> -> Baylor C. of Medicine,All institutions<sup>a</sup>,Baylor C. of Medicine,2,139,583,581,0,2,122,583,581,0,2,356,0,0,0,0
10647,r141,All institutions<sup>a</sup> -> Georgetown U.,All institutions<sup>a</sup>,Georgetown U.,2,140,578,573,0,5,126,568,563,0,5,284,10,10,0,0
10647,r142,All institutions<sup>a</sup> -> Florida Institute of Technology,All institutions<sup>a</sup>,Florida Institute of Technology,2,141,552,354,198,0,129,529,342,187,0,237,23,12,11,0
10647,r143,All institutions<sup>a</sup> -> Fielding Graduate U.,All institutions<sup>a</sup>,Fielding Graduate U.,2,142,546,546,0,0,136,473,473,0,0,142,73,73,0,0
10647,r144,All institutions<sup>a</sup> -> Utah State U.,All institutions<sup>a</sup>,Utah State U.,2,142,546,403,143,0,200,201,139,62,0,24,345,264,81,0
10647,r145,All institutions<sup>a</sup> -> U. Toledo,All institutions<sup>a</sup>,U. Toledo,2,144,526,382,104,40,158,377,276,72,29,73,149,106,32,11
10647,r146,All institutions<sup>a</sup> -> U. Mississippi,All institutions<sup>a</sup>,U. Mississippi,2,145,522,365,44,113,137,471,349,39,83,170,51,16,5,30
10647,r147,All institutions<sup>a</sup> -> Missouri U. of Science and Technology,All institutions<sup>a</sup>,Missouri U. of Science and Technology,2,145,522,153,369,0,139,459,140,319,0,151,63,13,50,0
10647,r148,All institutions<sup>a</sup> -> U. North Dakota,All institutions<sup>a</sup>,U. North Dakota,2,145,522,221,240,61,169,333,167,137,29,54,189,54,103,32
10647,r149,All institutions<sup>a</sup> -> U. Memphis,All institutions<sup>a</sup>,U. Memphis,2,148,515,361,113,41,176,291,211,65,15,46,224,150,48,26
10647,r150,All institutions<sup>a</sup> -> Boston C.,All institutions<sup>a</sup>,Boston C.,2,149,509,487,0,22,132,498,480,0,18,279,11,7,0,4
