table_id,row_id,degree_and_institution_type_full_path,degree_and_institution_type_level_1,degree_and_institution_type_level_2,degree_and_institution_type_hierarchy_depth,field_all_fields,field_all_s_e,field_agricultural_sciences,field_biological_sciences,field_computer_sciences,field_earth_atmospheric_and_ocean_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering
1557,r025,Master&#8217;s,Master&#8217;s,,1,810108,206172,6119,16253,46615,2182,10294,4757,24653,38328,56971
1557,r026,Master&#8217;s -> Doctoral universities: highest research activity,Master&#8217;s,Doctoral universities: highest research activity,2,255679,94413,3605,8250,17494,1147,6498,2885,2399,18105,34030
1557,r027,Master&#8217;s -> Doctoral universities: higher research activity,Master&#8217;s,Doctoral universities: higher research activity,2,102614,33244,1012,2273,7403,697,1803,914,2716,5617,10809
1557,r028,Master&#8217;s -> Doctoral universities: moderate research activity,Master&#8217;s,Doctoral universities: moderate research activity,2,111610,21014,318,1160,4126,92,658,343,6866,4249,3202
1557,r029,Master&#8217;s -> Master's colleges and universities,Master&#8217;s,Master's colleges and universities,2,273433,50017,1155,3035,15969,222,1320,579,9990,9648,8099
1557,r030,Master&#8217;s -> Baccalaureate colleges,Master&#8217;s,Baccalaureate colleges,2,12138,1307,26,77,296,15,11,27,330,198,327
1557,r031,Master&#8217;s -> Associate's colleges,Master&#8217;s,Associate's colleges,2,43,3,0,0,0,0,0,0,1,2,0
1557,r032,Master&#8217;s -> Medical schools and medical centers,Master&#8217;s,Medical schools and medical centers,2,10406,1512,0,1314,1,4,0,1,89,54,49
1557,r033,Master&#8217;s -> Schools of engineering,Master&#8217;s,Schools of engineering,2,460,383,0,0,67,5,0,3,0,0,308
1557,r034,Master&#8217;s -> Other specialized institutions,Master&#8217;s,Other specialized institutions,2,40284,3650,0,111,759,0,4,5,2257,392,122
1557,r035,Master&#8217;s -> Tribal colleges,Master&#8217;s,Tribal colleges,2,36,6,2,0,0,0,0,0,0,4,0
1557,r036,Master&#8217;s -> Not classified,Master&#8217;s,Not classified,2,3405,623,1,33,500,0,0,0,5,59,25
1557,r037,Doctoral,Doctoral,,1,71142,45729,1364,14204,1934,890,1925,5086,4486,5293,10547
1557,r038,Doctoral -> Doctoral universities: highest research activity,Doctoral,Doctoral universities: highest research activity,2,44784,32811,1073,8956,1429,773,1616,4238,1741,4254,8731
1557,r039,Doctoral -> Doctoral universities: higher research activity,Doctoral,Doctoral universities: higher research activity,2,10800,6386,229,1718,322,108,279,749,846,633,1502
1557,r040,Doctoral -> Doctoral universities: moderate research activity,Doctoral,Doctoral universities: moderate research activity,2,9526,3402,29,1408,123,3,21,39,1329,303,147
1557,r041,Doctoral -> Master's colleges and universities,Doctoral,Master's colleges and universities,2,2725,768,29,345,37,2,4,17,171,55,108
1557,r042,Doctoral -> Baccalaureate colleges,Doctoral,Baccalaureate colleges,2,148,16,0,2,0,0,5,3,4,2,0
1557,r043,Doctoral -> Medical schools and medical centers,Doctoral,Medical schools and medical centers,2,1649,1588,4,1433,3,1,0,25,45,30,47
1557,r044,Doctoral -> Schools of engineering,Doctoral,Schools of engineering,2,35,35,0,0,20,3,0,0,0,0,12
1557,r045,Doctoral -> Other specialized institutions,Doctoral,Other specialized institutions,2,1215,523,0,155,0,0,0,3,350,15,0
1557,r046,Doctoral -> Not classified,Doctoral,Not classified,2,260,200,0,187,0,0,0,12,0,1,0
