table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_anthropology,field_economics,field_political_science,field_sociology,field_other_social_sciences
6361,r012,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,130770.4,0.0,0.0,0.0,173.9,130596.5
6361,r013,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,235.0,0.0,0.0,0.0,0.0,235.0
6361,r014,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,58753.8,0.0,0.0,0.0,0.0,58753.8
6361,r015,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,2510.7,0.0,0.0,0.0,0.0,2510.7
6361,r016,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,48737.1,0.0,0.0,0.0,0.0,48737.1
6361,r017,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,20533.9,0.0,0.0,0.0,173.9,20359.9
6361,r018,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,189493.0,0.0,0.0,0.0,0.0,189493.0
6361,r019,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,77.9,0.0,77.9,0.0,0.0,0.0
6361,r020,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,77.9,0.0,77.9,0.0,0.0,0.0
6361,r021,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,247556.9,36.1,9956.5,0.0,0.0,237564.3
6361,r022,All agencies -> Departments -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Departments,Department of Health and Human Services,Administration for Children and Families,,4,1574.4,0.0,0.0,0.0,0.0,1574.4
6361,r023,All agencies -> Departments -> Department of Health and Human Services -> Administration for Community Living,All agencies,Departments,Department of Health and Human Services,Administration for Community Living,,4,70814.9,0.0,0.0,0.0,0.0,70814.9
6361,r024,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,20813.1,36.1,9956.5,0.0,0.0,10820.5
6361,r025,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,532.0,0.0,0.0,0.0,0.0,532.0
6361,r026,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,1188.7,0.0,0.0,0.0,0.0,1188.7
6361,r027,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,136178.1,0.0,0.0,0.0,0.0,136178.1
6361,r028,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,16455.8,0.0,0.0,0.0,0.0,16455.8
6361,r029,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,16455.8,0.0,0.0,0.0,0.0,16455.8
6361,r030,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,8679.2,174.1,5764.6,0.0,2046.0,694.5
6361,r031,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,7984.7,174.1,5764.6,0.0,2046.0,0.0
6361,r032,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,694.5,0.0,0.0,0.0,0.0,694.5
6361,r033,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,51380.4,846.6,0.0,0.0,32231.0,18302.8
6361,r034,All agencies -> Departments -> Department of Justice -> Bureau of Prisons,All agencies,Departments,Department of Justice,Bureau of Prisons,,4,1804.0,0.0,0.0,0.0,1804.0,0.0
6361,r035,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,49576.4,846.6,0.0,0.0,30427.0,18302.8
6361,r036,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,,,3,4748.3,0.0,2745.6,0.0,0.0,2002.7
6361,r037,All agencies -> Departments -> Department of Labor -> Employee Benefits Security Administration,All agencies,Departments,Department of Labor,Employee Benefits Security Administration,,4,2745.6,0.0,2745.6,0.0,0.0,0.0
6361,r038,All agencies -> Departments -> Department of Labor -> Occupational Safety and Health Administration,All agencies,Departments,Department of Labor,Occupational Safety and Health Administration,,4,2002.7,0.0,0.0,0.0,0.0,2002.7
6361,r039,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,,3,2000.0,0.0,0.0,0.0,2000.0,0.0
6361,r040,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,1738.1,0.0,0.0,0.0,0.0,1738.1
6361,r041,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,1738.1,0.0,0.0,0.0,0.0,1738.1
6361,r042,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,
6361,r043,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,,3,9579.7,0.0,404.7,6050.0,0.0,3125.0
6361,r044,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,,,3,684.3,0.0,684.3,0.0,0.0,0.0
6361,r045,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,2379.7,0.0,2379.7,0.0,0.0,0.0
6361,r046,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,,,3,5974.3,0.0,5974.3,0.0,0.0,0.0
6361,r047,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,208173.5,18261.4,24812.6,4554.1,13888.0,146657.4
6361,r048,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,,,3,10.2,8.0,0.0,0.0,0.0,2.2
6361,r049,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,,,3,69740.0,0.0,0.0,0.0,69740.0,0.0
6361,r050,All agencies -> Other agencies -> U.S. Agency for Global Media,All agencies,Other agencies,U.S. Agency for Global Media,,,3,4828.7,0.0,0.0,0.0,0.0,4828.7
