table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_graduate_students_rank,field_all_graduate_students_total,field_all_graduate_students_science,field_all_graduate_students_engineering,field_all_graduate_students_health,field_master_s_students_rank,field_master_s_students_total,field_master_s_students_science,field_master_s_students_engineering,field_master_s_students_health,field_doctoral_students_rank,field_doctoral_students_total,field_doctoral_students_science,field_doctoral_students_engineering,field_doctoral_students_health
3542,r015,"All institutions<sup>a</sup> -> U. California, Berkeley",All institutions<sup>a</sup>,"U. California, Berkeley",2,14,6821,4305,1930,586,27,2663,1202,898,563,3,4158,3103,1032,23
3542,r016,All institutions<sup>a</sup> -> U. Florida,All institutions<sup>a</sup>,U. Florida,2,15,6781,4053,2018,710,16,3614,1954,1155,505,21,3167,2099,863,205
3542,r017,All institutions<sup>a</sup> -> U. Colorado,All institutions<sup>a</sup>,U. Colorado,2,16,6695,3844,2270,581,20,3396,1621,1330,445,19,3299,2223,940,136
3542,r018,"All institutions<sup>a</sup> -> U. Maryland, College Park<sup>b</sup>",All institutions<sup>a</sup>,"U. Maryland, College Park<sup>b</sup>",2,17,6673,3529,1978,1166,22,3018,1163,1155,700,9,3655,2366,823,466
3542,r019,All institutions<sup>a</sup> -> George Washington U.,All institutions<sup>a</sup>,George Washington U.,2,18,6559,4224,851,1484,7,5487,3471,610,1406,92,1072,753,241,78
3542,r020,All institutions<sup>a</sup> -> North Carolina State U.,All institutions<sup>a</sup>,North Carolina State U.,2,19,6279,3491,2788,0,19,3400,1908,1492,0,25,2879,1583,1296,0
3542,r021,All institutions<sup>a</sup> -> Boston U.,All institutions<sup>a</sup>,Boston U.,2,20,6276,4392,1026,858,11,4243,2990,537,716,40,2033,1402,489,142
3542,r022,All institutions<sup>a</sup> -> Stanford U.,All institutions<sup>a</sup>,Stanford U.,2,21,6197,3553,2493,151,42,2121,1056,965,100,5,4076,2497,1528,51
3542,r023,"All institutions<sup>a</sup> -> U. Texas, Austin",All institutions<sup>a</sup>,"U. Texas, Austin",2,22,5974,3419,2111,444,38,2190,1291,686,213,8,3784,2128,1425,231
3542,r024,All institutions<sup>a</sup> -> U. Minnesota,All institutions<sup>a</sup>,U. Minnesota,2,23,5894,3742,1350,802,31,2483,1430,499,554,15,3411,2312,851,248
3542,r025,All institutions<sup>a</sup> -> U. Wisconsin-Madison,All institutions<sup>a</sup>,U. Wisconsin-Madison,2,24,5886,4030,1421,435,45,2050,1289,647,114,7,3836,2741,774,321
3542,r026,All institutions<sup>a</sup> -> Cornell U.,All institutions<sup>a</sup>,Cornell U.,2,25,5750,3779,1891,80,35,2303,1155,1068,80,13,3447,2624,823,0
3542,r027,"All institutions<sup>a</sup> -> U. California, Los Angeles",All institutions<sup>a</sup>,"U. California, Los Angeles",2,26,5566,3237,1773,556,48,2020,771,867,382,11,3546,2466,906,174
3542,r028,All institutions<sup>a</sup> -> Carnegie Mellon U.,All institutions<sup>a</sup>,Carnegie Mellon U.,2,27,5423,2892,2531,0,17,3559,1899,1660,0,49,1864,993,871,0
3542,r029,"All institutions<sup>a</sup> -> U. California, San Diego",All institutions<sup>a</sup>,"U. California, San Diego",2,28,5311,3031,2280,0,37,2201,899,1302,0,22,3110,2132,978,0
3542,r030,All institutions<sup>a</sup> -> Ohio State U.,All institutions<sup>a</sup>,Ohio State U.,2,29,5193,2770,1798,625,51,1783,622,735,426,16,3410,2148,1063,199
3542,r031,All institutions<sup>a</sup> -> Northeastern U.,All institutions<sup>a</sup>,Northeastern U.,2,30,5053,2672,2229,152,15,3653,1983,1598,72,67,1400,689,631,80
3542,r032,All institutions<sup>a</sup> -> Indiana U.,All institutions<sup>a</sup>,Indiana U.,2,31,4657,3479,408,770,36,2253,1369,259,625,32,2404,2110,149,145
3542,r033,All institutions<sup>a</sup> -> Virginia Polytechnic Institute and State U.,All institutions<sup>a</sup>,Virginia Polytechnic Institute and State U.,2,32,4638,2576,1944,118,39,2148,1263,803,82,28,2490,1313,1141,36
3542,r034,"All institutions<sup>a</sup> -> U. Texas, Dallas",All institutions<sup>a</sup>,"U. Texas, Dallas",2,33,4627,3317,1057,253,18,3446,2632,589,225,84,1181,685,468,28
3542,r035,All institutions<sup>a</sup> -> U. Chicago,All institutions<sup>a</sup>,U. Chicago,2,34,4600,4393,173,34,34,2367,2350,0,17,36,2233,2043,173,17
3542,r036,All institutions<sup>a</sup> -> Massachusetts Institute of Technology,All institutions<sup>a</sup>,Massachusetts Institute of Technology,2,35,4470,1504,2966,0,106,1041,31,1010,0,14,3429,1473,1956,0
3542,r037,All institutions<sup>a</sup> -> Harvard U.,All institutions<sup>a</sup>,Harvard U.,2,36,4352,3236,483,633,104,1045,323,194,528,18,3307,2913,289,105
3542,r038,"All institutions<sup>a</sup> -> U. California, Davis",All institutions<sup>a</sup>,"U. California, Davis",2,37,4334,3139,934,261,94,1120,546,347,227,20,3214,2593,587,34
3542,r039,"All institutions<sup>a</sup> -> U. South Florida, Tampa",All institutions<sup>a</sup>,"U. South Florida, Tampa",2,38,4321,2218,912,1191,26,2777,1308,477,992,60,1544,910,435,199
3542,r040,All institutions<sup>a</sup> -> George Mason U.,All institutions<sup>a</sup>,George Mason U.,2,39,4202,3383,537,282,24,2836,2194,377,265,71,1366,1189,160,17
3542,r041,All institutions<sup>a</sup> -> U. Arizona,All institutions<sup>a</sup>,U. Arizona,2,40,4168,2700,796,672,44,2073,1089,473,511,38,2095,1611,323,161
3542,r042,"All institutions<sup>a</sup> -> SUNY, U. Buffalo",All institutions<sup>a</sup>,"SUNY, U. Buffalo",2,41,4132,2506,1291,335,29,2509,1400,878,231,56,1623,1106,413,104
3542,r043,All institutions<sup>a</sup> -> Northwestern U.,All institutions<sup>a</sup>,Northwestern U.,2,42,3966,2482,1256,228,65,1481,863,452,166,29,2485,1619,804,62
3542,r044,"All institutions<sup>a</sup> -> Rutgers, State U. New Jersey",All institutions<sup>a</sup>,"Rutgers, State U. New Jersey",2,43,3860,2953,874,33,56,1577,1097,470,10,35,2283,1856,404,23
3542,r045,"All institutions<sup>a</sup> -> U. Maryland, U. C.",All institutions<sup>a</sup>,"U. Maryland, U. C.",2,43,3860,3715,145,0,13,3860,3715,145,0,394,0,0,0,0
3542,r046,"All institutions<sup>a</sup> -> U. California, Irvine",All institutions<sup>a</sup>,"U. California, Irvine",2,45,3742,2584,997,161,78,1265,815,387,63,30,2477,1769,610,98
3542,r047,All institutions<sup>a</sup> -> U. Pittsburgh,All institutions<sup>a</sup>,U. Pittsburgh,2,46,3680,2227,882,571,66,1477,715,383,379,37,2203,1512,499,192
3542,r048,"All institutions<sup>a</sup> -> U. North Carolina, Chapel Hill",All institutions<sup>a</sup>,"U. North Carolina, Chapel Hill",2,47,3623,2532,101,990,89,1163,410,3,750,31,2460,2122,98,240
3542,r049,"All institutions<sup>a</sup> -> Colorado State U., Fort Collins",All institutions<sup>a</sup>,"Colorado State U., Fort Collins",2,48,3595,2598,884,113,43,2083,1522,487,74,62,1512,1076,397,39
3542,r050,All institutions<sup>a</sup> -> U. Central Florida,All institutions<sup>a</sup>,U. Central Florida,2,49,3528,1778,1219,531,47,2025,965,564,496,64,1503,813,655,35
3542,r051,All institutions<sup>a</sup> -> Michigan State U.,All institutions<sup>a</sup>,Michigan State U.,2,50,3510,2324,631,555,96,1112,542,136,434,33,2398,1782,495,121
3542,r052,All institutions<sup>a</sup> -> U. Utah,All institutions<sup>a</sup>,U. Utah,2,51,3457,2076,890,491,61,1509,858,334,317,44,1948,1218,556,174
3542,r053,All institutions<sup>a</sup> -> U. Cincinnati,All institutions<sup>a</sup>,U. Cincinnati,2,52,3446,1749,940,757,41,2136,1014,573,549,75,1310,735,367,208
3542,r054,All institutions<sup>a</sup> -> U. Connecticut,All institutions<sup>a</sup>,U. Connecticut,2,53,3406,2219,839,348,67,1475,943,311,221,46,1931,1276,528,127
3542,r055,"All institutions<sup>a</sup> -> U. Illinois, Chicago",All institutions<sup>a</sup>,"U. Illinois, Chicago",2,54,3404,1687,917,800,59,1516,524,528,464,48,1888,1163,389,336
3542,r056,"All institutions<sup>a</sup> -> U. Texas, Arlington",All institutions<sup>a</sup>,"U. Texas, Arlington",2,55,3390,1652,1646,92,33,2435,1164,1230,41,97,955,488,416,51
3542,r057,"All institutions<sup>a</sup> -> U. Massachusetts, Amherst",All institutions<sup>a</sup>,"U. Massachusetts, Amherst",2,56,3157,2179,621,357,80,1249,712,230,307,47,1908,1467,391,50
3542,r058,"All institutions<sup>a</sup> -> SUNY, Stony Brook U.",All institutions<sup>a</sup>,"SUNY, Stony Brook U.",2,57,3145,2384,599,162,70,1398,969,297,132,54,1747,1415,302,30
3542,r059,All institutions<sup>a</sup> -> Iowa State U.,All institutions<sup>a</sup>,Iowa State U.,2,58,3102,1961,1054,87,93,1135,685,420,30,43,1967,1276,634,57
3542,r060,All institutions<sup>a</sup> -> Georgetown U.,All institutions<sup>a</sup>,Georgetown U.,2,59,3075,2986,0,89,30,2505,2419,0,86,132,570,567,0,3
3542,r061,All institutions<sup>a</sup> -> Duke U.,All institutions<sup>a</sup>,Duke U.,2,60,3022,1949,924,149,115,929,481,350,98,39,2093,1468,574,51
3542,r062,All institutions<sup>a</sup> -> Syracuse U.,All institutions<sup>a</sup>,Syracuse U.,2,61,3018,2431,565,22,40,2137,1739,381,17,104,881,692,184,5
3542,r063,"All institutions<sup>a</sup> -> Washington U., Saint Louis",All institutions<sup>a</sup>,"Washington U., Saint Louis",2,62,2972,1743,1009,220,73,1395,563,629,203,59,1577,1180,380,17
3542,r064,All institutions<sup>a</sup> -> Florida State U.,All institutions<sup>a</sup>,Florida State U.,2,63,2954,2445,266,243,69,1441,1109,99,233,61,1513,1336,167,10
3542,r065,All institutions<sup>a</sup> -> Oregon State U.,All institutions<sup>a</sup>,Oregon State U.,2,64,2938,1780,788,370,58,1525,896,402,227,66,1413,884,386,143
3542,r066,All institutions<sup>a</sup> -> San Jose State U.,All institutions<sup>a</sup>,San Jose State U.,2,65,2813,726,1951,136,25,2813,726,1951,136,394,0,0,0,0
3542,r067,All institutions<sup>a</sup> -> U. Georgia,All institutions<sup>a</sup>,U. Georgia,2,66,2758,2319,156,283,112,968,794,56,118,52,1790,1525,100,165
3542,r068,All institutions<sup>a</sup> -> U. Houston,All institutions<sup>a</sup>,U. Houston,2,67,2743,1561,989,193,95,1117,547,487,83,55,1626,1014,502,110
3542,r069,All institutions<sup>a</sup> -> U. Virginia,All institutions<sup>a</sup>,U. Virginia,2,68,2689,1712,784,193,114,937,610,167,160,53,1752,1102,617,33
3542,r070,"All institutions<sup>a</sup> -> U. Tennessee, Knoxville",All institutions<sup>a</sup>,"U. Tennessee, Knoxville",2,69,2680,1523,1007,150,121,864,448,339,77,50,1816,1075,668,73
3542,r071,All institutions<sup>a</sup> -> Clemson U.,All institutions<sup>a</sup>,Clemson U.,2,70,2669,1365,1172,132,71,1397,658,634,105,78,1272,707,538,27
3542,r072,All institutions<sup>a</sup> -> DePaul U.,All institutions<sup>a</sup>,DePaul U.,2,71,2617,2084,0,533,32,2474,1941,0,533,248,143,143,0,0
3542,r073,All institutions<sup>a</sup> -> National U.,All institutions<sup>a</sup>,National U.,2,72,2554,2225,0,329,28,2554,2225,0,329,394,0,0,0,0
3542,r074,All institutions<sup>a</sup> -> Texas Tech U.,All institutions<sup>a</sup>,Texas Tech U.,2,73,2496,1565,731,200,81,1247,802,312,133,82,1249,763,419,67
3542,r075,All institutions<sup>a</sup> -> Stevens Institute of Technology,All institutions<sup>a</sup>,Stevens Institute of Technology,2,74,2435,1243,1187,5,46,2037,1079,953,5,172,398,164,234,0
3542,r076,"All institutions<sup>a</sup> -> U. Missouri, Columbia",All institutions<sup>a</sup>,"U. Missouri, Columbia",2,75,2389,1533,333,523,87,1171,698,105,368,83,1218,835,228,155
3542,r077,All institutions<sup>a</sup> -> Drexel U.,All institutions<sup>a</sup>,Drexel U.,2,76,2386,1643,573,170,57,1551,1160,268,123,108,835,483,305,47
3542,r078,All institutions<sup>a</sup> -> Tufts U.,All institutions<sup>a</sup>,Tufts U.,2,77,2376,1312,837,227,54,1637,850,577,210,117,739,462,260,17
3542,r079,All institutions<sup>a</sup> -> U. Pennsylvania,All institutions<sup>a</sup>,U. Pennsylvania,2,78,2369,1919,450,0,511,75,75,0,0,34,2294,1844,450,0
3542,r080,All institutions<sup>a</sup> -> Wayne State U.,All institutions<sup>a</sup>,Wayne State U.,2,79,2360,1320,692,348,76,1282,564,479,239,91,1078,756,213,109
3542,r081,All institutions<sup>a</sup> -> U. Oklahoma,All institutions<sup>a</sup>,U. Oklahoma,2,80,2357,1711,535,111,79,1257,916,290,51,89,1100,795,245,60
3542,r082,All institutions<sup>a</sup> -> Florida International U.,All institutions<sup>a</sup>,Florida International U.,2,81,2325,1460,512,353,82,1226,710,247,269,90,1099,750,265,84
3542,r083,All institutions<sup>a</sup> -> Case Western Reserve U.,All institutions<sup>a</sup>,Case Western Reserve U.,2,82,2318,1460,658,200,77,1270,859,273,138,93,1048,601,385,62
3542,r084,All institutions<sup>a</sup> -> U. Delaware,All institutions<sup>a</sup>,U. Delaware,2,83,2315,1551,660,104,134,810,546,169,95,63,1505,1005,491,9
3542,r085,"All institutions<sup>a</sup> -> U. California, Riverside",All institutions<sup>a</sup>,"U. California, Riverside",2,84,2303,1644,659,0,205,498,213,285,0,51,1805,1431,374,0
3542,r086,All institutions<sup>a</sup> -> U. Kentucky,All institutions<sup>a</sup>,U. Kentucky,2,85,2267,1506,364,397,118,880,524,131,225,69,1387,982,233,172
3542,r087,All institutions<sup>a</sup> -> Princeton U.,All institutions<sup>a</sup>,Princeton U.,2,86,2238,1558,680,0,368,208,175,33,0,41,2030,1383,647,0
3542,r088,All institutions<sup>a</sup> -> Yale U.,All institutions<sup>a</sup>,Yale U.,2,86,2238,1794,295,149,338,243,178,14,51,42,1995,1616,281,98
3542,r089,All institutions<sup>a</sup> -> Auburn U.,All institutions<sup>a</sup>,Auburn U.,2,88,2231,1165,987,79,96,1112,608,425,79,87,1119,557,562,0
3542,r090,All institutions<sup>a</sup> -> Washington State U.,All institutions<sup>a</sup>,Washington State U.,2,89,2187,1403,597,187,135,809,507,220,82,70,1378,896,377,105
3542,r091,All institutions<sup>a</sup> -> Georgia State U.,All institutions<sup>a</sup>,Georgia State U.,2,90,2162,1788,0,374,86,1172,920,0,252,96,990,868,0,122
3542,r092,All institutions<sup>a</sup> -> Louisiana State U.,All institutions<sup>a</sup>,Louisiana State U.,2,91,2145,1448,450,247,170,644,347,122,175,65,1501,1101,328,72
3542,r093,All institutions<sup>a</sup> -> U. Kansas,All institutions<sup>a</sup>,U. Kansas,2,92,2142,1511,347,284,139,780,487,151,142,72,1362,1024,196,142
3542,r094,"All institutions<sup>a</sup> -> SUNY, Binghamton U.",All institutions<sup>a</sup>,"SUNY, Binghamton U.",2,93,2118,1365,710,43,102,1070,670,391,9,93,1048,695,319,34
3542,r095,All institutions<sup>a</sup> -> U. Nebraska-Lincoln,All institutions<sup>a</sup>,U. Nebraska-Lincoln,2,94,2108,1523,518,67,127,841,549,225,67,81,1267,974,293,0
3542,r096,All institutions<sup>a</sup> -> New Jersey Institute of Technology,All institutions<sup>a</sup>,New Jersey Institute of Technology,2,95,2107,1107,985,15,55,1610,862,733,15,145,497,245,252,0
3542,r097,"All institutions<sup>a</sup> -> U. Alabama, Birmingham",All institutions<sup>a</sup>,"U. Alabama, Birmingham",2,96,2087,1135,561,391,75,1311,490,456,365,114,776,645,105,26
3542,r098,"All institutions<sup>a</sup> -> U. California, Santa Barbara",All institutions<sup>a</sup>,"U. California, Santa Barbara",2,97,2011,1496,515,0,232,428,274,154,0,58,1583,1222,361,0
3542,r099,All institutions<sup>a</sup> -> Brown U.,All institutions<sup>a</sup>,Brown U.,2,98,1995,1591,264,140,154,705,472,117,116,76,1290,1119,147,24
3542,r100,All institutions<sup>a</sup> -> U. Miami,All institutions<sup>a</sup>,U. Miami,2,99,1993,1658,229,106,99,1099,939,95,65,102,894,719,134,41
3542,r101,"All institutions<sup>a</sup> -> U. North Texas, Denton",All institutions<sup>a</sup>,"U. North Texas, Denton",2,100,1984,1562,272,150,92,1142,843,149,150,107,842,719,123,0
3542,r102,All institutions<sup>a</sup> -> U. New Mexico,All institutions<sup>a</sup>,U. New Mexico,2,101,1981,1201,551,229,124,854,394,321,139,86,1127,807,230,90
3542,r103,All institutions<sup>a</sup> -> Lamar U.,All institutions<sup>a</sup>,Lamar U.,2,102,1937,1605,161,171,49,1871,1605,95,171,295,66,0,66,0
3542,r104,All institutions<sup>a</sup> -> Mississippi State U.,All institutions<sup>a</sup>,Mississippi State U.,2,103,1897,1178,614,105,110,990,655,270,65,100,907,523,344,40
3542,r105,All institutions<sup>a</sup> -> U. Wisconsin-Milwaukee,All institutions<sup>a</sup>,U. Wisconsin-Milwaukee,2,104,1877,1235,295,347,105,1044,725,130,189,109,833,510,165,158
3542,r106,All institutions<sup>a</sup> -> Pepperdine U.,All institutions<sup>a</sup>,Pepperdine U.,2,105,1869,1869,0,0,50,1869,1869,0,0,394,0,0,0,0
3542,r107,"All institutions<sup>a</sup> -> U. North Carolina, Charlotte",All institutions<sup>a</sup>,"U. North Carolina, Charlotte",2,106,1859,1407,334,118,83,1221,994,150,77,125,638,413,184,41
3542,r108,All institutions<sup>a</sup> -> U. Iowa,All institutions<sup>a</sup>,U. Iowa,2,107,1846,1255,288,303,224,458,227,90,141,68,1388,1028,198,162
3542,r109,All institutions<sup>a</sup> -> Oklahoma State U.,All institutions<sup>a</sup>,Oklahoma State U.,2,108,1842,1309,460,73,108,1035,681,281,73,111,807,628,179,0
3542,r110,All institutions<sup>a</sup> -> Rochester Institute of Technology,All institutions<sup>a</sup>,Rochester Institute of Technology,2,109,1835,1244,587,4,64,1482,1000,478,4,178,353,244,109,0
3542,r111,All institutions<sup>a</sup> -> Vanderbilt U.,All institutions<sup>a</sup>,Vanderbilt U.,2,110,1820,1378,387,55,365,214,179,35,0,57,1606,1199,352,55
3542,r112,All institutions<sup>a</sup> -> West Virginia U.,All institutions<sup>a</sup>,West Virginia U.,2,111,1812,978,465,369,157,697,312,236,149,88,1115,666,229,220
3542,r113,All institutions<sup>a</sup> -> Illinois Institute of Technology,All institutions<sup>a</sup>,Illinois Institute of Technology,2,112,1810,1187,597,26,59,1516,1083,407,26,191,294,104,190,0
3542,r114,All institutions<sup>a</sup> -> San Diego State U.,All institutions<sup>a</sup>,San Diego State U.,2,113,1808,1124,322,362,71,1397,840,276,281,167,411,284,46,81
3542,r115,"All institutions<sup>a</sup> -> Columbia U., Teachers C.",All institutions<sup>a</sup>,"Columbia U., Teachers C.",2,113,1808,1617,0,191,62,1497,1326,0,171,185,311,291,0,20
3542,r116,All institutions<sup>a</sup> -> U. South Carolina,All institutions<sup>a</sup>,U. South Carolina,2,115,1775,939,398,438,177,618,257,108,253,85,1157,682,290,185
3542,r117,All institutions<sup>a</sup> -> Temple U.,All institutions<sup>a</sup>,Temple U.,2,116,1760,1417,197,146,126,847,650,95,102,99,913,767,102,44
3542,r118,"All institutions<sup>a</sup> -> California State U., Northridge",All institutions<sup>a</sup>,"California State U., Northridge",2,117,1734,469,252,1013,52,1726,469,252,1005,384,8,0,0,8
3542,r119,All institutions<sup>a</sup> -> U. Denver,All institutions<sup>a</sup>,U. Denver,2,118,1712,1599,113,0,63,1495,1404,91,0,216,217,195,22,0
3542,r120,"All institutions<sup>a</sup> -> SUNY, U. Albany",All institutions<sup>a</sup>,"SUNY, U. Albany",2,119,1678,1394,30,254,144,756,528,9,219,98,922,866,21,35
3542,r121,"All institutions<sup>a</sup> -> U. Massachusetts, Lowell",All institutions<sup>a</sup>,"U. Massachusetts, Lowell",2,120,1670,757,762,151,91,1147,535,499,113,140,523,222,263,38
3542,r122,"All institutions<sup>a</sup> -> U. Texas, San Antonio",All institutions<sup>a</sup>,"U. Texas, San Antonio",2,121,1666,1121,449,96,107,1037,719,222,96,127,629,402,227,0
3542,r123,All institutions<sup>a</sup> -> Portland State U.,All institutions<sup>a</sup>,Portland State U.,2,122,1663,1078,488,97,84,1204,715,402,87,154,459,363,86,10
3542,r124,"All institutions<sup>a</sup> -> California State U., Fullerton",All institutions<sup>a</sup>,"California State U., Fullerton",2,123,1653,907,542,204,53,1653,907,542,204,394,0,0,0,0
3542,r125,All institutions<sup>a</sup> -> American U.,All institutions<sup>a</sup>,American U.,2,124,1636,1617,0,19,74,1362,1343,0,19,196,274,274,0,0
3542,r126,All institutions<sup>a</sup> -> U. Notre Dame,All institutions<sup>a</sup>,U. Notre Dame,2,125,1628,1019,609,0,320,269,184,85,0,73,1359,835,524,0
3542,r127,All institutions<sup>a</sup> -> U. Rochester,All institutions<sup>a</sup>,U. Rochester,2,126,1627,1205,314,108,263,358,193,95,70,80,1269,1012,219,38
3542,r128,"All institutions<sup>a</sup> -> U. Hawaii, Manoa",All institutions<sup>a</sup>,"U. Hawaii, Manoa",2,127,1622,1225,229,168,140,777,505,133,139,106,845,720,96,29
3542,r129,All institutions<sup>a</sup> -> Kansas State U.,All institutions<sup>a</sup>,Kansas State U.,2,128,1619,1175,342,102,145,750,517,143,90,105,869,658,199,12
3542,r130,All institutions<sup>a</sup> -> Rice U.,All institutions<sup>a</sup>,Rice U.,2,129,1608,953,655,0,279,330,199,131,0,77,1278,754,524,0
3542,r131,All institutions<sup>a</sup> -> Worcester Polytechnic Institute,All institutions<sup>a</sup>,Worcester Polytechnic Institute,2,130,1606,608,998,0,88,1167,410,757,0,161,439,198,241,0
3542,r132,"All institutions<sup>a</sup> -> U. Arkansas, Fayetteville",All institutions<sup>a</sup>,"U. Arkansas, Fayetteville",2,131,1542,901,589,52,169,652,336,284,32,103,890,565,305,20
3542,r133,All institutions<sup>a</sup> -> Naval Postgraduate School,All institutions<sup>a</sup>,Naval Postgraduate School,2,132,1506,515,991,0,68,1459,498,961,0,312,47,17,30,0
3542,r134,All institutions<sup>a</sup> -> Ohio U.,All institutions<sup>a</sup>,Ohio U.,2,133,1497,825,569,103,101,1072,531,446,95,165,425,294,123,8
3542,r135,All institutions<sup>a</sup> -> Virginia Commonwealth U.,All institutions<sup>a</sup>,Virginia Commonwealth U.,2,134,1494,843,281,370,220,462,321,71,70,95,1032,522,210,300
3542,r136,All institutions<sup>a</sup> -> Old Dominion U.,All institutions<sup>a</sup>,Old Dominion U.,2,135,1488,591,794,103,117,895,268,560,67,131,593,323,234,36
3542,r137,All institutions<sup>a</sup> -> Tulane U.,All institutions<sup>a</sup>,Tulane U.,2,136,1450,987,96,367,158,693,360,27,306,116,757,627,69,61
3542,r138,"All institutions<sup>a</sup> -> U. Maryland, Baltimore County",All institutions<sup>a</sup>,"U. Maryland, Baltimore County",2,137,1429,1188,241,0,146,748,652,96,0,121,681,536,145,0
3542,r139,All institutions<sup>a</sup> -> Utah State U.,All institutions<sup>a</sup>,Utah State U.,2,138,1418,957,269,192,122,858,588,158,112,134,560,369,111,80
3542,r140,All institutions<sup>a</sup> -> Southern Methodist U.,All institutions<sup>a</sup>,Southern Methodist U.,2,139,1409,827,582,0,109,1011,574,437,0,172,398,253,145,0
3542,r141,All institutions<sup>a</sup> -> Emory U.,All institutions<sup>a</sup>,Emory U.,2,140,1408,1120,206,82,474,95,62,0,33,74,1313,1058,206,49
3542,r142,"All institutions<sup>a</sup> -> U. Texas Health Science Center, Houston",All institutions<sup>a</sup>,"U. Texas Health Science Center, Houston",2,141,1406,987,39,380,176,625,323,2,300,113,781,664,37,80
3542,r143,"All institutions<sup>a</sup> -> U. Nevada, Reno",All institutions<sup>a</sup>,"U. Nevada, Reno",2,142,1403,818,321,264,163,680,294,138,248,118,723,524,183,16
3542,r144,All institutions<sup>a</sup> -> U. Louisville,All institutions<sup>a</sup>,U. Louisville,2,143,1371,598,489,284,149,736,218,329,189,126,635,380,160,95
3542,r145,"All institutions<sup>a</sup> -> U. Alabama, Tuscaloosa",All institutions<sup>a</sup>,"U. Alabama, Tuscaloosa",2,144,1370,794,417,159,185,579,264,178,137,112,791,530,239,22
3542,r146,All institutions<sup>a</sup> -> Colorado School of Mines,All institutions<sup>a</sup>,Colorado School of Mines,2,145,1341,421,920,0,151,720,248,472,0,129,621,173,448,0
3542,r147,"All institutions<sup>a</sup> -> U. Massachusetts, Boston",All institutions<sup>a</sup>,"U. Massachusetts, Boston",2,146,1332,1048,0,284,148,737,552,0,185,130,595,496,0,99
3542,r148,All institutions<sup>a</sup> -> Northern Illinois U.,All institutions<sup>a</sup>,Northern Illinois U.,2,147,1315,774,215,326,111,980,494,215,271,180,335,280,0,55
