table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_united_states,field_puerto_rico,field_canada,field_austria,field_belgium,field_czech_republic_,field_denmark,field_finland,field_france,field_germany,field_hungary,field_ireland,field_italy,field_luxembourg,field_netherlands,field_norway,field_poland,field_russia,field_spain,field_sweden,field_switzerland,field_turkey,field_united_kingdom,field_other_european_locations
859,r011,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['20,674', '&nbsp;']","['3', '&nbsp;']","['1,396', '&nbsp;']","['78', '&nbsp;']","['113', '&nbsp;']","['41', '&nbsp;']","['171', '&nbsp;']","['195', '&nbsp;']","['555', '&nbsp;']","['1,884', '&nbsp;']","['11', '&nbsp;']","['443', '&nbsp;']","['193', '&nbsp;']","['3', '&nbsp;']","['140', '&nbsp;']","['140', '&nbsp;']","['153', '&nbsp;']","['68', '&nbsp;']","['87', '&nbsp;']","['169', '&nbsp;']","['232', '&nbsp;']","['1', '&nbsp;']","['1,217', '&nbsp;']","['513', '&nbsp;']"
859,r012,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,351', '&nbsp;']","['0', '&nbsp;']","['143', 'i']","['22', '&nbsp;']","['22', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']","['8', '&nbsp;']","['51', '&nbsp;']","['194', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']","['15', '&nbsp;']","['0', '&nbsp;']","['36', '&nbsp;']","['9', '&nbsp;']","['1', '&nbsp;']","['6', '&nbsp;']","['3', '&nbsp;']","['8', '&nbsp;']","['39', '&nbsp;']","['2', '&nbsp;']","['94', '&nbsp;']","['128', 'i']"
859,r013,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['8,413', '&nbsp;']","['*', '&nbsp;']","['225', '&nbsp;']","['13', '&nbsp;']","['83', '&nbsp;']","['23', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['323', '&nbsp;']","['2,839', '&nbsp;']","['131', '&nbsp;']","['2', '&nbsp;']","['294', '&nbsp;']","['*', '&nbsp;']","['153', '&nbsp;']","['D', '&nbsp;']","['128', '&nbsp;']","['5', '&nbsp;']","['76', 'i']","['109', '&nbsp;']","['61', '&nbsp;']","['D', '&nbsp;']","['1,052', '&nbsp;']","['245', 'i']"
859,r014,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['2,183', '&nbsp;']","['13', '&nbsp;']","['D', '&nbsp;']","['17', '&nbsp;']","['37', '&nbsp;']","['16', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['92', '&nbsp;']","['284', '&nbsp;']","['*', '&nbsp;']","['186', '&nbsp;']","['23', '&nbsp;']","['1', 'i']","['33', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['14', 'i']","['36', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
859,r015,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337","['850', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['25', '&nbsp;']","['0', '&nbsp;']","['4', '&nbsp;']","['1', '&nbsp;']","['29', '&nbsp;']","['54', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['14', '&nbsp;']","['*', '&nbsp;']","['6', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['6', 'i']","['5', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
859,r016,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['21,771', '&nbsp;']","['2', '&nbsp;']","['1,710', '&nbsp;']","['58', '&nbsp;']","['191', '&nbsp;']","['146', '&nbsp;']","['105', '&nbsp;']","['949', '&nbsp;']","['964', '&nbsp;']","['918', '&nbsp;']","['49', '&nbsp;']","['951', '&nbsp;']","['165', '&nbsp;']","['13', '&nbsp;']","['370', '&nbsp;']","['90', '&nbsp;']","['127', '&nbsp;']","['122', '&nbsp;']","['95', '&nbsp;']","['209', '&nbsp;']","['941', '&nbsp;']","['28', '&nbsp;']","['3,697', '&nbsp;']","['639', '&nbsp;']"
859,r017,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['25', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']"
859,r018,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['12,523', '&nbsp;']","['1', '&nbsp;']","['1,051', '&nbsp;']","['28', '&nbsp;']","['D', '&nbsp;']","['77', '&nbsp;']","['82', '&nbsp;']","['932', '&nbsp;']","['624', '&nbsp;']","['352', '&nbsp;']","['12', '&nbsp;']","['771', '&nbsp;']","['37', '&nbsp;']","['12', '&nbsp;']","['137', '&nbsp;']","['75', '&nbsp;']","['54', '&nbsp;']","['57', '&nbsp;']","['27', '&nbsp;']","['169', '&nbsp;']","['477', '&nbsp;']","['12', '&nbsp;']","['1,853', '&nbsp;']","['477', '&nbsp;']"
859,r019,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['41', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['10', '&nbsp;']","['2', '&nbsp;']"
859,r020,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,261', '&nbsp;']","['*', '&nbsp;']","['110', 'i']","['2', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['9', '&nbsp;']","['9', '&nbsp;']","['94', '&nbsp;']","['21', '&nbsp;']","['*', '&nbsp;']","['69', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['38', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['13', '&nbsp;']","['7', '&nbsp;']","['12', '&nbsp;']","['9', '&nbsp;']","['*', '&nbsp;']","['252', '&nbsp;']","['91', '&nbsp;']"
859,r021,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['11,220', '&nbsp;']","['1', '&nbsp;']","['937', '&nbsp;']","['27', 'i']","['D', '&nbsp;']","['77', '&nbsp;']","['73', '&nbsp;']","['922', '&nbsp;']","['530', '&nbsp;']","['328', '&nbsp;']","['12', '&nbsp;']","['703', '&nbsp;']","['33', '&nbsp;']","['11', '&nbsp;']","['100', '&nbsp;']","['74', '&nbsp;']","['52', '&nbsp;']","['44', '&nbsp;']","['20', '&nbsp;']","['157', '&nbsp;']","['468', '&nbsp;']","['12', '&nbsp;']","['1,591', '&nbsp;']","['385', '&nbsp;']"
859,r022,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['7,650', '&nbsp;']","['1', '&nbsp;']","['485', '&nbsp;']","['28', '&nbsp;']","['87', '&nbsp;']","['68', 'i']","['21', '&nbsp;']","['17', '&nbsp;']","['328', '&nbsp;']","['477', '&nbsp;']","['31', '&nbsp;']","['165', '&nbsp;']","['127', '&nbsp;']","['*', '&nbsp;']","['145', '&nbsp;']","['12', '&nbsp;']","['70', '&nbsp;']","['63', '&nbsp;']","['67', '&nbsp;']","['39', '&nbsp;']","['454', '&nbsp;']","['13', '&nbsp;']","['1,407', 'i']","['140', '&nbsp;']"
859,r023,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['58', '&nbsp;']","['0', '&nbsp;']","['15', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['25', '&nbsp;']","['1', '&nbsp;']"
859,r024,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['4,378', '&nbsp;']","['1', '&nbsp;']","['91', '&nbsp;']","['24', '&nbsp;']","['86', '&nbsp;']","['25', '&nbsp;']","['18', '&nbsp;']","['12', '&nbsp;']","['200', '&nbsp;']","['165', '&nbsp;']","['29', '&nbsp;']","['34', '&nbsp;']","['72', '&nbsp;']","['*', '&nbsp;']","['90', '&nbsp;']","['5', '&nbsp;']","['60', '&nbsp;']","['51', '&nbsp;']","['57', '&nbsp;']","['28', '&nbsp;']","['390', '&nbsp;']","['12', '&nbsp;']","['1,023', 'i']","['119', '&nbsp;']"
859,r025,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['1,518', '&nbsp;']","['0', '&nbsp;']","['13', '&nbsp;']","['*', '&nbsp;']","['27', '&nbsp;']","['4', '&nbsp;']","['5', '&nbsp;']","['3', '&nbsp;']","['101', '&nbsp;']","['64', '&nbsp;']","['4', '&nbsp;']","['3', '&nbsp;']","['13', '&nbsp;']","['0', '&nbsp;']","['6', '&nbsp;']","['3', '&nbsp;']","['12', '&nbsp;']","['8', '&nbsp;']","['*', '&nbsp;']","['5', '&nbsp;']","['364', '&nbsp;']","['2', '&nbsp;']","['295', '&nbsp;']","['17', '&nbsp;']"
859,r026,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Data processing, hosting, and related services",5,other 5417,"['2,860', '&nbsp;']","['1', '&nbsp;']","['78', '&nbsp;']","['24', '&nbsp;']","['59', '&nbsp;']","['21', '&nbsp;']","['13', '&nbsp;']","['9', '&nbsp;']","['100', '&nbsp;']","['102', '&nbsp;']","['25', '&nbsp;']","['31', '&nbsp;']","['60', '&nbsp;']","['*', '&nbsp;']","['84', '&nbsp;']","['2', '&nbsp;']","['48', '&nbsp;']","['43', '&nbsp;']","['57', '&nbsp;']","['22', '&nbsp;']","['25', '&nbsp;']","['10', '&nbsp;']","['728', 'i']","['103', '&nbsp;']"
859,r027,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['3,214', '&nbsp;']","['0', '&nbsp;']","['380', '&nbsp;']","['3', '&nbsp;']","['1', 'i']","['43', 'i']","['3', '&nbsp;']","['5', '&nbsp;']","['128', '&nbsp;']","['310', '&nbsp;']","['2', '&nbsp;']","['132', '&nbsp;']","['53', '&nbsp;']","['0', '&nbsp;']","['54', '&nbsp;']","['6', '&nbsp;']","['9', '&nbsp;']","['12', '&nbsp;']","['9', 'i']","['11', '&nbsp;']","['64', '&nbsp;']","['1', '&nbsp;']","['358', '&nbsp;']","['20', '&nbsp;']"
859,r028,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"21–23, 44–45, 48–49, 52–53, 55–56, 621–24, 71–72, 81","['1,573', '&nbsp;']","['0', '&nbsp;']","['174', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']","['2', '&nbsp;']","['2', 'i']","['*', '&nbsp;']","['12', '&nbsp;']","['83', 'i']","['6', '&nbsp;']","['15', '&nbsp;']","['1', 'i']","['*', 'i']","['86', '&nbsp;']","['3', 'i']","['3', '&nbsp;']","['3', 'i']","['2', '&nbsp;']","['1', '&nbsp;']","['10', '&nbsp;']","['3', '&nbsp;']","['435', '&nbsp;']","['22', '&nbsp;']"
859,r029,All companies (number of domestic<br>  employees),All companies (number of domestic<br>  employees),,,,,1,–,"['73,691', '&nbsp;']","['96', '&nbsp;']","['4,381', '&nbsp;']","['282', '&nbsp;']","['2,058', '&nbsp;']","['269', '&nbsp;']","['642', '&nbsp;']","['1,255', '&nbsp;']","['2,772', '&nbsp;']","['8,157', '&nbsp;']","['222', '&nbsp;']","['2,317', '&nbsp;']","['1,027', '&nbsp;']","['18', '&nbsp;']","['1,237', '&nbsp;']","['490', '&nbsp;']","['494', '&nbsp;']","['288', '&nbsp;']","['532', '&nbsp;']","['807', '&nbsp;']","['2,926', '&nbsp;']","['99', '&nbsp;']","['8,565', '&nbsp;']","['2,393', '&nbsp;']"
859,r030,All companies (number of domestic<br>  employees) -> Micro companies<sup>a</sup>,All companies (number of domestic<br>  employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
859,r031,All companies (number of domestic<br>  employees) -> Micro companies<sup>a</sup> -> 5&#8211;9,All companies (number of domestic<br>  employees),Micro companies<sup>a</sup>,5&#8211;9,,,3,–,"['118', 'i']","['*', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['5', 'i']","['*', 'i']","['0', '&nbsp;']","['6', 'i']","['*', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['7', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['3', 'i']"
859,r032,All companies (number of domestic<br>  employees) -> Small companies,All companies (number of domestic<br>  employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
859,r033,All companies (number of domestic<br>  employees) -> Small companies -> 10&#8211;19,All companies (number of domestic<br>  employees),Small companies,10&#8211;19,,,3,–,"['76', '&nbsp;']","['*', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['2', 'i']","['*', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']"
859,r034,All companies (number of domestic<br>  employees) -> Small companies -> 20&#8211;49,All companies (number of domestic<br>  employees),Small companies,20&#8211;49,,,3,–,"['375', '&nbsp;']","['*', '&nbsp;']","['19', '&nbsp;']","['*', '&nbsp;']","['4', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['12', '&nbsp;']","['15', '&nbsp;']","['6', '&nbsp;']","['*', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['22', '&nbsp;']","['29', '&nbsp;']"
859,r035,All companies (number of domestic<br>  employees) -> Medium companies,All companies (number of domestic<br>  employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
859,r036,All companies (number of domestic<br>  employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic<br>  employees),Medium companies,50&#8211;99,,,3,–,"['406', '&nbsp;']","['*', '&nbsp;']","['18', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['13', '&nbsp;']","['19', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['4', '&nbsp;']","['*', '&nbsp;']","['19', 'i']","['0', '&nbsp;']","['*', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['25', '&nbsp;']","['*', '&nbsp;']","['108', '&nbsp;']","['11', '&nbsp;']"
