table_id,row_id,position_and_field_full_path,position_and_field_level_1,position_and_field_level_2,position_and_field_level_3,position_and_field_level_4,position_and_field_level_5,position_and_field_hierarchy_depth,field_1973,field_1977,field_1981,field_1983,field_1985,field_1987,field_1989,field_1991,field_1993,field_1995,field_1997,field_1999,field_2001,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017,field_2019
4399,r034,All positions -> All full-time faculty -> Full-time associate professors -> All fields -> Psychology,All positions,All full-time faculty,Full-time associate professors,All fields,Psychology,5,3.3,4.3,5.2,5.9,5.9,6.0,5.9,5.9,5.6,5.8,5.8,6.2,6.0,5.9,6.3,7.0,7.0,7.6,8.2,8.8,8.5
4399,r035,All positions -> All full-time faculty -> Full-time associate professors -> All fields -> Social sciences,All positions,All full-time faculty,Full-time associate professors,All fields,Social sciences,5,6.5,9.4,10.2,11.2,11.8,12.7,12.6,12.0,11.6,11.5,11.7,11.9,11.4,12.1,11.8,12.8,13.1,13.8,15.3,14.6,16.2
4399,r036,All positions -> All full-time faculty -> Full-time associate professors -> All fields -> Engineering,All positions,All full-time faculty,Full-time associate professors,All fields,Engineering,5,4.0,4.4,4.4,4.7,4.7,4.9,5.3,5.9,5.3,6.2,5.8,6.0,6.1,5.9,5.6,5.9,6.2,6.8,8.3,7.9,8.7
4399,r037,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup>,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,,,3,,,,,,,,,,,,,,,,,,,,,
4399,r038,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup> -> All fields,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,All fields,,4,29.3,34.9,34.6,32.8,37.2,37.2,38.7,40.1,43.8,44.0,42.2,43.1,45.4,48.6,53.7,51.6,54.1,56.4,59.5,61.1,64.8
4399,r039,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup> -> All fields -> Physical sciences,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,All fields,Physical sciences,5,5.6,5.7,4.6,4.0,4.6,4.7,4.8,5.0,5.2,5.6,5.3,5.9,5.7,6.4,6.7,6.6,6.9,7.3,7.9,7.2,8.0
4399,r040,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup> -> All fields -> Mathematics and statistics,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,All fields,Mathematics and statistics,5,3.3,3.3,2.6,2.5,2.7,2.4,2.6,2.4,3.2,2.4,2.6,2.2,2.1,2.8,3.3,3.2,3.6,3.8,3.7,3.8,4.0
4399,r041,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup> -> All fields -> Computer and information sciences,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,All fields,Computer and information sciences,5,NA,NA,0.2,0.3,0.6,0.6,0.9,1.0,1.4,1.2,1.2,1.1,0.9,1.3,1.7,1.9,1.5,1.5,1.9,2.1,2.9
4399,r042,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup> -> All fields -> Life sciences,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,All fields,Life sciences,5,8.5,10.3,11.3,10.8,11.9,12.3,12.8,13.7,15.0,15.6,15.2,15.5,17.1,18.3,19.1,18.7,19.5,20.8,21.1,22.0,22.8
4399,r043,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup> -> All fields -> Psychology,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,All fields,Psychology,5,3.6,4.8,4.8,4.5,5.0,4.9,5.2,5.4,5.2,5.5,4.3,5.4,5.8,5.7,7.1,6.1,6.4,6.1,6.8,6.8,7.3
4399,r044,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup> -> All fields -> Social sciences,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,All fields,Social sciences,5,5.7,8.2,8.8,8.1,8.4,8.2,7.9,8.4,9.3,9.0,8.5,8.6,9.1,8.9,9.9,10.1,10.4,10.5,10.7,11.7,11.3
4399,r045,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup> -> All fields -> Engineering,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,All fields,Engineering,5,2.6,2.7,2.3,2.7,4.0,4.0,4.3,4.3,4.5,4.8,4.7,4.3,4.8,5.1,5.9,5.1,5.7,6.5,7.4,7.6,8.5
4399,r046,All positions -> Other full-time positions<sup>b</sup>,All positions,Other full-time positions<sup>b</sup>,,,,2,,,,,,,,,,,,,,,,,,,,,
4399,r047,All positions -> Other full-time positions<sup>b</sup> -> All fields,All positions,Other full-time positions<sup>b</sup>,All fields,,,3,7.6,8.8,12.6,13.4,18.1,16.4,19.2,20.2,22.2,23.9,29.1,31.9,34.8,39.9,40.6,43.9,48.2,55.8,62.6,64.2,65.7
4399,r048,All positions -> Other full-time positions<sup>b</sup> -> All fields -> Physical sciences,All positions,Other full-time positions<sup>b</sup>,All fields,Physical sciences,,4,2.2,2.4,2.9,3.0,3.7,3.4,4.0,4.1,4.8,4.9,6.6,7.3,7.7,8.4,7.2,7.4,7.9,8.8,11.1,11.3,11.2
4399,r049,All positions -> Other full-time positions<sup>b</sup> -> All fields -> Mathematics and statistics,All positions,Other full-time positions<sup>b</sup>,All fields,Mathematics and statistics,,4,0.2,0.4,0.4,0.3,0.5,0.4,0.5,0.6,0.5,0.6,1.0,0.8,1.1,1.4,1.3,1.7,1.8,2.1,2.5,2.3,2.3
4399,r050,All positions -> Other full-time positions<sup>b</sup> -> All fields -> Computer and information sciences,All positions,Other full-time positions<sup>b</sup>,All fields,Computer and information sciences,,4,NA,NA,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.6,0.6,0.9,1.0,1.5,1.4,1.4,1.6
4399,r051,All positions -> Other full-time positions<sup>b</sup> -> All fields -> Life sciences,All positions,Other full-time positions<sup>b</sup>,All fields,Life sciences,,4,2.5,2.8,4.0,4.6,6.2,6.0,6.7,7.2,7.7,8.4,9.8,11.2,12.3,14.2,15.5,16.2,18.4,22.2,25.0,26.3,26.3
4399,r052,All positions -> Other full-time positions<sup>b</sup> -> All fields -> Psychology,All positions,Other full-time positions<sup>b</sup>,All fields,Psychology,,4,0.8,1.2,2.2,2.2,2.9,2.8,2.9,2.8,3.9,3.9,4.3,4.6,4.9,6.3,6.5,6.8,7.1,6.9,7.9,7.4,7.8
4399,r053,All positions -> Other full-time positions<sup>b</sup> -> All fields -> Social sciences,All positions,Other full-time positions<sup>b</sup>,All fields,Social sciences,,4,1.0,1.2,2.0,2.2,3.2,2.6,3.5,3.5,3.7,3.6,4.0,4.4,4.7,5.0,6.1,6.2,6.9,7.7,8.3,8.0,9.1
4399,r054,All positions -> Other full-time positions<sup>b</sup> -> All fields -> Engineering,All positions,Other full-time positions<sup>b</sup>,All fields,Engineering,,4,0.8,0.8,1.1,1.1,1.5,1.1,1.5,1.8,1.5,2.1,3.2,3.0,3.6,3.9,3.3,4.7,5.1,6.3,6.5,7.5,7.5
4399,r055,All positions -> Postdoctorates,All positions,Postdoctorates,,,,2,,,,,,,,,,,,,,,,,,,,,
4399,r056,All positions -> Postdoctorates -> All fields,All positions,Postdoctorates,All fields,,,3,4.2,7.6,8.5,8.3,8.7,9.3,11.5,9.9,13.3,16.8,18.9,18.5,17.5,15.7,23.3,17.8,22.8,20.2,19.2,18.4,18.5
4399,r057,All positions -> Postdoctorates -> All fields -> Physical sciences,All positions,Postdoctorates,All fields,Physical sciences,,4,1.8,2.4,2.1,1.6,2.1,2.3,2.7,2.2,3.5,4.4,3.8,3.4,3.0,2.6,3.9,3.3,4.6,4.0,3.3,3.4,3.6
4399,r058,All positions -> Postdoctorates -> All fields -> Mathematics and statistics,All positions,Postdoctorates,All fields,Mathematics and statistics,,4,0.0,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0.0,0.5,0.5,0.6,0.8,0.5,1.0,0.5,0.7,0.4,0.5,0.5,0.7
4399,r059,All positions -> Postdoctorates -> All fields -> Computer and information sciences,All positions,Postdoctorates,All fields,Computer and information sciences,,4,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.3,0.2,0.3,0.2,0.2
4399,r060,All positions -> Postdoctorates -> All fields -> Life sciences,All positions,Postdoctorates,All fields,Life sciences,,4,1.9,4.0,5.2,5.1,5.2,5.6,6.8,6.4,8.2,9.2,10.8,11.7,11.0,10.0,12.8,10.3,12.2,11.9,11.7,10.6,10.4
