table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_u_s_residing_all_number,field_u_s_residing_all_se,field_u_s_residing_male_number,field_u_s_residing_male_se,field_u_s_residing_female_number,field_u_s_residing_female_se,field_non_u_s_residing_all_number,field_non_u_s_residing_all_se,field_non_u_s_residing_male_number,field_non_u_s_residing_male_se,field_non_u_s_residing_female_number,field_non_u_s_residing_female_se
3662,r035,"All fields -> Science -> Computer and information sciences -> Information science, studies",All fields,Science,Computer and information sciences,"Information science, studies",,4,3050,75,1950,75,1100,75,400,75,300,75,100,50
3662,r036,"All fields -> Science -> Computer and information sciences -> Computer and information sciences, other",All fields,Science,Computer and information sciences,"Computer and information sciences, other",,4,1900,50,1250,50,650,50,200,50,150,50,50,25
3662,r037,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,,3,43800,375,33100,450,10700,325,7650,325,6300,350,1350,175
3662,r038,All fields -> Science -> Mathematics and statistics -> Applied mathematics,All fields,Science,Mathematics and statistics,Applied mathematics,,4,9500,175,7050,200,2450,175,750,150,650,125,,
3662,r039,All fields -> Science -> Mathematics and statistics -> Mathematics,All fields,Science,Mathematics and statistics,Mathematics,,4,20750,300,16550,300,4200,200,4950,300,4200,300,700,125
3662,r040,All fields -> Science -> Mathematics and statistics -> Statistics,All fields,Science,Mathematics and statistics,Statistics,,4,8700,225,5800,225,2950,200,800,200,550,200,250,100
3662,r041,"All fields -> Science -> Mathematics and statistics -> Mathematics and statistics, other",All fields,Science,Mathematics and statistics,"Mathematics and statistics, other",,4,4800,125,3700,125,1150,75,1150,125,850,100,300,75
3662,r042,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,,3,161450,825,123650,900,37800,550,22750,800,18500,750,4250,275
3662,r043,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,,4,6700,150,5100,150,1550,100,1000,125,850,150,200,50
3662,r044,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",,4,80650,475,58200,625,22450,450,7400,450,5300,400,2100,200
