table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_product_innovation_number_yes,field_product_innovation_number_no,field_product_innovation_percent_yes,field_product_innovation_percent_no
9871,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,536', '&nbsp;']","['348', '&nbsp;']","['1,188', '&nbsp;']","['22.7', '&nbsp;']","['77.3', '&nbsp;']"
9871,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['1,652', '&nbsp;']","['338', '&nbsp;']","['1,314', '&nbsp;']","['20.5', '&nbsp;']","['79.5', '&nbsp;']"
9871,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['4,194', '&nbsp;']","['907', '&nbsp;']","['3,287', '&nbsp;']","['21.6', '&nbsp;']","['78.4', '&nbsp;']"
9871,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['7,060', '&nbsp;']","['776', '&nbsp;']","['6,284', '&nbsp;']","['11.0', '&nbsp;']","['89.0', '&nbsp;']"
9871,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['7,290', '&nbsp;']","['663', '&nbsp;']","['6,627', '&nbsp;']","['9.1', '&nbsp;']","['90.9', '&nbsp;']"
9871,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['2,079', '&nbsp;']","['120', '&nbsp;']","['1,959', '&nbsp;']","['5.8', '&nbsp;']","['94.2', '&nbsp;']"
9871,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['46,128', '&nbsp;']","['3,870', '&nbsp;']","['42,258', '&nbsp;']","['8.4', '&nbsp;']","['91.6', '&nbsp;']"
9871,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['16,440', '&nbsp;']","['2,670', '&nbsp;']","['13,770', '&nbsp;']","['16.2', '&nbsp;']","['83.8', '&nbsp;']"
9871,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['8,527', '&nbsp;']","['2,121', '&nbsp;']","['6,406', '&nbsp;']","['24.9', '&nbsp;']","['75.1', '&nbsp;']"
9871,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['850', '&nbsp;']","['286', '&nbsp;']","['564', '&nbsp;']","['33.6', '&nbsp;']","['66.4', '&nbsp;']"
9871,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['2,711', '&nbsp;']","['559', '&nbsp;']","['2,152', '&nbsp;']","['20.6', '&nbsp;']","['79.4', '&nbsp;']"
9871,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['3,737', '&nbsp;']","['889', '&nbsp;']","['2,848', '&nbsp;']","['23.8', '&nbsp;']","['76.2', '&nbsp;']"
9871,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['1,230', '&nbsp;']","['389', '&nbsp;']","['841', '&nbsp;']","['31.6', '&nbsp;']","['68.4', '&nbsp;']"
9871,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['3,925', '&nbsp;']","['905', '&nbsp;']","['3,020', '&nbsp;']","['23.1', '&nbsp;']","['76.9', '&nbsp;']"
9871,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['7,325', '&nbsp;']","['1,205', '&nbsp;']","['6,120', '&nbsp;']","['16.5', '&nbsp;']","['83.5', '&nbsp;']"
9871,r027,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['4,494', '&nbsp;']","['751', '&nbsp;']","['3,743', '&nbsp;']","['16.7', '&nbsp;']","['83.3', '&nbsp;']"
9871,r028,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['1,044', '&nbsp;']","['183', '&nbsp;']","['861', '&nbsp;']","['17.5', '&nbsp;']","['82.5', '&nbsp;']"
9871,r029,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['1,787', '&nbsp;']","['270', '&nbsp;']","['1,517', '&nbsp;']","['15.1', '&nbsp;']","['84.9', '&nbsp;']"
9871,r030,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['12,060', '&nbsp;']","['802', '&nbsp;']","['11,258', '&nbsp;']","['6.7', '&nbsp;']","['93.3', '&nbsp;']"
9871,r031,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['20,536', '&nbsp;']","['2,738', '&nbsp;']","['17,798', '&nbsp;']","['13.3', '&nbsp;']","['86.7', '&nbsp;']"
9871,r032,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['7,602', '&nbsp;']","['880', '&nbsp;']","['6,722', '&nbsp;']","['11.6', '&nbsp;']","['88.4', '&nbsp;']"
9871,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['12,933', '&nbsp;']","['1,856', '&nbsp;']","['11,077', '&nbsp;']","['14.4', '&nbsp;']","['85.6', '&nbsp;']"
9871,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['4,665,645', '&nbsp;']","['433,975', '&nbsp;']","['4,231,670', '&nbsp;']","['9.3', '&nbsp;']","['90.7', '&nbsp;']"
9871,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['19,567', '&nbsp;']","['913', '&nbsp;']","['18,654', '&nbsp;']","['4.7', '&nbsp;']","['95.3', '&nbsp;']"
9871,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['14,004', '&nbsp;']","['490', '&nbsp;']","['13,514', '&nbsp;']","['3.5', '&nbsp;']","['96.5', '&nbsp;']"
9871,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['2,994', '&nbsp;']","['183', '&nbsp;']","['2,811', '&nbsp;']","['6.1', '&nbsp;']","['93.9', '&nbsp;']"
9871,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['635,568', '&nbsp;']","['31,408', '&nbsp;']","['604,160', '&nbsp;']","['4.9', '&nbsp;']","['95.1', '&nbsp;']"
9871,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['241,440', '&nbsp;']","['24,485', '&nbsp;']","['216,955', '&nbsp;']","['10.1', '&nbsp;']","['89.9', '&nbsp;']"
9871,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['546,067', '&nbsp;']","['56,634', '&nbsp;']","['489,433', '&nbsp;']","['10.4', '&nbsp;']","['89.6', '&nbsp;']"
9871,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['165,454', '&nbsp;']","['10,188', '&nbsp;']","['155,266', '&nbsp;']","['6.2', '&nbsp;']","['93.8', '&nbsp;']"
9871,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['65,445', '&nbsp;']","['12,343', '&nbsp;']","['53,102', '&nbsp;']","['18.9', '&nbsp;']","['81.1', '&nbsp;']"
9871,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['17,755', '&nbsp;']","['4,711', '&nbsp;']","['13,044', '&nbsp;']","['26.5', '&nbsp;']","['73.5', '&nbsp;']"
9871,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['9,162', '&nbsp;']","['1,101', '&nbsp;']","['8,061', '&nbsp;']","['12.0', '&nbsp;']","['88.0', '&nbsp;']"
9871,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['8,589', '&nbsp;']","['3,608', '&nbsp;']","['4,981', '&nbsp;']","['42.0', '&nbsp;']","['58.0', '&nbsp;']"
9871,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['7,319', '&nbsp;']","['1,088', '&nbsp;']","['6,231', '&nbsp;']","['14.9', '&nbsp;']","['85.1', '&nbsp;']"
9871,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['8,346', '&nbsp;']","['1,909', '&nbsp;']","['6,437', '&nbsp;']","['22.9', '&nbsp;']","['77.1', '&nbsp;']"
9871,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['32,027', '&nbsp;']","['4,637', '&nbsp;']","['27,390', '&nbsp;']","['14.5', '&nbsp;']","['85.5', '&nbsp;']"
9871,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['198,128', '&nbsp;']","['18,222', '&nbsp;']","['179,906', '&nbsp;']","['9.2', '&nbsp;']","['90.8', '&nbsp;']"
9871,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['283,276', '&nbsp;']","['15,239', '&nbsp;']","['268,037', '&nbsp;']","['5.4', '&nbsp;']","['94.6', '&nbsp;']"
9871,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['1,956', '&nbsp;']","['188', 'r']","['1,768', '&nbsp;']","['9.6', 'r']","['90.4', '&nbsp;']"
9871,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['281,321', '&nbsp;']","['15,051', '&nbsp;']","['266,270', '&nbsp;']","['5.4', '&nbsp;']","['94.6', '&nbsp;']"
9871,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['717,229', '&nbsp;']","['81,784', '&nbsp;']","['635,445', '&nbsp;']","['11.4', '&nbsp;']","['88.6', '&nbsp;']"
9871,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['152,543', '&nbsp;']","['6,350', '&nbsp;']","['146,193', '&nbsp;']","['4.2', '&nbsp;']","['95.8', '&nbsp;']"
9871,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['109,075', '&nbsp;']","['7,723', '&nbsp;']","['101,352', '&nbsp;']","['7.1', '&nbsp;']","['92.9', '&nbsp;']"
9871,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['87,994', '&nbsp;']","['8,796', '&nbsp;']","['79,198', '&nbsp;']","['10.0', '&nbsp;']","['90.0', '&nbsp;']"
9871,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['29,258', '&nbsp;']","['4,255', '&nbsp;']","['25,003', '&nbsp;']","['14.5', '&nbsp;']","['85.5', '&nbsp;']"
9871,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['100,282', '&nbsp;']","['18,687', '&nbsp;']","['81,595', '&nbsp;']","['18.6', '&nbsp;']","['81.4', '&nbsp;']"
9871,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['144,421', '&nbsp;']","['22,712', '&nbsp;']","['121,709', '&nbsp;']","['15.7', '&nbsp;']","['84.3', '&nbsp;']"
9871,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['11,149', '&nbsp;']","['2,146', '&nbsp;']","['9,003', '&nbsp;']","['19.2', '&nbsp;']","['80.8', '&nbsp;']"
9871,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['28,236', '&nbsp;']","['4,119', '&nbsp;']","['24,117', '&nbsp;']","['14.6', '&nbsp;']","['85.4', '&nbsp;']"
9871,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['54,270', '&nbsp;']","['6,997', '&nbsp;']","['47,273', '&nbsp;']","['12.9', '&nbsp;']","['87.1', '&nbsp;']"
9871,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['3,153', '&nbsp;']","['96', 'r']","['3,057', '&nbsp;']","['3.0', 'r']","['97.0', '&nbsp;']"
9871,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['293,539', '&nbsp;']","['23,903', '&nbsp;']","['269,636', '&nbsp;']","['8.1', '&nbsp;']","['91.9', '&nbsp;']"
9871,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['57,078', '&nbsp;']","['13,512', '&nbsp;']","['43,566', '&nbsp;']","['23.7', '&nbsp;']","['76.3', '&nbsp;']"
9871,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['536,276', '&nbsp;']","['61,758', '&nbsp;']","['474,518', '&nbsp;']","['11.5', '&nbsp;']","['88.5', '&nbsp;']"
9871,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['469,939', '&nbsp;']","['54,003', '&nbsp;']","['415,936', '&nbsp;']","['11.5', '&nbsp;']","['88.5', '&nbsp;']"
9871,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['66,336', '&nbsp;']","['7,753', '&nbsp;']","['58,583', '&nbsp;']","['11.7', '&nbsp;']","['88.3', '&nbsp;']"
9871,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['89,491', '&nbsp;']","['9,343', '&nbsp;']","['80,148', '&nbsp;']","['10.4', '&nbsp;']","['89.6', '&nbsp;']"
9871,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['455,071', '&nbsp;']","['44,441', '&nbsp;']","['410,630', '&nbsp;']","['9.8', '&nbsp;']","['90.2', '&nbsp;']"
9871,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['341,869', '&nbsp;']","['29,031', '&nbsp;']","['312,838', '&nbsp;']","['8.5', '&nbsp;']","['91.5', '&nbsp;']"
