table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_employed_scientists_and_engineers,field_highest_degree_in_s_e_all_s_e_highest_degree,field_highest_degree_in_s_e_computer_and_mathematical_sciences,field_highest_degree_in_s_e_biological_agricultural_and_environmental_life_sciences,field_highest_degree_in_s_e_physical_and_related_sciences,field_highest_degree_in_s_e_social_and_related_sciences,field_highest_degree_in_s_e_engineering,field_s_e_related_highest_degree,field_non_s_e_highest_degree
4416,r011,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Network and computer systems administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Network and computer systems administrators,4,192,125,80,2,4,17,21,4,63
4416,r012,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Software developers&#8212;applications and systems software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Software developers&#8212;applications and systems software,4,683,536,345,15,16,23,137,32,115
4416,r013,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Web developers,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Web developers,4,147,79,44,6,s,14,11,8,59
4416,r014,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Other computer information science occupations,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Other computer information science occupations,4,432,188,90,13,8,50,28,21,223
4416,r015,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer engineers&#8212;software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer engineers&#8212;software,4,897,776,441,3,18,39,276,40,81
4416,r016,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,,3,284,164,76,13,12,39,24,20,100
4416,r017,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Mathematicians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Mathematicians,4,9,8,6,s,s,s,s,s,s
4416,r018,"S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Operations research analysts, including modeling",S&E occupations,Computer and mathematical scientists,Mathematical scientists,"Operations research analysts, including modeling",4,182,92,34,4,10,24,19,12,79
4416,r019,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Statisticians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Statisticians,4,67,54,31,7,s,13,2,7,6
4416,r020,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Other mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Other mathematical scientists,4,26,11,5,s,s,1,s,s,s
4416,r021,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers&#8212;computer and mathematical sciences,S&E occupations,Computer and mathematical scientists,Postsecondary teachers&#8212;computer and mathematical sciences,,3,111,85,78,2,s,s,3,13,13
4416,r022,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers&#8212;computer and mathematical sciences -> Computer science,S&E occupations,Computer and mathematical scientists,Postsecondary teachers&#8212;computer and mathematical sciences,Computer science,4,30,25,21,s,s,s,2,s,5
4416,r023,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers&#8212;computer and mathematical sciences -> Mathematics and statistics,S&E occupations,Computer and mathematical scientists,Postsecondary teachers&#8212;computer and mathematical sciences,Mathematics and statistics,4,81,60,58,1,s,s,1,12,9
4416,r024,"S&E occupations -> Biological, agricultural, and environmental life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",,,2,698,579,4,488,47,18,22,77,43
4416,r025,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Agricultural and food scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Agricultural and food scientists,,3,58,53,s,47,s,s,1,s,4
4416,r026,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,,3,500,404,4,328,42,11,19,67,29
4416,r027,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Biochemists and biophysicists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Biochemists and biophysicists,4,92,84,s,59,20,s,3,6,s
4416,r028,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Biological scientists (e.g., botanists, ecologists, zoologists)",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,"Biological scientists (e.g., botanists, ecologists, zoologists)",4,145,128,s,118,3,3,1,6,11
4416,r029,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Medical scientists (excluding practitioners)",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Medical scientists (excluding practitioners),4,160,107,s,89,8,3,6,44,9
4416,r030,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Other biological and life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Other biological and life scientists,4,104,86,1,62,11,3,9,11,7
4416,r031,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Forestry and conservation scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Forestry and conservation scientists,,3,39,32,s,31,s,1,s,s,6
4416,r032,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers&#8212;life and related sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers&#8212;life and related sciences,,3,101,90,s,82,2,4,1,8,4
4416,r033,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers&#8212;life and related sciences -> Agriculture",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers&#8212;life and related sciences,Agriculture,4,9,7,s,5,s,s,s,s,s
4416,r034,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers&#8212;life and related sciences -> Biological sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers&#8212;life and related sciences,Biological sciences,4,85,76,s,75,s,s,s,7,2
4416,r035,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers&#8212;life and related sciences -> Other natural sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers&#8212;life and related sciences,Other natural sciences,4,7,6,s,2,s,s,s,s,s
4416,r036,S&E occupations -> Physical and related scientists,S&E occupations,Physical and related scientists,,,2,409,374,4,87,246,8,28,s,18
4416,r037,"S&E occupations -> Physical and related scientists -> Chemists, except biochemists",S&E occupations,Physical and related scientists,"Chemists, except biochemists",,3,132,117,s,31,78,s,7,s,5
4416,r038,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",,3,85,80,1,7,65,2,6,s,4
4416,r039,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Atmospheric and space scientists",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",Atmospheric and space scientists,4,21,19,s,s,16,s,1,s,1
4416,r040,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Geologists, including earth scientists",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers","Geologists, including earth scientists",4,63,61,1,5,49,2,5,s,2
4416,r041,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Oceanographers",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",Oceanographers,4,,,,,,,,,
4416,r042,S&E occupations -> Physical and related scientists -> Physicists and astronomers,S&E occupations,Physical and related scientists,Physicists and astronomers,,3,45,45,s,s,38,s,6,1,s
4416,r043,S&E occupations -> Physical and related scientists -> Physicists and astronomers -> Astronomers,S&E occupations,Physical and related scientists,Physicists and astronomers,Astronomers,4,45,45,s,s,38,s,6,1,s
4416,r044,"S&E occupations -> Physical and related scientists -> Physicists and astronomers -> Physicists, except biophysicists",S&E occupations,Physical and related scientists,Physicists and astronomers,"Physicists, except biophysicists",4,67,59,s,30,17,5,6,2,6
4416,r045,S&E occupations -> Physical and related scientists -> Other physical and related scientists,S&E occupations,Physical and related scientists,Other physical and related scientists,,3,67,59,s,30,17,5,6,2,6
4416,r046,S&E occupations -> Physical and related scientists -> Postsecondary teachers&#8212;physical and related sciences,S&E occupations,Physical and related scientists,Postsecondary teachers&#8212;physical and related sciences,,3,80,73,s,19,49,s,3,3,4
4416,r047,S&E occupations -> Physical and related scientists -> Postsecondary teachers&#8212;physical and related sciences -> Chemistry,S&E occupations,Physical and related scientists,Postsecondary teachers&#8212;physical and related sciences,Chemistry,4,25,23,s,2,21,s,s,s,s
4416,r048,"S&E occupations -> Physical and related scientists -> Postsecondary teachers&#8212;physical and related sciences -> Earth, environmental, and marine sciences",S&E occupations,Physical and related scientists,Postsecondary teachers&#8212;physical and related sciences,"Earth, environmental, and marine sciences",4,32,29,s,s,11,s,s,s,s
4416,r049,S&E occupations -> Physical and related scientists -> Postsecondary teachers&#8212;physical and related sciences -> Physics,S&E occupations,Physical and related scientists,Postsecondary teachers&#8212;physical and related sciences,Physics,4,23,21,s,s,17,s,1,s,s
4416,r050,S&E occupations -> Social and related scientists,S&E occupations,Social and related scientists,,,2,663,477,6,17,1,448,5,44,142
4416,r051,S&E occupations -> Social and related scientists -> Economists,S&E occupations,Social and related scientists,Economists,,3,56,46,2,1,s,43,s,2,8
4416,r052,S&E occupations -> Social and related scientists -> Political scientists,S&E occupations,Social and related scientists,Political scientists,,3,22,11,s,s,s,11,s,s,8
4416,r053,"S&E occupations -> Social and related scientists -> Psychologists, including clinical",S&E occupations,Social and related scientists,"Psychologists, including clinical",,3,228,188,s,s,s,182,s,8,32
4416,r054,S&E occupations -> Social and related scientists -> Sociologists and anthropologists,S&E occupations,Social and related scientists,Sociologists and anthropologists,,3,228,188,s,s,s,182,s,8,32
4416,r055,S&E occupations -> Social and related scientists -> Sociologists and anthropologists -> Anthropologists,S&E occupations,Social and related scientists,Sociologists and anthropologists,Anthropologists,4,16,15,s,s,s,15,s,s,0
4416,r056,S&E occupations -> Social and related scientists -> Sociologists and anthropologists -> Sociologists,S&E occupations,Social and related scientists,Sociologists and anthropologists,Sociologists,4,16,15,s,s,s,15,s,s,0
4416,r057,S&E occupations -> Social and related scientists -> Other social and related scientists,S&E occupations,Social and related scientists,Other social and related scientists,,3,142,78,3,7,s,63,4,28,36
4416,r058,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,,3,200,139,1,4,s,134,s,3,58
4416,r059,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Economics,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Economics,4,21,20,s,s,s,20,s,s,1
4416,r060,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Political science,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Political science,4,22,20,s,s,s,20,s,s,s
4416,r061,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Psychology,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Psychology,4,48,44,s,s,s,42,s,s,4
4416,r062,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Sociology,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Sociology,4,18,17,s,s,s,17,s,s,s
4416,r063,S&E occupations -> Social and related scientists -> Postsecondary teachers&#8212;social and related sciences -> Other social sciences,S&E occupations,Social and related scientists,Postsecondary teachers&#8212;social and related sciences,Other social sciences,4,90,37,s,s,s,35,s,2,51
4416,r064,S&E occupations -> Engineers,S&E occupations,Engineers,,,2,1921,1637,71,19,49,22,1477,103,180
4416,r065,"S&E occupations -> Engineers -> Aerospace, aeronautical, or astronautical engineers",S&E occupations,Engineers,"Aerospace, aeronautical, or astronautical engineers",,3,126,112,3,s,5,s,104,4,10
4416,r066,S&E occupations -> Engineers -> Chemical engineers,S&E occupations,Engineers,Chemical engineers,,3,84,73,s,1,2,s,69,4,7
4416,r067,"S&E occupations -> Engineers -> Civil, architectural, or sanitary engineers",S&E occupations,Engineers,"Civil, architectural, or sanitary engineers",,3,294,271,1,2,s,1,262,9,14
4416,r068,S&E occupations -> Engineers -> Electrical or computer hardware engineers,S&E occupations,Engineers,Electrical or computer hardware engineers,,3,412,371,33,s,9,s,327,18,23
4416,r069,"S&E occupations -> Engineers -> Electrical or computer hardware engineers -> Computer engineers, hardware",S&E occupations,Engineers,Electrical or computer hardware engineers,"Computer engineers, hardware",4,85,78,27,s,1,s,49,2,5
4416,r070,S&E occupations -> Engineers -> Electrical or computer hardware engineers -> Electrical and electronics engineers,S&E occupations,Engineers,Electrical or computer hardware engineers,Electrical and electronics engineers,4,327,293,6,s,8,s,278,16,18
4416,r071,S&E occupations -> Engineers -> Industrial engineers,S&E occupations,Engineers,Industrial engineers,,3,95,59,5,s,2,s,46,15,21
4416,r072,S&E occupations -> Engineers -> Mechanical engineers,S&E occupations,Engineers,Mechanical engineers,,3,377,325,4,2,1,1,316,25,27
4416,r073,S&E occupations -> Engineers -> Other engineers,S&E occupations,Engineers,Other engineers,,3,472,374,21,9,22,15,308,27,71
4416,r074,S&E occupations -> Engineers -> Other engineers -> Agricultural engineers,S&E occupations,Engineers,Other engineers,Agricultural engineers,4,,,,,,,,,
4416,r075,S&E occupations -> Engineers -> Other engineers -> Bioengineers or biomedical engineers,S&E occupations,Engineers,Other engineers,Bioengineers or biomedical engineers,4,39,38,s,3,s,s,30,s,s
4416,r076,S&E occupations -> Engineers -> Other engineers -> Environmental engineers,S&E occupations,Engineers,Other engineers,Environmental engineers,4,58,50,s,3,5,s,38,2,6
4416,r077,S&E occupations -> Engineers -> Other engineers -> Marine engineers and naval architects,S&E occupations,Engineers,Other engineers,Marine engineers and naval architects,4,9,7,s,s,s,s,6,s,s
4416,r078,S&E occupations -> Engineers -> Other engineers -> Materials and metallurgical engineers,S&E occupations,Engineers,Other engineers,Materials and metallurgical engineers,4,41,37,s,s,3,s,34,s,s
4416,r079,S&E occupations -> Engineers -> Other engineers -> Mining and geological engineers,S&E occupations,Engineers,Other engineers,Mining and geological engineers,4,,,,,,,,,
4416,r080,S&E occupations -> Engineers -> Other engineers -> Nuclear engineers,S&E occupations,Engineers,Other engineers,Nuclear engineers,4,12,10,s,s,s,s,10,s,s
4416,r081,S&E occupations -> Engineers -> Other engineers -> Petroleum engineers,S&E occupations,Engineers,Other engineers,Petroleum engineers,4,22,20,s,s,s,s,17,s,s
4416,r082,S&E occupations -> Engineers -> Other engineers -> Sales engineers,S&E occupations,Engineers,Other engineers,Sales engineers,4,114,67,4,s,s,s,56,11,36
4416,r083,S&E occupations -> Engineers -> Other engineers -> Other engineers,S&E occupations,Engineers,Other engineers,Other engineers,4,178,145,11,s,7,7,118,11,22
4416,r084,S&E occupations -> Engineers -> Postsecondary teachers&#8212;engineering,S&E occupations,Engineers,Postsecondary teachers&#8212;engineering,,3,61,52,4,s,2,s,45,2,7
4416,r085,S&E-related occupations,S&E-related occupations,,,,1,8893,2131,366,660,176,367,562,5309,1453
4416,r086,S&E-related occupations -> Health-related occupations,S&E-related occupations,Health-related occupations,,,2,5728,696,27,389,52,211,17,4479,553
4416,r087,"S&E-related occupations -> Health-related occupations -> Diagnosing or treating practitioners (e.g., dentists, optometrists, physicians, psychiatrists, podiatrists, surgeons, veterinarians)",S&E-related occupations,Health-related occupations,"Diagnosing or treating practitioners (e.g., dentists, optometrists, physicians, psychiatrists, podiatrists, surgeons, veterinarians)",,3,1269,98,s,60,s,11,2,1154,16
4416,r088,"S&E-related occupations -> Health-related occupations -> Registered nurses, pharmacists, dieticians, therapists, physician assistants, nurse practitioners",S&E-related occupations,Health-related occupations,"Registered nurses, pharmacists, dieticians, therapists, physician assistants, nurse practitioners",,3,2875,148,s,88,2,51,s,2584,143
4416,r089,"S&E-related occupations -> Health-related occupations -> Health technologists and technicians (e.g., dental hygienists, health record technicians, licensed practical nurses, laboratory or radiology technicians)",S&E-related occupations,Health-related occupations,"Health technologists and technicians (e.g., dental hygienists, health record technicians, licensed practical nurses, laboratory or radiology technicians)",,3,574,189,5,124,17,38,5,285,100
4416,r090,S&E-related occupations -> Health-related occupations -> Other health occupations,S&E-related occupations,Health-related occupations,Other health occupations,,3,815,227,19,92,s,104,5,308,279
4416,r091,S&E-related occupations -> Health-related occupations -> Postsecondary teachers&#8212;health and related sciences,S&E-related occupations,Health-related occupations,Postsecondary teachers&#8212;health and related sciences,,3,196,33,s,26,s,7,s,148,15
4416,r092,S&E-related occupations -> S&E managers,S&E-related occupations,S&E managers,,,2,999,517,106,68,37,57,249,260,221
4416,r093,S&E-related occupations -> S&E managers -> Computer and information systems managers,S&E-related occupations,S&E managers,Computer and information systems managers,,3,237,140,82,s,s,11,32,10,87
4416,r094,S&E-related occupations -> S&E managers -> Engineering managers,S&E-related occupations,S&E managers,Engineering managers,,3,364,258,23,3,12,s,213,31,74
4416,r095,S&E-related occupations -> S&E managers -> Medical and health services managers,S&E-related occupations,S&E managers,Medical and health services managers,,3,324,60,s,20,s,32,s,213,50
4416,r096,S&E-related occupations -> S&E managers -> Natural sciences managers,S&E-related occupations,S&E managers,Natural sciences managers,,3,74,59,s,34,17,s,s,5,10
4416,r097,S&E-related occupations -> S&E precollege teachers,S&E-related occupations,S&E precollege teachers,,,2,925,237,74,72,30,48,13,240,448
4416,r098,"S&E-related occupations -> S&E precollege teachers -> Secondary&#8212;computer, mathematics, or sciences",S&E-related occupations,S&E precollege teachers,"Secondary&#8212;computer, mathematics, or sciences",,3,668,197,73,71,30,11,13,206,265
4416,r099,S&E-related occupations -> S&E precollege teachers -> Secondary&#8212;social sciences,S&E-related occupations,S&E precollege teachers,Secondary&#8212;social sciences,,3,257,39,s,s,s,37,s,35,183
4416,r100,S&E-related occupations -> S&E technicians and technologists,S&E-related occupations,S&E technicians and technologists,,,2,973,635,132,129,54,48,272,133,204
4416,r101,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the biological and life sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the biological and life sciences,,3,125,94,s,77,8,1,6,20,11
4416,r102,"S&E-related occupations -> S&E technicians and technologists -> Computer programmers (business, scientific, process control)",S&E-related occupations,S&E technicians and technologists,"Computer programmers (business, scientific, process control)",,3,125,88,49,2,s,10,22,8,29
4416,r103,"S&E-related occupations -> S&E technicians and technologists -> Electrical, electronic, industrial, and mechanical technicians",S&E-related occupations,S&E technicians and technologists,"Electrical, electronic, industrial, and mechanical technicians",,3,325,200,29,19,7,15,130,40,85
4416,r104,"S&E-related occupations -> S&E technicians and technologists -> Drafting occupations, including computer drafting",S&E-related occupations,S&E technicians and technologists,"Drafting occupations, including computer drafting",,3,46,18,s,s,s,s,15,16,12
4416,r105,S&E-related occupations -> S&E technicians and technologists -> Surveying and mapping technicians,S&E-related occupations,S&E technicians and technologists,Surveying and mapping technicians,,3,28,20,s,s,s,6,10,s,s
4416,r106,S&E-related occupations -> S&E technicians and technologists -> Other engineering technologists and technicians,S&E-related occupations,S&E technicians and technologists,Other engineering technologists and technicians,,3,255,159,43,14,14,8,79,37,59
4416,r107,"S&E-related occupations -> S&E technicians and technologists -> Surveyors, cartographers, and photogrammetrists",S&E-related occupations,S&E technicians and technologists,"Surveyors, cartographers, and photogrammetrists",,3,20,16,s,s,2,6,1,s,s
4416,r108,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the mathematical sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the mathematical sciences,,3,,,,,,,,,
4416,r109,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the physical sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the physical sciences,,3,48,40,5,8,17,s,8,s,3
4416,r110,S&E-related occupations -> Other S&E-related occupations,S&E-related occupations,Other S&E-related occupations,,,2,270,46,27,2,3,4,10,196,27
4416,r111,S&E-related occupations -> Other S&E-related occupations -> Architects,S&E-related occupations,Other S&E-related occupations,Architects,,3,225,22,s,2,s,s,10,181,22
4416,r112,S&E-related occupations -> Other S&E-related occupations -> Actuaries,S&E-related occupations,Other S&E-related occupations,Actuaries,,3,45,24,22,s,s,s,s,15,s
4416,r113,Non-S&E occupations,Non-S&E occupations,,,,1,12267,7522,801,1072,291,4352,1004,1692,3053
4416,r114,Non-S&E occupations -> Non-S&E managers,Non-S&E occupations,Non-S&E managers,,,2,2003,1205,161,162,56,509,317,271,526
4416,r115,"Non-S&E occupations -> Non-S&E managers -> Top-level managers, executives, administrators (e.g., chief executive officer, chief operating officer, chief financial officer; president; district manager, general manager, provost)",Non-S&E occupations,Non-S&E managers,"Top-level managers, executives, administrators (e.g., chief executive officer, chief operating officer, chief financial officer; president; district manager, general manager, provost)",,3,1125,704,115,83,42,259,205,160,260
4416,r116,"Non-S&E occupations -> Non-S&E managers -> Education administrators (e.g., registrar, dean, principal)",Non-S&E occupations,Non-S&E managers,"Education administrators (e.g., registrar, dean, principal)",,3,134,31,2,7,s,18,2,19,84
4416,r117,Non-S&E occupations -> Non-S&E managers -> Other mid-level managers,Non-S&E occupations,Non-S&E managers,Other mid-level managers,,3,743,470,43,72,12,233,110,92,182
4416,r118,Non-S&E occupations -> Management-related occupations,Non-S&E occupations,Management-related occupations,,,2,2534,1717,265,236,64,916,236,280,537
4416,r119,"Non-S&E occupations -> Management-related occupations -> Accountants, auditors, and other financial specialists",Non-S&E occupations,Management-related occupations,"Accountants, auditors, and other financial specialists",,3,781,516,93,31,7,344,41,62,202
4416,r120,"Non-S&E occupations -> Management-related occupations -> Personnel, training, and labor relations specialists",Non-S&E occupations,Management-related occupations,"Personnel, training, and labor relations specialists",,3,289,187,16,13,s,128,20,44,58
4416,r121,Non-S&E occupations -> Management-related occupations -> Other management-related occupations,Non-S&E occupations,Management-related occupations,Other management-related occupations,,3,1465,1014,155,193,47,444,175,173,277
4416,r122,Non-S&E occupations -> Non-S&E precollege teachers,Non-S&E occupations,Non-S&E precollege teachers,,,2,924,405,22,67,11,289,14,158,361
4416,r123,Non-S&E occupations -> Non-S&E precollege teachers -> Prekindergarten and kindergarten,Non-S&E occupations,Non-S&E precollege teachers,Prekindergarten and kindergarten,,3,129,84,s,12,s,68,s,21,25
4416,r124,Non-S&E occupations -> Non-S&E precollege teachers -> Elementary,Non-S&E occupations,Non-S&E precollege teachers,Elementary,,3,364,169,13,18,s,127,6,46,149
4416,r125,Non-S&E occupations -> Non-S&E precollege teachers -> Secondary&#8212;other subjects,Non-S&E occupations,Non-S&E precollege teachers,Secondary&#8212;other subjects,,3,191,69,s,16,s,43,6,39,83
4416,r126,Non-S&E occupations -> Non-S&E precollege teachers -> Special education&#8212;primary and secondary,Non-S&E occupations,Non-S&E precollege teachers,Special education&#8212;primary and secondary,,3,166,50,2,9,s,37,s,40,76
4416,r127,Non-S&E occupations -> Non-S&E precollege teachers -> Other precollegiate area,Non-S&E occupations,Non-S&E precollege teachers,Other precollegiate area,,3,73,33,s,13,s,16,s,12,28
4416,r128,Non-S&E occupations -> Non-S&E postsecondary teachers,Non-S&E occupations,Non-S&E postsecondary teachers,,,2,191,78,4,s,5,61,2,30,82
4416,r129,"Non-S&E occupations -> Non-S&E postsecondary teachers -> Art, drama, and music",Non-S&E occupations,Non-S&E postsecondary teachers,"Art, drama, and music",,3,15,s,s,s,s,s,s,s,6
4416,r130,"Non-S&E occupations -> Non-S&E postsecondary teachers -> Business, commerce, and marketing",Non-S&E occupations,Non-S&E postsecondary teachers,"Business, commerce, and marketing",,3,23,7,2,s,s,5,s,3,12
4416,r131,Non-S&E occupations -> Non-S&E postsecondary teachers -> Education,Non-S&E occupations,Non-S&E postsecondary teachers,Education,,3,42,20,s,s,s,17,s,4,18
4416,r132,Non-S&E occupations -> Non-S&E postsecondary teachers -> English,Non-S&E occupations,Non-S&E postsecondary teachers,English,,3,24,10,s,s,s,9,s,s,14
4416,r133,Non-S&E occupations -> Non-S&E postsecondary teachers -> Foreign language,Non-S&E occupations,Non-S&E postsecondary teachers,Foreign language,,3,10,7,s,s,s,7,s,s,3
4416,r134,Non-S&E occupations -> Non-S&E postsecondary teachers -> History,Non-S&E occupations,Non-S&E postsecondary teachers,History,,3,9,4,s,s,s,4,s,s,4
4416,r135,Non-S&E occupations -> Non-S&E postsecondary teachers -> Physical education,Non-S&E occupations,Non-S&E postsecondary teachers,Physical education,,3,s,s,s,s,s,s,s,s,s
4416,r136,Non-S&E occupations -> Non-S&E postsecondary teachers -> Other postsecondary fields,Non-S&E occupations,Non-S&E postsecondary teachers,Other postsecondary fields,,3,60,18,s,s,s,13,2,18,24
4416,r137,Non-S&E occupations -> Social services and related occupations,Non-S&E occupations,Social services and related occupations,,,2,1057,605,s,29,9,541,7,119,332
4416,r138,Non-S&E occupations -> Social services and related occupations -> Clergy and other religious workers,Non-S&E occupations,Social services and related occupations,Clergy and other religious workers,,3,142,61,s,s,s,32,4,4,77
4416,r139,"Non-S&E occupations -> Social services and related occupations -> Counselors (e.g., educational, vocational, mental health, substance abuse)",Non-S&E occupations,Social services and related occupations,"Counselors (e.g., educational, vocational, mental health, substance abuse)",,3,457,280,s,6,s,270,s,60,117
4416,r140,Non-S&E occupations -> Social services and related occupations -> Social workers,Non-S&E occupations,Social services and related occupations,Social workers,,3,458,264,s,16,s,239,s,55,139
4416,r141,Non-S&E occupations -> Sales and marketing occupations,Non-S&E occupations,Sales and marketing occupations,,,2,1444,996,87,131,41,602,134,233,215
