table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_foreign_companies_subsidiariesa,field_foreign_companies_company_s_parent,field_foreign_companies_unaffiliated_companies,field_foreign_government_agencies,field_foreign_universities_colleges_and_academic_researchers,field_all_other
9681,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['0 - 3,072', 'i ']","['0 - 3,072', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['0 - 2,624', '  ']","['0 - 2,623', '  ']","['0', '  ']","['0 - 1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['7,343', 'i ']","['6,649', 'i ']","['649', '  ']","['45', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,078', '  ']","['742', '  ']","['325', 'r ']","['11', 'r ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['1,078', '  ']","['742', '  ']","['325', 'r ']","['11', 'r ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['0 - 96', '  ']","['0', '  ']","['0 - 96', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['755', '  ']","['484 - 526', 'i ']","['195 - 236', '  ']","['34', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['5,413 - 5,512', 'i ']","['5,380 - 5,424', 'i ']","['0 - 99', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['0 - 2,623', '  ']","['0 - 2,623', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
