table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_foreign_r_d_performance_total,field_total_foreign_r_d_performance_paid_for_by_the_company,field_total_foreign_r_d_performance_paid_for_by_others,field_research_basic_and_applied_total,field_research_basic_and_applied_paid_for_by_the_company,field_research_basic_and_applied_paid_for_by_others,field_development_total,field_development_paid_for_by_the_company,field_development_paid_for_by_others
2052,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,453 - 1,597', '  ']","['1,448 - 1,592', '  ']","['5', 'i ']","['0 - 215', 'i ']","['0 - 215', 'i ']","['*', 'i ']","['1,238 - 1,597', '  ']","['1,234 - 1,592', '  ']","['4', 'i ']"
2052,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['22,648', '  ']","['22,242', '  ']","['405', '  ']","['4,681', 'i ']","['4,591', 'i ']","['91', '  ']","['17,967', 'i ']","['17,652', 'i ']","['315', '  ']"
2052,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['3,132', '  ']","['3,126', '  ']","['6', '  ']","['447', '  ']","['446', '  ']","['1', 'i ']","['2,686', '  ']","['2,680', '  ']","['5', '  ']"
2052,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['10,898', '  ']","['10,749', '  ']","['149', '  ']","['2,079', 'i ']","['2,077', 'i ']","['3', '  ']","['8,818', 'i ']","['8,673', 'i ']","['146', '  ']"
2052,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['3,842', '  ']","['3,597', '  ']","['244', '  ']","['973', 'i ']","['886', 'i ']","['86', '  ']","['2,869', 'i ']","['2,711', 'i ']","['158', '  ']"
2052,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['1,078', '  ']","['1,077', '  ']","['1', '  ']","['159', 'i ']","['159', 'i ']","['*', 'i ']","['919', 'i ']","['918', 'i ']","['1', '  ']"
2052,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['960', '  ']","['738', 'i ']","['222', '  ']","['400', 'i ']","['325', 'i ']","['75', '  ']","['560', '  ']","['413', 'i ']","['147', '  ']"
2052,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['1,804', '  ']","['1,782', '  ']","['22', '  ']","['414', '  ']","['402', '  ']","['11', '  ']","['1,390', '  ']","['1,379', '  ']","['10', '  ']"
2052,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['4,776', '  ']","['4,769', '  ']","['7', '  ']","['1,182', 'i ']","['1,181', 'i ']","['1', 'i ']","['3,594', '  ']","['3,588', '  ']","['6', 'i ']"
2052,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,867', '  ']","['1,864', '  ']","['3', '  ']","['254', '  ']","['252', '  ']","['1', '  ']","['1,613', 'i ']","['1,611', 'i ']","['2', '  ']"
2052,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['8,822', '  ']","['8,150', '  ']","['672', '  ']","['1,734', '  ']","['1,653', '  ']","['82', '  ']","['7,088', '  ']","['6,497', '  ']","['590', 'i ']"
2052,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['6,597', '  ']","['6,282', '  ']","['315', '  ']","['1,088', '  ']","['1,076', '  ']","['12', '  ']","['5,509', '  ']","['5,206', '  ']","['303', 'i ']"
2052,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['2,053', '  ']","['1,725', '  ']","['328', '  ']","['589', '  ']","['545', '  ']","['44', '  ']","['1,464', '  ']","['1,180', '  ']","['284', 'i ']"
2052,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['2,050', '  ']","['1,725', '  ']","['325', '  ']","['587', '  ']","['545', '  ']","['42', '  ']","['1,463', '  ']","['1,179', '  ']","['284', 'i ']"
2052,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['3', '  ']","['1', '  ']","['2', '  ']","['2', '  ']","['0', '  ']","['2', '  ']","['1', '  ']","['1', '  ']","['*', '  ']"
2052,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2052,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['173', '  ']","['143', '  ']","['29', '  ']","['58', '  ']","['32', '  ']","['26', '  ']","['115', '  ']","['112', '  ']","['3', '  ']"
2052,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['40', '  ']","['40', '  ']","['0', '  ']","['8', '  ']","['8', '  ']","['0', '  ']","['31', '  ']","['31', '  ']","['0', '  ']"
2052,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['2,787', '  ']","['2,758', '  ']","['30', '  ']","['363', '  ']","['359', '  ']","['4', '  ']","['2,424', '  ']","['2,398', '  ']","['26', '  ']"
2052,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['2,490', '  ']","['2,461', '  ']","['30', '  ']","['321', '  ']","['318', '  ']","['4', '  ']","['2,169', '  ']","['2,143', '  ']","['26', '  ']"
2052,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['297', '  ']","['297', '  ']","['*', 'i ']","['42', 'i ']","['42', 'i ']","['0', '  ']","['255', '  ']","['255', '  ']","['*', 'i ']"
2052,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['30,258', '  ']","['22,983', '  ']","['7,275', '  ']","['5,155', 'i ']","['3,537', 'i ']","['1,619', '  ']","['25,103', 'i ']","['19,446', '  ']","['5,656', 'i ']"
2052,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['329 - 337', 'i ']","['306', 'i ']","['24 - 30', 'i ']","['94 - 102', 'i ']","['78 - 102', '  ']","['0 - 17', 'i ']","['235', 'i ']","['204 - 227', 'i ']","['8 - 30', 'i ']"
2052,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['9', '  ']","['9', '  ']","['*', '  ']","['5', '  ']","['5', '  ']","['0', '  ']","['5', '  ']","['5', '  ']","['*', 'i ']"
2052,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['37', 'i ']","['37', 'i ']","['*', '  ']","['1', '  ']","['1', '  ']","['0', '  ']","['36', 'i ']","['36', 'i ']","['*', 'i ']"
2052,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['2,555 - 2,779', '  ']","['2,555 - 2,779', '  ']","['0', '  ']","['1,038 - 1,271', 'i ']","['1,038 - 1,271', 'i ']","['0', '  ']","['1,291 - 1,523', 'i ']","['1,291 - 1,523', 'i ']","['0', '  ']"
2052,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['7', '  ']","['6', '  ']","['1', '  ']","['1', '  ']","['1', '  ']","['0', '  ']","['6', '  ']","['5', '  ']","['1', 'i ']"
2052,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['14,646', '  ']","['14,620', '  ']","['26', 'i ']","['1,236', '  ']","['1,232', '  ']","['4', '  ']","['13,410', '  ']","['13,388', '  ']","['22', '  ']"
2052,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['8,831', '  ']","['8,824', '  ']","['7', '  ']","['807', '  ']","['807', '  ']","['*', '  ']","['8,024', '  ']","['8,016', '  ']","['7', 'i ']"
2052,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['7', '  ']","['7', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['7', '  ']","['7', '  ']","['0', '  ']"
2052,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['8,824', '  ']","['8,817', '  ']","['7', '  ']","['807', '  ']","['807', '  ']","['*', '  ']","['8,017', '  ']","['8,009', '  ']","['7', 'i ']"
2052,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['94', '  ']","['92', '  ']","['2', '  ']","['22', '  ']","['22', '  ']","['*', '  ']","['72', '  ']","['70', '  ']","['2', '  ']"
2052,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['2,272', '  ']","['2,255', '  ']","['17', 'i ']","['246', '  ']","['242', '  ']","['4', '  ']","['2,026', '  ']","['2,012', '  ']","['13', '  ']"
2052,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['3,450', '  ']","['3,450', '  ']","['0', '  ']","['160', 'i ']","['160', 'i ']","['0', '  ']","['3,289', 'i ']","['3,289', 'i ']","['0', '  ']"
2052,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['965', '  ']","['965', '  ']","['0', '  ']","['42', '  ']","['42', '  ']","['0', '  ']","['923', '  ']","['923', '  ']","['0', '  ']"
2052,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['191', 'i ']","['191', 'i ']","['0', '  ']","['33', 'i ']","['33', 'i ']","['0', '  ']","['158', 'i ']","['158', 'i ']","['0', '  ']"
2052,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['173', 'i ']","['173', 'i ']","['0', '  ']","['27', 'i ']","['27', 'i ']","['0', '  ']","['146', 'i ']","['146', 'i ']","['0', '  ']"
2052,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['18', 'i ']","['18', 'i ']","['0', '  ']","['6', 'i ']","['6', 'i ']","['0', '  ']","['12', 'i ']","['12', 'i ']","['0', '  ']"
2052,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['11,064', '  ']","['3,892', '  ']","['7,172', '  ']","['2,301', '  ']","['685 - 702', 'i ']","['1,599 - 1,616', '  ']","['8,763', 'i ']","['3,190 - 3,208', '  ']","['5,556 - 5,574', 'i ']"
2052,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['53', '  ']","['51', '  ']","['2', '  ']","['10', '  ']","['9', '  ']","['*', '  ']","['43', '  ']","['41', 'i ']","['2', '  ']"
2052,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['3,498', '  ']","['3,423', '  ']","['75', '  ']","['576', '  ']","['509', '  ']","['67', '  ']","['2,921', '  ']","['2,913', '  ']","['8', '  ']"
2052,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['7,124', '  ']","['82', '  ']","['7,042', '  ']","['1,549', '  ']","['17', '  ']","['1,533', '  ']","['5,574', 'i ']","['65', '  ']","['5,509', 'i ']"
2052,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['1,996', '  ']","['6', '  ']","['1,990', '  ']","['243', '  ']","['2', '  ']","['242', '  ']","['1,752', 'i ']","['4', '  ']","['1,748', 'i ']"
2052,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['5,125', '  ']","['76', '  ']","['5,048', '  ']","['1,303', '  ']","['15', '  ']","['1,287', '  ']","['3,822', 'i ']","['61', '  ']","['3,761', 'i ']"
2052,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['4', '  ']","['0', '  ']","['4', '  ']","['4', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2052,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['390', '  ']","['336', '  ']","['54', '  ']","['165', 'i ']","['149 - 166', 'i ']","['0 - 17', '  ']","['225', '  ']","['170 - 188', '  ']","['37 - 55', 'i ']"
2052,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['224 - 231', '  ']","['182', '  ']","['43 - 49', '  ']","['176', 'i ']","['176', 'i ']","['0', '  ']","['48 - 56', 'i ']","['6', '  ']","['43 - 49', 'i ']"
2052,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['0 - 217', '  ']","['0 - 217', '  ']","['0', '  ']","['0 - 217', '  ']","['0 - 217', '  ']","['0', '  ']","['0 - 217', '  ']","['0 - 217', '  ']","['0', '  ']"
2052,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['87,528', '  ']","['78,689', '  ']","['8,839', '  ']","['17,141', '  ']","['15,175', 'i ']","['1,966', '  ']","['70,387', '  ']","['63,514', '  ']","['6,873', 'i ']"
2052,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2052,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['136', '  ']","['128', '  ']","['8', '  ']","['21', '  ']","['18', '  ']","['3', '  ']","['115', '  ']","['110', '  ']","['5', '  ']"
2052,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['577', '  ']","['569', '  ']","['8', 'i ']","['114', '  ']","['114', '  ']","['*', 'i ']","['463', 'i ']","['455', 'i ']","['8', 'i ']"
2052,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2052,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['482', '  ']","['473', '  ']","['9', '  ']","['55', '  ']","['50', '  ']","['5', '  ']","['426', '  ']","['423', '  ']","['4', '  ']"
2052,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['1,380', '  ']","['1,215', '  ']","['165', '  ']","['249', '  ']","['231', '  ']","['18', 'i ']","['1,131', '  ']","['984', '  ']","['147', '  ']"
2052,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2052,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['2,272', '  ']","['2,010', '  ']","['262', 'i ']","['338', '  ']","['337', '  ']","['1', '  ']","['1,934', '  ']","['1,673', '  ']","['261', 'i ']"
2052,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['2,516', '  ']","['2,380', '  ']","['136', '  ']","['601', '  ']","['476', '  ']","['126', '  ']","['1,915', '  ']","['1,904', '  ']","['11', '  ']"
