table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
12336,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['3,748', '&nbsp;']","['4,212', '&nbsp;']","['5,234', '&nbsp;']","['6,013', '&nbsp;']","['5,885', '&nbsp;']","['3,296', '&nbsp;']","['5,049', '&nbsp;']","['7,829', 'i ']","['4,501', '  ']","['8,418', '  ']","['4,995', '&nbsp;']","['10,337', 'i']","['3,615', '  ']","['4,963', '  ']","['6,348', '  ']"
12336,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['NA', '&nbsp;']","['NA', '&nbsp;']","['297,333', '&nbsp;']","['372,811', '&nbsp;']","['333,710', '&nbsp;']","['328,477', '&nbsp;']","['266,321', '&nbsp;']","['175,953', '  ']","['170,110', '  ']","['0 - 408,784', '  ']","['254,128', '&nbsp;']","['203,583', '&nbsp;']","['143,144', '  ']","['220,963', '  ']","['302,595', '  ']"
12336,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['NA', '&nbsp;']","['NA', '&nbsp;']","['17', '&nbsp;']","['91', '&nbsp;']","['74', 'i']","['1,244', '&nbsp;']","['2,278', '&nbsp;']","['630', '  ']","['3,234', '  ']","['3,312', '  ']","['6,373', '&nbsp;']","['5,800', '&nbsp;']","['2,928', '  ']","['4,171', '  ']","['1,092', '  ']"
12336,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['NA', '&nbsp;']","['NA', '&nbsp;']","['10,623', '&nbsp;']","['23,005', '&nbsp;']","['D', '&nbsp;']","['9,703', '&nbsp;']","['9,496', '&nbsp;']","['8,643', '  ']","['5,100', '  ']","['4,968', '  ']","['2,770', '&nbsp;']","['981', '&nbsp;']","['471', '  ']","['3,091', '  ']","['4,841', '  ']"
12336,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['115,189', '&nbsp;']","['75,544', '&nbsp;']","['92,953', '&nbsp;']","['92,754', '&nbsp;']","['129,151', '&nbsp;']","['79,818', '&nbsp;']","['75,221', '&nbsp;']","['58,600', '  ']","['59,714', '  ']","['67,172', '  ']","['80,961', '&nbsp;']","['0 - 228,985', '&nbsp;']","['0 - 563,442', '  ']","['102,289', '  ']","['106,058', '  ']"
12336,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['29,537', '&nbsp;']","['33,110', '&nbsp;']","['44,009', '&nbsp;']","['30,499', '&nbsp;']","['29,307', '&nbsp;']","['27,404', '&nbsp;']","['35,325', '&nbsp;']","['30,979', '  ']","['33,055', '  ']","['36,203', '  ']","['51,259', '&nbsp;']","['40,023', '&nbsp;']","['39,322', '  ']","['57,112', '  ']","['60,314', '  ']"
12336,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['12,327', '&nbsp;']","['23,686', '&nbsp;']","['10,412', '&nbsp;']","['14,001', '&nbsp;']","['16,929', '&nbsp;']","['22,163', 'i']","['13,617', '&nbsp;']","['D', '  ']","['16,513', '  ']","['18,587', '  ']","['30,225', '&nbsp;']","['12,170', '&nbsp;']","['10,865', '  ']","['9,438', '  ']","['14,695', '  ']"
12336,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing<sup>c</sup>",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing<sup>c</sup>",2,32541,"['136,925', '&nbsp;']","['128,937', '&nbsp;']","['147,497', '&nbsp;']","['163,323', '&nbsp;']","['165,908', '&nbsp;']","['162,730', '&nbsp;']","['155,814', '&nbsp;']","['153,415', '  ']","['144,820', '  ']","['149,280', '  ']","['159,641', '&nbsp;']","['170,480', '&nbsp;']","['168,105', '  ']","['222,522', '  ']","['225,673', '  ']"
12336,r021,All business activities -> In vitro diagnostic substances manufacturing<sup>c</sup>,All business activities,In vitro diagnostic substances manufacturing<sup>c</sup>,2,32542,"['6,964', '&nbsp;']","['7,135', '&nbsp;']","['7,802', '&nbsp;']","['11,270', '&nbsp;']","['12,376', '&nbsp;']","['5,730', '&nbsp;']","['11,359', '&nbsp;']","['7,940', '  ']","['0 - 163,991', '  ']","['6,700', '  ']","['8,931', 'i']","['0 - 585,012', '&nbsp;']","['6,846', '  ']","['8,916', '  ']","['10,371', 'i ']"
12336,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['3,553', '&nbsp;']","['8,035', '&nbsp;']","['13,232', '  ']","['0 - 163,991', '  ']","['0 - 90,420', '  ']","['13,346', '&nbsp;']","['15,602', '&nbsp;']","['11,239', '  ']","['37,959', '  ']","['34,325', '  ']"
12336,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['72,271', '&nbsp;']","['80,113', '&nbsp;']","['86,107', '&nbsp;']","['99,565', '&nbsp;']","['84,423', '&nbsp;']","['98,232', '&nbsp;']","['95,193', '&nbsp;']","['86,186', '  ']","['81,727', '  ']","['85,732', '  ']","['84,362', '&nbsp;']","['79,648', '&nbsp;']","['81,725', '  ']","['78,327', '  ']","['90,983', '  ']"
12336,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['49,968', '&nbsp;']","['41,584', '&nbsp;']","['42,946', '&nbsp;']","['55,746', '&nbsp;']","['49,627', '&nbsp;']","['45,604', '&nbsp;']","['54,754', '&nbsp;']","['39,126', '  ']","['45,439', '  ']","['45,358', '  ']","['45,691', '&nbsp;']","['42,428', '&nbsp;']","['43,283', '  ']","['46,113', '  ']","['58,049', '  ']"
12336,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['43,878', '&nbsp;']","['46,866', '&nbsp;']","['55,694', '&nbsp;']","['70,156', '&nbsp;']","['71,055', '&nbsp;']","['65,315', '&nbsp;']","['76,697', '&nbsp;']","['45,131', '  ']","['56,942', '  ']","['66,455', '  ']","['55,679', '&nbsp;']","['60,034', '&nbsp;']","['61,140', '  ']","['69,608', '  ']","['72,329', '  ']"
12336,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['12,023', '&nbsp;']","['8,789', '&nbsp;']","['12,710', '&nbsp;']","['12,430', '&nbsp;']","['16,796', '&nbsp;']","['16,378', '&nbsp;']","['13,287', '&nbsp;']","['15,938', '  ']","['16,850', '  ']","['14,053', '  ']","['18,837', '&nbsp;']","['15,547', 'i']","['14,387', '  ']","['14,973', '  ']","['20,876', '  ']"
12336,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['5,307', '&nbsp;']","['3,931', '&nbsp;']","['7,648', '&nbsp;']","['8,629', '&nbsp;']","['6,833', '&nbsp;']","['9,164', '&nbsp;']","['9,381', '&nbsp;']","['7,494', '  ']","['6,333', '  ']","['4,163', '  ']","['5,504', '&nbsp;']","['5,799', '&nbsp;']","['6,143', '  ']","['7,153', '  ']","['5,676', '  ']"
12336,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['NA', '&nbsp;']","['26,985', '&nbsp;']","['35,756', '&nbsp;']","['30,648', '&nbsp;']","['22,619', '&nbsp;']","['24,443', '&nbsp;']","['24,114', '&nbsp;']","['12,138', '  ']","['15,437', '  ']","['17,605', '  ']","['33,370', '&nbsp;']","['37,994', '&nbsp;']","['24,103', '  ']","['21,288', '  ']","['24,843', '  ']"
12336,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['45,571', '&nbsp;']","['29,870', '&nbsp;']","['42,347', '&nbsp;']","['49,138', '&nbsp;']","['52,129', '&nbsp;']","['39,319', '&nbsp;']","['67,646', '&nbsp;']","['43,238', '  ']","['35,404', '  ']","['47,454', '  ']","['53,830', '&nbsp;']","['50,382', '&nbsp;']","['49,793', '  ']","['76,212', '  ']","['65,275', '  ']"
12336,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['20,642', '&nbsp;']","['21,025', '&nbsp;']","['24,042', 'i']","['14,152', '&nbsp;']","['23,984', '&nbsp;']","['23,076', '&nbsp;']","['26,760', '&nbsp;']","['21,505', '  ']","['21,684', '  ']","['21,146', '  ']","['30,017', '&nbsp;']","['0 - 585,012', '&nbsp;']","['21,007', '  ']","['24,924', '  ']","['29,813', '  ']"
12336,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['13,881', '&nbsp;']","['10,015', '&nbsp;']","['11,205', '&nbsp;']","['17,120', '&nbsp;']","['11,502', '&nbsp;']","['20,431', '&nbsp;']","['24,092', '&nbsp;']","['20,423', '  ']","['14,283', '  ']","['21,099', '  ']","['29,451', '&nbsp;']","['30,626', '&nbsp;']","['25,473', '  ']","['29,585', '  ']","['31,186', '  ']"
12336,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['NA', '&nbsp;']","['35,907', '&nbsp;']","['36,300', '&nbsp;']","['48,499', '&nbsp;']","['49,800', '&nbsp;']","['37,434', '&nbsp;']","['32,935', '&nbsp;']","['36,375', '  ']","['26,418', '  ']","['34,098', '  ']","['40,208', '&nbsp;']","['27,371', '&nbsp;']","['32,383', '  ']","['23,093', '  ']","['25,434', '  ']"
12336,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['10,928', '&nbsp;']","['5,740', '&nbsp;']","['9,670', '&nbsp;']","['10,941', '&nbsp;']","['3,134', '&nbsp;']","['13,613', '&nbsp;']","['16,266', '&nbsp;']","['16,438', '  ']","['15,074', '  ']","['18,206', '  ']","['25,323', '&nbsp;']","['0 - 585,012', '&nbsp;']","['22,989', '  ']","['38,109', '  ']","['45,709', '  ']"
12336,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['7,532', '&nbsp;']","['5,996', '&nbsp;']","['8,961', '&nbsp;']","['14,930', '&nbsp;']","['11,492', '&nbsp;']","['10,092', '&nbsp;']","['16,537', '&nbsp;']","['6,590', '  ']","['12,341', '  ']","['11,149', '  ']","['12,740', '&nbsp;']","['9,699', '&nbsp;']","['11,163', '  ']","['12,857', '  ']","['10,697', '  ']"
12336,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['NA', '&nbsp;']","['2,080', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['618', '&nbsp;']","['1,915', '&nbsp;']","['1,477', '  ']","['0 - 163,991', '  ']","['857', '  ']","['0 - 242,771', '&nbsp;']","['127', '&nbsp;']","['0 - 563,442', '  ']","['195', '  ']","['194', '  ']"
12336,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['NA', '&nbsp;']","['16,053', '&nbsp;']","['28,404', '&nbsp;']","['30,270', '&nbsp;']","['36,451', '&nbsp;']","['33,652', '&nbsp;']","['40,045', '&nbsp;']","['27,712', '  ']","['37,396', '  ']","['32,672', '  ']","['38,473', '&nbsp;']","['35,358', '&nbsp;']","['26,891', '  ']","['34,928', '  ']","['38,538', '  ']"
12336,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0 - 5,580', 'i ']","['4,524', 'i ']","['0 - 242,771', '&nbsp;']","['1,610', '&nbsp;']","['0 - 563,442', '  ']","['92', '  ']","['111', '  ']"
12336,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['28,100', '&nbsp;']","['16,787', '&nbsp;']","['37,994', '&nbsp;']","['44,319', '&nbsp;']","['45,968', '&nbsp;']","['56,604', '&nbsp;']","['D', '&nbsp;']","['35,258', '  ']","['36,775', '  ']","['48,658', 'i ']","['45,700', '&nbsp;']","['0 - 585,012', '&nbsp;']","['50,998', '  ']","['62,627', '  ']","['59,488', '  ']"
12336,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['36,061', '&nbsp;']","['22,352', '&nbsp;']","['36,485', '&nbsp;']","['41,866', '&nbsp;']","['39,237', '&nbsp;']","['23,995', '&nbsp;']","['51,377', '&nbsp;']","['41,166', '  ']","['38,528', '  ']","['39,516', '  ']","['38,439', '&nbsp;']","['26,329', '&nbsp;']","['25,014', '  ']","['38,490', '  ']","['35,920', '  ']"
12336,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media<sup>d</sup>,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media<sup>d</sup>,2,33412,"['NA', '&nbsp;']","['136,763', '&nbsp;']","['162,729', '&nbsp;']","['167,518', '&nbsp;']","['160,818', '&nbsp;']","['127,377', '&nbsp;']","['131,576', '&nbsp;']","['129,679', '  ']","['203,226', '  ']","['255,629', '  ']","['264,980', '&nbsp;']","['242,284', '&nbsp;']","['239,607', '  ']","['305,149', '  ']","['323,312', '  ']"
12336,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['22,369', '&nbsp;']","['30,531', '&nbsp;']","['46,528', '&nbsp;']","['32,477', '&nbsp;']","['29,869', '&nbsp;']","['36,859', '&nbsp;']","['32,417', '&nbsp;']","['109,988', 'i ']","['32,209', '  ']","['32,943', '  ']","['36,643', '&nbsp;']","['0 - 585,012', '&nbsp;']","['29,345', '  ']","['32,518', '  ']","['31,701', '  ']"
12336,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['29,526', '&nbsp;']","['18,039', '&nbsp;']","['18,034', '&nbsp;']","['37,667', '&nbsp;']","['54,443', '&nbsp;']","['54,074', 'i']","['72,211', 'i']","['15,183', '  ']","['0 - 163,991', '  ']","['5,839', '  ']","['0 - 242,771', '&nbsp;']","['6,439', 'i']","['6,721', '  ']","['7,226', '  ']","['8,179', '  ']"
12336,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['6,791', '&nbsp;']","['4,680', '&nbsp;']","['4,015', '&nbsp;']","['8,552', '&nbsp;']","['2,041', '&nbsp;']","['6,695', 'i']","['1,747', '&nbsp;']","['1,326', '  ']","['0 - 163,991', '  ']","['2,019', '  ']","['0 - 242,771', '&nbsp;']","['1,476', '&nbsp;']","['2,225', '  ']","['2,838', '  ']","['2,971', '  ']"
12336,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['2,243', '&nbsp;']","['4,112', '&nbsp;']","['3,100', '&nbsp;']","['4,180', '&nbsp;']","['3,294', '&nbsp;']","['4,764', '&nbsp;']","['5,171', '&nbsp;']","['D', '&nbsp;']","['9,734', '  ']","['3,725', '  ']","['5,308', '&nbsp;']","['8,187', '&nbsp;']","['3,261', '  ']","['3,145', '  ']","['2,817', '  ']"
12336,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['100,661', '&nbsp;']","['79,098', '&nbsp;']","['157,934', '&nbsp;']","['185,199', '&nbsp;']","['186,007', '&nbsp;']","['197,516', '&nbsp;']","['188,661', '&nbsp;']","['D', '  ']","['163,360', '  ']","['191,123', '  ']","['232,485', '&nbsp;']","['0 - 585,012', '&nbsp;']","['180,433', '  ']","['D', '  ']","['248,474', '  ']"
12336,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['12,419', '&nbsp;']","['8,728', '&nbsp;']","['9,394', '&nbsp;']","['13,503', '&nbsp;']","['11,985', '&nbsp;']","['11,882', '&nbsp;']","['14,588', '&nbsp;']","['15,589', '  ']","['14,752', '  ']","['20,106', 'i ']","['22,814', 'i']","['18,118', 'i']","['17,058', '  ']","['14,056', '  ']","['14,095', '  ']"
12336,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",2,33452,"['5,126', '&nbsp;']","['9,629', '&nbsp;']","['11,268', '&nbsp;']","['7,329', '&nbsp;']","['10,300', '&nbsp;']","['13,337', '&nbsp;']","['12,013', '&nbsp;']","['9,882', 'i ']","['11,779', '  ']","['12,359', 'i ']","['9,889', '&nbsp;']","['10,658', '&nbsp;']","['16,076', '  ']","['2,921', '  ']","['14,242', '  ']"
12336,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['20,381', '&nbsp;']","['35,476', '&nbsp;']","['37,663', '&nbsp;']","['34,616', '&nbsp;']","['40,865', '&nbsp;']","['44,169', '&nbsp;']","['46,955', '&nbsp;']","['39,940', '  ']","['39,568', '  ']","['30,855', '  ']","['28,163', '&nbsp;']","['28,865', '&nbsp;']","['31,658', '  ']","['39,682', '  ']","['38,893', '  ']"
12336,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['47,654', '&nbsp;']","['43,416', '&nbsp;']","['54,549', '&nbsp;']","['58,580', '&nbsp;']","['54,904', '&nbsp;']","['49,253', '&nbsp;']","['56,905', '&nbsp;']","['51,633', '  ']","['73,973', '  ']","['65,117', '  ']","['74,039', '&nbsp;']","['74,152', '&nbsp;']","['69,495', '  ']","['71,293', '  ']","['56,234', '  ']"
12336,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['174,950', '&nbsp;']","['124,140', '&nbsp;']","['146,852', '&nbsp;']","['166,401', '&nbsp;']","['166,616', '&nbsp;']","['155,415', '&nbsp;']","['153,493', '&nbsp;']","['119,588', '  ']","['132,355', '  ']","['0 - 408,784', '  ']","['120,673', '&nbsp;']","['122,714', '&nbsp;']","['105,124', '  ']","['134,404', '  ']","['156,263', '  ']"
12336,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['D', '&nbsp;']","['504', '&nbsp;']","['937', '&nbsp;']","['903', '&nbsp;']","['2,302', '&nbsp;']","['187', '&nbsp;']","['573', '&nbsp;']","['145', '  ']","['384', '  ']","['763', '  ']","['603', '&nbsp;']","['3,589', '&nbsp;']","['4,591', '  ']","['4,676', '  ']","['4,370', '  ']"
12336,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['66,559', '&nbsp;']","['49,109', '&nbsp;']","['95,944', '&nbsp;']","['98,857', '&nbsp;']","['98,046', '&nbsp;']","['113,842', '&nbsp;']","['134,544', '&nbsp;']","['101,485', '  ']","['89,740', '  ']","['84,753', '  ']","['82,209', '&nbsp;']","['95,607', 'i']","['85,627', '  ']","['115,060', '  ']","['117,378', '  ']"
12336,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['S', '&nbsp;']","['6,959', '&nbsp;']","['7,569', '&nbsp;']","['9,732', 'i']","['5,939', '&nbsp;']","['8,600', 'i']","['7,452', '&nbsp;']","['9,077', '  ']","['5,821', '  ']","['6,995', '  ']","['8,989', '&nbsp;']","['5,758', '&nbsp;']","['6,175', '  ']","['D', '  ']","['5,087', '  ']"
12336,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['7,773', '&nbsp;']","['12,349', '&nbsp;']","['9,361', '&nbsp;']","['15,023', '&nbsp;']","['13,670', '&nbsp;']","['7,406', '&nbsp;']","['7,083', 'i']","['D', '  ']","['1,316', '  ']","['1,784', '  ']","['24,974', '&nbsp;']","['21,585', '&nbsp;']","['13,163', '  ']","['30,464', '  ']","['17,494', '  ']"
12336,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['9,178', '&nbsp;']","['9,959', '&nbsp;']","['10,547', '&nbsp;']","['12,611', '&nbsp;']","['10,015', '&nbsp;']","['12,933', '&nbsp;']","['16,421', '&nbsp;']","['19,962', '  ']","['17,048', '  ']","['20,212', '  ']","['11,827', '&nbsp;']","['10,607', '&nbsp;']","['0 - 68,810', '  ']","['8,589', '  ']","['10,386', '  ']"
