table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2020_actuala,field_2021_preliminarya,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5531,r025,R&D and R&D plant -> R&D -> Agriculture,R&D and R&D plant,R&D,Agriculture,3,2332,2469,3050,5.9,23.5
5531,r026,R&D and R&D plant -> R&D -> Transportation,R&D and R&D plant,R&D,Transportation,3,1674,1672,1951,-0.1,16.7
5531,r027,R&D and R&D plant -> R&D -> Veterans benefits and services,R&D and R&D plant,R&D,Veterans benefits and services,3,1366,1420,1498,4.0,5.5
5531,r028,R&D and R&D plant -> R&D -> Commerce and housing credit,R&D and R&D plant,R&D,Commerce and housing credit,3,858,1015,1128,18.3,11.1
5531,r029,"R&D and R&D plant -> R&D -> Education, training, employment, and social services",R&D and R&D plant,R&D,"Education, training, employment, and social services",3,527,733,783,39.1,6.8
5531,r030,R&D and R&D plant -> R&D -> Administration of justice,R&D and R&D plant,R&D,Administration of justice,3,522,548,597,4.9,9.0
5531,r031,R&D and R&D plant -> R&D -> International affairs,R&D and R&D plant,R&D,International affairs,3,226,226,226,0.0,0.0
5531,r032,R&D and R&D plant -> R&D -> Income security,R&D and R&D plant,R&D,Income security,3,106,90,90,-15.1,0.0
5531,r033,R&D and R&D plant -> R&D -> Community and regional development,R&D and R&D plant,R&D,Community and regional development,3,97,99,133,2.1,34.3
5531,r034,R&D and R&D plant -> R&D -> Medicare,R&D and R&D plant,R&D,Medicare,3,20,20,20,0.0,0.0
5531,r035,R&D and R&D plant -> R&D plant,R&D and R&D plant,R&D plant,,2,6026,4148,4632,-31.2,11.7
5531,r036,R&D and R&D plant -> R&D plant -> National defense,R&D and R&D plant,R&D plant,National defense,3,2485,975,942,-60.8,-3.4
5531,r037,R&D and R&D plant -> R&D plant -> Health,R&D and R&D plant,R&D plant,Health,3,495,272,322,-45.1,18.4
5531,r038,"R&D and R&D plant -> R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,R&D plant,"Space flight, research, and supporting activities",3,48,52,48,8.3,-7.7
5531,r039,R&D and R&D plant -> R&D plant -> General science and basic research,R&D and R&D plant,R&D plant,General science and basic research,3,2039,2116,2102,3.8,-0.7
5531,r040,R&D and R&D plant -> R&D plant -> Energy,R&D and R&D plant,R&D plant,Energy,3,147,104,276,-29.2,164.6
5531,r041,R&D and R&D plant -> R&D plant -> Natural resources and environment,R&D and R&D plant,R&D plant,Natural resources and environment,3,227,246,491,8.4,99.9
5531,r042,R&D and R&D plant -> R&D plant -> Agriculture,R&D and R&D plant,R&D plant,Agriculture,3,343,186,195,-45.8,5.2
5531,r043,R&D and R&D plant -> R&D plant -> Transportation,R&D and R&D plant,R&D plant,Transportation,3,38,32,38,-16.1,18.8
5531,r044,R&D and R&D plant -> R&D plant -> Veterans benefits and services,R&D and R&D plant,R&D plant,Veterans benefits and services,3,0,0,0,-,-
5531,r045,R&D and R&D plant -> R&D plant -> Commerce and housing credit,R&D and R&D plant,R&D plant,Commerce and housing credit,3,150,112,172,-25.3,53.6
5531,r046,"R&D and R&D plant -> R&D plant -> Education, training, employment, and social services",R&D and R&D plant,R&D plant,"Education, training, employment, and social services",3,54,34,36,-37.0,5.9
5531,r047,R&D and R&D plant -> R&D plant -> Administration of justice,R&D and R&D plant,R&D plant,Administration of justice,3,0,19,9,-,-52.6
5531,r048,R&D and R&D plant -> R&D plant -> International affairs,R&D and R&D plant,R&D plant,International affairs,3,0,0,0,-,-
5531,r049,R&D and R&D plant -> R&D plant -> Income security,R&D and R&D plant,R&D plant,Income security,3,0,0,0,-,-
5531,r050,R&D and R&D plant -> R&D plant -> Community and regional development,R&D and R&D plant,R&D plant,Community and regional development,3,0,0,0,-,-
5531,r051,R&D and R&D plant -> R&D plant -> Medicare,R&D and R&D plant,R&D plant,Medicare,3,0,0,0,-,-
