table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_number,field_total_se,field_employed_total_number,field_employed_total_se,field_employed_full_time_number,field_employed_full_time_se,field_employed_part_time_number,field_employed_part_time_se,field_unemployeda_number,field_unemployeda_se,field_retired_number,field_retired_se,field_not_employed_or_not_seeking_workb_number,field_not_employed_or_not_seeking_workb_se
3697,r019,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Chemists, except biochemist",All occupations,Science occupations&#160;,Physical scientist&#160;,"Chemists, except biochemist",4,27250,800,21850,725,20000,675,1850,225,550,125,4400,325,500,100
3697,r020,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Earth, atmospheric, ocean scientist",All occupations,Science occupations&#160;,Physical scientist&#160;,"Earth, atmospheric, ocean scientist",4,14550,400,11750,400,10600,350,1150,150,300,100,2300,200,200,75
3697,r021,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Physicists, astronomers",All occupations,Science occupations&#160;,Physical scientist&#160;,"Physicists, astronomers",4,14700,700,12450,625,11450,600,950,175,200,100,1950,225,150,75
3697,r022,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Postsecondary teachers, chemistry",All occupations,Science occupations&#160;,Physical scientist&#160;,"Postsecondary teachers, chemistry",4,19500,675,16900,625,15050,600,1850,250,150,75,2150,250,300,75
3697,r023,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Postsecondary teachers, physics",All occupations,Science occupations&#160;,Physical scientist&#160;,"Postsecondary teachers, physics",4,12350,600,10650,575,9900,550,750,150,50,25,1450,225,150,75
3697,r024,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Postsecondary teachers, other physical science",All occupations,Science occupations&#160;,Physical scientist&#160;,"Postsecondary teachers, other physical science",4,8400,300,7300,300,6650,325,650,125,S,S,950,125,50,25
3697,r025,All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Other physical scientist,All occupations,Science occupations&#160;,Physical scientist&#160;,Other physical scientist,4,4550,325,3650,250,3200,250,450,125,S,S,750,150,,
3697,r026,All occupations -> Science occupations&#160; -> Psychologist&#160;,All occupations,Science occupations&#160;,Psychologist&#160;,,3,91600,975,77600,950,56250,1000,21350,775,500,125,11650,575,1850,200
3697,r027,All occupations -> Science occupations&#160; -> Psychologist&#160; -> Psychologist,All occupations,Science occupations&#160;,Psychologist&#160;,Psychologist,4,67850,1025,57500,1000,38550,975,18950,775,400,125,8400,525,1550,200
3697,r028,"All occupations -> Science occupations&#160; -> Psychologist&#160; -> Postsecondary teachers, psychology",All occupations,Science occupations&#160;,Psychologist&#160;,"Postsecondary teachers, psychology",4,23750,675,20100,625,17700,625,2400,250,100,50,3250,300,250,75
3697,r029,All occupations -> Science occupations&#160; -> Social scientist&#160;,All occupations,Science occupations&#160;,Social scientist&#160;,,3,82850,1050,69500,1025,61300,875,8200,475,1050,150,10800,475,1500,175
3697,r030,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Economist,All occupations,Science occupations&#160;,Social scientist&#160;,Economist,4,11300,575,9600,500,8300,475,1250,225,100,50,1550,200,S,S
3697,r031,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Political scientist,All occupations,Science occupations&#160;,Social scientist&#160;,Political scientist,4,2450,300,1850,275,1500,225,350,150,,,400,100,150,75
3697,r032,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, economics",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, economics",4,12800,550,10900,500,9900,500,1000,150,,,1750,225,150,75
3697,r033,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, political science",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, political science",4,12600,475,11450,450,10500,425,900,200,,,950,175,150,75
3697,r034,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, sociology",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, sociology",4,9450,375,7500,350,6750,325,750,150,150,75,1650,225,150,75
3697,r035,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, other social sciences",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, other social sciences",4,19200,600,16550,575,14700,525,1800,200,200,75,2250,200,250,75
3697,r036,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Sociologist, anthropologist",All occupations,Science occupations&#160;,Social scientist&#160;,"Sociologist, anthropologist",4,4500,325,3500,275,2850,250,600,125,S,S,800,150,100,50
3697,r037,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Other social scientist,All occupations,Science occupations&#160;,Social scientist&#160;,Other social scientist,4,10500,525,8250,475,6800,425,1450,175,300,75,1550,175,450,100
3697,r038,All occupations -> Engineering occupations&#160;&#160;,All occupations,Engineering occupations&#160;&#160;,,,2,136750,1375,120650,1375,114500,1350,6100,425,2250,250,12350,575,1550,225
3697,r039,"All occupations -> Engineering occupations&#160;&#160; -> Aerospace, aeronautical, astronautical engineer",All occupations,Engineering occupations&#160;&#160;,"Aerospace, aeronautical, astronautical engineer",,3,8250,475,7150,425,6850,450,300,100,100,50,1000,175,S,S
3697,r040,All occupations -> Engineering occupations&#160;&#160; -> Chemical engineer,All occupations,Engineering occupations&#160;&#160;,Chemical engineer,,3,10950,525,9250,525,8950,525,300,125,300,125,1250,225,150,100
3697,r041,"All occupations -> Engineering occupations&#160;&#160; -> Civil, architectural, sanitary engineer",All occupations,Engineering occupations&#160;&#160;,"Civil, architectural, sanitary engineer",,3,7750,475,6900,425,6250,425,650,150,S,S,700,150,100,50
3697,r042,All occupations -> Engineering occupations&#160;&#160; -> Electrical engineer,All occupations,Engineering occupations&#160;&#160;,Electrical engineer,,3,30700,825,27500,750,26450,750,1050,175,650,150,2450,300,150,50
3697,r043,All occupations -> Engineering occupations&#160;&#160; -> Industrial engineers,All occupations,Engineering occupations&#160;&#160;,Industrial engineers,,3,2100,275,1950,250,1750,225,S,S,,,S,S,,
3697,r044,All occupations -> Engineering occupations&#160;&#160; -> Mechanical engineer,All occupations,Engineering occupations&#160;&#160;,Mechanical engineer,,3,15000,575,13450,550,12950,525,500,125,150,75,1200,175,150,75
3697,r045,"All occupations -> Engineering occupations&#160;&#160; -> Postsecondary teacher, engineering",All occupations,Engineering occupations&#160;&#160;,"Postsecondary teacher, engineering",,3,25750,800,23950,750,22500,725,1450,250,150,100,1300,200,300,125
3697,r046,All occupations -> Engineering occupations&#160;&#160; -> Other engineer,All occupations,Engineering occupations&#160;&#160;,Other engineer,,3,36200,725,30500,675,28850,700,1650,175,750,150,4350,325,600,150
3697,r047,All occupations -> S&E-related occupations&#160;,All occupations,S&E-related occupations&#160;,,,2,108900,1600,92350,1475,83900,1475,8450,450,1450,200,13750,550,1400,175
3697,r048,"All occupations -> S&E-related occupations&#160; -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations&#160;,"Health occupations, except postsecondary teachers and managers",,3,36200,875,30800,825,26050,825,4750,300,450,100,4100,275,850,150
3697,r049,"All occupations -> S&E-related occupations&#160; -> Postsecondary teacher, health and related science",All occupations,S&E-related occupations&#160;,"Postsecondary teacher, health and related science",,3,27600,700,23600,675,21650,675,1950,200,150,75,3700,325,150,50
3697,r050,"All occupations -> S&E-related occupations&#160; -> S&E managers, including health",All occupations,S&E-related occupations&#160;,"S&E managers, including health",,3,28900,925,24650,850,24000,850,650,175,500,125,3750,325,50,25
3697,r051,All occupations -> S&E-related occupations&#160; -> S&E precollege teachers,All occupations,S&E-related occupations&#160;,S&E precollege teachers,,3,6850,450,5200,400,4600,400,600,125,200,75,1250,225,200,75
3697,r052,All occupations -> S&E-related occupations&#160; -> S&E technicians/ technologists,All occupations,S&E-related occupations&#160;,S&E technicians/ technologists,,3,8300,475,7200,475,6650,425,550,150,150,75,750,150,150,75
3697,r053,All occupations -> S&E-related occupations&#160; -> Other S&E-related occupation,All occupations,S&E-related occupations&#160;,Other S&E-related occupation,,3,1100,175,900,150,900,150,,,,,200,100,,
3697,r054,All occupations -> Non-S&E occupations&#160;,All occupations,Non-S&E occupations&#160;,,,2,185050,1900,151500,1650,126700,1575,24800,825,3150,300,26150,825,4250,350
3697,r055,"All occupations -> Non-S&E occupations&#160; -> Arts, humanities-related occupation",All occupations,Non-S&E occupations&#160;,"Arts, humanities-related occupation",,3,11100,450,8900,425,5600,325,3300,300,350,100,1150,175,650,150
3697,r056,All occupations -> Non-S&E occupations&#160; -> Management-related occupation,All occupations,Non-S&E occupations&#160;,Management-related occupation,,3,42000,1275,33050,1175,27800,1075,5250,425,850,150,7350,500,750,150
3697,r057,All occupations -> Non-S&E occupations&#160; -> Non-S&E managers,All occupations,Non-S&E occupations&#160;,Non-S&E managers,,3,64350,1175,55650,1175,51800,1125,3850,350,600,125,7750,450,350,100
3697,r058,All occupations -> Non-S&E occupations&#160; -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations&#160;,Non-S&E postsecondary teachers,,3,23750,725,19700,650,17100,625,2600,275,200,75,3450,275,450,100
3697,r059,All occupations -> Non-S&E occupations&#160; -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations&#160;,Non-S&E precollege/ other teachers,,3,6950,450,4750,375,2350,275,2400,275,250,75,1300,225,650,150
3697,r060,"All occupations -> Non-S&E occupations&#160; -> Sales, marketing occupation",All occupations,Non-S&E occupations&#160;,"Sales, marketing occupation",,3,11350,550,9400,450,7450,400,1950,225,250,100,1300,225,400,125
3697,r061,All occupations -> Non-S&E occupations&#160; -> Social service-related occupation,All occupations,Non-S&E occupations&#160;,Social service-related occupation,,3,8150,450,6300,400,4400,375,1950,225,100,50,1400,200,300,100
3697,r062,All occupations -> Non-S&E occupations&#160; -> Other non-S&E occupation,All occupations,Non-S&E occupations&#160;,Other non-S&E occupation,,3,17400,700,13750,650,10250,575,3500,300,550,175,2450,275,650,125
