table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_new_or_significantly_improved_productsa_companies_number_,field_new_or_significantly_improved_productsa_yesb,field_new_or_significantly_improved_productsa_noc,field_new_or_significantly_improved_products_new_to_company_s_market_companies_number_d_,field_new_or_significantly_improved_products_new_to_company_s_market_sales_us_millions_,field_new_or_significantly_improved_products_new_only_to_company_companies_number_d,field_new_or_significantly_improved_products_new_only_to_company_sales_us_millions_,field_sales_of_products_unchanged_or_marginally_modified_us_millions_
1439,r053,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,17113,4062,13051,2486,89613,2959,111538,1587311
1439,r054,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,5801,1570,4231,1066,12812,1176,17878,637366
1439,r055,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,3407,257,3151,167,125,217,198,106532
1439,r056,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,2393,1313,1080,899,12687,959,17680,530834
1439,r057,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,2568,384,2184,114,63265,273,80092,479248
1439,r058,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,3105,1335,1770,960,12141,959,9438,160846
1439,r059,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,5640,773,4867,346,1395,551,4129,309851
1439,r060,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,45282,2532,42750,1400,53457,950,31102,3657659
1439,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,36032,1959,34073,777,1026,1481,4578,419313
1439,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,110,8,102,4,4,4,80,11940
