table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_new_or_significantly_improved_productsa_companies_number_,field_new_or_significantly_improved_productsa_yesb,field_new_or_significantly_improved_productsa_noc,field_new_or_significantly_improved_products_new_to_company_s_market_companies_number_d_,field_new_or_significantly_improved_products_new_to_company_s_market_sales_us_millions_,field_new_or_significantly_improved_products_new_only_to_company_companies_number_d,field_new_or_significantly_improved_products_new_only_to_company_sales_us_millions_,field_sales_of_products_unchanged_or_marginally_modified_us_millions_
1439,r126,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,3134,28.2,71.8,586,3.5,734,2.7,93.8
1439,r127,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,861,27.7,72.3,154,9.9,158,5.4,84.7
1439,r128,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts ",5,336411–13,828,27.2,72.8,143,9.8,149,5.1,85.0
1439,r129,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts ",5,"336414–15, 336419",33,40.9,59.1,11,11.0,9,10.8,78.2
1439,r130,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,23,26.1,73.9,5,1.9,3,1.7,96.4
1439,r131,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,1041,30.7,69.3,196,5.3,191,4.0,90.7
1439,r132,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,5660,10.4,89.6,431,4.4,411,5.6,89.9
1439,r133,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,8573,25.6,74.4,1547,5.3,1467,5.4,89.3
1439,r134,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies ,,4,3391,3057,30.8,69.2,531,5.7,556,5.5,88.8
1439,r135,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,5516,22.8,77.2,1016,4.3,912,5.4,90.3
1439,r136,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81",1025605,8.1,91.9,53074,1.0,58476,1.1,97.9
1439,r137,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,6761,5.8,94.2,359,0.6,128,1.4,98.0
1439,r138,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,1200,4.8,95.2,9,0.05,11,0.1,99.9
1439,r139,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,91941,14.8,85.2,10074,0.9,9951,1.0,98.1
1439,r140,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,4147,23.0,77.0,717,1.1,752,1.7,97.2
1439,r141,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,39906,5.3,94.7,1061,0.1,1682,0.6,99.2
1439,r142,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,17113,23.7,76.3,2486,5.0,2959,6.2,88.8
1439,r143,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,5801,27.1,72.9,1066,1.9,1176,2.7,95.4
1439,r144,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,3407,7.5,92.5,167,0.1,217,0.2,99.7
1439,r145,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,2393,54.9,45.1,899,2.3,959,3.2,94.6
1439,r146,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,2568,14.9,85.1,114,10.2,273,12.9,77.0
1439,r147,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,3105,43.0,57.0,960,6.7,959,5.2,88.2
1439,r148,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,5640,13.7,86.3,346,0.4,551,1.3,98.2
1439,r149,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,45282,5.6,94.4,1400,1.4,950,0.8,97.7
1439,r150,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,36032,5.4,94.6,777,0.2,1481,1.1,98.7
1439,r151,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,110,7.3,92.7,4,0.05,4,0.7,99.3
1439,r152,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,35922,5.4,94.6,773,0.2,1477,1.1,98.7
1439,r153,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,154446,12.2,87.8,11442,2.5,13321,2.3,95.1
1439,r154,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,25214,12.9,87.1,1947,1.5,2578,2.0,96.5
1439,r155,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,19695,36.5,63.5,4614,5.3,5233,4.2,90.5
1439,r156,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,2790,35.9,64.1,785,5.6,543,4.4,90.0
1439,r157,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,543,33.7,66.3,131,1.0,99,2.5,96.5
1439,r158,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,2055,38.2,61.8,627,8.7,421,5.9,85.4
1439,r159,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,192,18.0,82.0,26,1.7,22,0.6,97.7
1439,r160,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,106747,6.9,93.1,4096,1.0,4968,1.2,97.8
1439,r161,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,167465,9.0,91.0,8231,0.5,10113,1.0,98.5
1439,r162,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81",461312,5.2,94.8,16518,0.4,17126,0.4,99.3
1439,r163,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,1138671,9.5,90.5,69538,2.2,76347,2.1,95.7
1439,r164,All companies (number of domestic employees) -> Micro companies<sup>e</sup>,All companies (number of domestic employees),Micro companies<sup>e</sup>,,,,2,,,,,,,,,
1439,r165,All companies (number of domestic employees) -> Micro companies<sup>e</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>e</sup>,5&#8211;9,,,3,–,307934,9.2,90.8,17889,1.5,20407,1.2,97.2
1439,r166,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,,,,,,,,
1439,r167,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,387796,9.4,90.6,22873,1.4,23812,1.5,97.2
1439,r168,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,290964,9.0,91.0,18161,1.3,18987,1.5,97.2
1439,r169,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,,,,,,,,
1439,r170,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,83527,11.4,88.6,5905,1.6,7319,2.5,95.8
1439,r171,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,43846,10.9,89.1,2873,1.6,3567,1.5,96.9
1439,r172,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,,,,,,,,
1439,r173,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,11925,11.4,88.6,740,1.5,971,2.4,96.0
1439,r174,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,5669,16.4,83.6,407,1.6,513,1.7,96.7
1439,r175,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,5125,14.3,85.7,461,2.5,523,2.7,94.9
1439,r176,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,721,23.6,76.4,123,2.4,132,3.4,94.2
1439,r177,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,838,14.1,85.9,73,4.5,85,3.7,91.8
1439,r178,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,326,19.5,80.5,32,1.8,30,1.5,96.6
