table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companies_number_a,field_domestic_r_d_amount,field_health_or_medical_companies_number_b,field_health_or_medical_amount,field_defense_companies_number_b,field_defense_amount,field_agriculture_companies_number_b,field_agriculture_amount
751,r025,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81",5684,"['18,804', '&nbsp;']","['1,498', 'i']","['8,633', '&nbsp;']","['1,335', 'i']","['2,895', '&nbsp;']","['250', 'i']","['229', 'i']"
751,r026,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,47,"['619', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']"
751,r027,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,8,"['34', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
751,r028,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,1004,"['84', 'i']","['D', '&nbsp;']","['11', '&nbsp;']","['D', '&nbsp;']","['3', '&nbsp;']","['D', '&nbsp;']","['2', '&nbsp;']"
751,r029,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,314,"['935', '&nbsp;']","['70', '&nbsp;']","['37', '&nbsp;']","['11', '&nbsp;']","['19', '&nbsp;']","['D', '&nbsp;']","['7', '&nbsp;']"
751,r030,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,77,"['747', '&nbsp;']","['35', 'i']","['28', '&nbsp;']","['8', '&nbsp;']","['5', '&nbsp;']","['D', '&nbsp;']","['4', '&nbsp;']"
751,r031,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,,"['70', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['4', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
751,r032,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,87,"['102', '&nbsp;']","['35', '&nbsp;']","['9', '&nbsp;']","['D', '&nbsp;']","['10', '&nbsp;']","['10', '&nbsp;']","['3', '&nbsp;']"
751,r033,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,,"['16', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
751,r034,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,4004,"['16,710', '&nbsp;']","['1,323', 'i']","['8,513', '&nbsp;']","['1,317', 'i']","['2,852', 'i']","['231', 'i']","['220', 'i']"
751,r035,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,1096,"['1,881', '&nbsp;']","['127', 'i']","['24', 'i']","['309', 'i']","['444', 'i']","['6', '&nbsp;']","['2', '&nbsp;']"
751,r036,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,1383,"['12,433', '&nbsp;']","['1,091', 'i']","['8,386', '&nbsp;']","['621', 'i']","['2,023', '&nbsp;']","['219', 'i']","['216', 'i']"
751,r037,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,394,"['4,157', 'i']","['361', '&nbsp;']","['3,564', 'i']","['69', 'i']","['261', 'i']","['42', 'i']","['91', 'i']"
751,r038,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,989,"['8,276', '&nbsp;']","['730', 'i']","['4,822', '&nbsp;']","['552', 'i']","['1,762', '&nbsp;']","['177', 'i']","['125', '&nbsp;']"
751,r039,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,1524,"['2,397', 'i']","['104', 'i']","['103', '&nbsp;']","['387', 'i']","['385', 'i']","['6', '&nbsp;']","['1', '&nbsp;']"
751,r040,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,117,"['298', 'i']","['99', 'i']","['59', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
751,r041,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45, 48–49, 52–53, 55–56, 624, 71–72, 81",191,"['124', '&nbsp;']","['D', '&nbsp;']","['13', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
751,r042,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,11579,"['59,144', '&nbsp;']","['2,485', 'i']","['17,487', '&nbsp;']","['1,858', 'i']","['19,963', '&nbsp;']","['462', 'i']","['555', '&nbsp;']"
751,r043,All companies (number of domestic employees) -> Micro companies<sup>c</sup>,All companies (number of domestic employees),Micro companies<sup>c</sup>,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
751,r044,All companies (number of domestic employees) -> Micro companies<sup>c</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>c</sup>,5&#8211;9,,,3,–,3047,"['1,016', 'i']","['655', 'i']","['414', 'i']","['558', 'i']","['166', 'i']","['101', 'i']","['8', 'i']"
751,r045,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
751,r046,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,2863,"['1,246', 'i']","['632', 'i']","['562', 'i']","['385', 'i']","['194', 'i']","['124', 'i']","['40', '&nbsp;']"
751,r047,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,2960,"['2,316', 'i']","['590', 'i']","['867', 'i']","['539', 'i']","['697', '&nbsp;']","['114', 'i']","['42', '&nbsp;']"
751,r048,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
751,r049,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,1216,"['2,706', '&nbsp;']","['237', '&nbsp;']","['736', '&nbsp;']","['172', 'i']","['371', '&nbsp;']","['52', 'i']","['35', '&nbsp;']"
751,r050,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,831,"['2,566', '&nbsp;']","['171', 'i']","['657', '&nbsp;']","['77', '&nbsp;']","['763', '&nbsp;']","['28', '&nbsp;']","['22', 'i']"
751,r051,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
751,r052,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,244,"['2,185', '&nbsp;']","['69', 'i']","['579', '&nbsp;']","['37', '&nbsp;']","['481', 'i']","['17', 'i']","['24', 'i']"
751,r053,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,130,"['2,023', 'i']","['40', 'i']","['1,144', 'i']","['25', '&nbsp;']","['176', '&nbsp;']","['D', '&nbsp;']","['34', 'i']"
751,r054,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,162,"['9,830', '&nbsp;']","['53', '&nbsp;']","['4,633', '&nbsp;']","['34', '&nbsp;']","['380', 'i']","['13', '&nbsp;']","['241', '&nbsp;']"
751,r055,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,35,"['4,178', '&nbsp;']","['11', '&nbsp;']","['2,555', '&nbsp;']","['8', '&nbsp;']","['587', '&nbsp;']","['D', '&nbsp;']","['13', 'i']"
751,r056,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,56,"['10,878', '&nbsp;']","['17', '&nbsp;']","['3,901', '&nbsp;']","['14', '&nbsp;']","['3,426', 'i']","['3', '&nbsp;']","['25', '&nbsp;']"
751,r057,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,36,"['20,201', '&nbsp;']","['10', '&nbsp;']","['1,438', '&nbsp;']","['9', '&nbsp;']","['12,722', '&nbsp;']","['3', '&nbsp;']","['72', 'i']"
