table_id,row_id,employment_sector_and_field_of_study_full_path,employment_sector_and_field_of_study_level_1,employment_sector_and_field_of_study_level_2,employment_sector_and_field_of_study_level_3,employment_sector_and_field_of_study_level_4,employment_sector_and_field_of_study_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_hispanic_or_latinoa_number,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_number,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_number,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_number,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_number,field_not_hispanic_or_latinob_other_racec_se
3679,r014,All sectors -> 4-year educational institution<sup>d</sup> -> Science -> Computer and information sciences,All sectors,4-year educational institution<sup>d</sup>,Science,Computer and information sciences,4,10750,475,400,75,,,3800,350,250,50,6250,350,100,25
3679,r015,All sectors -> 4-year educational institution<sup>d</sup> -> Science -> Mathematics and statistics,All sectors,4-year educational institution<sup>d</sup>,Science,Mathematics and statistics,4,20200,525,900,100,,,5050,350,550,75,13500,450,200,75
3679,r016,"All sectors -> 4-year educational institution<sup>d</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,4-year educational institution<sup>d</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,47350,850,1650,125,,,9450,525,1100,125,34600,825,500,100
3679,r017,All sectors -> 4-year educational institution<sup>d</sup> -> Science -> Psychology,All sectors,4-year educational institution<sup>d</sup>,Science,Psychology,4,39150,775,2100,150,50,25,3400,325,2200,175,30700,775,700,100
3679,r018,All sectors -> 4-year educational institution<sup>d</sup> -> Science -> Social sciences,All sectors,4-year educational institution<sup>d</sup>,Science,Social sciences,4,64150,975,3750,200,300,75,7550,450,4000,250,47650,875,900,125
3679,r019,All sectors -> 4-year educational institution<sup>d</sup> -> Engineering,All sectors,4-year educational institution<sup>d</sup>,Engineering,,3,45250,925,1950,175,50,25,16150,750,1400,150,25250,700,450,75
3679,r020,All sectors -> 4-year educational institution<sup>d</sup> -> Health,All sectors,4-year educational institution<sup>d</sup>,Health,,3,21250,550,800,100,50,25,3350,275,1600,125,15050,475,300,75
3679,r021,All sectors -> Other educational institution<sup>e</sup>,All sectors,Other educational institution<sup>e</sup>,,,2,30900,900,1900,175,100,50,3150,400,2450,200,22700,725,550,100
3679,r022,All sectors -> Other educational institution<sup>e</sup> -> Science,All sectors,Other educational institution<sup>e</sup>,Science,,3,27850,850,1750,175,100,50,2650,375,2200,200,20550,700,550,100
3679,r023,"All sectors -> Other educational institution<sup>e</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Other educational institution<sup>e</sup>,Science,"Biological, agricultural, and environmental life sciences",4,8000,500,350,75,,,750,150,550,100,6200,425,150,50
3679,r024,All sectors -> Other educational institution<sup>e</sup> -> Science -> Computer and information sciences,All sectors,Other educational institution<sup>e</sup>,Science,Computer and information sciences,4,400,100,,,,,S,S,50,25,300,100,,
3679,r025,All sectors -> Other educational institution<sup>e</sup> -> Science -> Mathematics and statistics,All sectors,Other educational institution<sup>e</sup>,Science,Mathematics and statistics,4,1550,175,100,50,,,150,75,50,25,1200,150,,
3679,r026,"All sectors -> Other educational institution<sup>e</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Other educational institution<sup>e</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,6050,350,400,75,,,950,225,300,75,4400,325,S,S
3679,r027,All sectors -> Other educational institution<sup>e</sup> -> Science -> Psychology,All sectors,Other educational institution<sup>e</sup>,Science,Psychology,4,7150,400,450,75,S,S,250,100,800,150,5500,325,150,50
3679,r028,All sectors -> Other educational institution<sup>e</sup> -> Science -> Social sciences,All sectors,Other educational institution<sup>e</sup>,Science,Social sciences,4,4700,375,500,125,,,500,175,500,125,3000,275,200,75
3679,r029,All sectors -> Other educational institution<sup>e</sup> -> Engineering,All sectors,Other educational institution<sup>e</sup>,Engineering,,3,1900,225,100,50,,,450,150,150,50,1250,175,,
3679,r030,All sectors -> Other educational institution<sup>e</sup> -> Health,All sectors,Other educational institution<sup>e</sup>,Health,,3,1150,150,50,25,,,50,50,100,50,900,150,,
3679,r031,"All sectors -> Private, for profit<sup>f</sup>",All sectors,"Private, for profit<sup>f</sup>",,,2,306300,2500,11150,400,300,75,109300,1525,7300,325,174200,1900,4000,275
3679,r032,"All sectors -> Private, for profit<sup>f</sup> -> Science",All sectors,"Private, for profit<sup>f</sup>",Science,,3,194000,2050,7600,325,250,75,55750,1225,5050,275,122700,1600,2700,225
3679,r033,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,"Private, for profit<sup>f</sup>",Science,"Biological, agricultural, and environmental life sciences",4,68550,1175,2900,200,,,19450,725,1850,175,43250,950,1000,125
3679,r034,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Computer and information sciences",All sectors,"Private, for profit<sup>f</sup>",Science,Computer and information sciences,4,16750,575,500,100,,,8650,425,150,50,7250,400,150,50
3679,r035,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Mathematics and statistics",All sectors,"Private, for profit<sup>f</sup>",Science,Mathematics and statistics,4,11350,475,250,50,,,5100,325,200,50,5650,325,150,50
3679,r036,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,"Private, for profit<sup>f</sup>",Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,56600,1025,1550,150,50,25,18200,700,1250,175,34850,875,700,125
3679,r037,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Psychology",All sectors,"Private, for profit<sup>f</sup>",Science,Psychology,4,27450,725,1800,200,100,50,1450,225,950,150,22700,650,400,100
3679,r038,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Social sciences",All sectors,"Private, for profit<sup>f</sup>",Science,Social sciences,4,13350,575,550,75,,,2850,300,650,100,8950,475,250,125
3679,r039,"All sectors -> Private, for profit<sup>f</sup> -> Engineering",All sectors,"Private, for profit<sup>f</sup>",Engineering,,3,102700,1175,3300,200,50,25,50100,925,1800,150,46300,900,1200,200
3679,r040,"All sectors -> Private, for profit<sup>f</sup> -> Health",All sectors,"Private, for profit<sup>f</sup>",Health,,3,9600,400,250,50,,,3500,250,450,75,5250,325,100,50
3679,r041,"All sectors -> Private, nonprofit",All sectors,"Private, nonprofit",,,2,55900,1125,2350,175,50,25,11150,525,2400,275,39050,1025,850,125
3679,r042,"All sectors -> Private, nonprofit -> Science",All sectors,"Private, nonprofit",Science,,3,44600,950,2000,175,50,25,7750,425,1750,200,32250,850,750,100
3679,r043,"All sectors -> Private, nonprofit -> Science -> Biological, agricultural, and environmental life sciences",All sectors,"Private, nonprofit",Science,"Biological, agricultural, and environmental life sciences",4,17200,550,800,100,,,4550,350,550,150,10950,425,350,75
3679,r044,"All sectors -> Private, nonprofit -> Science -> Computer and information sciences",All sectors,"Private, nonprofit",Science,Computer and information sciences,4,1250,200,,,,,400,125,0.05,0.05,800,150,,
3679,r045,"All sectors -> Private, nonprofit -> Science -> Mathematics and statistics",All sectors,"Private, nonprofit",Science,Mathematics and statistics,4,1400,175,50,25,,,300,100,,,1000,150,,
3679,r046,"All sectors -> Private, nonprofit -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,"Private, nonprofit",Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,7250,375,150,50,,,1450,225,S,S,5400,325,100,50
3679,r047,"All sectors -> Private, nonprofit -> Science -> Psychology",All sectors,"Private, nonprofit",Science,Psychology,4,11250,500,700,125,,,700,175,600,100,9100,475,150,50
3679,r048,"All sectors -> Private, nonprofit -> Science -> Social sciences",All sectors,"Private, nonprofit",Science,Social sciences,4,6200,300,300,75,,,400,75,400,75,5050,300,100,50
3679,r049,"All sectors -> Private, nonprofit -> Engineering",All sectors,"Private, nonprofit",Engineering,,3,7850,525,250,50,,,2900,325,300,125,4350,400,100,50
3679,r050,"All sectors -> Private, nonprofit -> Health",All sectors,"Private, nonprofit",Health,,3,3450,300,100,50,,,500,150,350,100,2450,275,,
3679,r051,All sectors -> Federal government,All sectors,Federal government,,,2,50150,1025,2500,175,100,50,8550,525,2550,225,35450,825,950,125
3679,r052,All sectors -> Federal government -> Science,All sectors,Federal government,Science,,3,39050,925,1900,150,100,50,5550,425,2000,200,28700,800,800,125
3679,r053,"All sectors -> Federal government -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Federal government,Science,"Biological, agricultural, and environmental life sciences",4,16250,575,900,100,0.05,0.05,2950,300,900,125,11150,450,350,75
3679,r054,All sectors -> Federal government -> Science -> Computer and information sciences,All sectors,Federal government,Science,Computer and information sciences,4,800,150,,,,,S,S,100,50,500,125,S,S
3679,r055,All sectors -> Federal government -> Science -> Mathematics and statistics,All sectors,Federal government,Science,Mathematics and statistics,4,1250,175,50,25,,,250,100,50,50,850,150,,
3679,r056,"All sectors -> Federal government -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Federal government,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,8500,450,350,75,,,1200,175,200,50,6650,400,150,50
3679,r057,All sectors -> Federal government -> Science -> Psychology,All sectors,Federal government,Science,Psychology,4,6650,450,350,75,S,S,300,100,400,100,5350,425,200,75
3679,r058,All sectors -> Federal government -> Science -> Social sciences,All sectors,Federal government,Science,Social sciences,4,5550,350,250,100,,,750,175,350,75,4150,300,0.05,0.05
3679,r059,All sectors -> Federal government -> Engineering,All sectors,Federal government,Engineering,,3,9000,450,500,125,,,2300,250,300,75,5800,350,100,50
3679,r060,All sectors -> Federal government -> Health,All sectors,Federal government,Health,,3,2100,200,100,50,,,700,150,300,75,950,125,S,S
3679,r061,All sectors -> State or local government,All sectors,State or local government,,,2,18850,750,900,125,50,25,3900,375,1450,175,12300,625,250,75
3679,r062,All sectors -> State or local government -> Science,All sectors,State or local government,Science,,3,14900,625,700,100,50,25,2500,275,1000,125,10450,550,200,75
3679,r063,"All sectors -> State or local government -> Science -> Biological, agricultural, and environmental life sciences",All sectors,State or local government,Science,"Biological, agricultural, and environmental life sciences",4,4800,375,200,50,,,950,175,350,100,3250,300,50,25
3679,r064,All sectors -> State or local government -> Science -> Computer and information sciences,All sectors,State or local government,Science,Computer and information sciences,4,250,100,,,,,S,S,0.05,0.05,150,75,,
3679,r065,All sectors -> State or local government -> Science -> Mathematics and statistics,All sectors,State or local government,Science,Mathematics and statistics,4,S,S,,,,,,,,,,,,
3679,r066,"All sectors -> State or local government -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,State or local government,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,2500,275,100,50,,,700,175,50,25,1550,175,S,S
3679,r067,All sectors -> State or local government -> Science -> Psychology,All sectors,State or local government,Science,Psychology,4,4550,375,300,100,,,300,100,400,100,3450,350,50,25
3679,r068,All sectors -> State or local government -> Science -> Social sciences,All sectors,State or local government,Science,Social sciences,4,2700,225,100,50,,,400,100,200,50,2000,225,50,25
3679,r069,All sectors -> State or local government -> Engineering,All sectors,State or local government,Engineering,,3,3000,275,200,75,,,1250,225,200,75,1350,200,0.05,0.05
3679,r070,All sectors -> State or local government -> Health,All sectors,State or local government,Health,,3,950,150,,,,,150,75,250,100,500,100,,
3679,r071,All sectors -> Self-employed<sup>g</sup>,All sectors,Self-employed<sup>g</sup>,,,2,40750,1100,1450,150,50,25,4400,375,800,100,33450,975,600,125
3679,r072,All sectors -> Self-employed<sup>g</sup> -> Science,All sectors,Self-employed<sup>g</sup>,Science,,3,35100,1025,1250,150,50,25,3150,325,650,100,29400,925,600,125
3679,r073,"All sectors -> Self-employed<sup>g</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Self-employed<sup>g</sup>,Science,"Biological, agricultural, and environmental life sciences",4,7550,475,250,75,,,1000,200,100,25,6050,425,150,75
3679,r074,All sectors -> Self-employed<sup>g</sup> -> Science -> Computer and information sciences,All sectors,Self-employed<sup>g</sup>,Science,Computer and information sciences,4,650,125,,,,,200,75,,,450,100,,
3679,r075,All sectors -> Self-employed<sup>g</sup> -> Science -> Mathematics and statistics,All sectors,Self-employed<sup>g</sup>,Science,Mathematics and statistics,4,650,150,,,,,200,100,,,400,100,,
3679,r076,"All sectors -> Self-employed<sup>g</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Self-employed<sup>g</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,4100,350,100,50,,,600,150,,,3350,325,50,50
3679,r077,All sectors -> Self-employed<sup>g</sup> -> Science -> Psychology,All sectors,Self-employed<sup>g</sup>,Science,Psychology,4,18200,675,750,125,,,750,175,400,100,16000,625,300,100
3679,r078,All sectors -> Self-employed<sup>g</sup> -> Science -> Social sciences,All sectors,Self-employed<sup>g</sup>,Science,Social sciences,4,3950,300,150,50,,,400,100,200,50,3150,275,S,S
3679,r079,All sectors -> Self-employed<sup>g</sup> -> Engineering,All sectors,Self-employed<sup>g</sup>,Engineering,,3,4200,425,200,50,,,1000,175,50,25,2950,350,0.05,0.05
3679,r080,All sectors -> Self-employed<sup>g</sup> -> Health,All sectors,Self-employed<sup>g</sup>,Health,,3,1450,200,0.05,0.05,,,250,100,50,25,1100,175,,
3679,r081,All sectors -> Other sector<sup>h</sup>,All sectors,Other sector<sup>h</sup>,,,2,10050,550,550,100,,,3850,350,400,75,5150,400,100,50
3679,r082,All sectors -> Other sector<sup>h</sup> -> Science,All sectors,Other sector<sup>h</sup>,Science,,3,6950,450,450,75,,,2050,275,350,75,4100,350,50,25
3679,r083,"All sectors -> Other sector<sup>h</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Other sector<sup>h</sup>,Science,"Biological, agricultural, and environmental life sciences",4,2100,250,50,25,,,750,150,100,50,1200,175,,
3679,r084,All sectors -> Other sector<sup>h</sup> -> Science -> Computer and information sciences,All sectors,Other sector<sup>h</sup>,Science,Computer and information sciences,4,250,75,,,,,100,50,,,150,75,,
3679,r085,All sectors -> Other sector<sup>h</sup> -> Science -> Mathematics and statistics,All sectors,Other sector<sup>h</sup>,Science,Mathematics and statistics,4,200,75,,,,,150,75,,,S,S,,
3679,r086,"All sectors -> Other sector<sup>h</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Other sector<sup>h</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,1350,200,,,,,400,125,,,900,175,,
3679,r087,All sectors -> Other sector<sup>h</sup> -> Science -> Psychology,All sectors,Other sector<sup>h</sup>,Science,Psychology,4,950,175,S,S,,,,,50,50,750,150,,
3679,r088,All sectors -> Other sector<sup>h</sup> -> Science -> Social sciences,All sectors,Other sector<sup>h</sup>,Science,Social sciences,4,2100,275,250,75,,,650,200,150,50,1050,200,,
3679,r089,All sectors -> Other sector<sup>h</sup> -> Engineering,All sectors,Other sector<sup>h</sup>,Engineering,,3,2800,325,100,50,,,1700,250,S,S,900,175,,
3679,r090,All sectors -> Other sector<sup>h</sup> -> Health,All sectors,Other sector<sup>h</sup>,Health,,3,300,75,,,,,100,75,,,150,75,,
