table_id,row_id,_b_field_ethnicity_and_race_b_full_path,_b_field_ethnicity_and_race_b_level_1,_b_field_ethnicity_and_race_b_level_2,_b_field_ethnicity_and_race_b_level_3,_b_field_ethnicity_and_race_b_level_4,_b_field_ethnicity_and_race_b_hierarchy_depth,field_1976,field_1981,field_1986,field_1991,field_1996,field_2001,field_2006,field_2011,field_2016,field_2021
7531,r041,"All fields, U.S. citizens and permanent residents -> Psychology and social sciences ","All fields, U.S. citizens and permanent residents",Psychology and social sciences ,,,2,5769,5574,4984,5199,5834,5543,5381,6070,6798,6167
7531,r042,"All fields, U.S. citizens and permanent residents -> Psychology and social sciences  -> Hispanic or Latino","All fields, U.S. citizens and permanent residents",Psychology and social sciences ,Hispanic or Latino,,3,61,123,158,217,264,285,372,503,581,692
7531,r043,"All fields, U.S. citizens and permanent residents -> Psychology and social sciences  -> Not Hispanic or Latino","All fields, U.S. citizens and permanent residents",Psychology and social sciences ,Not Hispanic or Latino,,3,,,,,,,,,,
7531,r044,"All fields, U.S. citizens and permanent residents -> Psychology and social sciences  -> Not Hispanic or Latino -> American Indian or Alaska Native","All fields, U.S. citizens and permanent residents",Psychology and social sciences ,Not Hispanic or Latino,American Indian or Alaska Native,4,8,13,21,21,40,32,22,33,30,24
7531,r045,"All fields, U.S. citizens and permanent residents -> Psychology and social sciences  -> Not Hispanic or Latino -> Asian<sup>a</sup>","All fields, U.S. citizens and permanent residents",Psychology and social sciences ,Not Hispanic or Latino,Asian<sup>a</sup>,4,96,133,129,169,374,275,338,396,428,450
7531,r046,"All fields, U.S. citizens and permanent residents -> Psychology and social sciences  -> Not Hispanic or Latino -> Black or African American","All fields, U.S. citizens and permanent residents",Psychology and social sciences ,Not Hispanic or Latino,Black or African American,4,179,210,204,264,284,329,355,399,491,541
7531,r047,"All fields, U.S. citizens and permanent residents -> Psychology and social sciences  -> Not Hispanic or Latino -> White","All fields, U.S. citizens and permanent residents",Psychology and social sciences ,Not Hispanic or Latino,White,4,5133,4883,4367,4418,4789,4304,3996,4380,4823,4056
7531,r048,"All fields, U.S. citizens and permanent residents -> Psychology and social sciences  -> Not Hispanic or Latino -> More than one race","All fields, U.S. citizens and permanent residents",Psychology and social sciences ,Not Hispanic or Latino,More than one race,4,na,na,na,na,na,71,113,156,218,225
7531,r049,"All fields, U.S. citizens and permanent residents -> Psychology and social sciences  -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>","All fields, U.S. citizens and permanent residents",Psychology and social sciences ,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,28,4,27,22,39,79,57,49,72,82
7531,r050,"All fields, U.S. citizens and permanent residents -> Psychology and social sciences  -> Ethnicity not reported","All fields, U.S. citizens and permanent residents",Psychology and social sciences ,Ethnicity not reported,,3,264,208,78,88,44,168,128,154,155,97
7531,r051,"All fields, U.S. citizens and permanent residents -> Engineering","All fields, U.S. citizens and permanent residents",Engineering,,,2,1949,1472,1727,2475,3390,2458,2500,3350,4181,4073
7531,r052,"All fields, U.S. citizens and permanent residents -> Engineering -> Hispanic or Latino","All fields, U.S. citizens and permanent residents",Engineering,Hispanic or Latino,,3,16,17,35,61,99,91,113,188,271,331
7531,r053,"All fields, U.S. citizens and permanent residents -> Engineering -> Not Hispanic or Latino","All fields, U.S. citizens and permanent residents",Engineering,Not Hispanic or Latino,,3,,,,,,,,,,
7531,r054,"All fields, U.S. citizens and permanent residents -> Engineering -> Not Hispanic or Latino -> American Indian or Alaska Native","All fields, U.S. citizens and permanent residents",Engineering,Not Hispanic or Latino,American Indian or Alaska Native,4,0,4,6,6,14,6,4,7,8,6
7531,r055,"All fields, U.S. citizens and permanent residents -> Engineering -> Not Hispanic or Latino -> Asian<sup>a</sup>","All fields, U.S. citizens and permanent residents",Engineering,Not Hispanic or Latino,Asian<sup>a</sup>,4,278,285,262,405,896,421,441,563,644,635
7531,r056,"All fields, U.S. citizens and permanent residents -> Engineering -> Not Hispanic or Latino -> Black or African American","All fields, U.S. citizens and permanent residents",Engineering,Not Hispanic or Latino,Black or African American,4,20,19,24,55,74,85,102,130,173,163
7531,r057,"All fields, U.S. citizens and permanent residents -> Engineering -> Not Hispanic or Latino -> White","All fields, U.S. citizens and permanent residents",Engineering,Not Hispanic or Latino,White,4,1517,1093,1354,1838,2263,1738,1720,2294,2811,2706
7531,r058,"All fields, U.S. citizens and permanent residents -> Engineering -> Not Hispanic or Latino -> More than one race","All fields, U.S. citizens and permanent residents",Engineering,Not Hispanic or Latino,More than one race,4,na,na,na,na,na,24,45,72,120,126
7531,r059,"All fields, U.S. citizens and permanent residents -> Engineering -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>","All fields, U.S. citizens and permanent residents",Engineering,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,14,0,16,20,9,30,32,22,35,59
7531,r060,"All fields, U.S. citizens and permanent residents -> Engineering -> Ethnicity not reported","All fields, U.S. citizens and permanent residents",Engineering,Ethnicity not reported,,3,104,54,30,90,35,63,43,74,119,47
7531,r061,"All fields, U.S. citizens and permanent residents -> Education","All fields, U.S. citizens and permanent residents",Education,,,2,7246,6717,5803,5788,6075,5462,5171,3878,4303,3431
7531,r062,"All fields, U.S. citizens and permanent residents -> Education -> Hispanic or Latino","All fields, U.S. citizens and permanent residents",Education,Hispanic or Latino,,3,129,162,204,189,218,275,296,230,320,322
7531,r063,"All fields, U.S. citizens and permanent residents -> Education -> Not Hispanic or Latino","All fields, U.S. citizens and permanent residents",Education,Not Hispanic or Latino,,3,,,,,,,,,,
7531,r064,"All fields, U.S. citizens and permanent residents -> Education -> Not Hispanic or Latino -> American Indian or Alaska Native","All fields, U.S. citizens and permanent residents",Education,Not Hispanic or Latino,American Indian or Alaska Native,4,21,39,26,56,60,38,35,30,30,22
7531,r065,"All fields, U.S. citizens and permanent residents -> Education -> Not Hispanic or Latino -> Asian<sup>a</sup>","All fields, U.S. citizens and permanent residents",Education,Not Hispanic or Latino,Asian<sup>a</sup>,4,67,120,95,130,180,137,174,181,210,187
7531,r066,"All fields, U.S. citizens and permanent residents -> Education -> Not Hispanic or Latino -> Black or African American","All fields, U.S. citizens and permanent residents",Education,Not Hispanic or Latino,Black or African American,4,679,593,463,472,607,633,639,495,642,562
7531,r067,"All fields, U.S. citizens and permanent residents -> Education -> Not Hispanic or Latino -> White","All fields, U.S. citizens and permanent residents",Education,Not Hispanic or Latino,White,4,6105,5576,4921,4888,4939,4061,3844,2763,2891,2134
7531,r068,"All fields, U.S. citizens and permanent residents -> Education -> Not Hispanic or Latino -> More than one race","All fields, U.S. citizens and permanent residents",Education,Not Hispanic or Latino,More than one race,4,na,na,na,na,na,47,58,83,102,113
7531,r069,"All fields, U.S. citizens and permanent residents -> Education -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>","All fields, U.S. citizens and permanent residents",Education,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,39,3,32,23,33,41,47,25,33,29
7531,r070,"All fields, U.S. citizens and permanent residents -> Education -> Ethnicity not reported","All fields, U.S. citizens and permanent residents",Education,Ethnicity not reported,,3,206,224,62,30,38,230,78,71,75,62
7531,r071,"All fields, U.S. citizens and permanent residents -> Humanities and arts","All fields, U.S. citizens and permanent residents",Humanities and arts,,,2,4539,3358,2911,3491,4261,4601,4240,4191,4450,3142
7531,r072,"All fields, U.S. citizens and permanent residents -> Humanities and arts -> Hispanic or Latino","All fields, U.S. citizens and permanent residents",Humanities and arts,Hispanic or Latino,,3,84,105,98,139,184,239,239,287,319,285
7531,r073,"All fields, U.S. citizens and permanent residents -> Humanities and arts -> Not Hispanic or Latino","All fields, U.S. citizens and permanent residents",Humanities and arts,Not Hispanic or Latino,,3,,,,,,,,,,
7531,r074,"All fields, U.S. citizens and permanent residents -> Humanities and arts -> Not Hispanic or Latino -> American Indian or Alaska Native","All fields, U.S. citizens and permanent residents",Humanities and arts,Not Hispanic or Latino,American Indian or Alaska Native,4,2,11,6,10,20,22,21,13,19,6
7531,r075,"All fields, U.S. citizens and permanent residents -> Humanities and arts -> Not Hispanic or Latino -> Asian<sup>a</sup>","All fields, U.S. citizens and permanent residents",Humanities and arts,Not Hispanic or Latino,Asian<sup>a</sup>,4,54,52,50,88,194,201,224,198,181,152
7531,r076,"All fields, U.S. citizens and permanent residents -> Humanities and arts -> Not Hispanic or Latino -> Black or African American","All fields, U.S. citizens and permanent residents",Humanities and arts,Not Hispanic or Latino,Black or African American,4,97,86,71,101,129,165,170,156,169,171
7531,r077,"All fields, U.S. citizens and permanent residents -> Humanities and arts -> Not Hispanic or Latino -> White","All fields, U.S. citizens and permanent residents",Humanities and arts,Not Hispanic or Latino,White,4,4012,2960,2625,3093,3669,3707,3390,3328,3529,2311
7531,r078,"All fields, U.S. citizens and permanent residents -> Humanities and arts -> Not Hispanic or Latino -> More than one race","All fields, U.S. citizens and permanent residents",Humanities and arts,Not Hispanic or Latino,More than one race,4,na,na,na,na,na,49,82,84,112,109
7531,r079,"All fields, U.S. citizens and permanent residents -> Humanities and arts -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>","All fields, U.S. citizens and permanent residents",Humanities and arts,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,22,1,21,13,30,74,37,28,28,47
7531,r080,"All fields, U.S. citizens and permanent residents -> Humanities and arts -> Ethnicity not reported","All fields, U.S. citizens and permanent residents",Humanities and arts,Ethnicity not reported,,3,268,143,40,47,35,144,77,97,93,61
7531,r081,"All fields, U.S. citizens and permanent residents -> Other<sup>d</sup>","All fields, U.S. citizens and permanent residents",Other<sup>d</sup>,,,2,1341,1193,1304,1530,1664,1470,1544,1693,1865,1636
7531,r082,"All fields, U.S. citizens and permanent residents -> Other<sup>d</sup> -> Hispanic or Latino","All fields, U.S. citizens and permanent residents",Other<sup>d</sup>,Hispanic or Latino,,3,26,18,23,32,52,59,73,101,124,114
7531,r083,"All fields, U.S. citizens and permanent residents -> Other<sup>d</sup> -> Not Hispanic or Latino","All fields, U.S. citizens and permanent residents",Other<sup>d</sup>,Not Hispanic or Latino,,3,,,,,,,,,,
7531,r084,"All fields, U.S. citizens and permanent residents -> Other<sup>d</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native","All fields, U.S. citizens and permanent residents",Other<sup>d</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,6,3,9,6,8,8,8,6,4,8
7531,r085,"All fields, U.S. citizens and permanent residents -> Other<sup>d</sup> -> Not Hispanic or Latino -> Asian<sup>a</sup>","All fields, U.S. citizens and permanent residents",Other<sup>d</sup>,Not Hispanic or Latino,Asian<sup>a</sup>,4,27,48,75,93,140,95,111,155,189,156
7531,r086,"All fields, U.S. citizens and permanent residents -> Other<sup>d</sup> -> Not Hispanic or Latino -> Black or African American","All fields, U.S. citizens and permanent residents",Other<sup>d</sup>,Not Hispanic or Latino,Black or African American,4,58,72,69,97,97,127,135,154,197,306
7531,r087,"All fields, U.S. citizens and permanent residents -> Other<sup>d</sup> -> Not Hispanic or Latino -> White","All fields, U.S. citizens and permanent residents",Other<sup>d</sup>,Not Hispanic or Latino,White,4,1157,995,1111,1271,1346,1081,1142,1193,1249,946
7531,r088,"All fields, U.S. citizens and permanent residents -> Other<sup>d</sup> -> Not Hispanic or Latino -> More than one race","All fields, U.S. citizens and permanent residents",Other<sup>d</sup>,Not Hispanic or Latino,More than one race,4,na,na,na,na,na,17,21,37,43,48
7531,r089,"All fields, U.S. citizens and permanent residents -> Other<sup>d</sup> -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>","All fields, U.S. citizens and permanent residents",Other<sup>d</sup>,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,6,1,5,8,7,22,14,18,17,19
7531,r090,"All fields, U.S. citizens and permanent residents -> Other<sup>d</sup> -> Ethnicity not reported","All fields, U.S. citizens and permanent residents",Other<sup>d</sup>,Ethnicity not reported,,3,61,56,12,23,14,61,40,29,42,39
