table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10436,r027,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,,5,108,127,121,17.8,-5.0
10436,r028,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,,5,21,37,37,72.7,1.7
10436,r029,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Oceanic and Atmospheric Research,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Office of Oceanic and Atmospheric Research,,5,628,730,726,16.2,-0.6
10436,r030,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,,5,278,240,236,-13.8,-1.5
10436,r031,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior,R&D and R&D plant,Other natural resources (306),Department of the Interior,,,,3,737,803,1017,8.9,26.7
10436,r032,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior -> Geological Survey,R&D and R&D plant,Other natural resources (306),Department of the Interior,Geological Survey,,,4,737,803,1017,8.9,26.7
10436,r033,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Core science systems,R&D and R&D plant,Other natural resources (306),Department of the Interior,Geological Survey,Core science systems,,5,96,104,163,8.7,56.2
10436,r034,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Ecosystems,R&D and R&D plant,Other natural resources (306),Department of the Interior,Geological Survey,Ecosystems,,5,277,306,394,10.6,28.7
10436,r035,"R&D and R&D plant -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Energy, minerals, and environmental health",R&D and R&D plant,Other natural resources (306),Department of the Interior,Geological Survey,"Energy, minerals, and environmental health",,5,83,90,130,9.5,43.9
10436,r036,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Natural hazards,R&D and R&D plant,Other natural resources (306),Department of the Interior,Geological Survey,Natural hazards,,5,135,145,169,7.6,16.5
10436,r037,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Water resources,R&D and R&D plant,Other natural resources (306),Department of the Interior,Geological Survey,Water resources,,5,147,157,161,6.7,2.6
10436,r038,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,2848,2996,3305,5.2,10.3
10436,r039,R&D and R&D plant -> R&D -> Conservation and land management (302),R&D and R&D plant,R&D,Conservation and land management (302),,,,3,625,594,661,-5.0,11.3
10436,r040,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of the Interior,R&D and R&D plant,R&D,Conservation and land management (302),Department of the Interior,,,4,176,190,210,8.0,10.5
10436,r041,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of Agriculture,R&D and R&D plant,R&D,Conservation and land management (302),Department of Agriculture,,,4,449,404,451,-10.0,11.6
10436,r042,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of Agriculture -> Forest Service,R&D and R&D plant,R&D,Conservation and land management (302),Department of Agriculture,Forest Service,,5,449,404,451,-10.0,11.6
10436,r043,R&D and R&D plant -> R&D -> Pollution control and abatement (304),R&D and R&D plant,R&D,Pollution control and abatement (304),,,,3,535,576,622,7.7,8.0
10436,r044,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,,,4,527,568,614,7.8,8.1
10436,r045,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Oil spill response research,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Oil spill response research,,5,1,1,1,0.0,0.0
10436,r046,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Science and technology,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Science and technology,,5,496,537,583,8.3,8.6
10436,r047,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Superfund,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Superfund,,5,30,30,30,0.0,0.0
10436,r048,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Department of Homeland Security,R&D and R&D plant,R&D,Pollution control and abatement (304),Department of Homeland Security,,,4,8,8,8,0.0,0.0
10436,r049,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Department of Homeland Security -> Coast Guard,R&D and R&D plant,R&D,Pollution control and abatement (304),Department of Homeland Security,Coast Guard,,5,8,8,8,0.0,0.0
10436,r050,R&D and R&D plant -> R&D -> Recreational resources (303),R&D and R&D plant,R&D,Recreational resources (303),,,,3,28,29,32,3.6,10.3
10436,r051,R&D and R&D plant -> R&D -> Recreational resources (303) -> Department of the Interior,R&D and R&D plant,R&D,Recreational resources (303),Department of the Interior,,,4,28,29,32,3.6,10.3
10436,r052,R&D and R&D plant -> R&D -> Recreational resources (303) -> Department of the Interior -> National Park Service,R&D and R&D plant,R&D,Recreational resources (303),Department of the Interior,National Park Service,,5,28,29,32,3.6,10.3
10436,r053,R&D and R&D plant -> R&D -> Water resources (301),R&D and R&D plant,R&D,Water resources (301),,,,3,33,36,20,9.1,-44.4
10436,r054,R&D and R&D plant -> R&D -> Water resources (301) -> Department of Defense,R&D and R&D plant,R&D,Water resources (301),Department of Defense,,,4,33,36,20,9.1,-44.4
10436,r055,R&D and R&D plant -> R&D -> Water resources (301) -> Department of Defense -> Army Corps of Engineers,R&D and R&D plant,R&D,Water resources (301),Department of Defense,Army Corps of Engineers,,5,33,36,20,9.1,-44.4
10436,r056,R&D and R&D plant -> R&D -> Water resources (301) -> Department of the Interior,R&D and R&D plant,R&D,Water resources (301),Department of the Interior,,,4,111,146,147,31.5,0.7
10436,r057,R&D and R&D plant -> R&D -> Water resources (301) -> Department of the Interior -> Bureau of Reclamation,R&D and R&D plant,R&D,Water resources (301),Department of the Interior,Bureau of Reclamation,,5,111,146,147,31.5,0.7
10436,r058,R&D and R&D plant -> R&D -> Other natural resources (306),R&D and R&D plant,R&D,Other natural resources (306),,,,3,1627,1761,1970,8.3,11.9
10436,r059,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,,,4,889,958,953,7.8,-0.6
10436,r060,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,,5,889,958,953,7.8,-0.6
10436,r061,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission Support / Spectrum,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Mission Support / Spectrum,6,33,0,0,-100.0,-
10436,r062,"R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service",R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",6,42,71,74,70.6,4.2
10436,r063,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,6,77,71,73,-7.5,2.0
10436,r064,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,6,108,127,121,17.8,-5.0
10436,r065,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,6,21,37,37,79.3,1.7
10436,r066,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Oceanic and Atmospheric Research,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Office of Oceanic and Atmospheric Research,6,572,615,611,7.4,-0.6
10436,r067,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,6,36,37,37,2.4,-1.5
10436,r068,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,,,4,737,803,1017,8.9,26.7
10436,r069,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior -> Geological Survey,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,Geological Survey,,5,737,803,1017,8.9,26.7
10436,r070,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Core science systems,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,Geological Survey,Core science systems,6,96,104,163,8.7,56.2
10436,r071,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Ecosystems,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,Geological Survey,Ecosystems,6,277,306,394,10.6,28.7
10436,r072,"R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Energy, minerals, and environmental health",R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,Geological Survey,"Energy, minerals, and environmental health",6,83,90,130,9.5,43.9
10436,r073,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Natural hazards,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,Geological Survey,Natural hazards,6,135,145,169,7.6,16.5
10436,r074,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Water resources,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,Geological Survey,Water resources,6,147,157,161,6.7,2.6
