table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_2019_all_companies,field_2019_1_4_employees,field_2019_5_9_employees,field_2020_all_companies,field_2020_1_4_employees,field_2020_5_9_employees,field_2021_all_companies,field_2021_1_4_employees,field_2021_5_9_employees,field_2022_all_companies,field_2022_1_4_employees,field_2022_5_9_employees
12463,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['    15,341 ', '&nbsp;']","['    10,107 ', '&nbsp;']","['    5,234 ', '&nbsp;']","['21,446', '&nbsp;']","['11,007', '&nbsp;']","['10,439', '&nbsp;']","['13,976', '&nbsp;']","['8,486', '&nbsp;']","['5,489', '&nbsp;']","['24,809', '&nbsp;']","['7,025', 'r']","['17,784', 'r']"
12463,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['    16,389 ', '&nbsp;']","['    14,869 ', '&nbsp;']","['    1,520 ', '&nbsp;']","['19,333', 'r']","['1,028', '&nbsp;']","['18,305', 'r']","['22,257', '&nbsp;']","['13,065', 'r']","['9,192', '&nbsp;']","['19,366', '&nbsp;']","['5,647', 'r']","['13,719', 'r']"
12463,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['124', '&nbsp;']","['0', '&nbsp;']","['124', '&nbsp;']","['1,471', 'r']","['1,094', 'r']","['377', '&nbsp;']","['212', '&nbsp;']","['0', '&nbsp;']","['212', '&nbsp;']"
12463,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    134,291 ', '&nbsp;']","['    27,680 ', '&nbsp;']","['    106,611 ', '&nbsp;']","['104,028', '&nbsp;']","['39,257', '&nbsp;']","['64,770', 'r']","['171,640', '&nbsp;']","['93,184', 'r']","['78,456', '&nbsp;']","['225,239', '&nbsp;']","['50,831', '&nbsp;']","['174,407', '&nbsp;']"
12463,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    6,356,692 ', '&nbsp;']","['    2,801,458 ', '&nbsp;']","['    3,555,234 ', '&nbsp;']","['6,700,152', '&nbsp;']","['3,264,059', '&nbsp;']","['3,436,093', '&nbsp;']","['7,141,522', '&nbsp;']","['3,244,599', '&nbsp;']","['3,896,923', '&nbsp;']","['6,708,439', '&nbsp;']","['3,274,850', '&nbsp;']","['3,433,589', '&nbsp;']"
12463,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    407,800 ', '&nbsp;']","['    105,774 ', '&nbsp;']","['    302,027 ', '&nbsp;']","['517,963', '&nbsp;']","['188,633', '&nbsp;']","['329,331', 'r']","['172,456', '&nbsp;']","['40,464', '&nbsp;']","['131,992', '&nbsp;']","['457,568', '&nbsp;']","['213,937', '&nbsp;']","['243,631', '&nbsp;']"
12463,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    708,356 ', '&nbsp;']","['    314,081 ', '&nbsp;']","['    394,274 ', '&nbsp;']","['829,283', '&nbsp;']","['373,836', '&nbsp;']","['455,448', '&nbsp;']","['961,919', '&nbsp;']","['295,126', '&nbsp;']","['666,793', '&nbsp;']","['907,155', '&nbsp;']","['419,883', '&nbsp;']","['487,271', '&nbsp;']"
12463,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    396,626 ', '&nbsp;']","['    204,864 ', '&nbsp;']","['    191,763 ', '&nbsp;']","['571,286', '&nbsp;']","['242,501', '&nbsp;']","['328,785', '&nbsp;']","['657,405', '&nbsp;']","['219,923', '&nbsp;']","['437,482', '&nbsp;']","['665,064', '&nbsp;']","['271,918', '&nbsp;']","['393,146', '&nbsp;']"
12463,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['    311,729 ', '&nbsp;']","['    109,218 ', '&nbsp;']","['    202,512 ', '&nbsp;']","['257,998', '&nbsp;']","['131,335', '&nbsp;']","['126,663', '&nbsp;']","['304,514', '&nbsp;']","['75,204', '&nbsp;']","['229,310', '&nbsp;']","['242,091', '&nbsp;']","['147,965', '&nbsp;']","['94,126', '&nbsp;']"
12463,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    507,143 ', '&nbsp;']","['    303,247 ', '&nbsp;']","['    203,896 ', '&nbsp;']","['628,231', '&nbsp;']","['286,122', '&nbsp;']","['342,109', '&nbsp;']","['667,715', '&nbsp;']","['278,295', '&nbsp;']","['389,420', '&nbsp;']","['432,941', '&nbsp;']","['188,162', '&nbsp;']","['244,779', '&nbsp;']"
12463,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    1,848,184 ', '&nbsp;']","['    910,765 ', '&nbsp;']","['    937,419 ', '&nbsp;']","['1,473,927', '&nbsp;']","['879,174', '&nbsp;']","['594,753', '&nbsp;']","['1,975,063', '&nbsp;']","['1,043,298', '&nbsp;']","['931,765', '&nbsp;']","['1,739,815', '&nbsp;']","['904,152', '&nbsp;']","['835,663', '&nbsp;']"
12463,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['    2,885,208 ', '&nbsp;']","['    1,167,591 ', '&nbsp;']","['    1,717,617 ', '&nbsp;']","['3,250,748', '&nbsp;']","['1,536,295', '&nbsp;']","['1,714,453', '&nbsp;']","['3,364,369', '&nbsp;']","['1,587,415', '&nbsp;']","['1,776,953', '&nbsp;']","['3,170,961', '&nbsp;']","['1,548,716', '&nbsp;']","['1,622,245', '&nbsp;']"
12463,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['    208,662 ', '&nbsp;']","['    96,559 ', '&nbsp;']","['    112,103 ', '&nbsp;']","['196,107', '&nbsp;']","['91,949', '&nbsp;']","['104,158', '&nbsp;']","['216,133', '&nbsp;']","['99,765', '&nbsp;']","['116,368', '&nbsp;']","['192,203', '&nbsp;']","['93,523', '&nbsp;']","['98,680', '&nbsp;']"
12463,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['    1,174,789 ', '&nbsp;']","['    496,758 ', '&nbsp;']","['    678,031 ', '&nbsp;']","['1,548,115', '&nbsp;']","['757,706', '&nbsp;']","['790,409', '&nbsp;']","['1,491,139', '&nbsp;']","['731,902', '&nbsp;']","['759,238', '&nbsp;']","['1,523,931', '&nbsp;']","['753,460', '&nbsp;']","['770,471', '&nbsp;']"
12463,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['    1,462,446 ', '&nbsp;']","['    560,509 ', '&nbsp;']","['    901,937 ', '&nbsp;']","['1,479,130', '&nbsp;']","['677,617', '&nbsp;']","['801,514', '&nbsp;']","['1,627,199', '&nbsp;']","['730,715', '&nbsp;']","['896,484', '&nbsp;']","['1,432,454', '&nbsp;']","['689,629', '&nbsp;']","['742,825', '&nbsp;']"
12463,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['    37,089 ', '&nbsp;']","['    11,544 ', '&nbsp;']","['    25,546 ', '&nbsp;']","['27,396', '&nbsp;']","['9,023', '&nbsp;']","['18,373', '&nbsp;']","['19,297', '&nbsp;']","['14,434', '&nbsp;']","['4,864', '&nbsp;']","['22,373', '&nbsp;']","['12,104', '&nbsp;']","['10,269', '&nbsp;']"
