table_id,row_id,funding_category_and_agency_full_path,funding_category_and_agency_level_1,funding_category_and_agency_level_2,funding_category_and_agency_level_3,funding_category_and_agency_level_4,funding_category_and_agency_hierarchy_depth,field_budget_activity,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10431,r015,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Applied research -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Applied research,Department of the Navy,4,,1243,1487,1026,19.6,-31.0
10431,r016,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced technology development,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced technology development,,3,3,8949,11706,9327,30.8,-20.3
10431,r017,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced technology development -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced technology development,Defense agencies,4,,4697,6153,5381,31.0,-12.5
10431,r018,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced technology development -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced technology development,Department of the Air Force,4,,918,1096,891,19.4,-18.7
10431,r019,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced technology development -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced technology development,Space Force,4,,227,615,583,170.3,-5.3
10431,r020,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced technology development -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced technology development,Department of the Army,4,,2145,2533,1456,18.1,-42.5
10431,r021,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced technology development -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced technology development,Department of the Navy,4,,960,1309,1017,36.3,-22.4
10431,r022,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced component development and prototypes,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced component development and prototypes,,3,4,32052,35606,40330,11.1,13.3
10431,r023,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced component development and prototypes -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced component development and prototypes,Defense agencies,4,,10593,11089,12087,4.7,9.0
10431,r024,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced component development and prototypes -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced component development and prototypes,Department of the Air Force,4,,9427,8361,9859,-11.3,17.9
10431,r025,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced component development and prototypes -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced component development and prototypes,Space Force,4,,1568,2970,4229,89.4,42.4
10431,r026,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced component development and prototypes -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced component development and prototypes,Department of the Army,4,,3799,4637,4420,22.0,-4.7
10431,r027,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced component development and prototypes -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced component development and prototypes,Department of the Navy,4,,6664,8549,9734,28.3,13.9
10431,r028,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> System development and demonstration,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,System development and demonstration,,3,5,14429,23303,26538,61.5,13.9
10431,r029,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> System development and demonstration -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,System development and demonstration,Defense agencies,4,,641,978,1446,52.5,47.8
10431,r030,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> System development and demonstration -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,System development and demonstration,Department of the Air Force,4,,2176,6075,6482,179.1,6.7
10431,r031,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> System development and demonstration -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,System development and demonstration,Space Force,4,,3125,5459,6008,74.7,10.1
10431,r032,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> System development and demonstration -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,System development and demonstration,Department of the Army,4,,3178,4318,5639,35.9,30.6
10431,r033,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> System development and demonstration -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,System development and demonstration,Department of the Navy,4,,5308,6473,6962,21.9,7.6
10431,r034,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,,3,6,10847,9908,9168,-8.7,-7.5
10431,r035,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,Defense agencies,4,,2502,2513,1999,0.4,-20.5
10431,r036,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,Department of the Air Force,4,,3828,3305,3487,-13.7,5.5
10431,r037,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,Space Force,4,,737,573,563,-22.2,-1.8
10431,r038,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,Department of the Army,4,,1902,1821,1625,-4.3,-10.8
10431,r039,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,Department of the Navy,4,,1603,1251,1164,-21.9,-7.0
10431,r040,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support -> Operational test and evaluation,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,Operational test and evaluation,4,,277,446,331,61.3,-25.7
10431,r041,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Operational system development,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Operational system development,,3,7,42975,48413,24881,12.7,-48.6
10431,r042,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Operational system development -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Operational system development,Defense agencies,4,,7484,10428,2912,39.3,-72.1
10431,r043,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Operational system development -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Operational system development,Department of the Air Force,4,,23062,24005,7015,4.1,-70.8
10431,r044,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Operational system development -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Operational system development,Space Force,4,,5469,6428,7488,17.5,16.5
10431,r045,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Operational system development -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Operational system development,Department of the Army,4,,1417,1289,1106,-9.0,-14.2
10431,r046,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Operational system development -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Operational system development,Department of the Navy,4,,5544,6262,6359,13.0,1.5
