table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
3181,r042,United States -> South Carolina,United States,South Carolina,2,742924,354530,32674,265562,44090,30260,15808
3181,r043,United States -> South Dakota,United States,South Dakota,2,118377,57660,18883,22769,2716,5767,10582
3181,r044,United States -> Tennessee,United States,Tennessee,2,1337211,754834,35939,393458,76014,56350,20616
3181,r045,United States -> Texas,United States,Texas,2,5967210,2347454,854553,1610434,436376,446322,272071
3181,r046,United States -> Utah,United States,Utah,2,924632,546990,30783,250096,49479,35546,11738
3181,r047,United States -> Vermont,United States,Vermont,2,138716,92927,659,32005,3216,8894,1015
3181,r048,United States -> Virginia,United States,Virginia,2,1814048,842798,107569,598996,92490,105656,66539
3181,r049,United States -> Washington,United States,Washington,2,1829550,1169318,81093,257480,72763,207974,40922
3181,r050,United States -> West Virginia,United States,West Virginia,2,212963,96562,11883,76244,6254,6239,15781
3181,r051,United States -> Wisconsin,United States,Wisconsin,2,1652475,771449,116173,518225,57286,139361,49981
3181,r052,United States -> Wyoming,United States,Wyoming,2,80353,52082,4594,17939,3619,1599,520
3181,r053,United States -> American Samoa,United States,American Samoa,2,860,860,0,0,0,0,0
3181,r054,United States -> Guam,United States,Guam,2,12249,9339,1742,1146,3,19,0
3181,r055,United States -> Puerto Rico,United States,Puerto Rico,2,121074,80444,2115,29854,5201,712,2748
3181,r056,United States -> Virgin Islands,United States,Virgin Islands,2,12236,10445,359,1385,47,0,0
