table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_hierarchy_depth,field_totala_male,field_totala_female,field_life_sciencesb_male,field_life_sciencesb_female,field_physical_sciences_and_earth_sciences_male,field_physical_sciences_and_earth_sciences_female,field_mathematics_and_computer_sciences_male,field_mathematics_and_computer_sciences_female,field_psychology_and_social_sciences_male,field_psychology_and_social_sciences_female,field_engineering_male,field_engineering_female,field_education_male,field_education_female,field_humanities_and_arts_male,field_humanities_and_arts_female,field_otherc_male,field_otherc_female
4643,r034,United States<sup>d</sup> -> New York,United States<sup>d</sup>,New York,2,2174,1994,384,520,290,153,262,79,304,510,440,157,93,189,316,285,85,101
4643,r035,United States<sup>d</sup> -> North Carolina,United States<sup>d</sup>,North Carolina,2,987,886,217,305,90,63,120,55,119,134,265,96,33,83,83,80,60,70
4643,r036,United States<sup>d</sup> -> North Dakota,United States<sup>d</sup>,North Dakota,2,103,86,24,34,8,8,,,5,13,40,7,9,15,,,,
4643,r037,United States<sup>d</sup> -> Ohio,United States<sup>d</sup>,Ohio,2,1054,899,219,239,161,80,87,31,94,160,304,81,79,161,68,80,42,67
4643,r038,United States<sup>d</sup> -> Oklahoma,United States<sup>d</sup>,Oklahoma,2,272,220,51,62,43,15,12,6,26,39,69,22,19,46,24,17,28,13
4643,r039,United States<sup>d</sup> -> Oregon,United States<sup>d</sup>,Oregon,2,290,261,67,85,58,24,38,16,27,67,69,16,13,22,,,,
4643,r040,United States<sup>d</sup> -> Pennsylvania,United States<sup>d</sup>,Pennsylvania,2,1433,1169,229,330,164,77,196,57,163,218,422,143,64,127,126,124,69,93
4643,r041,United States<sup>d</sup> -> Puerto Rico,United States<sup>d</sup>,Puerto Rico,2,49,80,11,18,,,,,18,50,,,,,,,0,0
4643,r042,United States<sup>d</sup> -> Rhode Island,United States<sup>d</sup>,Rhode Island,2,150,161,25,47,26,23,22,12,23,26,23,13,,,26,33,,
4643,r043,United States<sup>d</sup> -> South Carolina,United States<sup>d</sup>,South Carolina,2,304,299,65,93,36,27,41,10,31,44,79,29,17,54,14,12,21,30
4643,r044,United States<sup>d</sup> -> South Dakota,United States<sup>d</sup>,South Dakota,2,79,47,31,20,9,5,,,8,9,14,8,,,,,,
4643,r045,United States<sup>d</sup> -> Tennessee,United States<sup>d</sup>,Tennessee,2,533,490,111,141,61,30,45,14,48,75,151,51,44,103,45,57,28,19
4643,r046,United States<sup>d</sup> -> Texas,United States<sup>d</sup>,Texas,2,2324,1875,388,501,307,134,235,81,206,331,752,212,122,329,175,157,139,130
4643,r047,United States<sup>d</sup> -> Utah,United States<sup>d</sup>,Utah,2,326,217,55,58,54,23,38,17,35,50,92,21,23,32,16,7,13,9
4643,r048,United States<sup>d</sup> -> Vermont,United States<sup>d</sup>,Vermont,2,30,27,8,11,,,,,5,5,,,,,,,0,0
4643,r049,United States<sup>d</sup> -> Virginia,United States<sup>d</sup>,Virginia,2,797,735,129,160,96,53,70,33,111,141,240,90,53,152,43,44,55,62
4643,r050,United States<sup>d</sup> -> Washington,United States<sup>d</sup>,Washington,2,514,501,102,173,80,45,61,42,58,75,145,58,18,43,26,31,24,34
4643,r051,United States<sup>d</sup> -> West Virginia,United States<sup>d</sup>,West Virginia,2,119,95,24,24,,,,,19,20,32,6,,,13,12,8,9
4643,r052,United States<sup>d</sup> -> Wisconsin,United States<sup>d</sup>,Wisconsin,2,509,467,130,147,68,34,51,13,58,71,102,50,36,67,48,59,16,26
4643,r053,United States<sup>d</sup> -> Wyoming,United States<sup>d</sup>,Wyoming,2,62,32,10,10,20,5,,,6,6,15,5,,,0,0,,
