table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_hierarchy_depth,field_rdt_e_expenditures_all_rdt_e,field_rdt_e_expenditures_r_d_all_r_d,field_rdt_e_expenditures_r_d_basic_research,field_rdt_e_expenditures_r_d_applied_research,field_rdt_e_expenditures_r_d_experimental_development,field_rdt_e_expenditures_operational_system_development,field_federally_funded_rdt_e_expenditures_all_federal_rdt_e,field_federally_funded_rdt_e_expenditures_r_d_all_r_d,field_federally_funded_rdt_e_expenditures_r_d_basic_research,field_federally_funded_rdt_e_expenditures_r_d_applied_research,field_federally_funded_rdt_e_expenditures_r_d_experimental_development,field_federally_funded_rdt_e_expenditures_operational_system_development,field_nonfederally_funded_rdt_e_expenditures_all_nonfederal_rdt_e,field_nonfederally_funded_rdt_e_expenditures_r_d_all_r_d,field_nonfederally_funded_rdt_e_expenditures_r_d_basic_research,field_nonfederally_funded_rdt_e_expenditures_r_d_applied_research,field_nonfederally_funded_rdt_e_expenditures_r_d_experimental_development,field_nonfederally_funded_rdt_e_expenditures_operational_system_development
12492,r012,All DOD agencies -> Department of the Army -> Army Engineer Research and Development Center,All DOD agencies,Department of the Army,Army Engineer Research and Development Center,,,3,"['726,443', '']","['725,537', '']","['20,058', '']","['103,211', '']","['602,268', '']","['906', '']","['719,452', '']","['718,545', '']","['20,058', '']","['102,184', '']","['596,303', '']","['906', '']","['6,992', '']","['6,992', '']","['0', '']","['1,027', '']","['5,965', '']","['0', '']"
12492,r013,All DOD agencies -> Department of the Army -> Army Medical Research and Development Command,All DOD agencies,Department of the Army,Army Medical Research and Development Command,,,3,"['481,401', '']","['472,520', '']","['27,494', '']","['207,055', '']","['237,970', '']","['8,881', '']","['467,316', '']","['458,435', '']","['27,494', '']","['193,037', '']","['237,905', '']","['8,881', '']","['14,085', '']","['14,085', '']","['0', '']","['14,019', '']","['66', '']","['0', '']"
12492,r014,All DOD agencies -> Department of the Army -> Army Research Institute for the Behavioral and Social Sciences,All DOD agencies,Department of the Army,Army Research Institute for the Behavioral and Social Sciences,,,3,"['477,297', 'i']","['455,350', 'i']","['21,383', 'i']","['78,102', 'i']","['355,865', 'i']","['21,947', 'i']","['477,297', 'i']","['455,350', 'i']","['21,383', 'i']","['78,102', 'i']","['355,865', 'i']","['21,947', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12492,r015,All DOD agencies -> Department of the Army -> Combat Capabilities Development Command (DEVCOM),All DOD agencies,Department of the Army,Combat Capabilities Development Command (DEVCOM),,,3,"['3,894,911', '']","['3,630,576', '']","['182,018', '']","['515,149', '']","['2,933,410', '']","['264,335', '']","['3,894,888', '']","['3,630,552', '']","['182,018', '']","['515,131', '']","['2,933,404', '']","['264,335', '']","['24', '']","['24', '']","['0', '']","['18', '']","['6', '']","['0', '']"
12492,r016,All DOD agencies -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Armaments Center,All DOD agencies,Department of the Army,Combat Capabilities Development Command (DEVCOM),Armaments Center,,4,"['817,771', '']","['708,689', '']","['3,221', '']","['101,516', '']","['603,953', '']","['109,082', '']","['817,753', '']","['708,672', '']","['3,221', '']","['101,498', '']","['603,953', '']","['109,082', '']","['18', '']","['18', '']","['0', '']","['18', '']","['0', '']","['0', '']"
12492,r017,All DOD agencies -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Army Research Laboratory,All DOD agencies,Department of the Army,Combat Capabilities Development Command (DEVCOM),Army Research Laboratory,,4,"['252,265', '']","['251,882', '']","['61,449', '']","['88,896', '']","['101,536', '']","['383', '']","['252,265', '']","['251,882', '']","['61,449', '']","['88,896', '']","['101,536', '']","['383', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r018,All DOD agencies -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Aviation and Missile Center,All DOD agencies,Department of the Army,Combat Capabilities Development Command (DEVCOM),Aviation and Missile Center,,4,"['2,049,415', '']","['1,920,096', '']","['17,042', '']","['199,335', '']","['1,703,719', '']","['129,319', '']","['2,049,409', '']","['1,920,090', '']","['17,042', '']","['199,335', '']","['1,703,713', '']","['129,319', '']","['6', '']","['6', '']","['0', '']","['0', '']","['6', '']","['0', '']"
12492,r019,All DOD agencies -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Chemical Biological Center,All DOD agencies,Department of the Army,Combat Capabilities Development Command (DEVCOM),Chemical Biological Center,,4,"['108,950', '']","['102,085', '']","['3,725', '']","['12,025', '']","['86,335', '']","['6,865', '']","['108,950', '']","['102,085', '']","['3,725', '']","['12,025', '']","['86,335', '']","['6,865', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r020,"All DOD agencies -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Command, Control, Communications, Computers, Cyber, Intelligence, Surveillance, and Reconnaissance Center",All DOD agencies,Department of the Army,Combat Capabilities Development Command (DEVCOM),"Command, Control, Communications, Computers, Cyber, Intelligence, Surveillance, and Reconnaissance Center",,4,"['231,570', '']","['214,162', '']","['2,100', '']","['35,802', '']","['176,260', '']","['17,408', '']","['231,570', '']","['214,162', '']","['2,100', '']","['35,802', '']","['176,260', '']","['17,408', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r021,All DOD agencies -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Data and Analysis Center,All DOD agencies,Department of the Army,Combat Capabilities Development Command (DEVCOM),Data and Analysis Center,,4,"['10,018', '']","['10,018', '']","['0', '']","['7,378', '']","['2,640', '']","['0', '']","['10,018', '']","['10,018', '']","['0', '']","['7,378', '']","['2,640', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r022,All DOD agencies -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> DEVCOM Headquarters,All DOD agencies,Department of the Army,Combat Capabilities Development Command (DEVCOM),DEVCOM Headquarters,,4,"['88,100', '']","['88,100', '']","['16,834', '']","['1,131', '']","['70,135', '']","['0', '']","['88,100', '']","['88,100', '']","['16,834', '']","['1,131', '']","['70,135', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r023,All DOD agencies -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Ground Vehicle Systems Center,All DOD agencies,Department of the Army,Combat Capabilities Development Command (DEVCOM),Ground Vehicle Systems Center,,4,"['236,569', '']","['236,569', '']","['75,106', '']","['31,837', '']","['129,626', '']","['0', '']","['236,569', '']","['236,569', '']","['75,106', '']","['31,837', '']","['129,626', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r024,All DOD agencies -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Soldier Center,All DOD agencies,Department of the Army,Combat Capabilities Development Command (DEVCOM),Soldier Center,,4,"['100,253', '']","['98,974', '']","['2,541', '']","['37,228', '']","['59,206', '']","['1,279', '']","['100,253', '']","['98,974', '']","['2,541', '']","['37,228', '']","['59,206', '']","['1,279', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r025,All DOD agencies -> Department of the Army -> Space and Missile Defense Command,All DOD agencies,Department of the Army,Space and Missile Defense Command,,,3,"['79,660', '']","['77,414', '']","['814', '']","['16,075', '']","['60,525', '']","['2,246', '']","['47,388', '']","['47,388', '']","['814', '']","['5,024', '']","['41,550', '']","['0', '']","['32,272', '']","['30,026', '']","['0', '']","['11,051', '']","['18,975', '']","['2,246', '']"
12492,r026,All DOD agencies -> Department of the Navy,All DOD agencies,Department of the Navy,,,,2,"['6,607,843', ' ']","['5,783,576', ' ']","['236,690', ' ']","['561,003', ' ']","['4,985,883', ' ']","['824,267', ' ']","['6,475,943', ' ']","['5,662,867', ' ']","['236,583', ' ']","['559,619', ' ']","['4,866,665', ' ']","['813,076', ' ']","['131,900', ' ']","['120,709', ' ']","['107', ' ']","['1,384', ' ']","['119,218', ' ']","['11,191', ' ']"
12492,r027,All DOD agencies -> Department of the Navy -> Bureau of Medicine and Surgery,All DOD agencies,Department of the Navy,Bureau of Medicine and Surgery,,,3,"['132,340', '']","['129,796', '']","['18,897', '']","['68,364', '']","['42,535', '']","['2,544', '']","['130,594', '']","['128,050', '']","['18,790', '']","['66,981', '']","['42,279', '']","['2,544', '']","['1,746', '']","['1,746', '']","['107', '']","['1,384', '']","['255', '']","['0', '']"
12492,r028,All DOD agencies -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup>,All DOD agencies,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,,4,"['132,340', '']","['129,796', '']","['18,897', '']","['68,364', '']","['42,535', '']","['2,544', '']","['130,594', '']","['128,050', '']","['18,790', '']","['66,981', '']","['42,279', '']","['2,544', '']","['1,746', '']","['1,746', '']","['107', '']","['1,384', '']","['255', '']","['0', '']"
12492,r029,All DOD agencies -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Health Research Center,All DOD agencies,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Health Research Center,5,"['27,215', '']","['26,826', '']","['5,538', '']","['17,484', '']","['3,804', '']","['389', '']","['26,919', '']","['26,530', '']","['5,538', '']","['17,188', '']","['3,804', '']","['389', '']","['296', '']","['296', '']","['0', '']","['296', '']","['0', '']","['0', '']"
12492,r030,All DOD agencies -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - Dayton,All DOD agencies,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - Dayton,5,"['24,242', '']","['22,122', '']","['1,759', '']","['3,097', '']","['17,266', '']","['2,119', '']","['24,242', '']","['22,122', '']","['1,759', '']","['3,097', '']","['17,266', '']","['2,119', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r031,All DOD agencies -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - INDO PACIFIC,All DOD agencies,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - INDO PACIFIC,5,"['1,314', '']","['1,314', '']","['0', '']","['0', '']","['1,314', '']","['0', '']","['1,314', '']","['1,314', '']","['0', '']","['0', '']","['1,314', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r032,All DOD agencies -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - San Antonio,All DOD agencies,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - San Antonio,5,"['11,839', '']","['11,803', '']","['1,903', '']","['2,416', '']","['7,484', '']","['35', '']","['11,800', '']","['11,764', '']","['1,864', '']","['2,416', '']","['7,484', '']","['35', '']","['39', '']","['39', '']","['39', '']","['0', '']","['0', '']","['0', '']"
12492,r033,All DOD agencies -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - South,All DOD agencies,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - South,5,"['9,466', '']","['9,466', '']","['5,847', '']","['2,015', '']","['1,604', '']","['0', '']","['8,310', '']","['8,310', '']","['5,778', '']","['928', '']","['1,604', '']","['0', '']","['1,156', '']","['1,156', '']","['68', '']","['1,088', '']","['0', '']","['0', '']"
12492,r034,All DOD agencies -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Submarine Medical Research Laboratory,All DOD agencies,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Submarine Medical Research Laboratory,5,"['8,990', '']","['8,990', '']","['525', '']","['4,384', '']","['4,080', '']","['0', '']","['8,990', '']","['8,990', '']","['525', '']","['4,384', '']","['4,080', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r035,All DOD agencies -> Department of the Navy -> Marine Corps,All DOD agencies,Department of the Navy,Marine Corps,,,3,"['326,863', 'i']","['287,952', 'i']","['11,784', 'i']","['27,931', 'i']","['248,237', 'i']","['38,911', 'i']","['326,863', 'i']","['287,952', 'i']","['11,784', 'i']","['27,931', 'i']","['248,237', 'i']","['38,911', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12492,r036,All DOD agencies -> Department of the Navy -> Naval Air Warfare Center Aircraft Division,All DOD agencies,Department of the Navy,Naval Air Warfare Center Aircraft Division,,,3,"['891,612', '']","['857,385', '']","['1,538', '']","['4,558', '']","['851,288', '']","['34,228', '']","['772,650', '']","['738,422', '']","['1,538', '']","['4,558', '']","['732,326', '']","['34,228', '']","['118,963', '']","['118,963', '']","['0', '']","['0', '']","['118,963', '']","['0', '']"
12492,r037,All DOD agencies -> Department of the Navy -> Naval Air Warfare Center Weapon Division,All DOD agencies,Department of the Navy,Naval Air Warfare Center Weapon Division,,,3,"['956,186', '']","['777,721', '']","['3,719', '']","['22,073', '']","['751,928', '']","['178,465', '']","['956,186', '']","['777,721', '']","['3,719', '']","['22,073', '']","['751,928', '']","['178,465', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r038,All DOD agencies -> Department of the Navy -> Naval Facilities Engineering and Expeditionary Warfare Center,All DOD agencies,Department of the Navy,Naval Facilities Engineering and Expeditionary Warfare Center,,,3,"['89,580', '']","['57,092', '']","['611', '']","['948', '']","['55,534', '']","['32,489', '']","['89,580', '']","['57,092', '']","['611', '']","['948', '']","['55,534', '']","['32,489', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r039,All DOD agencies -> Department of the Navy -> Naval Information Warfare Systems Command,All DOD agencies,Department of the Navy,Naval Information Warfare Systems Command,,,3,"['805,548', '']","['565,094', '']","['10,824', '']","['49,168', '']","['505,102', '']","['240,454', '']","['794,357', '']","['565,094', '']","['10,824', '']","['49,168', '']","['505,102', '']","['229,263', '']","['11,191', '']","['0', '']","['0', '']","['0', '']","['0', '']","['11,191', '']"
12492,r040,All DOD agencies -> Department of the Navy -> Naval Information Warfare Systems Command -> Naval Information Warfare Center Atlantic,All DOD agencies,Department of the Navy,Naval Information Warfare Systems Command,Naval Information Warfare Center Atlantic,,4,"['227,208', '']","['145,315', '']","['2,044', '']","['12,510', '']","['130,761', '']","['81,893', '']","['227,208', '']","['145,315', '']","['2,044', '']","['12,510', '']","['130,761', '']","['81,893', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r041,All DOD agencies -> Department of the Navy -> Naval Information Warfare Systems Command -> Naval Information Warfare Center Pacific,All DOD agencies,Department of the Navy,Naval Information Warfare Systems Command,Naval Information Warfare Center Pacific,,4,"['578,340', '']","['419,779', '']","['8,780', '']","['36,658', '']","['374,341', '']","['158,561', '']","['567,149', '']","['419,779', '']","['8,780', '']","['36,658', '']","['374,341', '']","['147,370', '']","['11,191', '']","['0', '']","['0', '']","['0', '']","['0', '']","['11,191', '']"
12492,r042,All DOD agencies -> Department of the Navy -> Naval Observatory,All DOD agencies,Department of the Navy,Naval Observatory,,,3,"['33,986', 'i']","['29,941', 'i']","['1,225', 'i']","['2,904', 'i']","['25,811', 'i']","['4,046', 'i']","['33,986', 'i']","['29,941', 'i']","['1,225', 'i']","['2,904', 'i']","['25,811', 'i']","['4,046', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12492,r043,All DOD agencies -> Department of the Navy -> Naval Oceanographic Office,All DOD agencies,Department of the Navy,Naval Oceanographic Office,,,3,"['33,986', 'i']","['29,941', 'i']","['1,225', 'i']","['2,904', 'i']","['25,811', 'i']","['4,046', 'i']","['33,986', 'i']","['29,941', 'i']","['1,225', 'i']","['2,904', 'i']","['25,811', 'i']","['4,046', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12492,r044,All DOD agencies -> Department of the Navy -> Naval Sea Systems Command Warfare Centers,All DOD agencies,Department of the Navy,Naval Sea Systems Command Warfare Centers,,,3,"['2,433,226', '']","['2,180,415', '']","['20,580', '']","['138,245', '']","['2,021,590', '']","['252,811', '']","['2,433,226', '']","['2,180,415', '']","['20,580', '']","['138,245', '']","['2,021,590', '']","['252,811', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r045,All DOD agencies -> Department of the Navy -> Naval Sea Systems Command Warfare Centers -> Naval Surface Warfare Center,All DOD agencies,Department of the Navy,Naval Sea Systems Command Warfare Centers,Naval Surface Warfare Center,,4,"['2,030,696', '']","['1,842,591', '']","['17,143', '']","['106,587', '']","['1,718,861', '']","['188,105', '']","['2,030,696', '']","['1,842,591', '']","['17,143', '']","['106,587', '']","['1,718,861', '']","['188,105', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r046,All DOD agencies -> Department of the Navy -> Naval Sea Systems Command Warfare Centers -> Naval Undersea Warfare Center,All DOD agencies,Department of the Navy,Naval Sea Systems Command Warfare Centers,Naval Undersea Warfare Center,,4,"['402,530', '']","['337,824', '']","['3,437', '']","['31,658', '']","['302,729', '']","['64,706', '']","['402,530', '']","['337,824', '']","['3,437', '']","['31,658', '']","['302,729', '']","['64,706', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r047,All DOD agencies -> Department of the Navy -> Office of Naval Research,All DOD agencies,Department of the Navy,Office of Naval Research,,,3,"['904,515', '']","['868,240', '']","['166,286', '']","['243,907', '']","['458,047', '']","['36,274', '']","['904,515', '']","['868,240', '']","['166,286', '']","['243,907', '']","['458,047', '']","['36,274', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r048,All DOD agencies -> Department of the Navy -> Office of Naval Research -> Naval Research Laboratory,All DOD agencies,Department of the Navy,Office of Naval Research,Naval Research Laboratory,,4,"['904,515', '']","['868,240', '']","['166,286', '']","['243,907', '']","['458,047', '']","['36,274', '']","['904,515', '']","['868,240', '']","['166,286', '']","['243,907', '']","['458,047', '']","['36,274', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r049,All DOD agencies -> Missile Defense Agency,All DOD agencies,Missile Defense Agency,,,,2,"['420,524', '']","['420,524', '']","['0', '']","['0', '']","['420,524', '']","['0', '']","['420,524', '']","['420,524', '']","['0', '']","['0', '']","['420,524', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r050,All DOD agencies -> Space Force,All DOD agencies,Space Force,,,,2,"['2,413,651', '']","['2,413,651', '']","['83,186', '']","['0', '']","['2,330,466', '']","['0', '']","['2,403,794', '']","['2,403,794', '']","['83,186', '']","['0', '']","['2,320,608', '']","['0', '']","['9,857', '']","['9,857', '']","['0', '']","['0', '']","['9,857', '']","['0', '']"
12492,r051,All DOD agencies -> Space Force -> Advanced Extremely High Frequency Military Satellite Communications (MILSATCOM) Space Modernization Initiative,All DOD agencies,Space Force,Advanced Extremely High Frequency Military Satellite Communications (MILSATCOM) Space Modernization Initiative,,,3,"['27,003', '']","['27,003', '']","['0', '']","['0', '']","['27,003', '']","['0', '']","['27,003', '']","['27,003', '']","['0', '']","['0', '']","['27,003', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r052,All DOD agencies -> Space Force -> Commercial Satellite Communications (SATCOM),All DOD agencies,Space Force,Commercial Satellite Communications (SATCOM),,,3,"['20,205', '']","['20,205', '']","['0', '']","['0', '']","['20,205', '']","['0', '']","['20,205', '']","['20,205', '']","['0', '']","['0', '']","['20,205', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r053,All DOD agencies -> Space Force -> Counter Communications System,All DOD agencies,Space Force,Counter Communications System,,,3,"['5,895', '']","['5,895', '']","['0', '']","['0', '']","['5,895', '']","['0', '']","['5,895', '']","['5,895', '']","['0', '']","['0', '']","['5,895', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r054,All DOD agencies -> Space Force -> Electro-Optical/ Infrared Weather Systems,All DOD agencies,Space Force,Electro-Optical/ Infrared Weather Systems,,,3,"['1,862', '']","['1,862', '']","['0', '']","['0', '']","['1,862', '']","['0', '']","['1,862', '']","['1,862', '']","['0', '']","['0', '']","['1,862', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
