table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_hierarchy_depth,field_all_federal_obligations,field_computer_sciences_and_mathematics,field_environmental_sciences,field_life_sciences,field_physical_sciences,field_psychology,field_social_sciences,field_other_sciences_nec,field_engineering
6299,r019,All agencies -> Other agencies -> Administrative Office of the U.S. Courts,All agencies,Other agencies,Administrative Office of the U.S. Courts,3,5,5,0,0,0,0,0,0,0
6299,r020,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,3,135,0,0,125,0,0,10,0,0
6299,r021,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,3,1,0,0,0,0,0,1,0,0
6299,r022,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,3,0,0,0,0,0,0,0,0,0
6299,r023,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,3,412,9,170,163,10,0,2,0,58
6299,r024,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,3,2,0,0,0,0,0,0,0,1
6299,r025,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,3,6,0,0,0,0,0,6,0,0
6299,r026,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,3,1,0,0,0,1,0,0,0,0
6299,r027,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,3,6394,0,1513,125,1653,0,0,1017,2086
6299,r028,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,3,6351,1182,951,752,1032,37,208,1022,1167
6299,r029,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,3,68,0,0,0,0,0,0,1,67
6299,r030,All agencies -> Other agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Other agencies,Patient-Centered Outcomes Research Trust Fund,3,470,0,0,470,0,0,0,0,0
6299,r031,All agencies -> Other agencies -> RESTORE Act Centers of Excellence Research Grants Program,All agencies,Other agencies,RESTORE Act Centers of Excellence Research Grants Program,3,9,0,9,0,0,0,0,0,0
6299,r032,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,3,210,0,22,82,2,0,0,104,0
6299,r033,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,3,70,0,0,0,0,0,70,0,0
6299,r034,All agencies -> Other agencies -> Tennessee Valley Authority,All agencies,Other agencies,Tennessee Valley Authority,3,6,0,0,0,0,0,0,0,6
6299,r035,All agencies -> Other agencies -> U.S. Agency for Global Media,All agencies,Other agencies,U.S. Agency for Global Media,3,5,0,0,0,0,0,5,0,0
6299,r036,All agencies -> Other agencies -> U.S. Postal Service,All agencies,Other agencies,U.S. Postal Service,3,18,0,0,0,0,0,0,0,18
6299,r037,Share by field (%),Share by field (%),,,1,,,,,,,,,
6299,r038,All agencies,All agencies,,,1,100.0,6.9,5.9,49.9,9.9,3.8,1.3,6.8,15.5
6299,r039,All agencies -> Departments,All agencies,Departments,,2,,,,,,,,,
6299,r040,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,3,100.0,0.3,0.7,83.4,4.2,0.0,6.4,0.0,4.9
6299,r041,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,3,100.0,12.6,35.6,6.6,19.3,0.0,3.4,3.0,19.4
6299,r042,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,3,100.0,29.1,4.3,12.2,7.7,1.1,1.5,12.4,31.7
6299,r043,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
6299,r044,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,3,100.0,14.6,4.1,4.8,42.5,0.0,0.0,3.6,30.2
6299,r045,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,3,100.0,0.8,1.2,80.4,0.2,6.7,0.6,4.3,5.7
6299,r046,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,3,100.0,6.0,3.5,31.6,12.3,0.0,0.0,12.1,34.5
6299,r047,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,3,100.0,0.4,65.9,30.5,0.1,0.0,1.2,0.1,1.7
6299,r048,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,3,100.0,6.5,1.0,14.1,7.6,1.9,60.8,5.9,2.1
6299,r049,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
6299,r050,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,3,100.0,0.0,0.0,93.3,0.0,0.0,6.7,0.0,0.0
6299,r051,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,3,100.0,4.1,3.9,0.9,0.3,2.0,0.2,8.1,80.6
6299,r052,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,3,100.0,0.0,0.0,0.0,99.6,0.0,0.0,0.0,0.4
6299,r053,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,3,100.0,0.0,0.0,80.1,0.0,10.9,0.0,4.6,4.4
6299,r054,All agencies -> Other agencies,All agencies,Other agencies,,2,,,,,,,,,
6299,r055,All agencies -> Other agencies -> Administrative Office of the U.S. Courts,All agencies,Other agencies,Administrative Office of the U.S. Courts,3,100.0,100,0,0,0,0,0,0,0
6299,r056,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,3,100.0,0.0,0.0,92.9,0.0,0.0,7.1,0.0,0.0
6299,r057,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
6299,r058,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,3,100.0,0.0,95.0,0.0,5.0,0.0,0.0,0.0,0.0
6299,r059,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,3,100.0,2.1,41.2,39.5,2.4,0.0,0.6,0.0,14.2
6299,r060,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,3,100.0,16.7,0.0,0.0,25.0,0.0,0.0,0.0,58.3
6299,r061,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
6299,r062,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,3,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
6299,r063,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,3,100.0,0.0,23.7,2.0,25.9,0.0,0.0,15.9,32.6
6299,r064,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,3,100.0,18.6,15.0,11.8,16.2,0.6,3.3,16.1,18.4
6299,r065,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,98.8
6299,r066,All agencies -> Other agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Other agencies,Patient-Centered Outcomes Research Trust Fund,3,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
6299,r067,All agencies -> Other agencies -> RESTORE Act Centers of Excellence Research Grants Program,All agencies,Other agencies,RESTORE Act Centers of Excellence Research Grants Program,3,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
6299,r068,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,3,100.0,0.0,10.4,39.1,0.8,0.0,0.0,49.7,0.0
6299,r069,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
6299,r070,All agencies -> Other agencies -> Tennessee Valley Authority,All agencies,Other agencies,Tennessee Valley Authority,3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
6299,r071,All agencies -> Other agencies -> U.S. Agency for Global Media,All agencies,Other agencies,U.S. Agency for Global Media,3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
6299,r072,All agencies -> Other agencies -> U.S. Postal Service,All agencies,Other agencies,U.S. Postal Service,3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
