table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramurala,field_extramural_industry,field_extramural_industry_administered_ffrdcs,field_extramural_universities_and_colleges,field_extramural_university_administered_ffrdcs,field_extramural_other_nonprofits,field_extramural_nonprofit_administered_ffrdcs,field_extramural_state_local_governments
3950,r031,Arizona -> Department of Energy,Arizona,Department of Energy,,2,39853.3,0.0,8855.3,0.0,30924.0,0.0,0.0,0.0,74.0
3950,r032,Arizona -> Department of Health and Human Services,Arizona,Department of Health and Human Services,,2,269023.2,7500.1,16728.7,0.0,199172.4,0.0,43014.7,0.0,2607.5
3950,r033,Arizona -> Department of Homeland Security,Arizona,Department of Homeland Security,,2,4590.6,0.0,4590.6,0.0,0.0,0.0,0.0,0.0,0.0
3950,r034,Arizona -> Department of the Interior,Arizona,Department of the Interior,,2,7505.4,5498.3,167.0,0.0,1636.1,0.0,0.0,0.0,204.0
3950,r035,Arizona -> Department of Transportation,Arizona,Department of Transportation,,2,4390.1,0.0,1824.4,0.0,1650.1,0.0,0.0,0.0,915.6
3950,r036,Arizona -> Environmental Protection Agency,Arizona,Environmental Protection Agency,,2,788.4,0.0,300.6,0.0,487.8,0.0,0.0,0.0,0.0
3950,r037,Arizona -> National Aeronautics and Space Administration,Arizona,National Aeronautics and Space Administration,,2,115832.3,23639.5,19917.0,0.0,61158.7,0.0,11117.1,0.0,0.0
3950,r038,Arizona -> National Science Foundation,Arizona,National Science Foundation,,2,109759.0,0.0,3482.5,0.0,105488.1,0.0,747.5,0.0,40.8
3950,r039,Arkansas,Arkansas,,,1,179019.8,27559.7,52738.7,0.0,88780.8,0.0,6892.7,0.0,3047.9
3950,r040,Arkansas -> Department of Agriculture,Arkansas,Department of Agriculture,,2,42694.4,23258.8,0.0,0.0,19435.5,0.0,0.0,0.0,0.0
3950,r041,"Arkansas -> Department of Defense, research",Arkansas,"Department of Defense, research",,2,8357.1,82.7,1858.5,0.0,6415.9,0.0,0.0,0.0,0.0
3950,r042,"Arkansas -> Department of Defense, total experimental development<sup>b</sup>",Arkansas,"Department of Defense, total experimental development<sup>b</sup>",,2,44463.7,423.1,43937.9,0.0,102.8,0.0,0.0,0.0,0.0
3950,r043,Arkansas -> Department of Energy,Arkansas,Department of Energy,,2,1428.7,0.0,204.9,0.0,1149.8,0.0,0.0,0.0,74.0
3950,r044,Arkansas -> Department of Health and Human Services,Arkansas,Department of Health and Human Services,,2,57139.7,0.0,4811.8,0.0,45283.4,0.0,6892.7,0.0,151.8
3950,r045,Arkansas -> Department of the Interior,Arkansas,Department of the Interior,,2,3943.1,3793.7,0.0,0.0,149.4,0.0,0.0,0.0,0.0
3950,r046,Arkansas -> Department of Transportation,Arkansas,Department of Transportation,,2,4222.2,0.0,0.0,0.0,1400.1,0.0,0.0,0.0,2822.1
3950,r047,Arkansas -> National Aeronautics and Space Administration,Arkansas,National Aeronautics and Space Administration,,2,1661.6,1.4,1015.6,0.0,644.6,0.0,0.0,0.0,0.0
3950,r048,Arkansas -> National Science Foundation,Arkansas,National Science Foundation,,2,15109.3,0.0,910.0,0.0,14199.3,0.0,0.0,0.0,0.0
3950,r049,California,California,,,1,19158610.5,2745383.3,5918382.0,1134746.6,4535729.8,3346651.2,1138293.9,314358.8,25064.9
3950,r050,California -> Department of Agriculture,California,Department of Agriculture,,2,148648.6,94028.6,120.2,0.0,53180.1,0.0,865.5,0.0,454.2
3950,r051,California -> Department of Commerce,California,Department of Commerce,,2,18793.1,412.6,1452.1,0.0,12662.4,0.0,3986.3,0.0,279.7
3950,r052,"California -> Department of Defense, research",California,"Department of Defense, research",,2,974825.5,157215.7,321942.6,27153.4,379513.1,13764.6,70043.2,5014.0,178.9
3950,r053,"California -> Department of Defense, total experimental development<sup>b</sup>",California,"Department of Defense, total experimental development<sup>b</sup>",,2,6513212.4,2115755.2,4005319.3,62969.0,42439.2,1329.3,21257.5,262315.2,1827.7
3950,r054,California -> Department of Energy,California,Department of Energy,,2,2535112.6,5979.3,281192.4,1035450.2,189490.9,1005608.3,1983.3,15043.6,364.6
3950,r055,California -> Department of Health and Human Services,California,Department of Health and Human Services,,2,4428263.5,0.0,337270.4,3169.2,3087109.4,20551.4,977106.2,0.0,3056.9
3950,r056,California -> Department of Homeland Security,California,Department of Homeland Security,,2,63035.9,19669.8,29606.0,5929.6,1233.5,2862.1,0.0,3517.0,217.9
3950,r057,California -> Department of the Interior,California,Department of the Interior,,2,65568.3,51878.1,1175.4,0.0,9095.1,0.0,217.2,0.0,3202.4
3950,r058,California -> Department of Transportation,California,Department of Transportation,,2,38011.2,2125.7,11437.3,0.0,9714.2,0.0,1375.0,0.0,13358.9
3950,r059,California -> Environmental Protection Agency,California,Environmental Protection Agency,,2,13947.4,0.0,11402.7,0.0,2544.6,0.0,0.0,0.0,0.0
3950,r060,California -> National Aeronautics and Space Administration,California,National Aeronautics and Space Administration,,2,3609902.4,270538.6,871173.0,75.2,101637.2,2302535.5,33350.0,28469.1,2123.8
